name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
Karns City Area SD,1,0,0,0,0,0
Karns City HS,127,80,79,83,3,1
Kennard-Dale HS,170,111,103,113,2,8
Kennett Consolidated SD,7,0,0,0,0,0
Kennett HS,283,232,229,240,8,3
Kensington Creative & Performing Arts HS,113,0,0,0,0,0
Kensington Health Sciences,79,0,0,0,0,0
Kensington HS,122,0,0,0,0,0
Keystone Education Center CS,35,4,4,5,1,0
Keystone JSHS,80,44,42,51,7,2
Keystone Oaks HS,134,107,100,107,0,7
Keystone Oaks SD,5,0,0,0,0,0
Kimmel Alternative School,3,0,0,0,0,0
King Martin Luther HS,155,0,0,0,0,0
KIPP DuBois Charter School,115,98,97,109,11,1
Kiski Area HS,299,194,177,198,4,17
Kiski Area SD,1,0,0,0,0,0
Knoch HS,223,171,171,172,1,0
Kutztown Area SHS,104,75,75,76,1,0
La Academia Partnership Charter School,25,18,18,18,0,0
Lackawanna Trail JSHS,84,54,54,60,6,0
Lackawanna Trail SD,2,1,1,1,0,0
Lakeland JSHS,119,119,0,119,0,119
Lake-Lehman JSHS,162,123,123,130,7,0
Lakeview HS,95,61,61,61,0,0
Lampeter-Strasburg SD,3,0,0,0,0,0
Lampeter-Strasburg SHS,225,171,157,175,4,14
Lancaster SD,22,3,1,3,0,2
Lankenau HS,57,0,0,0,0,0
Laurel Highlands SD,5,0,0,0,0,0
Laurel Highlands SHS,210,152,144,159,7,8
Laurel JSHS,111,85,83,102,17,2
Lawrence County CTC,116,36,36,53,17,0
Lebanon SD,15,0,0,0,0,0
Lebanon SHS,238,148,122,153,5,26
Leechburg Area HS,60,39,32,42,3,7
Lehigh Valley Academy Regional CS,59,55,53,56,1,2
Lehigh Valley Charter High School for th,117,101,101,102,1,0
Lehighton Area HS,151,109,106,115,6,3
Lenape Tech,198,73,64,79,6,9
Lewisburg Area SD,3,0,0,0,0,0
Lewisburg HS,144,116,116,117,1,0
Liberty HS,639,498,487,501,3,11
Ligonier Valley HS,115,83,79,92,9,4
Ligonier Valley SD,2,0,0,0,0,0
Lincoln HS,273,0,0,0,0,0
Lincoln JSHS,109,84,78,84,0,6
Lincoln Leadership Academy Charter Schoo,52,51,51,51,0,0
Lincoln Park Performing Arts CS,119,97,97,99,2,0
Line Mountain HS,89,52,49,53,1,3
Line Mountain SD,1,0,0,0,0,0
Littlestown Area SD,6,0,0,0,0,0
Littlestown SHS,165,113,100,114,1,13
Louis E Dieruff HS,405,301,293,316,15,8
Lower Dauphin HS,265,169,169,170,1,0
Lower Dauphin SD,2,0,0,0,0,0
Lower Merion HS,328,308,307,310,2,1
Lower Merion SD,4,1,0,1,0,1
Lower Moreland HS,200,193,192,193,0,1
Loyalsock Twp SHS,100,73,73,73,0,0
Mahanoy Area HS,61,43,38,43,0,5
Mahanoy Area SD,2,0,0,0,0,0
Manheim Central SD,54,18,13,19,1,5
Manheim Central SHS,178,112,102,113,1,10
Manheim Township SD,7,2,2,2,0,0
Manheim Twp HS,403,340,323,354,14,17
Mapletown JSHS,51,34,32,36,2,2
Maplewood JSHS,75,50,39,50,0,11
Mariana Bracetti Academy CS,123,97,85,97,0,12
Marion Center Area JR/SR HS,100,0,0,0,0,0
Maritime Academy CS,53,37,37,40,3,0
Marple Newtown SD,7,2,2,2,0,0
Marple Newtown SHS,293,265,252,267,2,13
Mars Area SD,1,0,0,0,0,0
Mars Area SHS,258,232,232,244,12,0
MAST Community Charter School,100,96,96,97,1,0
Mastbaum Jules E AVTS,108,0,0,0,0,0
Masterman Julia R Sec Sch,108,0,0,0,0,0
Mastery CHS - Lenfest Campus,76,69,69,70,1,0
Mastery CS - Hardy Williams,79,59,58,68,9,1
Mastery CS - Thomas Campus,76,65,65,68,3,0
Mastery CS -Shoemaker Campus,116,101,100,104,3,1
Mastery CS-Gratz Campus,222,154,145,170,16,9
Mastery CS-Pickett Campus,101,76,75,85,9,1
Math Civics and Sciences CS,77,73,73,77,4,0
McCaskey Campus,592,437,360,464,27,77
McConnellsburg HS,68,43,43,44,1,0
McDowell HS,549,373,364,378,5,9
McGuffey HS,146,88,86,88,0,2
McGuffey SD,1,0,0,0,0,0
McKeesport Area SHS,246,162,149,195,33,13
Meadville Area SHS,173,111,103,116,5,8
Mechanicsburg Area SD,3,1,1,1,0,0
Mechanicsburg Area SHS,274,225,219,225,0,6
Mercer Area SHS,86,59,55,61,2,4
Methacton HS,398,360,360,360,0,0
Methacton SD,4,0,0,0,0,0
Meyersdale Area HS,67,45,45,46,1,0
Mid Valley Secondary Center,105,74,74,74,0,0
Middletown Area HS,150,98,97,102,4,1
Middletown Area SD,1,0,0,0,0,0
Midd-West HS,139,66,66,66,0,0
Midd-West SD,5,0,0,0,0,0
Mifflin Co HS,353,186,162,200,14,24
Mifflinburg Area SHS,164,88,87,93,5,1
Millcreek Township SD,1,0,0,0,0,0
Millersburg Area SHS,50,28,28,28,0,0
Millville Area JSHS,49,31,31,32,1,0
Milton Area SD,1,0,0,0,0,0
Milton HS,153,95,90,95,0,5
Minersville Area JSHS,103,68,57,71,3,11
Minersville Area SD,1,0,0,0,0,0
Mohawk JSHS,95,69,64,71,2,5
Monessen SHS,53,34,29,35,1,5
Moniteau JSHS,123,69,65,69,0,4
Montgomery JSHS,53,36,32,36,0,4
Montour HS,244,206,204,208,2,2
Montour SD,3,0,0,0,0,0
Montoursville Area SD,1,0,0,0,0,0
Montoursville Area SHS,130,88,88,88,0,0
Montrose Area JSHS,118,60,59,60,0,1
Moon Area SD,4,1,1,1,0,0
Moon SHS,289,264,259,264,0,5
Morrisville HS,48,31,29,31,0,2
Moshannon Valley JSHS,71,36,35,43,7,1
Motivation HS,68,0,0,0,0,0
Mount Carmel Area HS,114,60,58,64,4,2
Mount Pleasant Area HS,155,0,0,0,0,0
Mount Pleasant Area SD,5,0,0,0,0,0
Mount Union Area SHS,98,55,53,59,4,2
Mountain View JSHS,77,46,46,50,4,0
Mt Lebanon SD,6,1,1,4,3,0
Mt Lebanon SHS,428,406,404,406,0,2
Muhlenberg HS,306,230,223,231,1,7
Muhlenberg SD,17,0,0,0,0,0
Multicultural Academy CS,52,47,45,47,0,2
Muncy JSHS,77,58,54,58,0,4
Muncy SD,1,1,1,1,0,0
Nazareth Area HS,363,310,309,314,4,1
Nazareth Area SD,3,0,0,0,0,0
Neshaminy HS,571,538,538,553,15,0
Neshaminy SD,57,56,56,56,0,0
Neshannock JSHS,91,78,76,82,4,2
Neshannock Township SD,2,0,0,1,1,0
New Brighton Area HS,90,64,63,66,2,1
New Brighton Area SD,1,0,0,1,1,0
New Castle Area SD,15,0,0,0,0,0
New Castle SHS,146,104,100,105,1,4
New Day Charter School,25,0,0,1,1,0
New Foundations CS,159,152,152,156,4,0
New Hope-Solebury HS,146,141,141,142,1,0
New Hope-Solebury SD,2,0,0,0,0,0
New Oxford SHS,278,177,177,184,7,0
