name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
Council Rock HS North,435,401,399,403,2,2
Council Rock HS South,500,427,424,433,6,3
Council Rock SD,3,0,0,0,0,0
Cowanesque Valley JSHS,70,37,37,39,2,0
Cranberry Area JSHS,72,40,38,42,2,2
Cranberry Area SD,1,0,0,0,0,0
Crawford Central SD,1,0,0,0,0,0
Creative and Performing Arts,168,29,29,30,1,0
Crestwood SD,8,2,2,2,0,0
Crestwood Secondary Campus,214,166,165,168,2,1
Crispus Attucks CS,62,0,0,0,0,0
Cumberland Valley HS,638,522,518,526,4,4
Cumberland Valley SD,4,1,1,1,0,0
Curwensville Area JSHS,68,38,36,39,1,2
Curwensville Area SD,1,0,0,0,0,0
Dallas SD,5,3,3,4,1,0
Dallas SHS,203,175,175,175,0,0
Dallastown Area SD,12,4,2,4,0,2
Dallastown Area SHS,494,380,372,389,9,8
Daniel Boone Area HS,283,212,208,213,1,4
Daniel Boone Area SD,5,0,0,0,0,0
Danville Area SD,6,1,1,1,0,0
Danville Area SHS,166,129,125,134,5,4
Dauphin County Technical School,264,123,112,130,7,11
Deer Lakes HS,130,88,88,98,10,0
Deer Lakes SD,2,0,0,0,0,0
Delaware Valley HS,361,272,269,285,13,3
Derry Area SD,6,0,0,0,0,0
Derry Area SHS,150,109,94,110,1,15
Derry Township SD,2,0,0,0,0,0
Dobbins AVT HS,117,10,10,10,0,0
Donegal HS,221,155,141,155,0,14
Donegal SD,10,1,1,1,0,0
Dover Area HS,230,146,141,151,5,5
Dover Area SD,2,0,0,0,0,0
Downingtown Area SD,8,0,0,0,0,0
Downingtown HS East Campus,426,386,384,390,4,2
Downingtown HS West Campus,377,319,311,323,4,8
Downingtown STEM Academy,186,186,186,186,0,0
Dr Robert Ketterer CS Inc,42,24,24,32,8,0
Dubois Area SD,2,0,0,0,0,0
Dubois Area SHS,220,110,107,113,3,3
Dunmore JSHS,111,90,90,94,4,0
Dunmore SD,2,0,0,0,0,0
East Allegheny JSHS,108,70,70,70,0,0
East Allegheny SD,2,0,0,0,0,0
East Forest JSHS,22,7,7,9,2,0
East Juniata JSHS,72,37,37,45,8,0
East Lycoming SD,1,0,0,0,0,0
East Pennsboro Area SHS,189,133,133,136,3,0
East Stroudsburg Area SD,1,0,0,0,0,0
East Stroudsburg SHS North,238,158,158,168,10,0
East Stroudsburg SHS South,344,247,238,254,7,9
Eastern Lancaster County SD,1,0,0,0,0,0
Eastern Lebanon Co SHS,161,89,89,90,1,0
Eastern Lebanon County SD,1,0,0,0,0,0
Eastern University Academy Charter Schoo,39,39,39,39,0,0
Eastern York HS,143,94,86,97,3,8
Eastern York SD,5,0,0,0,0,0
Easton Area HS,655,471,467,487,16,4
Edison HS/Fareira Skills,114,42,33,45,3,9
Eisenhower M/HS,76,43,37,44,1,6
Elizabeth Forward SD,2,0,0,0,0,0
Elizabeth Forward SHS,188,123,119,127,4,4
Elizabethtown Area SD,1,0,0,0,0,0
Elizabethtown Area SHS,282,193,181,198,5,12
Elk Lake JSHS,76,47,46,48,1,1
Elmer L Meyers JSHS,133,106,102,108,2,4
Emmaus HS,667,513,507,516,3,6
Ephrata SHS,276,172,160,175,3,12
Erie City SD,5,0,0,0,0,0
Erie HS,447,165,149,178,13,16
Esperanza Academy Charter School,171,79,79,90,11,0
Esperanza Cyber CS,43,24,24,32,8,0
Everett Area HS,99,43,43,47,4,0
Evergreen Community CS,14,13,13,13,0,0
Executive Education Academy Charter Scho,75,50,48,52,2,2
Exeter Township SD,4,0,0,0,0,0
Exeter Twp JHS,2,0,0,0,0,0
Exeter Twp SHS,288,211,209,215,4,2
Fairfield Area HS,90,67,67,70,3,0
Fairfield Area SD,1,0,0,0,0,0
Fairview HS,132,112,112,112,0,0
Fannett-Metal SHS,38,20,20,21,1,0
Farrell Area HS/UMS,43,19,16,28,9,3
Farrell Area SD,1,0,0,0,0,0
Fels Samuel HS,150,110,99,113,3,11
Ferndale Area JSHS,44,27,27,28,1,0
Ferndale Area SD,2,0,0,0,0,0
First Philadelphia Preparatory Charter S,64,34,33,34,0,1
Fleetwood Area SD,4,0,0,0,0,0
Fleetwood SHS,197,145,144,149,4,1
Forbes Road JSHS,31,16,15,16,0,1
Forest Area SD,9,0,0,0,0,0
Forest City Regional HS,64,50,50,50,0,0
Forest Hills JSHS,139,90,86,91,1,4
Fort Cherry JSHS,80,54,51,54,0,3
Fort Cherry SD,2,0,0,0,0,0
Fort LeBoeuf SD,3,0,0,0,0,0
Fort LeBoeuf SHS,171,104,100,113,9,4
Fox Chapel Area HS,325,287,280,288,1,7
Frankford HS,155,88,84,93,5,4
Franklin Area JSHS,137,64,63,74,10,1
Franklin Area SD,4,0,0,0,0,0
Franklin Benjamin HS,83,36,28,41,5,8
Franklin LC,202,133,125,135,2,8
Franklin Regional SD,2,0,0,0,0,0
Franklin Regional SHS,289,250,249,252,2,1
Franklin Towne CHS,257,197,187,197,0,10
Frazier HS,85,51,45,55,4,6
Frazier SD,2,0,0,0,0,0
Freedom Area SD,2,0,0,0,0,0
Freedom Area SHS,98,69,63,73,4,6
Freedom HS,444,357,357,364,7,0
Freeport Area SD,1,0,0,0,0,0
Freeport Area SHS,142,121,109,121,0,12
Freire CS,83,78,78,79,1,0
Freire CS,2,0,0,0,0,0
Furness Horace HS,135,85,80,87,2,5
G A R Memorial JSHS,144,60,59,62,2,1
Galeton Area Sch,30,18,18,19,1,0
Gamp,61,56,55,57,1,1
Garden Spot SHS,239,113,110,117,4,3
Garnet Valley HS,422,378,377,383,5,1
Garnet Valley SD,2,0,0,0,0,0
Gateway SD,2,1,1,1,0,0
Gateway SHS,258,187,180,190,3,7
General McLane HS,176,124,123,125,1,1
George Jr Republic HS,29,8,8,8,0,0
Gettysburg Area HS,232,173,161,181,8,12
Gettysburg Area SD,7,0,0,0,0,0
Gillingham Charter School,14,7,7,7,0,0
Girard HS,128,59,52,62,3,7
Girard SD,1,0,0,0,0,0
Girls HS,250,170,164,174,4,6
Glendale JSHS,70,46,44,48,2,2
Glendale SD,2,0,0,0,0,0
Governor Mifflin SHS,326,228,228,234,6,0
Great Valley HS,303,273,273,277,4,0
Great Valley SD,26,0,0,0,0,0
Greater Johnstown School District's Cybe,14,4,3,4,0,1
Greater Johnstown SD,10,3,3,3,0,0
Greater Johnstown SHS,156,77,64,77,0,13
Greater Latrobe SD,5,0,0,0,0,0
Greater Latrobe SHS,303,234,227,237,3,7
Greater Nanticoke Area SD,10,1,1,1,0,0
Greater Nanticoke Area SHS,170,111,111,112,1,0
Greencastle-Antrim SD,2,0,0,0,0,0
Greencastle-Antrim SHS,232,162,158,165,3,4
Greensburg-Salem HS,185,136,135,136,0,1
Greenville JSHS,116,74,72,77,3,2
Greenwood HS,51,33,33,33,0,0
Grove City Area HS,155,115,109,119,4,6
Grove City Area SD,2,0,0,0,0,0
Halifax Area HS,62,34,32,34,0,2
Hamburg Area HS,164,118,105,121,3,13
Hamburg Area SD,3,0,0,0,0,0
Hampton HS,253,224,224,224,0,0
Hanover Area JSHS,139,83,81,85,2,2
Hanover Area SD,7,0,0,0,0,0
Hanover Public SD,15,1,1,1,0,0
Hanover SHS,109,55,55,55,0,0
Harbor Creek SD,2,0,0,0,0,0
Harbor Creek Senior HS,148,93,93,93,0,0
Harmony Area JSHS,18,7,7,7,0,0
Harrisburg City SD,35,8,8,8,0,0
Harrisburg HS,205,111,109,118,7,2
Harrisburg HS - SciTech Cmp,93,93,93,93,0,0
Harriton SHS,321,312,312,313,1,0
Hatboro-Horsham SD,6,2,2,2,0,0
Hatboro-Horsham SHS,405,339,338,341,2,1
Haverford SHS,437,383,383,395,12,0
Haverford Township SD,3,0,0,0,0,0
Hazleton Area HS,729,517,492,523,6,25
Hempfield Area SD,2,0,0,0,0,0
Hempfield Area SHS,427,337,327,344,7,10
Hempfield SD,4,0,0,0,0,0
Hempfield SHS,553,372,372,424,52,0
Hershey HS,273,231,231,232,1,0
Hickory HS,144,107,101,107,0,6
Highlands SD,5,0,0,0,0,0
Highlands SHS,164,99,88,100,1,11
Hill Freedman World Academy,95,64,63,64,0,1
Hollidaysburg Area SD,9,0,0,0,0,0
Hollidaysburg Area SHS,270,175,174,186,11,1
Homer-Center JSHS,65,47,45,50,3,2
Honesdale HS,167,101,99,106,5,2
HOPE for Hyndman CS,15,9,9,9,0,0
Hopewell SHS,154,113,113,118,5,0
Hughesville JSHS,116,75,75,80,5,0
Huntingdon Area SHS,138,90,76,92,2,14
I-LEAD Charter School,89,0,0,0,0,0
Imhotep Institute CHS,127,83,82,85,2,1
Indiana Area SD,2,0,0,0,0,0
Indiana Area SHS,192,136,128,137,1,8
Innovative Arts Academy CS,32,20,19,22,2,1
Interboro SD,2,0,0,0,0,0
Interboro SHS,289,188,180,196,8,8
Iroquois JSHS,86,38,33,40,2,5
Iroquois SD,1,0,0,0,0,0
James Buchanan HS,167,99,99,101,2,0
James M Coughlin JSHS,208,157,152,157,0,5
Jamestown Area JSHS,41,25,22,27,2,3
Jeannette City SD,3,2,1,2,0,1
Jeannette HS,50,36,28,36,0,8
Jefferson County-DuBois AVTS,75,19,19,20,1,0
Jefferson-Morgan MS/HS,54,32,29,36,4,3
Jenkintown Middle/High School,54,49,49,50,1,0
Jersey Shore Area SD,1,0,0,0,0,0
Jersey Shore Area SHS,151,43,40,50,7,3
Jim Thorpe Area HS,135,104,103,111,7,1
Jim Thorpe Area SD,7,2,2,2,0,0
Johnsonburg Area HS,42,33,27,33,0,6
Juniata SHS,126,57,48,61,4,9
Juniata Valley JSHS,53,33,33,36,3,0
Kane Area HS,81,56,56,56,0,0
Karns City Area SD,8,1,0,1,0,1
Karns City HS,118,68,61,70,2,7
Kennard-Dale HS,173,122,118,124,2,4
Kennett Consolidated SD,3,0,0,0,0,0
Kennett HS,299,227,225,240,13,2
Kensington Creative & Performing Arts HS,91,55,49,58,3,6
Kensington Health Sciences,80,15,15,16,1,0
Kensington HS,72,27,24,29,2,3
Keystone Education Center CS,27,7,3,9,2,4
Keystone JSHS,74,35,33,40,5,2
Keystone Oaks HS,150,120,114,124,4,6
Keystone Oaks SD,3,0,0,0,0,0
Kimmel Alternative School,4,1,0,1,0,1
King Martin Luther HS,98,38,33,42,4,5
KIPP DuBois Charter School,107,91,90,100,9,1
Kiski Area HS,292,188,182,193,5,6
Knoch HS,187,131,130,135,4,1
Kutztown Area SHS,108,77,77,79,2,0
La Academia Partnership Charter School,35,7,6,8,1,1
Lackawanna Trail JSHS,60,39,39,40,1,0
Lackawanna Trail SD,1,0,0,0,0,0
Lakeland JSHS,113,81,80,81,0,1
Lake-Lehman JSHS,131,105,105,108,3,0
Lakeview HS,72,44,44,55,11,0
Lakeview SD,1,0,0,0,0,0
Lampeter-Strasburg SD,5,0,0,0,0,0
Lampeter-Strasburg SHS,248,189,182,194,5,7
Lancaster SD,8,0,0,0,0,0
Lankenau HS,72,36,34,37,1,2
Laurel Highlands SD,1,0,0,0,0,0
Laurel Highlands SHS,224,154,146,157,3,8
Laurel HS,76,53,53,58,5,0
Lawrence County CTC,125,33,33,38,5,0
Lebanon SD,12,0,0,0,0,0
Lebanon SHS,254,81,76,81,0,5
Leechburg Area HS,49,30,25,32,2,5
Leechburg Area SD,1,1,0,1,0,1
Lehigh Valley Academy Regional CS,61,58,58,58,0,0
Lehigh Valley Academy Regional CS,1,0,0,0,0,0
Lehigh Valley Charter High School for th,153,136,136,136,0,0
Lehighton Area HS,155,98,96,110,12,2
Lenape Tech,137,47,43,53,6,4
Lewisburg Area SD,4,0,0,0,0,0
Lewisburg HS,148,118,118,118,0,0
Liberty HS,634,475,468,482,7,7
Ligonier Valley HS,130,96,90,100,4,6
Ligonier Valley SD,3,0,0,0,0,0
Lincoln HS,237,157,141,166,9,16
Lincoln JSHS,119,81,80,88,7,1
Lincoln Leadership Academy Charter Schoo,41,39,39,39,0,0
Lincoln Park Performing Arts CS,143,122,115,122,0,7
Line Mountain HS,85,46,46,46,0,0
Littlestown Area SD,2,0,0,0,0,0
Littlestown SHS,130,80,80,81,1,0
Louis E Dieruff HS,406,238,229,252,14,9
Lower Dauphin HS,264,193,193,196,3,0
Lower Dauphin SD,4,0,0,0,0,0
Lower Merion HS,371,337,337,339,2,0
Lower Merion SD,7,0,0,0,0,0
Lower Moreland HS,183,164,164,169,5,0
Lower Moreland Township SD,1,1,1,1,0,0
Loyalsock Twp SHS,127,94,94,94,0,0
Mahanoy Area JSHS,76,52,48,52,0,4
Manheim Central SD,6,0,0,0,0,0
Manheim Central SHS,217,131,131,133,2,0
Manheim Township SD,7,1,1,1,0,0
Manheim Twp HS,392,316,300,322,6,16
Mapletown JSHS,39,21,21,28,7,0
Maplewood JSHS,89,46,41,48,2,5
Mariana Bracetti Academy CS,132,92,92,93,1,0
Mariana Bracetti Academy CS,2,0,0,0,0,0
Marion Center Area JR/SR HS,98,64,62,70,6,2
Maritime Academy CS,62,45,45,46,1,0
Marple Newtown SD,13,1,1,1,0,0
Marple Newtown SHS,272,232,231,233,1,1
Mars Area SD,1,0,0,0,0,0
Mars Area SHS,234,199,197,207,8,2
MAST Community Charter School,98,90,89,91,1,1
Mastbaum Jules E AVTS,128,58,46,61,3,12
Masterman Julia R Sec Sch,110,108,108,108,0,0
Mastery CHS - Lenfest Campus,64,47,47,53,6,0
Mastery CS - Hardy Williams,79,46,46,46,0,0
Mastery CS - Thomas Campus,89,64,64,70,6,0
Mastery CS -Shoemaker Campus,115,89,89,95,6,0
Mastery CS-Gratz Campus,178,131,129,148,17,2
Mastery CS-Pickett Campus,79,59,56,60,1,3
Math Civics and Sciences CS,69,62,62,68,6,0
McCaskey Campus,595,409,372,425,16,37
McConnellsburg HS,61,32,31,32,0,1
McDowell HS,502,322,316,335,13,6
McGuffey HS,106,56,51,63,7,5
McGuffey SD,2,0,0,0,0,0
McKeesport Area SHS,196,113,107,121,8,6
Meadville Area SHS,189,98,94,104,6,4
Mechanicsburg Area SD,5,0,0,0,0,0
Mechanicsburg Area SHS,283,204,200,207,3,4
Mercer Area SHS,76,47,41,50,3,6
Methacton HS,385,361,361,361,0,0
Meyersdale Area HS,69,29,28,29,0,1
Mid Valley SD,5,0,0,0,0,0
Mid Valley Secondary Center,110,72,72,72,0,0
Middletown Area HS,129,69,64,74,5,5
Midd-West HS,143,68,66,72,4,2
Midd-West SD,1,0,0,0,0,0
Mifflin Co HS,397,172,149,186,14,23
Mifflinburg Area SHS,163,88,86,94,6,2
Millcreek Township SD,4,0,0,0,0,0
Millersburg Area SHS,71,42,42,44,2,0
Millville Area JSHS,49,36,36,36,0,0
Milton HS,167,99,99,101,2,0
Minersville Area JSHS,84,61,51,62,1,10
Mohawk SHS,82,65,61,72,7,4
Monessen City SD,1,0,0,0,0,0
Monessen SHS,52,0,0,0,0,0
Moniteau JSHS,100,67,64,67,0,3
Moniteau SD,1,0,0,0,0,0
Montgomery JSHS,66,41,36,41,0,5
Montour HS,220,174,174,178,4,0
Montour SD,3,0,0,0,0,0
Montoursville Area SD,4,0,0,0,0,0
Montoursville Area SHS,125,86,86,88,2,0
Montrose Area JSHS,116,72,69,74,2,3
Moon Area SD,5,0,0,0,0,0
Moon SHS,298,243,243,244,1,0
Morrisville HS,59,40,40,41,1,0
Moshannon Valley JSHS,69,35,24,35,0,11
Moshannon Valley SD,1,0,0,0,0,0
Motivation HS,83,45,38,49,4,7
Mount Carmel Area HS,82,49,49,50,1,0
Mount Carmel Area SD,1,0,0,0,0,0
Mount Pleasant Area HS,149,0,0,0,0,0
Mount Pleasant Area SD,9,0,0,0,0,0
Mount Union Area SHS,98,55,51,63,8,4
Mountain View JSHS,67,31,31,34,3,0
Mountain View SD,2,0,0,0,0,0
Mt Lebanon SD,3,1,1,1,0,0
Mt Lebanon SHS,452,412,409,416,4,3
Muhlenberg HS,277,209,204,210,1,5
Muhlenberg SD,1,0,0,0,0,0
Multicultural Academy CS,52,48,48,50,2,0
Muncy JSHS,65,40,40,40,0,0
Muncy SD,1,0,0,0,0,0
Nazareth Area HS,356,292,292,299,7,0
Nazareth Area SD,3,0,0,0,0,0
Neshaminy HS,613,491,491,517,26,0
Neshaminy SD,4,3,3,3,0,0
Neshannock JSHS,91,80,79,82,2,1
Neshannock Township SD,1,1,1,1,0,0
New Brighton Area HS,98,62,55,64,2,7
New Castle Area SD,23,0,0,0,0,0
New Castle SHS,166,112,106,112,0,6
New Day Charter School,24,0,0,0,0,0
New Foundations CS,169,137,134,141,4,3
New Hope-Solebury HS,136,126,126,127,1,0
New Kensington-Arnold SD,2,0,0,0,0,0
New Oxford SHS,279,209,194,210,1,15
Newport HS,76,52,52,52,0,0
Norristown Area HS,324,253,239,253,0,14
Norristown Area SD,12,1,1,1,0,0
North Allegheny HS,687,636,636,638,2,0
North Allegheny SD,1,0,0,0,0,0
North Clarion Co JSHS,47,28,27,31,3,1
North East HS,113,67,64,72,5,3
North East SD,2,0,0,0,0,0
North Hills SHS,334,266,265,275,9,1
North Penn SD,1,0,0,0,0,0
North Penn SHS,1063,902,902,909,7,0
North Penn-Liberty JSHS,59,29,29,32,3,0
North Penn-Mansfield JSHS,98,54,51,56,2,3
North Pocono HS,242,196,196,196,0,0
North Pocono SD,3,0,0,0,0,0
North Schuylkill JSHS,131,88,88,88,0,0
North Star HS,81,35,34,39,4,1
Northampton Area HS,461,367,361,375,8,6
Northeast Bradford JSHS,63,30,28,32,2,2
Northeast HS,565,425,407,433,8,18
Northeastern SHS,262,190,185,195,5,5
Northeastern York SD,2,0,0,0,0,0
Northern Bedford County HS,54,31,30,32,1,1
Northern Cambria HS,69,43,40,43,0,3
Northern HS,231,171,165,174,3,6
Northern Lebanon SD,4,0,0,0,0,0
Northern Lebanon SHS,153,83,77,84,1,6
Northern Lehigh SD,7,0,0,0,0,0
Northern Lehigh SHS,128,98,93,99,1,5
Northern Potter JSHS,32,15,13,15,0,2
Northern York County SD,6,0,0,1,1,0
Northgate MSHS,70,60,60,61,1,0
Northgate SD,3,0,0,0,0,0
Northwest Area HS,60,42,42,42,0,0
Northwest Area SD,2,0,0,0,0,0
Northwest PA Collegiate Academy,171,167,166,167,0,1
Northwestern Lehigh HS,190,148,146,150,2,2
Northwestern Lehigh SD,4,1,1,1,0,0
Northwestern SHS,104,54,53,54,0,1
