name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
First Philadelphia Preparatory CS,96,57,57,65,8,0
First Philadelphia Preparatory CS,4,0,0,0,0,0
Fleetwood Area SD,1,0,0,0,0,0
Fleetwood SHS,193,119,118,126,7,1
Forbes Road JSHS,22,11,9,11,0,2
Forest Area SD,1,0,0,0,0,0
Forest City Regional HS,51,28,28,30,2,0
Forest Hills JSHS,117,78,70,79,1,8
Forest Hills SD,3,0,0,0,0,0
Fort Cherry JSHS,78,49,49,52,3,0
Fort Cherry SD,1,0,0,0,0,0
Fort LeBoeuf SHS,152,92,90,100,8,2
Fox Chapel Area HS,323,274,274,276,2,0
Frankford HS,148,70,61,79,9,9
Franklin Area JSHS,106,62,60,65,3,2
Franklin Area SD,1,0,0,0,0,0
Franklin Benjamin HS,53,24,21,26,2,3
Franklin LC,172,124,116,131,7,8
Franklin Regional SD,1,0,0,0,0,0
Franklin Regional SHS,282,232,230,234,2,2
Franklin Towne CHS,267,193,191,200,7,2
Frazier HS,92,65,64,66,1,1
Frazier SD,4,0,0,0,0,0
Freedom Area SD,3,0,0,0,0,0
Freedom Area SHS,92,55,55,66,11,0
Freedom HS,426,310,303,312,2,7
Freeport Area SD,5,1,0,2,1,1
Freeport Area SHS,142,117,107,120,3,10
Freire CS,101,71,71,79,8,0
Furness Horace HS,118,45,38,47,2,7
G A R Memorial JSHS,127,59,59,65,6,0
Galeton Area Sch,23,7,7,11,4,0
Gamp,56,41,39,42,1,2
Garden Spot SHS,242,110,107,116,6,3
Garnet Valley HS,405,359,359,361,2,0
Garnet Valley SD,2,1,1,1,0,0
Gateway SD,3,0,0,0,0,0
Gateway SHS,272,153,148,161,8,5
General McLane HS,161,101,100,101,0,1
General McLane SD,1,0,0,0,0,0
Gettysburg Area HS,246,170,164,176,6,6
Gillingham Charter School,11,1,1,1,0,0
Girard HS,121,54,54,54,0,0
Girls HS,186,143,139,148,5,4
Glendale JSHS,60,44,43,47,3,1
Governor Mifflin SHS,354,205,205,208,3,0
Great Valley HS,332,306,306,307,1,0
Great Valley SD,15,0,0,0,0,0
Greater Johnstown School District's Cybe,2,0,0,0,0,0
Greater Johnstown SD,2,0,0,0,0,0
Greater Johnstown SHS,160,41,41,51,10,0
Greater Latrobe SD,6,0,0,0,0,0
Greater Latrobe SHS,319,221,217,222,1,4
Greater Nanticoke Area SD,6,0,0,0,0,0
Greater Nanticoke Area SHS,157,81,81,86,5,0
Greencastle-Antrim SD,1,0,0,0,0,0
Greencastle-Antrim SHS,215,128,124,134,6,4
Greensburg Salem SD,6,0,0,0,0,0
Greensburg-Salem HS,172,124,118,124,0,6
Greenville JSHS,84,62,57,64,2,5
Greenwood HS,54,38,38,38,0,0
Grove City Area George Jr HS,13,5,5,6,1,0
Grove City Area HS,144,83,79,89,6,4
Grove City Area SD,2,0,0,0,0,0
Halifax Area HS,66,34,34,35,1,0
Halifax Area SD,1,0,0,0,0,0
Hamburg Area HS,149,81,76,81,0,5
Hamburg Area SD,3,0,0,0,0,0
Hampton HS,241,199,199,200,1,0
Hanover Area JSHS,132,50,49,52,2,1
Hanover Public SD,9,0,0,0,0,0
Hanover SHS,110,54,48,54,0,6
Harbor Creek SD,1,0,0,0,0,0
Harbor Creek Senior HS,165,105,105,106,1,0
Harmony Area JSHS,23,14,14,14,0,0
Harrisburg City SD,64,0,0,0,0,0
Harrisburg HS,163,59,59,63,4,0
Harrisburg HS - SciTech Cmp,81,81,81,81,0,0
Harriton SHS,280,256,256,258,2,0
Hatboro-Horsham SD,6,4,4,4,0,0
Hatboro-Horsham SHS,363,294,294,299,5,0
Haverford SHS,1,0,0,0,0,0
Haverford Township SD,468,411,405,412,1,6
Hazleton Area HS,714,341,339,346,5,2
Hempfield Area SD,4,0,0,0,0,0
Hempfield Area SHS,428,209,201,212,3,8
Hempfield SD,5,0,0,0,0,0
Hempfield SHS,503,364,333,365,1,31
Hershey HS,320,271,269,272,1,2
Hickory HS,149,113,105,115,2,8
Highlands SD,3,0,0,0,0,0
Highlands SHS,182,100,83,106,6,17
Hill Freedman World Academy,92,36,35,37,1,1
Hollidaysburg Area SD,1,0,0,0,0,0
Hollidaysburg Area SHS,264,140,137,162,22,3
Homer-Center JSHS,77,38,38,41,3,0
Honesdale HS,185,118,118,122,4,0
HOPE for Hyndman CS,19,0,0,0,0,0
Hopewell SHS,149,97,91,100,3,6
Hughesville JSHS,117,67,67,71,4,0
Huntingdon Area SHS,122,63,55,67,4,8
Imhotep Institute CHS,123,94,93,99,5,1
Indiana Area SD,1,0,0,0,0,0
Indiana Area SHS,186,121,121,122,1,0
Innovative Arts Academy CS,44,19,18,23,4,1
Insight PA Cyber CS,212,0,0,0,0,0
Interboro SD,1,0,0,0,0,0
Interboro SHS,283,175,168,182,7,7
Iroquois JSHS,74,37,34,37,0,3
James Buchanan HS,145,53,50,57,4,3
James M Coughlin JSHS,202,88,88,89,1,0
Jamestown Area JSHS,30,19,15,19,0,4
Jeannette HS,58,35,31,35,0,4
Jefferson County-DuBois AVTS,84,14,14,16,2,0
Jefferson-Morgan MS/HS,53,19,19,20,1,0
Jenkintown Middle/High School,66,57,56,57,0,1
Jenkintown SD,1,0,0,0,0,0
Jersey Shore Area SHS,145,75,72,75,0,3
Jim Thorpe Area HS,115,80,79,84,4,1
Jim Thorpe Area SD,4,0,0,0,0,0
Johnsonburg Area HS,30,21,21,21,0,0
Juniata SHS,138,31,31,33,2,0
Juniata Valley JSHS,70,33,32,33,0,1
Kane Area HS,98,60,60,60,0,0
Karns City Area SD,2,0,0,0,0,0
Karns City HS,75,41,40,48,7,1
Kennard-Dale HS,169,109,105,111,2,4
Kennett Consolidated SD,7,0,0,0,0,0
Kennett HS,316,229,229,239,10,0
Kensington Creative & Performing Arts HS,106,27,25,28,1,2
Kensington Health Sciences,104,44,42,46,2,2
Kensington HS,79,24,21,26,2,3
Keystone Education Center CS,43,9,9,9,0,0
Keystone JSHS,84,45,43,48,3,2
Keystone Oaks HS,126,94,93,97,3,1
King Martin Luther HS,98,49,42,57,8,7
KIPP DuBois CS,129,100,94,112,12,6
Kiski Area HS,258,139,134,142,3,5
Knoch HS,186,0,0,0,0,0
Kutztown Area SD,1,0,0,0,0,0
Kutztown Area SHS,96,59,59,59,0,0
La Academia Partnership CS,20,17,17,17,0,0
Lackawanna Trail JSHS,70,44,44,47,3,0
Lackawanna Trail SD,1,0,0,0,0,0
Lakeland JSHS,113,79,78,82,3,1
Lake-Lehman JSHS,145,107,106,108,1,1
Lakeview Middle-HS,80,42,42,43,1,0
Lampeter-Strasburg SD,10,2,2,3,1,0
Lampeter-Strasburg SHS,231,173,172,179,6,1
Lancaster SD,6,2,0,2,0,2
Lankenau HS,57,45,40,46,1,5
Laurel Highlands SD,2,0,0,0,0,0
Laurel Highlands SHS,211,112,103,118,6,9
Laurel HS,98,59,59,66,7,0
Lawrence County CTC,109,16,16,16,0,0
Lebanon SHS,276,111,104,116,5,7
Leechburg Area HS,31,15,14,18,3,1
Leechburg Area SD,2,0,0,0,0,0
Lehigh Valley Academy Regional CS,94,79,79,79,0,0
Lehigh Valley Academy Regional CS,3,0,0,0,0,0
Lehigh Valley Charter High School for th,137,93,93,96,3,0
Lehighton Area HS,192,124,117,127,3,7
Lenape Tech,160,58,58,64,6,0
Lewisburg Area SD,2,0,0,0,0,0
Lewisburg HS,151,117,117,117,0,0
Liberty HS,569,370,366,377,7,4
Ligonier Valley HS,104,73,73,76,3,0
Ligonier Valley SD,2,0,0,0,0,0
Lincoln HS,306,162,149,179,17,13
Lincoln JSHS,130,78,78,92,14,0
Lincoln Leadership Academy CS,41,37,37,37,0,0
Lincoln Park Performing Arts CS,143,0,0,0,0,0
Line Mountain HS,92,48,48,52,4,0
Littlestown Area SD,8,0,0,0,0,0
Littlestown SHS,143,70,70,79,9,0
Louis E Dieruff HS,404,215,208,234,19,7
Lower Dauphin HS,274,201,199,210,9,2
Lower Merion HS,384,346,346,353,7,0
Lower Merion SD,9,0,0,0,0,0
Lower Moreland HS,194,176,171,177,1,5
Loyalsock Twp SHS,104,71,71,73,2,0
Mahanoy Area JSHS,69,42,42,44,2,0
Manheim Central SD,4,0,0,0,0,0
Manheim Central SHS,205,113,106,116,3,7
Manheim Township SD,9,0,0,0,0,0
Manheim Twp HS,439,351,341,361,10,10
Mapletown JSHS,41,14,14,14,0,0
Maplewood JSHS,58,32,30,35,3,2
Mariana Bracetti Academy CS,95,56,56,64,8,0
Marion Center Area JR/SR HS,103,56,51,59,3,5
Maritime Academy CS,56,32,32,32,0,0
Marple Newtown SD,4,0,0,0,0,0
Marple Newtown SHS,247,197,195,201,4,2
Mars Area SHS,262,214,214,220,6,0
MAST Community CS,104,89,87,93,4,2
MAST Community CS,1,0,0,0,0,0
Mastbaum Jules E AVTS,108,23,18,25,2,5
Masterman Julia R Sec Sch,113,103,103,103,0,0
Mastery CHS-Lenfest Campus,80,60,55,64,4,5
Mastery CS - Thomas Campus,106,58,58,71,13,0
Mastery CS -Shoemaker Campus,117,86,84,99,13,2
Mastery CS-Gratz Campus,222,111,109,142,31,2
Mastery CS-Hardy Williams,105,65,64,67,2,1
Mastery CS-Pickett Campus,106,74,72,75,1,2
Math Civics and Sciences CS,78,66,66,76,10,0
McCaskey Campus,514,307,262,323,16,45
McConnellsburg HS,52,23,22,27,4,1
McDowell HS,519,321,314,331,10,7
McGuffey HS,105,70,70,76,6,0
McGuffey SD,1,0,0,0,0,0
McKeesport Area SHS,192,113,111,119,6,2
Meadville Area SHS,190,106,96,108,2,10
Mechanicsburg Area SD,3,0,0,0,0,0
Mechanicsburg Area SHS,291,201,195,201,0,6
Mercer Area SD,1,0,0,0,0,0
Mercer Area SHS,70,40,40,43,3,0
Methacton HS,354,309,307,312,3,2
Methacton SD,5,2,2,2,0,0
Meyersdale Area HS,76,36,35,36,0,1
Mid Valley SD,7,1,1,1,0,0
Mid Valley Secondary Center,119,54,54,54,0,0
Middletown Area HS,124,62,58,66,4,4
Middletown Area SD,4,0,0,0,0,0
Midd-West HS,154,44,44,44,0,0
Midd-West SD,1,0,0,0,0,0
Mifflin Co HS,361,161,129,167,6,32
Mifflin County SD,1,0,0,0,0,0
Mifflinburg Area SHS,154,67,67,73,6,0
Millcreek Township SD,2,0,0,0,0,0
Millersburg Area SHS,55,41,40,41,0,1
Millville Area JSHS,52,30,30,30,0,0
Millville Area SD,2,0,0,0,0,0
Milton Area SD,1,0,0,0,0,0
Milton HS,146,73,70,75,2,3
Minersville Area JSHS,68,37,36,37,0,1
Minersville Area SD,3,0,0,0,0,0
Mohawk SHS,105,62,57,74,12,5
Monessen City SD,1,0,0,0,0,0
Monessen SHS,60,36,29,36,0,7
Moniteau JSHS,99,62,58,62,0,4
Moniteau SD,3,0,0,0,0,0
Montgomery JSHS,58,34,31,34,0,3
Montour HS,217,147,146,150,3,1
Montour SD,1,0,0,0,0,0
Montoursville Area SHS,145,105,98,109,4,7
Montrose Area JSHS,97,52,47,54,2,5
Moon Area SD,3,0,0,0,0,0
Moon SHS,280,220,220,232,12,0
Morrisville Borough SD,5,0,0,0,0,0
Morrisville HS,55,22,20,22,0,2
Moshannon Valley JSHS,52,26,25,30,4,1
Motivation HS,71,41,39,43,2,2
Mount Carmel Area HS,81,40,39,42,2,1
Mount Pleasant Area HS,142,99,92,100,1,7
Mount Pleasant Area SD,1,0,0,0,0,0
Mount Union Area SHS,82,31,30,38,7,1
Mountain View JSHS,57,36,34,37,1,2
Mt Lebanon SHS,410,388,387,389,1,1
Muhlenberg HS,301,193,181,202,9,12
Muhlenberg SD,3,0,0,0,0,0
Multicultural Academy CS,49,39,39,42,3,0
Muncy JSHS,66,39,39,39,0,0
Muncy SD,1,0,0,0,0,0
Nazareth Area HS,383,324,322,326,2,2
Neshaminy HS,604,447,447,471,24,0
Neshaminy SD,1,0,0,0,0,0
Neshannock JSHS,100,64,63,68,4,1
Neshannock Township SD,1,1,1,1,0,0
New Brighton Area HS,83,44,44,46,2,0
New Castle Area SD,24,0,0,0,0,0
New Castle SHS,153,66,61,67,1,5
New Day CS,21,6,6,6,0,0
New Foundations CS,181,121,118,127,6,3
New Hope-Solebury HS,133,124,124,124,0,0
New Hope-Solebury SD,2,0,0,0,0,0
New Oxford SHS,278,151,151,162,11,0
Newport HS,71,44,38,45,1,6
Norristown Area HS,349,1,1,1,0,0
Norristown Area SD,8,0,0,0,0,0
North Allegheny HS,635,577,577,579,2,0
North Allegheny SD,6,0,0,0,0,0
North Clarion Co JSHS,36,19,19,19,0,0
North Clarion County SD,1,0,0,0,0,0
North East HS,125,59,59,61,2,0
North East SD,4,0,0,0,0,0
North Hills SHS,314,232,228,244,12,4
North Penn SD,9,2,2,2,0,0
North Penn SHS,918,727,725,728,1,2
North Penn-Liberty JSHS,47,22,20,24,2,2
North Penn-Mansfield JSHS,86,39,38,40,1,1
North Pocono HS,218,144,144,147,3,0
North Pocono SD,1,0,0,0,0,0
North Schuylkill JSHS,134,78,78,80,2,0
North Star HS,75,34,34,36,2,0
North Star SD,3,0,0,0,0,0
Northampton Area HS,445,337,329,337,0,8
Northeast Bradford JSHS,45,25,23,25,0,2
Northeast HS,634,376,347,386,10,29
Northeastern SHS,268,179,165,187,8,14
Northern Bedford County HS,67,33,28,33,0,5
Northern Bedford County SD,2,0,0,0,0,0
Northern Cambria HS,83,50,44,56,6,6
Northern Cambria SD,1,0,0,0,0,0
Northern HS,259,154,154,157,3,0
Northern Lebanon SD,2,0,0,0,0,0
Northern Lebanon SHS,142,56,56,57,1,0
Northern Lehigh SD,1,0,0,0,0,0
Northern Lehigh SHS,117,71,68,74,3,3
Northern Potter JSHS,30,4,4,4,0,0
Northern Potter SD,1,0,0,0,0,0
Northern York County SD,2,0,0,0,0,0
Northgate MSHS,50,30,30,31,1,0
Northgate SD,3,1,1,1,0,0
Northwest Area HS,81,51,51,52,1,0
Northwest Area SD,1,0,0,0,0,0
Northwest PA Collegiate Academy,190,165,163,166,1,2
Northwestern Lehigh HS,173,124,124,125,1,0
Northwestern Lehigh SD,2,0,0,0,0,0
Northwestern SHS,92,46,41,48,2,5
Norwin SD,1,0,0,0,0,0
Norwin SHS,408,315,302,324,9,13
Octorara Area JSHS,177,108,101,110,2,7
Octorara Area SD,6,0,0,0,0,0
Oil City Area SD,11,0,0,0,0,0
Oil City SHS,166,68,66,72,4,2
Old Forge JSHS,78,53,53,53,0,0
Oley Valley SD,3,1,0,2,1,1
Oley Valley SHS,135,93,92,93,0,1
Olney Charter High School,412,156,156,179,23,0
Oswayo Valley HS,22,11,11,11,0,0
Otto-Eldred JSHS,51,31,31,32,1,0
Overbrook HS,103,54,44,58,4,10
Owen J Roberts HS,375,285,285,288,3,0
Owen J Roberts SD,7,1,1,1,0,0
Oxford Area HS,303,187,173,191,4,14
Oxford Area SD,6,0,0,0,0,0
Palisades HS,143,101,101,105,4,0
Palisades SD,3,0,0,0,0,0
Palmerton Area HS,107,74,71,78,4,3
Palmerton Area SD,4,0,0,0,0,0
Palmyra Area SHS,264,178,177,179,1,1
Panther Valley JSHS,103,58,58,58,0,0
Parkland HS,765,615,615,634,19,0
Parkland SD,8,2,2,2,0,0
