Unnamed: 0,Unnamed: 1,Unnamed: 2,2021 Keystone Grade 11 - School Level Proficiency Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, EL students who were enrolled for less than one year in a school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,
,,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,,
,,,** Note that fewer students participated in Keystone Exams than in past years. A comparison to 2018-19 is included in the table below to demonstrate that difference. 2021 results may not reflect representative samples of the schools' students. Cross-year comparisons of proficiency are likely to be inaccurate for this reason.   ,,,,,,,,,,,
,,,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Difference in Number Scored From 2019,Percent Reduction From 2019,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,All Students,11,49,12,0.32432432432432434,2,22.4,61.2,14.3
103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,Historically Underperforming,11,44,11,0.3333333333333333,2.3,18.2,63.6,15.9
103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,All Students,11,26,-9,-0.2571428571428571,11.5,26.9,46.2,15.4
103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,Historically Underperforming,11,21,-10,-0.3225806451612903,9.5,19,52.4,19
103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,All Students,11,9,-27,-0.75,,,,
103021903,000008094,Allegheny,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,Historically Underperforming,11,9,-23,-0.71875,,,,
103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Algebra I,All Students,11,35,-11,-0.2391304347826087,0,31.4,51.4,17.1
103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Algebra I,Historically Underperforming,11,23,-18,-0.43902439024390244,0,17.4,56.5,26.1
103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Biology,All Students,11,21,-25,-0.5434782608695652,23.8,38.1,28.6,9.5
103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Biology,Historically Underperforming,11,12,-29,-0.7073170731707317,8.3,33.3,41.7,16.7
103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Literature,All Students,11,3,-43,-0.9347826086956522,,,,
103022103,000008087,Allegheny,CORNELL SD,CORNELL HS,Literature,Historically Underperforming,11,3,-38,-0.926829268292683,,,,
103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Algebra I,All Students,11,148,36,0.32142857142857145,19.6,33.8,27,19.6
103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Algebra I,Historically Underperforming,11,48,7,0.17073170731707318,8.3,14.6,41.7,35.4
103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Biology,All Students,11,148,34,0.2982456140350877,19.6,31.1,35.1,14.2
103022253,000000513,Allegheny,DEER LAKES SD,DEER LAKES HS,Biology,Historically Underperforming,11,47,5,0.11904761904761904,8.5,19.1,44.7,27.7
103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,All Students,11,41,-71,-0.6339285714285714,29.3,24.4,17.1,29.3
103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,11,27,-32,-0.5423728813559322,18.5,18.5,22.2,40.7
103022803,000008340,Allegheny,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,All Students,11,39,-76,-0.6608695652173913,43.6,28.2,5.1,23.1
