Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense,"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,124154003.0,Kennett Consolidated SD,Chester,47409086.82,27107618.02,1285333.3,75802038.14,133984.98,26546659.58,102482682.7,58468971.47,35196638.2,10051009.48,1952682.73,207979.41,777.0,,,,2823734.08,3181418.07,4777195.69,979228.33,1139005.13,6395597.31,4479181.75,3298339.68,33917.98
1.0,124156503.0,Octorara Area SD,Chester,34702445.58,14546633.6,889338.84,50138418.02,,7006155.91,57144573.93,37224823.94,21694066.68,9066982.23,2496130.05,1445266.62,,,,,1410683.49,1395020.56,2822770.91,567883.57,582289.84,3247758.84,2971037.35,1532987.04,16202.0
1.0,124156603.0,Owen J Roberts SD,Chester,65510849.22,34828708.49,1842100.08,102181657.79,,14956296.48,117137954.27,78098555.09,45958964.85,17550608.93,1492091.3,509184.14,,,,,4652032.12,3365030.86,5466193.07,1271654.13,1775494.87,9938877.17,4890671.21,2906525.85,562229.21
1.0,124156703.0,Oxford Area SD,Chester,48193932.17,16958734.15,811648.43,65964314.75,,6122044.98,72086359.73,50517479.67,30271043.98,15367708.25,2373174.37,180377.83,1627.74,,,,1844815.06,1395856.76,3943877.1,569619.84,605638.22,4397552.31,2857070.93,1325149.48,19154.45
1.0,124157203.0,Phoenixville Area SD,Chester,52765776.61,27501431.14,1852596.41,82119804.16,,10345444.96,92465249.12,63778608.64,37463886.93,13074109.16,650828.0,1576952.52,,,,,4856544.29,1900192.97,4884484.26,1350159.64,1134920.08,6149086.0,4537243.01,2627373.55,61427.34
1.0,124157802.0,Tredyffrin-Easttown SD,Chester,96277934.57,44544157.06,1654800.21,142476891.84,,9603365.42,152080257.26,114070291.75,67644295.44,27913433.59,632281.0,87924.54,,,,,5813509.78,4698682.28,8902052.7,1748709.2,1368378.32,12068886.47,6338293.74,3533018.43,72626.14
1.0,124158503.0,Unionville-Chadds Ford SD,Chester,51852041.77,28003904.86,1664763.47,81520710.1,,9497554.36,91018264.46,62418411.44,35937461.31,14760091.63,786153.03,368335.8,,,,,4047405.19,5212625.43,4073721.6,784619.71,1108181.15,7388905.6,4294147.6,1053330.41,40968.17
1.0,124159002.0,West Chester Area SD,Chester,144653282.5,64894548.95,4928997.47,214476828.92,,33050147.52,247526976.44,165726617.22,100806693.73,36766311.41,6285504.92,719441.19,75331.25,,,,9591075.15,5753212.34,11643066.26,2585826.36,1813373.83,17085115.09,12015029.94,4138486.01,269363.97
1.0,106160303.0,Allegheny-Clarion Valley SD,Clarion,9833036.5,5345344.99,265363.05,15443744.540000001,,522969.94,15966714.48,10127894.59,6890482.02,2160922.51,693545.81,88086.16,,,,,636419.49,576974.96,850316.28,232396.94,255195.74,1597738.91,1184538.0,,11764.67
1.0,106161203.0,Clarion Area SD,Clarion,8842533.79,4752992.59,450364.63,14045891.01,,2006055.5,16051946.51,9497129.44,6390982.64,2168500.62,268765.73,11314.76,2970.04,,,,559280.29,429222.77,788742.56,178035.99,351662.19,1830281.7,600639.93,,15127.16
1.0,106161703.0,Clarion-Limestone Area SD,Clarion,9446708.44,5058561.56,313023.45,14818293.45,,432738.13,15251031.58,8883508.79,6616220.1,2069233.47,722305.63,38949.24,,,,,611759.77,844509.86,942786.11,215518.42,187300.51,1329734.47,911810.73,2952.6,12189.09
1.0,106166503.0,Keystone SD,Clarion,11126556.57,5388488.61,348925.45,16863970.63,,803639.21,17667609.84,10296434.08,8218754.93,2332893.3,564135.2,10773.14,,,,,459865.63,227151.84,1402464.82,175260.17,375089.39,1354245.44,1243877.79,110132.03,40401.5
