Ctgy,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,"Actual
Instruction Expense (AIE)","Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,122098103.0,Pennridge SD,Bucks,79031693.0,37975879.0,1654291.0,118661863.0,,16469231.0,135131094.0,91802373.66,54143936.0,21070355.0,3266003.0,526139.0,18439.0,6821.0,,,5214999.0,3519377.0,8108896.0,1192133.0,808412.0,9689191.0,7521027.0,1574936.0,346908.0
1.0,122098202.0,Pennsbury SD,Bucks,130336803.85,53765419.04,1386130.38,185488353.27,,44287162.56,229775515.83,143726760.02,82907343.8,37824492.82,7979347.89,1159655.7,6761.0,,,459202.64,7610172.81,4143006.15,10213242.21,3097255.1,2137821.9,14606640.11,8525254.3,3311113.82,120912.64
1.0,122098403.0,Quakertown Community SD,Bucks,63775176.39,28768255.0,1126607.05,93670038.44,,10910174.78,104580213.22,74234795.5,42548886.28,14236355.46,3473760.0,3219665.54,11455.64,,,285053.47,4493683.57,4123477.56,5392258.17,1078003.72,874407.74,5911384.58,3971792.51,2865390.03,57857.12
1.0,104101252.0,Butler Area SD,Butler,62148294.79,29677882.73,1748040.93,93574218.45,,8426173.22,102000391.67,64551220.77,42539408.02,16267878.77,1955284.15,1194519.8,191204.05,,,,2603152.78,3986396.7,5302592.75,1571406.91,1222928.32,7867707.29,6681334.29,347674.69,94689.0
1.0,104103603.0,Karns City Area SD,Butler,13441324.28,7802769.55,562641.41,21806735.24,116793.76,39488.43,21963017.43,14590938.94,11560062.49,1417850.02,381555.12,81856.65,,,,,627039.39,954031.6,1413088.99,272754.92,360587.25,1972984.33,2188307.45,,13975.62
1.0,104105003.0,Mars Area SD,Butler,26686249.84,13401819.44,1411208.65,41499277.93,,6074783.97,47574061.9,32072161.81,20388511.73,5801404.78,289597.94,206735.39,,,,,1002261.74,2395586.32,2255325.61,486195.33,598214.52,3906789.85,2693024.3,,64421.77
1.0,104105353.0,Moniteau SD,Butler,11427278.98,7308655.88,1041048.19,19776983.05,10248.0,1144518.76,20931749.81,13497562.34,8406010.54,2615540.87,396854.87,8872.7,,,,,568109.43,622942.53,1334391.03,256641.28,324530.59,2326648.01,1668086.87,193719.08,13587.06
1.0,104107903.0,Seneca Valley SD,Butler,76864368.13,32979166.95,2112698.29,111956233.37,,14288311.0,126244544.37,82720620.27,53767301.37,19372429.69,3382646.58,304367.24,37623.25,,,,3312801.14,2761691.35,6359906.41,1114743.43,605798.21,7710988.67,7716963.71,667558.47,2728715.56
1.0,104107503.0,Slippery Rock Area SD,Butler,20533693.0,8651263.0,861651.0,30046607.0,12699.0,1691332.0,31750638.0,22815257.81,14534636.0,5658720.0,280955.0,59382.0,,,,,911646.0,580828.0,2007461.0,346749.0,524538.0,2375648.0,1580221.0,228732.0,95440.0
1.0,104107803.0,South Butler County SD,Butler,20049086.2,12103306.17,931378.09,33083770.46,,2637728.26,35721498.72,23993617.63,14844673.53,3577269.01,1551894.41,30700.25,44549.0,,,,849711.91,2196531.83,2314161.5,306251.69,555755.53,2981725.0,2661391.52,200182.36,37594.83
