AUN,School District,County,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09
103029902.0,Woodland Hills SD,Allegheny,68461889.28,65707786.68,67996202.73,65679987.67,60679895.65,56861016.67,59058071.74,57014651.05,51980051.95,52931808.23,55466402.98,52014681.14,50893750.3
128030603.0,Apollo-Ridge SD,Armstrong,15261983.35,15533850.28,15528533.91,14393032.87,14122369.07,13648185.79,12897823.96,12459968.74,12788868.19,12717429.6,13279620.11,12629482.17,12075155.26
128030852.0,Armstrong SD,Armstrong,59479122.85,56821329.48,56344009.49,55355014.79,53682650.95,53714817.49,56353938.39,56860430.47,54827170.03,55371727.55,56252289.68,51436938.38,55344018.21
128033053.0,Freeport Area SD,Armstrong,22540998.14,21633356.04,20990857.71,19714642.28,19639892.99,18732687.27,18066400.43,17916875.07,16785868.05,16786862.56,16764982.24,16041831.47,15767411.15
128034503.0,Leechburg Area SD,Armstrong,9449329.04,9718560.76,10129377.39,9574894.06,9461593.91,8857815.48,9074051.3,8833117.33,8601085.58,8453364.77,8455006.68,8504554.63,7820551.25
127040503.0,Aliquippa SD,Beaver,14218021.54,14481179.34,14655144.44,12696609.27,12312704.71,12061599.53,12162021.98,11372699.71,11575360.88,11026338.84,11985649.94,10743022.8,11413576.02
127040703.0,Ambridge Area SD,Beaver,32154322.35,32491826.61,31818232.75,30652133.87,29142926.52,27868336.1,26466561.32,25631721.07,24511023.7,23101076.48,25088299.83,22967397.43,23365632.19
127041203.0,Beaver Area SD,Beaver,21020636.56,20880327.01,21309864.99,20754841.61,19857976.6,18522884.91,19200128.4,17430315.6,16899097.51,16226846.15,16643659.34,15788014.88,15313504.85
127041503.0,Big Beaver Falls Area SD,Beaver,18833874.25,19060949.41,18549869.79,18021044.93,17475024.95,17431644.6,17089334.67,16028932.89,15949451.7,15004753.71,15961470.49,16177724.92,15436040.19
127041603.0,Blackhawk SD,Beaver,25208776.96,25284262.42,25438841.57,23377399.23,22819031.5,22740412.24,24154921.49,22590643.57,22232195.99,21325462.66,22089972.01,22249993.91,21974681.64
127042003.0,Central Valley SD,Beaver,26933712.97,27121654.86,25408438.1,26093052.22,25190834.21,24199568.85,23365998.18,21418898.45,21250536.98,20286428.16,20215529.23,20568459.42,
127042853.0,Freedom Area SD,Beaver,16782545.76,16002501.45,16004728.51,15646137.44,15165190.04,14975483.39,14826590.76,14429506.07,13170007.86,12748027.59,13055972.3,12163446.09,12200491.68
127044103.0,Hopewell Area SD,Beaver,28951049.88,28927213.87,27918287.72,26928664.67,26366197.85,24484421.55,23859712.31,23841096.78,22158657.36,21437321.63,21141101.66,21771274.73,20425464.1
127045303.0,Midland Borough SD,Beaver,3910156.25,4065790.82,3538035.76,3491537.86,3457177.45,3690540.73,3968905.1,4116748.52,4024202.99,3726557.87,3923488.69,3548776.61,3463823.31
127045653.0,New Brighton Area SD,Beaver,16015743.14,16455111.74,15499009.04,14743841.88,14861908.58,14023106.9,13895600.57,14387068.01,14476157.19,13036663.18,14061378.0,13645983.45,13010476.16
127045853.0,Riverside Beaver County SD,Beaver,16193917.23,16467347.08,16468518.82,17159892.63,15636292.28,15280718.94,15138267.46,15219794.32,14390908.57,14034533.53,14388095.86,14271677.25,14119373.96
127046903.0,Rochester Area SD,Beaver,11695348.23,11988810.08,11873834.65,11627226.49,10735241.1,10557597.04,9863361.51,9659015.03,9701044.17,9377730.93,9454154.37,9752044.84,9649115.74
127047404.0,South Side Area SD,Beaver,17018440.39,16504537.5,16032901.24,15611813.54,16144429.55,16027936.22,15676556.59,15658983.33,15306409.11,14954197.56,14435533.63,14676422.58,13962036.41
127049303.0,Western Beaver County SD,Beaver,9929269.07,9766658.97,9568766.77,8801665.98,8529722.65,8439279.46,8245494.86,8041065.71,8020433.55,8300303.39,8259140.42,8983650.44,8153467.35
108051003.0,Bedford Area SD,Bedford,20193987.96,19404596.52,18915635.05,18988533.84,18388197.85,17587860.62,17875352.64,17696191.85,17462180.34,17498207.53,17071237.36,16466347.56,15201357.78
108051503.0,Chestnut Ridge SD,Bedford,12803831.78,12907553.87,13030255.05,12332758.76,12078647.18,12065101.17,12082507.21,11602420.84,11776677.98,10639785.56,11569972.07,11021491.63,10780487.05
108053003.0,Everett Area SD,Bedford,11589537.21,11313395.61,11570674.42,11203791.29,11271240.34,11551162.57,11265946.1,11444213.58,11529859.26,11024976.74,11763940.09,10806994.59,10419084.5
108056004.0,Northern Bedford County SD,Bedford,8881213.46,8501840.56,8323783.5,8403219.05,8033810.94,7987638.92,8120992.85,8267348.37,7863403.38,8395393.34,8572821.05,8000234.55,7726102.48
108058003.0,Tussey Mountain SD,Bedford,10177261.38,10018833.67,9476894.25,9619942.38,10503435.42,10047354.73,10591552.69,9757992.35,9806783.69,9471300.98,9969318.48,9706987.0,8886640.97
114060503.0,Antietam SD,Berks,13415671.75,12320206.87,13641416.99,13106107.45,12792633.04,12393626.15,11421651.8,10707277.34,10217304.57,10302145.86,10213074.69,9922275.15,9533476.7
114060753.0,Boyertown Area SD,Berks,86404721.65,82973826.7,82808543.95,79887274.21,78319094.42,74741859.74,70191353.35,66051628.32,62520652.51,61835959.13,62496602.0,59947513.74,57622020.96
114060853.0,Brandywine Heights Area SD,Berks,21951402.95,21928519.6,20926055.96,20820089.83,20122742.51,19412042.75,19106544.74,19073219.68,17900389.47,17991580.33,18770477.94,18611803.01,18571747.1
114061103.0,Conrad Weiser Area SD,Berks,33173229.14,32538438.59,32240989.67,30400577.01,30118608.76,30124202.13,28022522.67,25781438.21,25814388.18,25988163.93,26402580.77,25871743.08,25482615.64
114061503.0,Daniel Boone Area SD,Berks,41525162.84,38398291.19,37332709.25,35807255.04,35813065.55,34231869.27,35129635.14,34467186.74,33243510.56,32839690.69,33494882.53,33888248.28,32498587.38
114062003.0,Exeter Township SD,Berks,51854083.69,51514723.25,50843200.01,48116135.94,45458901.9,46005064.68,45172460.01,44695095.26,43046657.41,43248001.33,41664612.76,38886954.46,39537595.41
114062503.0,Fleetwood Area SD,Berks,32575870.12,31970076.26,31231132.15,29881675.97,29488654.24,27804679.27,27029303.13,26913029.0,25194356.27,24101245.33,25080354.56,22818845.84,21533134.53
114063003.0,Governor Mifflin SD,Berks,49881139.93,50309352.61,49550534.35,47978227.69,46819847.1,45458748.56,42957250.36,41347861.47,41514417.47,39506430.02,39127711.75,38482690.76,38069001.1
114063503.0,Hamburg Area SD,Berks,29930090.6,29100873.0,27899750.11,26669358.9,26220605.18,24825578.94,24637803.86,24776868.0,23744363.91,22713598.63,22343958.72,20968837.45,20719911.9
114064003.0,Kutztown Area SD,Berks,23621665.11,22701565.94,23112464.91,22631363.61,22468498.31,21533868.8,21097317.89,20236778.18,19661399.6,19584182.97,19179769.26,19377715.69,18806356.03
114065503.0,Muhlenberg SD,Berks,41576619.59,42148136.94,40629928.68,39487683.59,38022821.72,35990192.54,34397877.84,33118845.59,31529858.39,30463917.7,31112331.47,31228571.29,29796628.59
114066503.0,Oley Valley SD,Berks,23813003.66,22756885.11,22747862.15,22211348.29,21975793.19,20614387.2,19679020.93,19756752.05,19214858.3,19079497.15,18285472.96,18732034.33,19603057.43
114067002.0,Reading SD,Berks,159014623.39,168039929.7,158757582.09,147045895.69,143410662.0,136484009.04,125598734.92,126784485.69,130586508.17,142589146.95,138463213.15,127344964.9,121381323.97
114067503.0,Schuylkill Valley SD,Berks,27994650.72,26966183.01,26912349.49,26240898.5,25359172.65,24106697.2,23646801.38,22601574.84,22943202.59,21699797.52,21548118.46,21115207.97,20831299.83
114068003.0,Tulpehocken Area SD,Berks,21344442.28,20997201.9,20539158.93,20504677.89,19501835.11,19199929.85,19117120.29,19176568.51,18351261.29,17824442.74,17685104.22,17236789.11,16734436.6
114068103.0,Twin Valley SD,Berks,46056553.81,42836706.66,40948802.5,40350269.85,38822569.13,37255366.57,35196684.16,32733445.23,31709051.51,31395824.09,31144743.82,30400075.8,31111676.92
114069103.0,Wilson  SD,Berks,76026404.1,75088415.85,71121351.65,68124862.78,65669739.69,63372872.19,61624143.53,60138610.91,56871138.23,57414191.06,54638631.06,52413444.6,51736886.8
