Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,Actual Instructional Expense (AIE),Regular Programs - E/S 1100,Special and Gifted Education 1200,"Vocational Education Programs
1300",Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,"Pre-Kindergarten
1800","Pupil Personnel
2100","Instructional Staff
2200","Administration
2300","Pupil Health
2400","Business
2500",Operation & Maintenance of Plant Services 2600,"Student Transportation Services
2700","Central
2800","Other Support Services
2900"
1.0,122091002.0,Bensalem Township SD,Bucks,88576804.76,39043556.81,1508940.22,129129301.79,,10506536.18,139635837.97,100513765.08,55694947.22,27849858.76,4907239.71,104994.52,19764.55,,,,4329216.71,5981360.31,6641911.49,1505084.31,1351671.01,10704151.79,7070116.44,956113.89,503930.86
1.0,122091303.0,Bristol Borough SD,Bucks,15390745.13,5308484.34,380311.65,21079541.119999997,179580.61,27887368.98,49146490.71,16727243.85,9910880.0,4218158.31,879381.4,375416.34,6909.08,,,,580558.36,192659.61,1615748.6,196860.77,358342.45,1622345.28,501870.42,234242.54,5856.31
1.0,122091352.0,Bristol Township SD,Bucks,84275884.38,34464121.74,1127908.69,119867914.81,,8293745.61,128161660.42,92720438.49,47865900.89,28670960.77,6719515.64,466585.86,40000.0,,,512921.22,3925160.75,4935330.22,6483552.01,1349001.59,1311522.45,8649364.63,6960092.78,782669.56,67427.75
1.0,122092002.0,Centennial SD,Bucks,64531215.89,29920735.92,1397324.5,95849276.31,,12351482.27,108200758.58,75500921.15,46011023.23,16393765.81,2081908.76,44518.09,,,,,4867651.29,3085084.27,5683683.28,1086699.49,947487.12,7460631.98,4526494.26,2216416.48,46587.75
1.0,122092102.0,Central Bucks SD,Bucks,168365492.47,84885100.51,6468367.82,259718960.8,,46359808.73,306078769.53,196928716.74,123831376.22,37518075.03,4324342.73,2681629.49,10069.0,,,,12470312.24,10031463.42,13864635.71,3539661.04,1442897.79,22665031.03,18132921.11,2500365.57,237812.6
1.0,122092353.0,Council Rock SD,Bucks,139218930.73,57873628.4,3635089.55,200727648.68,,20158671.77,220886320.45,157046402.8,89683308.28,46027104.89,1616250.73,1886546.38,5720.45,,,,7572199.58,6312877.29,9280224.27,2795859.25,1306631.51,13596412.96,12255398.17,4652518.83,101506.54
1.0,122097203.0,Morrisville Borough SD,Bucks,12844284.0,4492029.0,460765.0,17797078.0,,823609.0,18620687.0,14192795.41,6617764.0,5303863.0,535081.0,3879.0,,,,383697.0,665754.0,5842.0,931048.0,160095.0,392636.0,1408300.0,479727.0,400576.0,48051.0
1.0,122097502.0,Neshaminy SD,Bucks,109200371.46,47069316.5,1803945.68,158073633.64,683436.04,56045172.08,214802241.76,123457826.31,67356389.36,33493648.36,7389717.84,960615.9,,,,,6636983.03,3558470.19,9168882.56,1601324.83,1445439.21,11517724.79,9276948.56,3748730.47,114812.86
1.0,122097604.0,New Hope-Solebury SD,Bucks,20744379.4,13015610.48,861483.74,34621473.62,,3767617.68,38389091.3,28702899.41,14689303.27,5383811.25,667320.75,3944.13,,,,,1923050.33,2597409.1,2343704.78,348135.94,722496.01,3134252.16,1553584.18,379944.31,13033.67
1.0,122098003.0,Palisades SD,Bucks,22540923.29,12498683.71,1049214.68,36088821.68,113615.54,3296507.84,39498945.06,28055437.58,15220613.84,5888065.87,1033022.87,335366.21,,53900.5,9954.0,,1364455.47,762473.9,2858816.92,451903.12,831304.56,3337542.66,1915353.73,961795.08,15038.27
