Cat,AUN,LEA Name,County,Total Local Revenue 6000 ,"Current Real Estate Taxes
6111",Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from LEA Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Other Sources 6829,Federal Revenue from Other PA LEAs  6831,Federal IDEA Revenue Received as Pass Through 6832,Federal ARP Act IDEA Revenue Received as Pass Through for Other PA LEAs 6833,Federal ARP Act IDEA Preschool Revenue Received as Pass Through from Other PA LEAs 6834,Federal COVID Related Revenue Received as Pass Through 6837,Federal COVID Related Revenue Received as Pass Through from Other PA LEAs 6838,Federal Revenue from Other Sources 6839,Other Federal Revenue from Intermediary Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1.0,103021453.0,Brentwood Borough SD,Allegheny,15806732.9,12793179.29,,13749.41,,,,,,,13893.91,,,,1414824.44,,156700.26,,,,,,,,,,,,,,917401.99,188168.37,,42708.02,,,,6139.0,220395.06,,,,,,,225.0,17564.33,,,,,,,,,,,,,15501.41,,6282.41
1.0,103021603.0,Carlynton SD,Allegheny,22666648.51,17668102.06,,19496.64,534.87,,,,,,,,,,2396690.64,,255696.42,,,,,,,,,,,,,,1116106.45,595377.23,,36403.0,,,,,284255.21,,,,,,,114976.78,95909.57,,1248.65,,,,,,,,18409.99,,,35003.0,,28438.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,56220922.65,44293288.75,95780.91,47520.67,90100.0,,,,,,71423.41,,,,6121945.93,,906375.92,,,,599242.11,,,,,,,,,,1477630.7,654211.15,,72932.63,,,,,462028.63,,,,,,,115658.1,61004.41,15568.02,7800.0,,881480.8,,,,,,,,,88773.9,2853.38,155303.23
1.0,103021903.0,Clairton City SD,Allegheny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,103022103.0,Cornell SD,Allegheny,11018882.0,8499181.0,,9217.0,,,,,,,21780.0,,,,834143.0,,155606.0,,,,,,,,,,,,,,989727.0,39752.0,,7021.0,,,,,159573.0,,,,,,2368.0,211412.0,79259.0,,,,,,,,,,,,,1896.0,,7947.0
1.0,103022253.0,Deer Lakes SD,Allegheny,24283874.5,19103122.36,,22096.9,121556.85,,33705.88,,33705.88,,21198.77,,,,2305448.81,,380623.24,,,,,,,,,,,,,,882904.49,435564.24,,102440.55,,,,,446569.58,,,,,,,61716.0,79253.49,,,,197493.06,,,,,,,,,30037.56,,26436.84
1.0,103022503.0,Duquesne City SD,Allegheny,2013799.0,1155777.0,,,1757.0,,,,,,5840.0,,,,322260.0,,28105.0,,,,,,,,,,,,,,250201.0,41383.0,,,,,,10075.0,130130.0,,,,,,,54656.0,1516.0,,,,,,,,,,,,,880.0,,11219.0
1.0,103022803.0,East Allegheny SD,Allegheny,17089091.0,12295277.07,,14724.79,153472.9,,,,,,21144.79,,,,1592510.63,,176431.0,,171471.11,1593.45,260977.02,,,,,,,,,,1309523.23,71681.32,,,,,,,430347.0,,,,,,,133260.49,1034.2,242137.6,1960.0,,,,,,,,,,,125818.0,,85726.4
1.0,103023153.0,Elizabeth Forward SD,Allegheny,26248712.82,20288323.91,,22587.0,,,,,,,25018.3,,,,2580361.03,,202705.73,,,,,,,,,,,,,,1239229.54,527560.39,,68724.05,,,,,503539.02,,,,,,,412843.92,150807.7,,,,60738.26,,,,,,,,,27726.6,601.37,137946.0
1.0,103023912.0,Fox Chapel Area SD,Allegheny,87656999.96,70853279.44,64341.99,76551.36,24325.89,,,,,,96988.79,,,,9952514.54,,1200742.53,,,,,,,,,,,,,,2270751.74,1663264.14,,261717.7,,3222.27,,,668281.97,,,,,,,59989.38,113187.71,,52894.58,,300.0,,,,,96298.18,,,,166778.46,,31569.29
1.0,103024102.0,Gateway SD,Allegheny,60582218.81,48641494.27,,51445.68,,,,,,,116236.99,,,,4493215.21,,1034546.71,,,,2081369.55,,,,,,,,,,1781940.9,1146166.02,,94179.74,,,,,823431.77,,,,,,,44796.35,7200.0,,,,55461.6,,,,,,,,,68756.03,6883.8,135094.19
1.0,103024603.0,Hampton Township SD,Allegheny,42930235.24,35575964.1,15412.8,37350.21,,,,,,,,,,,4673813.53,,576804.2,,,,,,,,,,,,,,871390.16,693513.53,,97243.06,,,,,334775.21,,,,,,,19880.33,8800.0,,,,,,,,,,,,,25288.11,,
1.0,103024753.0,Highlands SD,Allegheny,23186537.0,17305453.0,,19471.0,118709.0,,45448.0,,44254.0,,31718.0,,,,2350261.0,,255030.0,,,,,,,,,,,,,,1248737.0,938027.0,,51260.0,,,,,537099.0,,,,,,102610.0,756.0,54463.0,,226.0,,,,,,,,,,,40784.0,,42231.0
1.0,103025002.0,Keystone Oaks SD,Allegheny,34186427.0,26743494.0,,29117.0,,,,,,,53296.0,,,,3872561.0,,818199.0,,,,,,,,,,,,,,1128134.0,635456.0,,108571.0,,,,,386339.0,,,,,,,69935.0,13236.0,137400.0,,,,,,16883.0,,,,,,32544.0,,141262.0
1.0,103026002.0,McKeesport Area SD,Allegheny,21189092.0,12908427.0,,18153.0,6040.0,,,,,,46754.0,,,,2574331.0,,240873.0,,407876.0,,155305.0,,,,,,,,,,1806144.0,418569.0,,56873.0,,,,,972479.0,,,,,,2572.0,7425.0,1120138.0,,,,281934.0,,,,,,,,,145371.0,,19828.0
1.0,103026303.0,Montour SD,Allegheny,61884715.35,50090145.84,102825.59,55257.95,,9796.28,,,,,,,,,6206670.44,,1344431.03,,,,,,,,,,,,,,1249642.85,1277719.19,,54680.5,,,,,419318.66,130165.67,,,,,,583966.67,154170.0,,,,,,,,,,,,3500.0,58558.9,,143865.78
1.0,103026343.0,Moon Area SD,Allegheny,67248833.0,55133323.61,93593.99,60203.47,50000.0,,,,,,93276.95,,,,6095500.87,,1288594.39,90559.51,,,,,,,,,,,,,1776188.78,1477573.09,,50934.5,,,,27639.94,724006.84,,,,,,,76709.64,36530.42,,,,,,,,,,,,,41161.25,,133035.75
1.0,103026402.0,Mt Lebanon SD,Allegheny,84090347.51,69633310.72,,74025.75,,,,,,,46019.97,,,,9352513.44,,1094334.31,,,,,,,,,,,,,,959492.85,1340610.81,,242971.09,,,,,784538.12,,,,,,,109839.38,,,138043.55,143967.5,113006.0,,,,,,,,,,,57674.02
1.0,103026852.0,North Allegheny SD,Allegheny,151435369.86,124098061.44,1280271.73,131199.74,1494.96,,181001.04,,181000.99,,,,,,16939709.51,,1999225.97,,,,,,,,,,,,,,1392884.32,2512534.89,,700175.19,,,,,1206727.87,,,,,6548.5,2104.81,96104.59,233742.89,,,,240456.88,,,,,,,,,600.73,,231523.81
1.0,103026902.0,North Hills SD,Allegheny,68623348.72,53815664.99,,59890.14,45683.24,,,,,,76954.15,,,,7670107.62,,1107429.48,,494511.15,,809188.75,,,,,,,,,,1874567.03,1475477.47,,132640.79,,,,14638.0,763118.62,,,,,,,24956.0,,,81713.65,,,,,,,35956.07,,,,105359.56,,35492.01
1.0,103026873.0,Northgate SD,Allegheny,16178646.84,12140762.0,,14230.99,,,,,,,12353.27,,,,2060726.36,,247529.09,,,,,,,,,,,,,,751301.47,336224.68,,31059.23,,,,1538.8,302566.32,,,,,,,34149.54,194539.84,,,,,,,,,,,,,1730.21,,49935.04
1.0,103027352.0,Penn Hills SD,Allegheny,55000712.24,42574291.18,,48807.6,10917.56,,,,,,41872.87,,,,5089835.89,,680815.2,,387612.74,,372871.54,,,,,,,,,,3627362.83,888578.98,,38056.0,75935.39,,64334.93,6420.0,892328.89,,,,,,,41918.06,,24431.36,,,2060.61,,,,,,,,,110193.63,,22066.98
1.0,103021003.0,Pine-Richland SD,Allegheny,81212537.0,62389416.0,1814545.0,69770.0,,,82688.0,,82148.0,,,,,,9554165.0,,1548960.0,,,,,,,,,,,,,,2690579.0,1404154.0,,286288.0,,,,,793078.0,,,,,,,154237.0,84264.0,,,,,,,,,,,,,46239.0,26582.0,185424.0
1.0,102027451.0,Pittsburgh SD,Allegheny,396233785.0,181191303.72,,,188048.55,,,,,,,,,,,,,,,,,,156840721.94,,,,,,,21103786.36,19690463.72,4926760.45,,1061939.44,,1326765.37,,,909972.87,,,,,,,156483.79,783582.76,72722.47,,,3567585.98,,,552832.15,,,138958.86,3001938.57,,,,719918.0
1.0,103027503.0,Plum Borough SD,Allegheny,41233941.19,32104361.29,326484.0,35848.28,,,88052.16,,88052.16,,36056.12,,,,4598483.68,,471950.26,,,,,,,,,,,,,,1367830.97,983777.12,,99708.66,,,,,650077.71,,2960.0,,,,,139531.41,49908.81,,,,3270.0,,,,,,,,,146577.06,27929.92,13081.58
1.0,103027753.0,Quaker Valley SD,Allegheny,47480804.31,37225312.23,158883.88,41711.88,472271.95,,37362.74,,37362.74,,,,,,5956641.26,,991848.49,,,,,,,,,,,,,,1201341.67,840825.4,,,,,,,339074.92,,,,,,,35945.0,9393.42,100314.9,6670.0,,,,,,,,,,,25319.3,,524.53
1.0,103028203.0,Riverview SD,Allegheny,19239665.72,15416925.79,,16980.06,,,,,,,21240.93,,,,1411647.63,,345892.95,,,,,,,,,,,,,,1249773.49,450990.57,,20489.02,,,36448.11,,194540.45,,,,,,,8960.0,24531.35,,1125.0,,,,,,,,,,,37793.76,,2326.61
1.0,103028302.0,Shaler Area SD,Allegheny,58674197.53,46711480.13,,52935.82,,,,,,,31795.46,,,,6806398.44,,805258.05,,,,,,,,,,,,,,1525321.73,889381.36,,66673.0,,,,5920.0,839655.45,,,,,,14880.96,47123.0,183585.62,,,,,,,,,,,,37440.75,527769.88,,128577.88
1.0,103028653.0,South Allegheny SD,Allegheny,9913318.22,6446156.74,,7535.39,,,,,,,,,,,1298631.69,,116255.49,,,,,,,,,,,,,,992832.09,259759.41,,47354.34,,,833.04,,423160.7,,,,,,,21671.41,74450.0,,,,,,,,,,,,,94346.35,,130331.57
1.0,103028703.0,South Fayette Township SD,Allegheny,50781277.68,40729161.81,1228353.08,44106.4,,,48358.0,,48358.0,,34489.27,,,,4611433.09,,666240.01,,,,,,,,,,,,,,1076801.05,1636239.07,,89882.0,,,,,409452.04,,,,,,,42573.84,,4583.33,,,,,,,,,,,,52050.27,30757.15,28439.27
1.0,103028753.0,South Park SD,Allegheny,24625346.27,19613629.32,240943.7,21478.85,,,36262.92,,36465.7,,15790.18,,,,2513407.3,,428020.06,14050.35,,,,,,,,,,,,,669621.55,476197.43,,52371.83,,,,312332.31,4500.0,,,,,,,20498.87,5199.76,,,,,,,,,,,,,56887.85,15488.6,92199.69
1.0,103028833.0,Steel Valley SD,Allegheny,21775297.51,16625226.13,,18728.46,,,,,,,34347.4,,,,1977690.17,,263497.11,40980.69,,,,,,,,,,,,,1407820.81,420772.57,,32273.15,,,,,406341.55,,,,,,,10140.0,261818.75,1541.05,,,,,,,,,,,,12000.0,,262119.67
1.0,103028853.0,Sto-Rox SD,Allegheny,10000782.3,6557045.24,,7697.79,32905.69,,,,,,14919.79,,,,1107955.99,,231226.37,,,,91126.92,,,,,,,,,,1371120.97,167065.02,,24702.0,,,,,157574.93,48479.57,,,,,,65911.2,36706.4,,,,,,,,,,,,1856.61,47783.73,,36704.08
1.0,103029203.0,Upper St. Clair SD,Allegheny,77107442.21,64279235.66,411519.23,68010.7,,,,,,,,,,,7425906.97,,783060.74,,,,427902.34,,,,,,,,,,957568.01,1455957.08,,230709.79,,,,,583325.36,,,,,,,88864.9,34420.46,30687.48,107270.58,,148268.0,,,,,,,,,70175.74,,4559.17
1.0,103029403.0,West Allegheny SD,Allegheny,59381447.56,47242251.18,320771.06,45864.42,563261.48,,,,,,121374.07,,,1463714.78,4923580.11,,845820.64,,,,,,,,,,,,,,2097274.66,928401.25,,204181.21,,,,,485312.63,,,,,,,3065.0,11500.0,,,,74030.0,,,,,,,,,21434.1,,29610.97
1.0,103029553.0,West Jefferson Hills SD,Allegheny,43526561.42,33797842.73,207253.31,36973.71,,,,,,,48602.22,,,,3967488.19,,433891.92,,1586969.53,,418344.4,,,,,,,,,,1024610.41,709286.9,,8849.32,,176217.8,,,302699.87,,,,,,,189737.47,97190.22,,,,,,,52060.75,,,,,280.0,253348.78,,214913.89
1.0,103029603.0,West Mifflin Area SD,Allegheny,35759277.65,23890770.93,,28949.68,427353.57,,,,,,50405.29,,,,2690005.13,,409983.27,263684.14,561511.84,,422713.48,,,,,,,,,,2235462.48,455997.67,,35471.92,,,,,723705.86,,,,,,,8850.0,1195.97,3477339.59,,,,,,,,,,,4762.5,,,71114.33
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,13192712.65,7640799.56,,13585.83,5023.26,,,,,,17913.47,,,,1864227.55,,212470.89,,,,,,,,,,,,,,2344752.26,396684.54,,,,,,25455.27,230396.3,,,,,,,13132.25,3093.0,,,,3021.96,,,,,,,,,415354.65,,6801.86
1.0,103029902.0,Woodland Hills SD,Allegheny,61541422.27,47953693.19,,57465.37,24301.85,,,,,,,,,,5932671.58,,966435.97,,,,,,,,,,,,,,3540949.39,949436.03,,28242.0,,62476.0,228204.06,12104.0,1024293.42,2992.95,,,,,,47281.42,377233.61,,,,,,,,,,,,,300962.95,,32678.48
1.0,128030603.0,Apollo-Ridge SD,Armstrong,9132257.72,6544974.29,,7779.93,11955.08,,16193.14,,16193.19,,10885.52,,,,1037631.39,,91637.66,,,,,,,,,,,,,,680918.99,365525.32,,24945.0,,,,,242029.0,,,,,,,,21245.47,,,,,,,,,,,,,,,60343.74
1.0,128030852.0,Armstrong SD,Armstrong,39923539.0,29369151.0,26014.0,36554.0,61456.0,,,,,,,,,,4731502.0,,462907.0,,,,,,,,,,,,,,2656011.0,929634.0,,139210.0,,,,,909865.0,,,,,,,39447.0,35000.0,199984.0,,,,,,,,,,,,245518.0,,81286.0
1.0,128033053.0,Freeport Area SD,Armstrong,21027210.87,16911965.39,96150.71,17721.35,28444.88,,,,,,19540.99,,,,2140375.88,,237710.4,,,,,,,,,,,,,,637712.23,420269.8,,74393.75,,,,,292092.0,,,,,,,69874.94,46835.0,12602.4,,,,,,,,,,,,12006.88,,9514.27
1.0,128034503.0,Leechburg Area SD,Armstrong,6831196.12,5023775.16,,6205.72,21726.31,,,,,,4245.46,,,,705057.9,,65772.88,,,,,,,,,,,,,,482636.69,144867.04,,23292.0,,194911.02,,,129694.0,,,,,,,,6553.86,2610.74,,,,,,,,,,,,287.99,,19559.35
1.0,127040503.0,Aliquippa SD,Beaver,9159323.13,5176345.69,,,36125.78,,4100.0,,,,32715.48,,,,970006.38,,133687.87,,,,16773.83,,,,,,,,,,898771.83,20761.86,,57122.0,,,,,439202.17,,,,,,,114813.5,1000000.0,,,,,,,,,,,,,113463.0,8873.87,136559.87
1.0,127040703.0,Ambridge Area SD,Beaver,27503134.77,20727344.9,,25727.82,17825.02,,79644.6,,,,28461.79,,,,3351893.58,,442928.69,,,,236355.75,,,,,,,,,,809332.61,539980.22,,106477.93,,,1900.92,,460006.97,,,,,,,82600.7,31463.88,28363.75,,,,,,,,,,,,35576.37,329.43,496919.84
1.0,127041203.0,Beaver Area SD,Beaver,24952699.94,19609676.25,,20718.91,108327.43,,37772.01,,37939.29,,37212.18,,,,2595042.34,,430202.97,,,,,,,,,,,,,,653074.51,435235.22,,130250.68,240.82,,,,233304.38,,,,,,,14110.75,74952.55,21958.1,16920.0,,457068.08,,,,25545.3,,,,,12118.14,852.8,177.23
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,8969696.72,6007144.75,,7939.78,46533.18,,17069.74,,17069.72,,22295.59,,3755.82,,1150757.46,,171767.35,,,,100228.55,,,,,,,,,,639335.18,347783.23,,56486.0,,,,,356075.59,,,,,,,1.0,,2014.3,,,,,,,,,,,,,,23439.48
1.0,127041603.0,Blackhawk SD,Beaver,21423438.75,16365637.19,76339.8,19590.24,,,34514.75,,34692.07,,44728.4,,10816.44,,2873151.91,,425711.91,26102.25,,,,,,,,,,,,,629304.2,177012.48,,95853.47,,,,169421.15,353938.01,,,,,,,,2832.16,,,10198.08,,,,,,,,,,8330.7,65263.54,
1.0,127042003.0,Central Valley SD,Beaver,23311917.98,17533492.77,,20392.09,436044.85,,,,,,55518.97,,,,2795994.67,,366469.6,,,,340091.43,,,,,,,,,,949804.29,248612.67,,,,,,,302142.0,,,,,,,51796.59,,,,,5906.0,,,,,,,,,,,205652.05
1.0,127042853.0,Freedom Area SD,Beaver,11514514.33,8621724.95,251.6,10156.37,,,,,,,12506.56,,,,1444251.69,,138653.16,,,,,,,,,,,,,,494089.39,312750.64,,64988.42,,,,4095.39,219447.0,,,,,,,54016.77,7970.54,2712.68,,,,,,,,,,,,102157.61,,24741.56
1.0,127044103.0,Hopewell Area SD,Beaver,23861740.43,18447424.92,3952.77,20504.39,,,,,,,21418.67,,,,2880738.64,,346075.32,,,,113497.08,,,,,,,,,,964155.55,409143.27,,43918.25,,,,,331485.55,,,,,,,76697.66,22823.02,,7100.0,,155000.0,,,,2500.0,,,,1093.25,5883.05,,8329.04
1.0,127045303.0,Midland Borough SD,Beaver,1232405.27,536791.07,,816.22,2449.38,,,,,,6329.06,,,,216602.67,,37590.33,,,,,,,,,,,,,,78721.66,151678.82,,20240.48,,,,,40688.31,,,,,,,108500.0,156.16,,,,,,,,58.55,,,,,1221.37,,30561.19
1.0,127045653.0,New Brighton Area SD,Beaver,8383989.76,5591795.79,,7181.63,19613.96,,18689.24,,18690.23,,12420.49,,,,1154732.51,,129351.24,,135816.09,,,,,,,,,,,,472430.51,438239.08,,22329.0,,,4126.77,,219233.0,,,,,,,369.28,,7345.0,-8725.0,,,,,,,,,,51828.89,,9114.35,79407.7
1.0,127045853.0,Riverside Beaver County SD,Beaver,10985425.86,8238252.36,14825.7,9648.55,210.0,,25131.97,,33716.0,,,,,,1501554.03,,171042.89,,,,,,,,,,,,,,418447.85,186458.37,,60129.94,,,,,233985.16,,,,,,,25105.0,22266.81,,,,,,,,,,,,,39412.45,,5238.78
1.0,127046903.0,Rochester Area SD,Beaver,5950101.16,4183903.51,,5514.12,12061.39,,,,17874.3,13114.52,11035.76,,,,710572.13,,85288.83,,21675.12,,119282.11,,,,,,,,,,409459.1,64431.77,,13150.0,,,,,170586.23,,,,,,,42051.87,,,,,,,,,,,,,,,3573.9,66526.5
1.0,127047404.0,South Side Area SD,Beaver,9901508.67,7824339.76,,8686.22,,,,,,,13331.93,,,,1001408.6,,184771.11,,25935.21,,,,,,,,,,,,351098.69,232951.67,,46314.95,,,,,149695.33,,,,,,,11500.0,3085.15,19839.56,,,,,,,,,,,,,4168.6,24381.89
1.0,127049303.0,Western Beaver County SD,Beaver,5089014.98,3820996.94,,4489.65,1275.72,,,,,,,,,,742531.91,,80078.45,,,,,,,,,,,,,,193074.68,47853.96,,16478.17,,,,,117423.0,,,,,,,2764.88,8750.0,3000.0,2212.45,,,,,,,,16012.5,,,4533.59,,27539.08
1.0,108051003.0,Bedford Area SD,Bedford,17079834.94,10514500.71,17977.05,13863.29,34572.03,,41587.4,2117186.22,41587.4,,109066.8,,,,1915729.62,,320658.9,,,,,,,,,,,,,,379213.28,298991.71,,101882.44,,,,120966.83,375427.02,,,,,,,301814.07,25556.49,158662.64,1600.0,,37435.0,,,,,,672.82,,,141160.63,,9722.59
1.0,108051503.0,Chestnut Ridge SD,Bedford,7948777.62,5101379.11,,6213.64,8148.56,,36104.81,,29864.4,,,,,,1191915.92,,152243.79,,,,,,,,,,,,,,229204.17,384506.57,,,11362.54,,,195888.24,266114.69,,,,,,,,,223798.93,9100.0,,,6115.5,,,,,,,,,,96816.75
1.0,108053003.0,Everett Area SD,Bedford,9916942.98,5965851.75,6620.84,8054.45,61428.98,,23262.3,1156273.14,23262.3,,32665.63,,,,989531.79,,149597.54,,,,,,,,,,,,,,473847.78,21786.18,,84178.57,,91879.12,35019.54,86600.7,265728.69,9481.07,,,,,,2960.0,18905.52,3000.0,,,327786.22,,,,,,,,,52107.89,,27112.98
1.0,108056004.0,Northern Bedford County SD,Bedford,4954018.25,3181388.52,2692.24,3881.02,13068.78,,16674.73,,14758.95,29090.0,17301.79,,,,784811.51,,74192.27,6725.25,,,,,,,,,,,,,137701.35,282980.61,,58644.11,,,,147744.61,170603.22,,,,,,,9550.0,,,,,,,,,,,,,,2209.29,,
1.0,108058003.0,Tussey Mountain SD,Bedford,6269818.38,4068838.91,8087.78,4731.59,34693.75,,15782.65,,15782.65,,10345.37,,,,749959.27,,87598.76,,,,,,,,,,,,,,541599.22,20398.69,,59459.98,,,13672.1,158817.55,230527.24,12224.57,,,,,,,203566.5,,,,,,,2866.0,,,,,,30865.8,,
