Ctgy,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,116471803.0,Danville Area SD,Montour,39982699.9,21274250.580000002,2103206.2,23377456.78,0.5847,14763155.35,0.3692,1576624.47,0.0394,265463.3,0.0066
1.0,120480803.0,Bangor Area SD,Northampton,55557268.21,33312912.440000005,793110.74,34106023.18,0.6139,20668623.66,0.372,782621.37,0.0141,,0.0
1.0,120481002.0,Bethlehem Area SD,Northampton,268671826.73,186679858.32999998,5211013.439999999,191890871.77,0.7142,71397548.99,0.2657,5298272.76,0.0197,85133.21,0.0003
1.0,120483302.0,Easton Area SD,Northampton,161115366.17,107953058.82,2208935.91,110161994.73,0.6837,48118090.14,0.2987,2833921.3,0.0176,1360.0,0.0
1.0,120484803.0,Nazareth Area SD,Northampton,87723540.62,62939808.71,1584671.31,64524480.02,0.7355,21993787.22,0.2507,564248.04,0.0064,641025.34,0.0073
1.0,120484903.0,Northampton Area SD,Northampton,101128488.53,67216405.75999999,1820419.5199999998,69036825.28,0.6827,31008100.72,0.3066,1050413.45,0.0104,33149.08,0.0003
1.0,120485603.0,Pen Argyl Area SD,Northampton,29517242.45,18671716.310000002,515431.06999999995,19187147.38,0.65,10054173.85,0.3406,273921.22,0.0093,2000.0,0.0001
1.0,120486003.0,Saucon Valley SD,Northampton,48255457.47,34923293.4,749832.1,35673125.5,0.7393,9847128.88,0.2041,251238.09,0.0052,2483965.0,0.0515
1.0,120488603.0,Wilson Area SD,Northampton,39897515.4,25703821.07,651979.5800000001,26355800.65,0.6606,12922605.94,0.3239,619108.81,0.0155,,0.0
1.0,116493503.0,Line Mountain SD,Northumberland,27350998.29,7698736.76,297036.44999999995,7995773.21,0.2923,11247829.0,0.4112,344260.83,0.0126,7763135.25,0.2838
1.0,116495003.0,Milton Area SD,Northumberland,32946168.76,14807488.990000002,620775.33,15428264.32,0.4683,16383091.17,0.4973,1134813.27,0.0344,,0.0
