Cat,AUN,LEA Name,County,"Committed
Fund Balance 0830","Assigned
Fund Balance 0840","Unassigned
Fund Balance 0850"
1.0,124159002.0,West Chester Area SD,Chester,4159909.0,60772223.0,16447723.0
1.0,106160303.0,Allegheny-Clarion Valley SD,Clarion,,1102181.0,1552155.0
1.0,106161203.0,Clarion Area SD,Clarion,3065221.0,657538.0,3404247.0
1.0,106161703.0,Clarion-Limestone Area SD,Clarion,,4794700.0,1468986.0
1.0,106166503.0,Keystone SD,Clarion,,4895071.0,1500000.0
1.0,106167504.0,North Clarion County SD,Clarion,,,1393856.0
1.0,106168003.0,Redbank Valley SD,Clarion,500000.0,1690000.0,2443730.0
1.0,106169003.0,Union SD,Clarion,5190507.0,,644467.0
1.0,110171003.0,Clearfield Area SD,Clearfield,5269878.0,411494.0,6618534.0
1.0,110171803.0,Curwensville Area SD,Clearfield,,4957316.0,540347.0
1.0,106172003.0,DuBois Area SD,Clearfield,5996000.0,13270000.0,4960301.0
1.0,110173003.0,Glendale SD,Clearfield,2030183.0,,907483.0
1.0,110173504.0,Harmony Area SD,Clearfield,,1325000.0,1702878.0
1.0,110175003.0,Moshannon Valley SD,Clearfield,6538315.0,,449761.0
1.0,110177003.0,Philipsburg-Osceola Area SD,Clearfield,2310000.0,,2643003.0
1.0,110179003.0,West Branch Area SD,Clearfield,2670112.0,50734.0,5765402.0
1.0,110183602.0,Keystone Central SD,Clinton,10106177.0,524682.0,6156501.0
1.0,116191004.0,Benton Area SD,Columbia,360000.0,435000.0,705854.0
1.0,116191103.0,Berwick Area SD,Columbia,2500000.0,174180.0,900281.0
1.0,116191203.0,Bloomsburg Area SD,Columbia,3500000.0,,1489577.0
1.0,116191503.0,Central Columbia SD,Columbia,4764779.0,575000.0,5191126.0
1.0,116195004.0,Millville Area SD,Columbia,1511456.0,,2408405.0
1.0,116197503.0,Southern Columbia Area SD,Columbia,103000.0,800000.0,1868948.0
1.0,105201033.0,Conneaut SD,Crawford,8797445.0,,2780837.0
1.0,105201352.0,Crawford Central SD,Crawford,,5893260.0,5200000.0
1.0,105204703.0,Penncrest SD,Crawford,1697507.0,7982008.0,3883263.0
1.0,115210503.0,Big Spring SD,Cumberland,554000.0,7740446.0,4556411.0
1.0,115211003.0,Camp Hill SD,Cumberland,2035321.0,6330000.0,1902938.0
1.0,115211103.0,Carlisle Area SD,Cumberland,1797990.0,7559025.0,20036194.0
1.0,115211603.0,Cumberland Valley SD,Cumberland,4719932.0,,18825099.0
1.0,115212503.0,East Pennsboro Area SD,Cumberland,2970000.0,,2159710.0
1.0,115216503.0,Mechanicsburg Area SD,Cumberland,13755610.0,,5048047.0
1.0,115218003.0,Shippensburg Area SD,Cumberland,2821112.0,10201065.0,2285117.0
1.0,115218303.0,South Middleton SD,Cumberland,5750000.0,,1951488.0
1.0,115221402.0,Central Dauphin SD,Dauphin,6186009.0,8500000.0,16227996.0
