Unnamed: 0,Unnamed: 1,Unnamed: 2,The 2016 Keystone Exams - Best Score Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. ",,,,,,,,,,
,,,Data for groups with 10 or fewer students were replaced by blanks. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,,
,,,,,,,,,,,,,
Year,AUN,School Number,County,District,School,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2016,102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,11,27,0,0,37,63
2016,102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,All Students,11,30,0,0,3.3,96.7
2016,102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,11,27,0,0,3.7,96.3
2016,102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,All Students,11,28,0,0,35.7,64.3
2016,102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,11,25,0,0,32,68
2016,103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,All Students,11,72,15.3,56.9,23.6,4.2
2016,103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,Historically Underperforming,11,26,3.8,53.8,30.8,11.5
2016,103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,All Students,11,71,32.4,40.8,18.3,8.5
2016,103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,Historically Underperforming,11,25,12,44,24,20
2016,103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,All Students,11,70,11.4,68.6,15.7,4.3
2016,103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Historically Underperforming,11,24,12.5,54.2,25,8.3
2016,103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,All Students,11,109,40.4,45,8.3,6.4
2016,103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,Historically Underperforming,11,28,17.9,32.1,25,25
