Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,103029902.0,Woodland Hills SD,Allegheny,97422676.1,54114875.739999995,1766823.21,55881698.95,0.5736,31470207.36,0.323,3858307.92,0.0396,6212461.87,0.0638
1.0,128030603.0,Apollo-Ridge SD,Armstrong,23207849.71,8016255.81,595945.03,8612200.84,0.3711,14019916.28,0.6041,575732.59,0.0248,,0.0
1.0,128030852.0,Armstrong SD,Armstrong,99780217.45,36313101.0,1671470.0,37984571.0,0.3807,57600074.01,0.5773,4194869.0,0.042,703.44,0.0
1.0,128033053.0,Freeport Area SD,Armstrong,29754403.14,16093120.600000001,422627.72,16515748.32,0.5551,12986773.0,0.4365,251316.82,0.0084,565.0,0.0
1.0,128034503.0,Leechburg Area SD,Armstrong,14682358.92,6371933.649999999,410223.23000000004,6782156.88,0.4619,7650864.71,0.5211,247287.33,0.0168,2050.0,0.0001
1.0,127040503.0,Aliquippa SD,Beaver,23720198.64,6068882.18,547960.1900000001,6616842.37,0.279,14695188.83,0.6195,2408167.44,0.1015,,0.0
1.0,127040703.0,Ambridge Area SD,Beaver,46873214.75,24380844.189999998,892041.87,25272886.06,0.5392,20727568.87,0.4422,871490.33,0.0186,1269.49,0.0
1.0,127041203.0,Beaver Area SD,Beaver,31659013.22,18235056.160000004,1257351.47,19492407.63,0.6157,11254492.29,0.3555,480281.47,0.0152,431831.83,0.0136
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,28026555.0,7842969.0,421839.0,8264808.0,0.2949,18442676.0,0.658,1130189.0,0.0403,188882.0,0.0067
1.0,127041603.0,Blackhawk SD,Beaver,37824323.0,18151351.0,738063.0,18889414.0,0.4994,18097410.0,0.4785,376453.0,0.01,461046.0,0.0122
