Cat,AUN,LEA Name,County,"Object 100
Personnel Services - Salaries","Object 200
Personnel Services - Employee Benefits",Object 220 Social Security Contributions,Object 230 Retirement Contributions,"Object 300
Purchased Professional and Technical Services","Object 400
Purchased Property Services","Object 500
Other Purchased Services","Object 600
Supplies","Object 700
Property","Object 800
Other Objects","Object 900
Other Uses of Funds",Total
1.0,103029203.0,Upper St. Clair SD,Allegheny,43635946.760000005,27323449.53,3242521.4899999998,14997721.09,3241095.58,1841472.55,4230454.430000001,4135683.79,1566427.22,5561865.2,7894631.88,99431026.94
1.0,103029403.0,West Allegheny SD,Allegheny,29542456.289999995,18512778.169999998,2239495.78,10348879.25,2970345.6700000004,805387.76,7703714.119999999,3396893.41,907311.11,2608220.33,6213802.07,72660908.93
1.0,103029553.0,West Jefferson Hills SD,Allegheny,26169272.14,16599103.600000001,1964199.6300000001,9116580.68,3022906.28,2351074.29,5268931.28,1502132.94,463365.2,397093.44,6323799.24,62097678.41
1.0,103029603.0,West Mifflin Area SD,Allegheny,20982894.919999998,13406261.1,1602156.0299999998,7388271.78,5385145.220000001,1952844.2400000002,10026686.280000001,1789809.35,193045.18000000002,3316208.79,3995000.0,61047895.08
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,7883307.25,4760899.9,732110.61,2678222.09,1896797.57,361583.43,14941604.96,819009.3300000001,85892.28,1149711.81,7275000.0,39173806.53
1.0,103029902.0,Woodland Hills SD,Allegheny,31594879.02,21885825.849999998,2375731.51,11034636.91,8954723.68,1877278.0899999999,34269237.64,3889120.7500000005,941923.27,4996801.36,3310000.0,111719789.66
1.0,128030603.0,Apollo-Ridge SD,Armstrong,9492578.78,7230537.220000001,717603.72,3257732.36,1052437.03,588177.13,4600636.59,1322184.08,776589.25,82879.84000000001,1774995.01,26921014.93
1.0,128030852.0,Armstrong SD,Armstrong,40650190.05,27320239.56,3069341.7900000005,14050766.45,2750069.1,691562.65,20357173.18,4364609.350000001,491311.77,133970.55,11087430.74,107846556.95
1.0,128033053.0,Freeport Area SD,Armstrong,14406008.73,9183113.620000001,1089959.3900000001,4954169.28,2519367.78,434478.28,4438594.800000001,1990757.6099999999,20440.0,52538.56,3820030.24,36865329.62
1.0,128034503.0,Leechburg Area SD,Armstrong,6353967.57,4239497.449999999,473380.62000000005,2175369.0999999996,1154671.2999999998,1702703.67,2027205.52,627021.0900000001,333009.44,310919.98,582070.79,17331066.81
1.0,127040503.0,Aliquippa SD,Beaver,8419392.04,5672369.02,635245.75,2943142.71,2352233.81,300997.1,5955238.26,1142002.4,89640.47,1700341.54,1355000.0,26987214.64
1.0,127040703.0,Ambridge Area SD,Beaver,15455637.670000002,9755149.07,1149095.0899999999,5205919.220000001,2270258.5100000002,777723.62,12659273.159999998,2505064.59,304632.07000000007,1853140.9500000002,4275148.98,49856028.62
1.0,127041203.0,Beaver Area SD,Beaver,15488868.84,8889282.809999999,1141423.49,4890163.01,1127522.41,420951.88,5172251.17,1935607.98,659816.6,1351798.33,2957873.43,38003973.45
