Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)",Local Other (6500-6999),Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Total Federal Revenue 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
4.0,127040002.0,Lincoln Park Performing Arts CS,Beaver,8523329.42,,8029011.68,8029011.68,0.942,386133.94,0.0453,108183.8,0.0127,,0.0
4.0,127043430.0,Pennsylvania Cyber CS,Beaver,124768684.89000002,,118623519.43,118623519.43,0.9507,3812351.37,0.0306,2136829.87,0.0171,195984.22,0.0016
4.0,108057079.0,HOPE for Hyndman CS,Bedford,3460923.84,,2938555.38,2938555.38,0.8491,160031.56,0.0462,362336.9,0.1047,,0.0
4.0,114060392.0,I-LEAD Charter School,Berks,5130530.0,,4221083.0,4221083.0,0.8227,481320.0,0.0938,428127.0,0.0834,,0.0
4.0,108070001.0,Central PA Digital Learning Foundation CS,Blair,1687867.0999999999,,1638351.65,1638351.65,0.9707,49515.45,0.0293,,0.0,,0.0
4.0,122093460.0,Bucks County Montessori CS,Bucks,2640408.65,,2520507.0199999996,2520507.02,0.9546,101669.63,0.0385,18232.0,0.0069,,0.0
4.0,122090001.0,Center for Student Learning CS at Pennsbury,Bucks,2860761.45,,2723428.21,2723428.21,0.952,137333.24,0.048,,0.0,,0.0
4.0,122093140.0,School Lane CS,Bucks,11720347.400000002,,9977559.46,9977559.46,0.8513,371202.63,0.0317,162481.0,0.0139,1209104.31,0.1032
4.0,110143060.0,Centre Learning Community CS,Centre,1511609.0,,1445695.0,1445695.0,0.9564,53694.0,0.0355,12220.0,0.0081,,0.0
4.0,110143120.0,Nittany Valley CS,Centre,770142.0,,744302.0,744302.0,0.9664,8524.0,0.0111,17316.0,0.0225,,0.0
4.0,110143310.0,Wonderland CS,Centre,1015952.0,,980543.0,980543.0,0.9651,15366.0,0.0151,20043.0,0.0197,,0.0
4.0,110140001.0,Young Scholars of Central PA CS,Centre,3363617.0,,3216557.0,3216557.0,0.9563,116122.0,0.0345,24192.0,0.0072,6746.0,0.002
4.0,124150002.0,21st Century Cyber CS,Chester,10545404.0,,9787370.0,9787370.0,0.9281,346775.0,0.0329,,0.0,411259.0,0.039
4.0,125230001.0,Achievement House CS,Chester,13170326.2,,12257472.5,12257472.5,0.9307,479039.7,0.0364,433814.0,0.0329,,0.0
4.0,126510020.0,Agora Cyber CS,Chester,128917863.05,,122666688.01,122666688.01,0.9515,2550383.33,0.0198,3591801.5,0.0279,108990.21,0.0008
4.0,124150003.0,Avon Grove CS,Chester,19433651.0,,18080125.0,18080125.0,0.9304,764618.0,0.0393,588908.0,0.0303,,0.0
4.0,124152880.0,Chester Co Family Academy CS,Chester,1015242.0,,969180.0,969180.0,0.9546,25944.0,0.0256,16762.0,0.0165,3356.0,0.0033
4.0,124153320.0,Collegium CS,Chester,27284478.0,,25440425.0,25440425.0,0.9324,1100045.0,0.0403,237035.0,0.0087,506973.0,0.0186
