Cat,AUN,LEA Name,County,Total Other Revenue 9000,The Face Value of Bonds/Notes Issued 9110,Proceeds from Refunding of Bonds/Notes 9120,Bond/Note Premiums 9130,Leases and Other Right to Use Arrangements 9220,Other Extended Term Financing Proceeds 9290,Special Revenue Fund Transfers 9320,Capital Projects Fund Transfers 9330,Debt Service Fund Transfers 9340,Enterprise Fund Transfers 9350,Internal Service Fund Transfers 9360,Trust and Custodial Fund Transfers 9370,Student Activity Custodial Fund Transfers 9380,Permanent Fund Transfers 9390,Sale or Compensation for Loss of Fixed Assets 9400,Transfers from Component Units 9710,Transfers from Primary Governments 9720,Other Financing Sources not Listed in the 9000 Series 9910,Special Items-Gains 9920,Extraordinary Items-Gains 9930,Insurance Recoveries 9990
1.0,103028753.0,South Park SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103028833.0,Steel Valley SD,Allegheny,462201.7,,,,,,,,,,,,,,4850.0,,,,,,457351.7
1.0,103028853.0,Sto-Rox SD,Allegheny,8013.0,,,,,,,,,,,,,,,,,,,,8013.0
1.0,103029203.0,Upper St. Clair SD,Allegheny,1448187.42,,,,1337197.22,,,,,,,,,,110990.2,,,,,,
1.0,103029403.0,West Allegheny SD,Allegheny,31030.95,,,,,,,,,,,,,,,,,,,,31030.95
1.0,103029553.0,West Jefferson Hills SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103029603.0,West Mifflin Area SD,Allegheny,59630.55,,,,,,,,,,,,,,,,,,,,59630.55
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103029902.0,Woodland Hills SD,Allegheny,4473131.03,,2535000.0,,,,,1511256.99,,,,,,,,,,,,,426874.04
1.0,128030603.0,Apollo-Ridge SD,Armstrong,187129.39,,,,,,,,,,,,,,,,,,,,187129.39
1.0,128030852.0,Armstrong SD,Armstrong,20615.0,,,,20615.0,,,,,,,,,,,,,,,,
1.0,128033053.0,Freeport Area SD,Armstrong,70563.2,,,,,,,,,,,,,,125.0,,,,,,70438.2
1.0,128034503.0,Leechburg Area SD,Armstrong,,,,,,,,,,,,,,,,,,,,,
1.0,127040503.0,Aliquippa SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127040703.0,Ambridge Area SD,Beaver,303907.25,,,,30917.25,,,,,,,,,,272990.0,,,,,,
1.0,127041203.0,Beaver Area SD,Beaver,205329.57,,,,,,,,,,,,,,205329.57,,,,,,
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127041603.0,Blackhawk SD,Beaver,121648.45,,,,,,,,,,,,,,88433.0,,,,,,33215.45
1.0,127042003.0,Central Valley SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127042853.0,Freedom Area SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127044103.0,Hopewell Area SD,Beaver,461539.7,,,,,445500.0,,,,,,,,,16039.7,,,,,,
1.0,127045303.0,Midland Borough SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127045653.0,New Brighton Area SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127045853.0,Riverside Beaver County SD,Beaver,246578.89,,,,243417.64,,,,,,,,,,,,,,,,3161.25
1.0,127046903.0,Rochester Area SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127047404.0,South Side Area SD,Beaver,,,,,,,,,,,,,,,,,,,,,
1.0,127049303.0,Western Beaver County SD,Beaver,3841.41,,,,,,,,,,,,,,,,,,,,3841.41
1.0,108051003.0,Bedford Area SD,Bedford,,,,,,,,,,,,,,,,,,,,,
1.0,108051503.0,Chestnut Ridge SD,Bedford,,,,,,,,,,,,,,,,,,,,,
1.0,108053003.0,Everett Area SD,Bedford,36608.0,,,,36608.0,,,,,,,,,,,,,,,,
1.0,108056004.0,Northern Bedford County SD,Bedford,800000.0,800000.0,,,,,,,,,,,,,,,,,,,
1.0,108058003.0,Tussey Mountain SD,Bedford,84104.0,,,,84104.0,,,,,,,,,,,,,,,,
1.0,114060503.0,Antietam SD,Berks,18061.0,,,,,,,,,,,,,,18061.0,,,,,,
1.0,114060753.0,Boyertown Area SD,Berks,,,,,,,,,,,,,,,,,,,,,
1.0,114060853.0,Brandywine Heights Area SD,Berks,10382.83,,,,,,,,,,,,,,9060.0,,,,,,1322.83
1.0,114061103.0,Conrad Weiser Area SD,Berks,586629.0,,,,,,586629.0,,,,,,,,,,,,,,
1.0,114061503.0,Daniel Boone Area SD,Berks,,,,,,,,,,,,,,,,,,,,,
1.0,114062003.0,Exeter Township SD,Berks,15708.68,,,,,,,,,,,,,,15708.68,,,,,,
1.0,114062503.0,Fleetwood Area SD,Berks,135982.51,,,,134352.51,,,,,,,,,,1630.0,,,,,,
1.0,114063003.0,Governor Mifflin SD,Berks,865250.41,,,,851050.76,,,,,10244.65,,,,,3955.0,,,,,,
1.0,114063503.0,Hamburg Area SD,Berks,578029.29,,,,290280.0,,,,265140.63,,,,,,22608.66,,,,,,
1.0,114064003.0,Kutztown Area SD,Berks,212076.18,,,,45175.78,118047.8,,,,33597.6,,,,,15255.0,,,,,,
1.0,114065503.0,Muhlenberg SD,Berks,345900.34,,,,287139.08,,,,,58761.26,,,,,,,,,,,
1.0,114066503.0,Oley Valley SD,Berks,195844.58,,,,195844.58,,,,,,,,,,,,,,,,
1.0,114067002.0,Reading SD,Berks,1584152.5,,,,,,,,1577606.28,,,,,,29.26,,,,,,6516.96
1.0,114067503.0,Schuylkill Valley SD,Berks,210877.0,,,,198279.78,,,,,,,,,,12597.22,,,,,,
1.0,114068003.0,Tulpehocken Area SD,Berks,,,,,,,,,,,,,,,,,,,,,
1.0,114068103.0,Twin Valley SD,Berks,5205.48,,,,,,,,,,,,,,5205.48,,,,,,
1.0,114069103.0,Wilson SD,Berks,1747972.56,,,,65941.77,1506650.79,,,,125130.0,,,,,50250.0,,,,,,
1.0,114069353.0,Wyomissing Area SD,Berks,62063.31,,,,,,,,,,,,,,53536.51,,,,,,8526.8
1.0,108070502.0,Altoona Area SD,Blair,247415.78,,,,236549.78,,,,,,,,,,,,,,,,10866.0
1.0,108071003.0,Bellwood-Antis SD,Blair,909576.95,745000.0,,,164576.95,,,,,,,,,,,,,,,,
1.0,108071504.0,Claysburg-Kimmel SD,Blair,62614.63,,,,62614.63,,,,,,,,,,,,,,,,
1.0,108073503.0,Hollidaysburg Area SD,Blair,27781.0,,,,27781.0,,,,,,,,,,,,,,,,
1.0,108077503.0,Spring Cove SD,Blair,8150.0,,,,,,,,,,,,,,8150.0,,,,,,
1.0,108078003.0,Tyrone Area SD,Blair,437638.4,,,,175774.0,,,,,,,,,,261864.4,,,,,,
1.0,108079004.0,Williamsburg Community SD,Blair,,,,,,,,,,,,,,,,,,,,,
1.0,117080503.0,Athens Area SD,Bradford,,,,,,,,,,,,,,,,,,,,,
1.0,117081003.0,Canton Area SD,Bradford,,,,,,,,,,,,,,,,,,,,,
1.0,117083004.0,Northeast Bradford SD,Bradford,16110.04,,,,16110.04,,,,,,,,,,,,,,,,
1.0,117086003.0,Sayre Area SD,Bradford,425508.68,,,,,,,,,,,,,,309787.0,,,52846.95,,,62874.73
1.0,117086503.0,Towanda Area SD,Bradford,,,,,,,,,,,,,,,,,,,,,
1.0,117086653.0,Troy Area SD,Bradford,,,,,,,,,,,,,,,,,,,,,
1.0,117089003.0,Wyalusing Area SD,Bradford,45197.0,,,,,,45197.0,,,,,,,,,,,,,,
1.0,122091002.0,Bensalem Township SD,Bucks,,,,,,,,,,,,,,,,,,,,,
1.0,122091303.0,Bristol Borough SD,Bucks,98606.86,,,,98606.86,,,,,,,,,,,,,,,,
1.0,122091352.0,Bristol Township SD,Bucks,38210606.56,,36375000.0,464194.5,,,,,,,,,,,1371412.06,,,,,,
1.0,122092002.0,Centennial SD,Bucks,10000.0,,,,,,,,,,,,,,10000.0,,,,,,
1.0,122092102.0,Central Bucks SD,Bucks,6326.0,,,,,,,,,,,,,,6326.0,,,,,,
1.0,122092353.0,Council Rock SD,Bucks,47599.66,,,,,,,,,,,,,,,,,,,,47599.66
1.0,122097203.0,Morrisville Borough SD,Bucks,10000.0,,,,,,,,,,,,,,10000.0,,,,,,
1.0,122097502.0,Neshaminy SD,Bucks,,,,,,,,,,,,,,,,,,,,,
1.0,122097604.0,New Hope-Solebury SD,Bucks,,,,,,,,,,,,,,,,,,,,,
1.0,122098003.0,Palisades SD,Bucks,35135.9,,,,35135.9,,,,,,,,,,,,,,,,
1.0,122098103.0,Pennridge SD,Bucks,,,,,,,,,,,,,,,,,,,,,
1.0,122098202.0,Pennsbury SD,Bucks,75247.28,,,,,,,,,,,,,,,,,,,,75247.28
1.0,122098403.0,Quakertown Community SD,Bucks,573298.95,,,,,573298.95,,,,,,,,,,,,,,,
1.0,104101252.0,Butler Area SD,Butler,79056.0,,,,,76930.0,,,,,,,,,2126.0,,,,,,
1.0,104103603.0,Karns City Area SD,Butler,,,,,,,,,,,,,,,,,,,,,
1.0,104107803.0,Knoch SD,Butler,,,,,,,,,,,,,,,,,,,,,
1.0,104105003.0,Mars Area SD,Butler,306538.15,,,,306538.15,,,,,,,,,,,,,,,,
1.0,104105353.0,Moniteau SD,Butler,,,,,,,,,,,,,,,,,,,,,
1.0,104107903.0,Seneca Valley SD,Butler,25179.19,,,,,,,,,25179.19,,,,,,,,,,,
1.0,104107503.0,Slippery Rock Area SD,Butler,,,,,,,,,,,,,,,,,,,,,
1.0,108110603.0,Blacklick Valley SD,Cambria,,,,,,,,,,,,,,,,,,,,,
1.0,108111203.0,Cambria Heights SD,Cambria,,,,,,,,,,,,,,,,,,,,,
1.0,108111303.0,Central Cambria SD,Cambria,9644.26,,,,,,360.26,,,,,,,,9284.0,,,,,,
1.0,108111403.0,Conemaugh Valley SD,Cambria,84095.98,,,,84095.98,,,,,,,,,,,,,,,,
1.0,108112003.0,Ferndale Area SD,Cambria,,,,,,,,,,,,,,,,,,,,,
1.0,108112203.0,Forest Hills SD,Cambria,290764.78,,,,290088.78,,,,,,,,,,676.0,,,,,,
1.0,108112502.0,Greater Johnstown SD,Cambria,36429.0,,,,,,,,,36429.0,,,,,,,,,,,
1.0,108114503.0,Northern Cambria SD,Cambria,9995000.0,9995000.0,,,,,,,,,,,,,,,,,,,
1.0,108116003.0,Penn Cambria SD,Cambria,4000.0,,,,,,,,,,,,,,4000.0,,,,,,
1.0,108116303.0,Portage Area SD,Cambria,,,,,,,,,,,,,,,,,,,,,
1.0,108116503.0,Richland SD,Cambria,522746.61,,,,55994.07,,,,,,,,,,,,,,,,466752.54
1.0,108118503.0,Westmont Hilltop SD,Cambria,3629.0,,,,,,,,,,,,,,3629.0,,,,,,
1.0,109122703.0,Cameron County SD,Cameron,5260.0,,,,,,,,,,,,,,5260.0,,,,,,
1.0,121135003.0,Jim Thorpe Area SD,Carbon,1569805.32,,,,1185642.7,,,,,,,,,,380051.44,,,,,,4111.18
1.0,121135503.0,Lehighton Area SD,Carbon,136882.39,,,,101261.0,,,,,,,,,,,,,,,,35621.39
1.0,121136503.0,Palmerton Area SD,Carbon,218677.69,,,,55586.37,163091.32,,,,,,,,,,,,,,,
1.0,121136603.0,Panther Valley SD,Carbon,2409.83,,,,,,,,,,,,,,,,,,,,2409.83
1.0,121139004.0,Weatherly Area SD,Carbon,98000.0,,,,98000.0,,,,,,,,,,,,,,,,
1.0,110141003.0,Bald Eagle Area SD,Centre,,,,,,,,,,,,,,,,,,,,,
1.0,110141103.0,Bellefonte Area SD,Centre,,,,,,,,,,,,,,,,,,,,,
1.0,110147003.0,Penns Valley Area SD,Centre,17092.0,,,,,,,,,,,,,,17092.0,,,,,,
1.0,110148002.0,State College Area SD,Centre,15172.21,,,,,,,,,,,,,,,,,,,,15172.21
1.0,124150503.0,Avon Grove SD,Chester,222370.91,,,,221970.91,,,,,,,,,,400.0,,,,,,
1.0,124151902.0,Coatesville Area SD,Chester,399088.91,,,134120.0,,,,3667.99,,,,,,,95000.0,,,,,,166300.92
1.0,124152003.0,Downingtown Area SD,Chester,209927.2,,,,,,,,,,,,,,183674.26,,,,,,26252.94
1.0,124153503.0,Great Valley SD,Chester,4122.87,,,,,,,,,,,,,,4122.87,,,,,,
1.0,124154003.0,Kennett Consolidated SD,Chester,45979.0,,,,29204.0,,,,,,,,,,16775.0,,,,,,
1.0,124156503.0,Octorara Area SD,Chester,6170.0,,,,,,,,,,,,,,500.0,,,,,,5670.0
1.0,124156603.0,Owen J Roberts SD,Chester,7438.64,,,,,,,,,,,,,,7438.64,,,,,,
1.0,124156703.0,Oxford Area SD,Chester,75753.8,,,,,,,,,,,,,,75753.8,,,,,,
1.0,124157203.0,Phoenixville Area SD,Chester,38984.21,,,,38984.21,,,,,,,,,,,,,,,,
1.0,124157802.0,Tredyffrin-Easttown SD,Chester,,,,,,,,,,,,,,,,,,,,,
1.0,124158503.0,Unionville-Chadds Ford SD,Chester,32633.0,,,,,,,,,,,,,,32633.0,,,,,,
1.0,124159002.0,West Chester Area SD,Chester,,,,,,,,,,,,,,,,,,,,,
1.0,106160303.0,Allegheny-Clarion Valley SD,Clarion,32660.11,,,,,,,,,,,,,,,,,,,,32660.11
1.0,106161203.0,Clarion Area SD,Clarion,,,,,,,,,,,,,,,,,,,,,
1.0,106161703.0,Clarion-Limestone Area SD,Clarion,,,,,,,,,,,,,,,,,,,,,
1.0,106166503.0,Keystone SD,Clarion,85013.09,,,,,,,,,,,,,,,,,,,,85013.09
1.0,106167504.0,North Clarion County SD,Clarion,802.0,,,,,,802.0,,,,,,,,,,,,,,
1.0,106168003.0,Redbank Valley SD,Clarion,,,,,,,,,,,,,,,,,,,,,
1.0,106169003.0,Union SD,Clarion,,,,,,,,,,,,,,,,,,,,,
1.0,110171003.0,Clearfield Area SD,Clearfield,121894.36,,,,120478.0,,,,,,,,,,1416.36,,,,,,
1.0,110171803.0,Curwensville Area SD,Clearfield,,,,,,,,,,,,,,,,,,,,,
1.0,106172003.0,DuBois Area SD,Clearfield,,,,,,,,,,,,,,,,,,,,,
1.0,110173003.0,Glendale SD,Clearfield,1588168.41,1529327.89,,,58840.52,,,,,,,,,,,,,,,,
1.0,110173504.0,Harmony Area SD,Clearfield,,,,,,,,,,,,,,,,,,,,,
1.0,110175003.0,Moshannon Valley SD,Clearfield,,,,,,,,,,,,,,,,,,,,,
1.0,110177003.0,Philipsburg-Osceola Area SD,Clearfield,,,,,,,,,,,,,,,,,,,,,
1.0,110179003.0,West Branch Area SD,Clearfield,,,,,,,,,,,,,,,,,,,,,
1.0,110183602.0,Keystone Central SD,Clinton,393170.0,,,,393170.0,,,,,,,,,,,,,,,,
1.0,116191004.0,Benton Area SD,Columbia,,,,,,,,,,,,,,,,,,,,,
1.0,116191103.0,Berwick Area SD,Columbia,,,,,,,,,,,,,,,,,,,,,
1.0,116191203.0,Bloomsburg Area SD,Columbia,15933.0,,,,,,,,,,,,,,15933.0,,,,,,
1.0,116191503.0,Central Columbia SD,Columbia,,,,,,,,,,,,,,,,,,,,,
1.0,116195004.0,Millville Area SD,Columbia,,,,,,,,,,,,,,,,,,,,,
1.0,116197503.0,Southern Columbia Area SD,Columbia,6102.1,,,,,,,,,,,,,,,,,,,,6102.1
1.0,105201033.0,Conneaut SD,Crawford,5464.2,,,,,,,,,,,,,,5464.2,,,,,,
1.0,105201352.0,Crawford Central SD,Crawford,,,,,,,,,,,,,,,,,,,,,
1.0,105204703.0,Penncrest SD,Crawford,6052.0,,,,,,,,,,,,,,6052.0,,,,,,
1.0,115210503.0,Big Spring SD,Cumberland,418626.0,,,,360172.0,58454.0,,,,,,,,,,,,,,,
1.0,115211003.0,Camp Hill SD,Cumberland,,,,,,,,,,,,,,,,,,,,,
1.0,115211103.0,Carlisle Area SD,Cumberland,114862.0,,,,114862.0,,,,,,,,,,,,,,,,
1.0,115211603.0,Cumberland Valley SD,Cumberland,1486568.0,,,,740703.0,,629099.0,,,,,,,,52228.0,,,,,,64538.0
1.0,115212503.0,East Pennsboro Area SD,Cumberland,116860.5,,,,,,,116860.5,,,,,,,,,,,,,
1.0,115216503.0,Mechanicsburg Area SD,Cumberland,281073.89,,,,261036.89,,,,,20037.0,,,,,,,,,,,
1.0,115218003.0,Shippensburg Area SD,Cumberland,58456.0,,,,58456.0,,,,,,,,,,,,,,,,
1.0,115218303.0,South Middleton SD,Cumberland,,,,,,,,,,,,,,,,,,,,,
1.0,115221402.0,Central Dauphin SD,Dauphin,2730781.88,,,,2295599.73,,,,,249829.0,,,,,3799.5,,,,,172614.91,8938.74
1.0,115221753.0,Derry Township SD,Dauphin,2387984.78,,,,,,,2289868.0,,,,,,,,,,,,,98116.78
1.0,115222504.0,Halifax Area SD,Dauphin,251213.1,,,,,184979.0,,,,,,,,,66234.1,,,,,,
1.0,115222752.0,Harrisburg City SD,Dauphin,,,,,,,,,,,,,,,,,,,,,
1.0,115224003.0,Lower Dauphin SD,Dauphin,47073.29,,,,,,,,,,,,,,,,,,,47073.29,
1.0,115226003.0,Middletown Area SD,Dauphin,279755.16,,,,247636.94,,,,,,,,,,2659.2,,,,,,29459.02
1.0,115226103.0,Millersburg Area SD,Dauphin,42280.45,,,,42280.45,,,,,,,,,,,,,,,,
1.0,115228003.0,Steelton-Highspire SD,Dauphin,,,,,,,,,,,,,,,,,,,,,
1.0,115228303.0,Susquehanna Township SD,Dauphin,413561.0,,,,18235.0,395326.0,,,,,,,,,,,,,,,
1.0,115229003.0,Upper Dauphin Area SD,Dauphin,,,,,,,,,,,,,,,,,,,,,
1.0,125231232.0,Chester-Upland SD,Delaware,,,,,,,,,,,,,,,,,,,,,
1.0,125231303.0,Chichester SD,Delaware,-21779.0,,,,,,,,,,,,,,,,,,,,-21779.0
1.0,125234103.0,Garnet Valley SD,Delaware,210873.0,,,,188692.0,,,,,,,,,,6002.0,,,,,,16179.0
1.0,125234502.0,Haverford Township SD,Delaware,,,,,,,,,,,,,,,,,,,,,
1.0,125235103.0,Interboro SD,Delaware,425303.0,,,,425303.0,,,,,,,,,,,,,,,,
1.0,125235502.0,Marple Newtown SD,Delaware,1719941.82,,,,993457.82,597083.0,,,,,,,,,,,,,,,129401.0
1.0,125236903.0,Penn-Delco SD,Delaware,,,,,,,,,,,,,,,,,,,,,
1.0,125237603.0,Radnor Township SD,Delaware,337954.44,,,,305506.94,,,,,,,,,,32447.5,,,,,,
1.0,125237702.0,Ridley SD,Delaware,2197670.0,,,,,,,2197670.0,,,,,,,,,,,,,
1.0,125237903.0,Rose Tree Media SD,Delaware,7382.36,,,,,,,,,,,,,,,,,,,,7382.36
1.0,125238402.0,Southeast Delco SD,Delaware,,,,,,,,,,,,,,,,,,,,,
1.0,125238502.0,Springfield SD,Delaware,7893.01,,,,,,,,,,,,,,7893.01,,,,,,
1.0,125239452.0,Upper Darby SD,Delaware,543568.16,,,,,,,,,543568.16,,,,,,,,,,,
1.0,125239603.0,Wallingford-Swarthmore SD,Delaware,,,,,,,,,,,,,,,,,,,,,
1.0,125239652.0,William Penn SD,Delaware,57059.73,,,,,,,,,57059.73,,,,,,,,,,,
1.0,109243503.0,Johnsonburg Area SD,Elk,,,,,,,,,,,,,,,,,,,,,
1.0,109246003.0,Ridgway Area SD,Elk,,,,,,,,,,,,,,,,,,,,,
1.0,109248003.0,Saint Marys Area SD,Elk,,,,,,,,,,,,,,,,,,,,,
1.0,105251453.0,Corry Area SD,Erie,,,,,,,,,,,,,,,,,,,,,
1.0,105252602.0,Erie City SD,Erie,6816.0,,,,,,,,,,,,,,1108.0,,,,,,5708.0
1.0,105253303.0,Fairview SD,Erie,790299.0,,,,,,,790299.0,,,,,,,,,,,,,
1.0,105253553.0,Fort LeBoeuf SD,Erie,5756.08,,,,,,,,,,,,,,888.98,,,,,,4867.1
1.0,105253903.0,General McLane SD,Erie,10029366.45,9570000.0,,424962.45,,,,,,,,,,,34404.0,,,,,,
1.0,105254053.0,Girard SD,Erie,9076559.88,7495000.0,,121765.7,1459794.18,,,,,,,,,,,,,,,,
1.0,105254353.0,Harbor Creek SD,Erie,7700.0,,,,,,,,,,,,,,7700.0,,,,,,
1.0,105256553.0,Iroquois SD,Erie,7377549.3,,7075000.0,302549.3,,,,,,,,,,,,,,,,,
1.0,105257602.0,Millcreek Township SD,Erie,1360817.19,,,,581180.0,,,,,,,,,,577358.0,,,,,,202279.19
1.0,105258303.0,North East SD,Erie,,,,,,,,,,,,,,,,,,,,,
1.0,105258503.0,Northwestern SD,Erie,403950.82,,,,403950.82,,,,,,,,,,,,,,,,
1.0,105259103.0,Union City Area SD,Erie,90631.88,,,,90631.88,,,,,,,,,,,,,,,,
1.0,105259703.0,Wattsburg Area SD,Erie,262389.0,,,,262389.0,,,,,,,,,,,,,,,,
1.0,101260303.0,Albert Gallatin Area SD,Fayette,41345.06,,,,,,,,,,,,,,41345.06,,,,,,
1.0,101260803.0,Brownsville Area SD,Fayette,,,,,,,,,,,,,,,,,,,,,
1.0,101261302.0,Connellsville Area SD,Fayette,434039.59,,,,,,,,,,,,,,,,,,,,434039.59
1.0,101262903.0,Frazier SD,Fayette,,,,,,,,,,,,,,,,,,,,,
1.0,101264003.0,Laurel Highlands SD,Fayette,,,,,,,,,,,,,,,,,,,,,
1.0,101268003.0,Uniontown Area SD,Fayette,,,,,,,,,,,,,,,,,,,,,
1.0,106272003.0,Forest Area SD,Forest,,,,,,,,,,,,,,,,,,,,,
1.0,112281302.0,Chambersburg Area SD,Franklin,588754.0,,,,,,,,,,,,,,588754.0,,,,,,
1.0,112282004.0,Fannett-Metal SD,Franklin,836.0,,,,,,,,,,,,,,836.0,,,,,,
1.0,112283003.0,Greencastle-Antrim SD,Franklin,1048481.1,,,,29757.0,533285.0,,,,275000.0,,,,,210439.1,,,,,,
1.0,112286003.0,Tuscarora SD,Franklin,,,,,,,,,,,,,,,,,,,,,
1.0,112289003.0,Waynesboro Area SD,Franklin,20727.0,,,,,,,,,,,,,,20727.0,,,,,,
1.0,111291304.0,Central Fulton SD,Fulton,,,,,,,,,,,,,,,,,,,,,
1.0,111292304.0,Forbes Road SD,Fulton,170864.0,,,,164184.0,,,,,,,,,,6680.0,,,,,,
1.0,111297504.0,Southern Fulton SD,Fulton,,,,,,,,,,,,,,,,,,,,,
1.0,101301303.0,Carmichaels Area SD,Greene,,,,,,,,,,,,,,,,,,,,,
1.0,101301403.0,Central Greene SD,Greene,,,,,,,,,,,,,,,,,,,,,
1.0,101303503.0,Jefferson-Morgan SD,Greene,,,,,,,,,,,,,,,,,,,,,
1.0,101306503.0,Southeastern Greene SD,Greene,,,,,,,,,,,,,,,,,,,,,
1.0,101308503.0,West Greene SD,Greene,12253.65,,,,,,,,,12253.65,,,,,,,,,,,
1.0,111312503.0,Huntingdon Area SD,Huntingdon,,,,,,,,,,,,,,,,,,,,,
