Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense (AIE),"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,108078003.0,Tyrone Area SD,Blair,14629581.03,9049498.0,494903.22,24173982.25,6896.1,16.5,24180894.85,16037257.42,9296982.28,2908186.47,1114770.42,655933.45,,,,653708.41,1108657.24,463236.34,1835760.79,370232.31,655320.67,2079989.67,1305318.83,1143014.56,87967.59
1.0,108079004.0,Williamsburg Community SD,Blair,4285939.44,2602679.12,249875.21,7138493.7700000005,,514078.76,7652572.53,4938313.68,3044160.38,934731.37,307047.69,,,,,,166164.87,237145.14,795844.86,112839.22,198181.48,766677.88,324534.13,,1291.54
1.0,117080503.0,Athens Area SD,Bradford,23447393.38,11614875.78,646603.01,35708872.169999994,146161.85,4429966.4,40285000.42,24755575.13,15722201.2,5833418.71,1721935.05,169838.42,,,,,1666305.32,1575956.16,2116383.55,548220.33,514599.48,2726340.17,1888257.35,578813.42,
1.0,117081003.0,Canton Area SD,Bradford,9654402.06,4548919.54,639975.03,14843296.63,,935561.52,15778858.15,10223473.65,7357984.77,1939225.3,285920.06,71271.93,,,,,421377.83,335463.33,975735.72,170870.25,364201.96,1219806.8,853739.05,207724.6,
1.0,117083004.0,Northeast Bradford SD,Bradford,8816889.08,4824218.83,270971.06,13912078.97,,671934.79,14584013.76,9861480.86,6187475.55,2234626.26,394787.27,,,,,,611263.66,383237.6,1035182.8,131705.88,435207.23,825822.86,989257.94,412540.86,
1.0,117086003.0,Sayre Area SD,Bradford,11614745.75,6175959.89,415129.74,18205835.38,7676.0,968790.83,19182302.21,13074413.3,7481186.59,3014428.4,588093.9,528038.52,2998.34,,,,813868.8,277833.36,1373691.02,173826.81,662281.31,2010350.91,480177.35,383930.33,
1.0,117086503.0,Towanda Area SD,Bradford,16283182.23,8021983.34,605307.94,24910473.51,41365.03,2783802.32,27735640.86,17483472.85,10552729.8,4228279.99,947926.66,35852.29,14792.94,,,503600.55,683084.7,1255493.74,1589742.99,245102.29,632932.31,2100967.51,1461518.84,53140.96,
1.0,117086653.0,Troy Area SD,Bradford,14639568.64,8051157.41,525210.27,23215936.32,,2364104.48,25580040.8,16324830.75,10105280.72,3747698.91,679856.91,106732.1,,,,,762794.6,995438.26,1684759.76,223185.52,376400.35,2228083.78,1482859.25,297635.89,
1.0,117089003.0,Wyalusing Area SD,Bradford,13252724.36,7048639.76,421371.54,20722735.659999996,,3313910.3,24036645.96,14511311.66,9347148.55,3047847.98,790029.59,61555.24,6143.0,,,,989092.55,1056685.32,1125847.09,177070.55,642450.17,1436289.9,1497011.53,124192.65,
1.0,122091002.0,Bensalem Township SD,Bucks,100764660.76,39314890.44,1582026.95,141661578.14999998,,58802350.56,200463928.71,110108562.56,60124938.14,36322917.43,4069976.0,199336.03,47493.16,,,,5081928.45,6557396.45,7394142.72,1571734.38,1252323.01,8987003.16,7225593.09,606246.7,638522.48
