Unnamed: 0,Unnamed: 1,2017 Keystone Exams Grade 11 - School Level Proficiency Results*,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,"* Proficiency summary data do not include students who were enrolled in the schools after October 1, home schooled, excluded from school aggregation, 
ELL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,
,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,% Advanced,% Proficient,% Basic,% Below Basic
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,All Students,11,45,0,4.4,64.4,31.1
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,Historically Underperforming,11,40,0,5,62.5,32.5
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Biology,All Students,11,44,0,0,20.5,79.5
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Biology,Historically Underperforming,11,39,0,0,17.9,82.1
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Literature,All Students,11,42,0,21.4,54.8,23.8
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Literature,Historically Underperforming,11,38,0,23.7,52.6,23.7
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,All Students,11,140,23.6,50.7,20.7,5
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,Historically Underperforming,11,54,18.5,33.3,35.2,13
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,All Students,11,140,20.7,51.4,18.6,9.3
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,Historically Underperforming,11,54,16.7,37,25.9,20.4
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,All Students,11,139,7.2,74.8,12.2,5.8
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,Historically Underperforming,11,53,0,60.4,26.4,13.2
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,All Students,11,227,5.3,29.1,37.9,27.8
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,Historically Underperforming,11,129,2.3,24,36.4,37.2
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,All Students,11,225,10.7,24,22.2,43.1
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,Historically Underperforming,11,127,7.9,18.9,19.7,53.5
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,All Students,11,223,3.1,46.2,33.2,17.5
103026002,000006105,ALLEGHENY,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,Historically Underperforming,11,124,0.8,34.7,41.1,23.4
103026303,000005017,ALLEGHENY,MONTOUR SD,MONTOUR HS,Algebra I,All Students,11,257,28,55.3,14.8,1.9
103026303,000005017,ALLEGHENY,MONTOUR SD,MONTOUR HS,Algebra I,Historically Underperforming,11,63,12.7,47.6,31.7,7.9
103026303,000005017,ALLEGHENY,MONTOUR SD,MONTOUR HS,Biology,All Students,11,257,38.1,45.5,12.1,4.3
103026303,000005017,ALLEGHENY,MONTOUR SD,MONTOUR HS,Biology,Historically Underperforming,11,63,22.2,38.1,27,12.7
103026303,000005017,ALLEGHENY,MONTOUR SD,MONTOUR HS,Literature,All Students,11,257,5.8,77.4,15.6,1.2
103026303,000005017,ALLEGHENY,MONTOUR SD,MONTOUR HS,Literature,Historically Underperforming,11,63,3.2,54,38.1,4.8
103026343,000004951,ALLEGHENY,MOON AREA SD,MOON SHS,Algebra I,All Students,11,283,26.5,56.5,14.8,2.1
103026343,000004951,ALLEGHENY,MOON AREA SD,MOON SHS,Algebra I,Historically Underperforming,11,78,9,48.7,35.9,6.4
103026343,000004951,ALLEGHENY,MOON AREA SD,MOON SHS,Biology,All Students,11,281,49.8,36.7,10.3,3.2
103026343,000004951,ALLEGHENY,MOON AREA SD,MOON SHS,Biology,Historically Underperforming,11,76,13.2,51.3,23.7,11.8
103026343,000004951,ALLEGHENY,MOON AREA SD,MOON SHS,Literature,All Students,11,282,11.7,79.4,7.1,1.8
103026343,000004951,ALLEGHENY,MOON AREA SD,MOON SHS,Literature,Historically Underperforming,11,76,2.6,75,15.8,6.6
103026402,000000254,ALLEGHENY,MT LEBANON SD,MT LEBANON SHS,Algebra I,All Students,11,431,43.4,49.9,4.6,2.1
103026402,000000254,ALLEGHENY,MT LEBANON SD,MT LEBANON SHS,Algebra I,Historically Underperforming,11,99,22.2,54.5,14.1,9.1
103026402,000000254,ALLEGHENY,MT LEBANON SD,MT LEBANON SHS,Biology,All Students,11,430,54.7,35.8,6.3,3.3
103026402,000000254,ALLEGHENY,MT LEBANON SD,MT LEBANON SHS,Biology,Historically Underperforming,11,98,33.7,36.7,15.3,14.3
103026402,000000254,ALLEGHENY,MT LEBANON SD,MT LEBANON SHS,Literature,All Students,11,429,20,76.2,3.5,0.2
