Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,118408852.0,Wilkes-Barre Area SD,Luzerne,131586910.12,67393880.03999999,1783421.0899999999,69177301.13,0.5257,53632251.15,0.4076,8777357.84,0.0667,,0.0
1.0,118409203.0,Wyoming Area SD,Luzerne,38460817.52,19808029.21,686240.4,20494269.61,0.5329,16379872.0,0.4259,1569160.89,0.0408,17515.02,0.0005
1.0,118409302.0,Wyoming Valley West SD,Luzerne,84114657.42,37903504.95,983927.58,38887432.53,0.4623,38129197.25,0.4533,4921720.01,0.0585,2176307.63,0.0259
1.0,117412003.0,East Lycoming SD,Lycoming,27208277.81,10503865.92,1170707.3699999999,11674573.29,0.4291,14648734.51,0.5384,883512.01,0.0325,1458.0,0.0001
1.0,117414003.0,Jersey Shore Area SD,Lycoming,45137317.1,18659475.030000005,1092187.8299999998,19751662.86,0.4376,23416660.97,0.5188,1938675.1,0.043,30318.17,0.0007
1.0,117414203.0,Loyalsock Township SD,Lycoming,25696921.4,16062687.040000003,967398.31,17030085.35,0.6627,7484676.89,0.2913,672191.66,0.0262,509967.5,0.0198
1.0,117415004.0,Montgomery Area SD,Lycoming,17343344.45,6453112.6099999985,988719.6,7441832.21,0.4291,8875880.22,0.5118,1025632.02,0.0591,,0.0
1.0,117415103.0,Montoursville Area SD,Lycoming,32392717.0,17322158.34,943024.6599999999,18265183.0,0.5639,13442936.0,0.415,635819.0,0.0196,48779.0,0.0015
1.0,117415303.0,Muncy SD,Lycoming,19552910.05,10701940.03,560745.6,11262685.63,0.576,7295184.46,0.3731,799296.14,0.0409,195743.82,0.01
1.0,117416103.0,South Williamsport Area SD,Lycoming,22369576.99,8688608.4,244562.01,8933170.41,0.3993,10386356.17,0.4643,1325050.41,0.0592,1725000.0,0.0771
1.0,117417202.0,Williamsport Area SD,Lycoming,97633382.0,36522287.0,3022831.0,39545118.0,0.405,48796355.0,0.4998,9280144.0,0.0951,11765.0,0.0001
1.0,109420803.0,Bradford Area SD,McKean,41664131.54,12237517.959999997,743068.8999999999,12980586.86,0.3116,25773990.91,0.6186,2803510.56,0.0673,106043.21,0.0025
1.0,109422303.0,Kane Area SD,McKean,18780550.2,4550318.41,228869.17,4779187.58,0.2545,12943965.52,0.6892,1013450.1,0.054,43947.0,0.0023
1.0,109426003.0,Otto-Eldred SD,McKean,11549218.66,1877027.3,173067.59000000003,2050094.89,0.1775,8676062.28,0.7512,780251.49,0.0676,42810.0,0.0037
1.0,109426303.0,Port Allegany SD,McKean,15573155.01,3148513.5900000003,362344.88,3510858.47,0.2254,11444901.53,0.7349,617395.01,0.0396,,0.0
1.0,109427503.0,Smethport Area SD,McKean,16129358.08,4349086.47,493662.43,4842748.9,0.3002,10524303.9,0.6525,762305.28,0.0473,,0.0
1.0,104431304.0,Commodore Perry SD,Mercer,9271157.0,2342198.0,211439.0,2553637.0,0.2754,6146263.0,0.6629,571257.0,0.0616,,0.0
1.0,104432503.0,Farrell Area SD,Mercer,29769547.0,3727625.0,1315443.0,5043068.0,0.1694,13586993.0,0.4564,1516743.0,0.0509,9622743.0,0.3232
1.0,104432803.0,Greenville Area SD,Mercer,22701786.48,6849483.850000001,1174171.31,8023655.16,0.3534,13027231.48,0.5738,1494804.84,0.0658,156095.0,0.0069
1.0,104432903.0,Grove City Area SD,Mercer,41050733.45,13572457.489999998,6177512.490000001,19749969.98,0.4811,16475505.23,0.4013,4825258.24,0.1175,,0.0
1.0,104433303.0,Hermitage SD,Mercer,33518736.19,18939646.169999998,764802.06,19704448.23,0.5879,12338507.49,0.3681,1474711.92,0.044,1068.55,0.0
1.0,104433604.0,Jamestown Area SD,Mercer,9795119.0,3435023.0,266784.0,3701807.0,0.3779,5374023.0,0.5486,529960.0,0.0541,189329.0,0.0193
1.0,104433903.0,Lakeview SD,Mercer,18281443.03,5385520.4,519367.98,5904888.38,0.323,11354276.65,0.6211,1022278.0,0.0559,,0.0
1.0,104435003.0,Mercer Area SD,Mercer,28983547.43,7051287.750000001,1054709.69,8105997.44,0.2797,9726845.98,0.3356,1062345.82,0.0367,10088358.19,0.3481
1.0,104435303.0,Reynolds SD,Mercer,20890379.05,6217470.180000001,861626.9999999999,7079097.18,0.3389,13106003.23,0.6274,703002.69,0.0337,2275.95,0.0001
1.0,104435603.0,Sharon City SD,Mercer,38808472.35,9012184.36,2400621.5,11412805.86,0.2941,23921578.87,0.6164,3473736.62,0.0895,351.0,0.0
1.0,104435703.0,Sharpsville Area SD,Mercer,18871602.32,6059792.420000001,677314.42,6737106.84,0.357,11219900.36,0.5945,914595.12,0.0485,,0.0
1.0,104437503.0,West Middlesex Area SD,Mercer,16605782.17,5555456.030000001,497628.68999999994,6053084.72,0.3645,9685891.75,0.5833,866805.7,0.0522,,0.0
1.0,111444602.0,Mifflin County SD,Mifflin,85329809.91,35471917.49,1066092.47,36538009.96,0.4282,40925978.86,0.4796,7865821.09,0.0922,,0.0
1.0,120452003.0,East Stroudsburg Area SD,Monroe,173724481.2,107819020.41000001,1681622.06,109500642.47,0.6303,50801723.04,0.2924,12160852.2,0.07,1261263.49,0.0073
1.0,120455203.0,Pleasant Valley SD,Monroe,104106820.05,52889565.17,2261322.65,55150887.82,0.5298,44968821.63,0.4319,3655689.46,0.0351,331421.14,0.0032
1.0,120455403.0,Pocono Mountain SD,Monroe,215930586.34,137928348.70999998,2874354.31,140802703.02,0.6521,66193904.17,0.3066,8933979.15,0.0414,,0.0
1.0,120456003.0,Stroudsburg Area SD,Monroe,119298766.61,75586461.25000001,2033037.18,77619498.43,0.6506,36411701.25,0.3052,4560016.39,0.0382,707550.54,0.0059
1.0,123460302.0,Abington SD,Montgomery,161093286.66,116645116.47,2457632.7800000003,119102749.25,0.7393,39181781.32,0.2432,2808756.09,0.0174,,0.0
1.0,123460504.0,Bryn Athyn SD,Montgomery,277062.0,218954.0,209.0,219163.0,0.791,57899.0,0.209,0.0,0.0,,0.0
1.0,123461302.0,Cheltenham SD,Montgomery,124471498.42,95445756.48,2514937.98,97960694.46,0.787,24778833.78,0.1991,1731970.18,0.0139,,0.0
1.0,123461602.0,Colonial SD,Montgomery,139534190.17,109561197.53,4413955.94,113975153.47,0.8168,22705319.62,0.1627,2853717.08,0.0205,,0.0
1.0,123463603.0,Hatboro-Horsham SD,Montgomery,110673469.83,84822442.89,1891510.13,86713953.02,0.7835,21472729.39,0.194,2486387.42,0.0225,400.0,0.0
1.0,123463803.0,Jenkintown SD,Montgomery,17542501.68,13381375.0,312832.0,13694207.0,0.7806,3657273.68,0.2085,191021.0,0.0109,,0.0
1.0,123464502.0,Lower Merion SD,Montgomery,288144406.6,241271519.93,2369210.58,243640730.51,0.8456,41171787.56,0.1429,3331888.53,0.0116,,0.0
1.0,123464603.0,Lower Moreland Township SD,Montgomery,54396304.64,42554948.010000005,661458.86,43216406.87,0.7945,10045500.39,0.1847,756001.0,0.0139,378396.38,0.007
1.0,123465303.0,Methacton SD,Montgomery,114290685.49,87406462.10999998,1968675.8399999996,89375137.95,0.782,23789982.19,0.2082,1102398.52,0.0096,23166.83,0.0002
1.0,123465602.0,Norristown Area SD,Montgomery,170826890.11,116101124.7,5495067.89,121596192.59,0.7118,40119793.69,0.2349,9110903.83,0.0533,,0.0
