Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,"Actual
Instruction Expense (AIE)",Regular Programs - E/S 1100,Special and Gifted Education 1200,"Vocational Education Programs
1300",Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,"Pre-Kindergarten
1800","Pupil Personnel
2100","Instructional Staff
2200","Administration
2300","Pupil Health
2400","Business
2500",Operation & Maintenance of Plant Services 2600,"Student Transportation Services
2700","Central
2800","Other Support Services
2900"
1.0,114063503.0,Hamburg Area SD,Berks,22786940.61,11460910.33,840120.06,35087971.0,,3816550.53,38904521.53,26220605.18,16265131.72,5472652.23,956595.04,92561.62,,,,,1325133.92,893478.63,2004900.28,454065.72,515229.75,3111211.65,1892519.56,1234943.91,29426.91
1.0,114064003.0,Kutztown Area SD,Berks,18174078.98,9923275.13,667674.22,28765028.33,708281.5,22385024.84,51858334.67,22468498.31,12470644.08,4293653.83,1223572.97,181958.1,,4250.0,,,977810.49,1762446.97,2307653.61,454431.58,436420.26,2697251.39,1250087.79,10036.31,27136.73
1.0,114065503.0,Muhlenberg SD,Berks,33270543.0,15618816.0,1482210.0,50371569.0,,7275775.0,57647344.0,38022821.72,23508660.0,7810532.0,1638746.0,312605.0,,,,,2205293.0,1400641.0,3000333.0,590512.0,577912.0,4455750.0,2405641.0,939750.0,42984.0
1.0,114066503.0,Oley Valley SD,Berks,18089705.21,9922270.6,862397.98,28874373.79,,3057069.19,31931442.98,21975793.19,12196485.79,4916014.17,960867.38,7759.23,8578.64,,,,1197371.37,980937.22,2105824.38,509986.88,293658.82,2814588.25,1688828.46,304433.96,26641.26
1.0,114067002.0,Reading SD,Berks,147966478.3,68157332.28,2932330.2,219056140.78,,16921215.41,235977356.19,143410662.0,97146954.76,39478941.41,5279045.1,3537470.88,385735.88,185765.64,,1952564.63,7889289.58,4515916.97,19112756.74,3425419.97,1429319.48,21095531.75,5101031.55,5545295.56,42770.68
1.0,114067503.0,Schuylkill Valley SD,Berks,22644631.54,9663736.12,1240952.52,33549320.18,,3490927.0,37040247.18,25359172.65,16802119.73,4708778.88,621623.11,509462.65,2647.17,,,,1139495.33,606422.76,2067995.94,345967.26,639326.44,2240564.85,2035249.76,557815.62,30898.16
1.0,114068003.0,Tulpehocken Area SD,Berks,17012668.15,8879926.16,492331.27,26384925.58,,3637931.11,30022856.69,19501835.11,12176060.48,3932267.68,736898.31,167441.68,,,,,944321.04,945698.83,1510553.01,346729.66,439178.56,2197617.25,1501760.74,971273.71,22793.36
1.0,114068103.0,Twin Valley SD,Berks,35739979.86,16391048.08,807665.59,52938693.53,17083.34,8610708.69,61566485.56,38822569.13,21971081.75,10339959.27,1653417.28,1759840.48,15681.08,,,,2384015.64,3058063.61,2528821.6,551686.84,613813.26,3470596.27,3504302.27,225166.91,54581.68
1.0,114069103.0,Wilson  SD,Berks,56232500.6,26072560.99,2411156.34,84716217.93,,11609991.0,96326208.93,65669739.69,38599971.08,14817919.03,2475947.77,329005.72,9657.0,,,,3231187.57,5527025.42,4821607.37,783650.16,738204.74,7096496.72,2890983.37,790269.01,193136.63
1.0,114069353.0,Wyomissing Area SD,Berks,18530003.05,10836707.72,955714.05,30322424.82,29815.0,4339232.5,34691472.32,24952743.49,13504033.3,4446803.83,481361.83,93346.09,4458.0,,,,1365485.03,909803.67,2049809.19,497467.22,614391.74,2846250.91,920970.21,1605890.28,26639.47
1.0,108070502.0,Altoona Area SD,Blair,63214855.92,31437748.57,2135038.59,96787643.08,,7891994.12,104679637.2,62261433.78,42783592.74,16509233.13,2734045.07,648112.81,53102.46,486769.71,,,4140226.7,2058944.95,6542097.18,1176068.64,1584986.38,9892850.99,4496690.28,1465694.7,80188.75
1.0,108071003.0,Bellwood-Antis SD,Blair,9417931.16,5145651.12,534515.81,15098098.09,,2335000.62,17433098.71,10720222.73,7192463.9,1675371.38,491296.26,57925.48,874.14,,,,479850.64,760888.02,1320679.79,247058.91,296053.01,1392384.67,566679.73,78153.48,3902.87
1.0,108071504.0,Claysburg-Kimmel SD,Blair,6376423.47,3789122.88,298064.56,10463610.91,,1061589.87,11525200.78,7180082.64,4793774.84,1083282.21,498487.13,879.29,,,,,215671.42,689500.24,935710.63,191226.86,151384.04,1136061.09,460687.26,6683.98,2197.36
1.0,108073503.0,Hollidaysburg Area SD,Blair,27163278.77,14546456.84,941436.66,42651172.27,,18028808.06,60679980.33,31361727.1,20433601.11,5763965.07,666223.57,277369.0,22120.02,,,,1532183.2,2177146.47,3260230.97,598192.14,606611.61,4373391.61,1910014.89,73149.57,15536.38
1.0,108077503.0,Spring Cove SD,Blair,14186198.15,7472391.0,612724.19,22271313.34,,3256591.09,25527904.43,15581725.84,10163848.07,3460382.47,450332.46,111635.15,,,,,773854.25,561201.58,1443721.19,371051.04,446484.0,2137940.12,1540661.8,190290.52,7186.5
