Unnamed: 0,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,121135003.0,Jim Thorpe Area SD,Carbon,48855249.85,32980832.29,2097834.39,35078666.68,0.718,11440558.44,0.2342,766219.41,0.0157,1569805.32,0.0321
1.0,121135503.0,Lehighton Area SD,Carbon,47669985.71,22818900.07,1964859.73,24783759.8,0.5199,19844511.8,0.4163,2904831.72,0.0609,136882.39,0.0029
1.0,121136503.0,Palmerton Area SD,Carbon,38656359.28,21398599.44,1257762.25,22656361.69,0.5861,14453096.74,0.3739,1328223.16,0.0344,218677.69,0.0057
1.0,121136603.0,Panther Valley SD,Carbon,34505313.41,11199356.94,1603605.6,12802962.54,0.371,19493069.38,0.5649,2206871.66,0.064,2409.83,0.0001
1.0,121139004.0,Weatherly Area SD,Carbon,15978193.2,7568007.33,298582.93,7866590.26,0.4923,7368055.44,0.4611,645547.5,0.0404,98000.0,0.0061
1.0,110141003.0,Bald Eagle Area SD,Centre,37333819.04,17931150.79,1009386.26,18940537.05,0.5073,16715881.25,0.4477,1677400.74,0.0449,,0.0
1.0,110141103.0,Bellefonte Area SD,Centre,58440643.79,35525179.19,1408870.17,36934049.36,0.632,19338394.91,0.3309,2168199.52,0.0371,,0.0
1.0,110147003.0,Penns Valley Area SD,Centre,32634243.93,18321379.61,1248933.51,19570313.12,0.5997,11741184.89,0.3598,1305653.92,0.04,17092.0,0.0005
1.0,110148002.0,State College Area SD,Centre,185618232.44,141003560.38,6563799.93,147567360.31,0.795,34675855.2,0.1868,3359844.72,0.0181,15172.21,0.0001
1.0,124150503.0,Avon Grove SD,Chester,107276681.73,64688473.06,3634487.49,68322960.55,0.6369,35971339.98,0.3353,2760010.29,0.0257,222370.91,0.0021
1.0,124151902.0,Coatesville Area SD,Chester,211494341.88,134902353.82,5493718.65,140396072.47,0.6638,61218266.76,0.2895,9480913.74,0.0448,399088.91,0.0019
1.0,124152003.0,Downingtown Area SD,Chester,263725067.78,191666420.91,8201650.6,199868071.51,0.7579,59611939.12,0.226,4035129.95,0.0153,209927.2,0.0008
1.0,124153503.0,Great Valley SD,Chester,121618405.74,97931274.32,4317206.79,102248481.11,0.8407,17576745.34,0.1445,1789056.42,0.0147,4122.87,0.0
1.0,124154003.0,Kennett Consolidated SD,Chester,102143014.27,74630651.13,2488985.82,77119636.95,0.755,21762673.43,0.2131,3214724.89,0.0315,45979.0,0.0005
