District,Subject,Demographic,Total_Students,p4,p5,p6,p7
GATEWAY SD,Biology,Economically Disadvantaged,61,3.3000000000000003,26.200000000000003,39.3,31.1
GATEWAY SD,Biology,ELL,2,NULL,NULL,NULL,NULL
GATEWAY SD,Biology,IEP,36,2.8000000000000003,16.7,30.599999999999998,50.0
GATEWAY SD,Literature,All Students,145,2.8,38.6,43.4,15.2
GATEWAY SD,Literature,Economically Disadvantaged,63,0.0,33.3,52.400000000000006,14.3
GATEWAY SD,Literature,ELL,2,NULL,NULL,NULL,NULL
GATEWAY SD,Literature,IEP,37,0.0,16.2,51.4,32.4
HAMPTON TOWNSHIP SD,Algebra I,All Students,151,63.6,29.799999999999997,6.000000000000001,0.7
HAMPTON TOWNSHIP SD,Algebra I,Economically Disadvantaged,13,61.5,23.1,15.399999999999997,0.0
HAMPTON TOWNSHIP SD,Algebra I,IEP,4,NULL,NULL,NULL,NULL
HAMPTON TOWNSHIP SD,Biology,All Students,43,2.3,32.6,39.49999999999999,25.6
HAMPTON TOWNSHIP SD,Biology,Economically Disadvantaged,4,NULL,NULL,NULL,NULL
HAMPTON TOWNSHIP SD,Biology,IEP,17,0.0,17.6,41.2,41.2
HAMPTON TOWNSHIP SD,Literature,All Students,196,27.6,56.60000000000001,13.8,2.0
HAMPTON TOWNSHIP SD,Literature,Economically Disadvantaged,19,36.8,26.3,26.3,10.5
HAMPTON TOWNSHIP SD,Literature,IEP,20,0.0,35.0,50.0,15.0
HIGHLANDS SD,Algebra I,All Students,64,17.2,32.8,25.0,25.0
HIGHLANDS SD,Algebra I,Economically Disadvantaged,26,11.5,11.5,38.5,38.5
HIGHLANDS SD,Algebra I,IEP,11,0.0,0.0,36.39999999999999,63.6
HIGHLANDS SD,Biology,All Students,105,7.6,20.0,48.6,23.8
HIGHLANDS SD,Biology,Economically Disadvantaged,48,4.2,10.400000000000002,45.8,39.60000000000001
HIGHLANDS SD,Biology,IEP,22,0.0,9.099999999999998,59.099999999999994,31.8
HIGHLANDS SD,Literature,All Students,130,3.1000000000000005,57.70000000000001,32.3,6.9
HIGHLANDS SD,Literature,Economically Disadvantaged,50,2.0,46.0,44.0,8.0
HIGHLANDS SD,Literature,IEP,22,0.0,31.8,36.39999999999999,31.8
KEYSTONE OAKS SD,Algebra I,All Students,36,72.2,5.6000000000000005,11.1,11.1
KEYSTONE OAKS SD,Algebra I,Economically Disadvantaged,10,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Algebra I,ELL,1,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Algebra I,IEP,2,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Biology,All Students,8,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Biology,Economically Disadvantaged,7,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Biology,ELL,1,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Biology,IEP,2,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Literature,All Students,127,11.0,64.6,22.0,2.4
KEYSTONE OAKS SD,Literature,Economically Disadvantaged,43,4.7,58.099999999999994,32.6,4.7
KEYSTONE OAKS SD,Literature,ELL,2,NULL,NULL,NULL,NULL
KEYSTONE OAKS SD,Literature,IEP,17,0.0,41.2,47.099999999999994,11.8
MCKEESPORT AREA SD,Algebra I,All Students,61,13.100000000000001,26.200000000000003,31.1,29.5
MCKEESPORT AREA SD,Algebra I,Economically Disadvantaged,59,13.600000000000001,27.1,32.2,27.1
MCKEESPORT AREA SD,Algebra I,IEP,14,0.0,7.1,0.0,92.9
MCKEESPORT AREA SD,Biology,All Students,150,4.7,20.7,33.3,41.3
MCKEESPORT AREA SD,Biology,Economically Disadvantaged,148,4.7,20.9,33.8,40.5
MCKEESPORT AREA SD,Biology,ELL,2,NULL,NULL,NULL,NULL
MCKEESPORT AREA SD,Biology,IEP,42,2.4,4.8,21.4,71.4
MCKEESPORT AREA SD,Literature,All Students,161,3.7000000000000006,29.799999999999997,39.1,27.3
MCKEESPORT AREA SD,Literature,Economically Disadvantaged,159,3.8,30.2,39.0,27.0
MCKEESPORT AREA SD,Literature,ELL,2,NULL,NULL,NULL,NULL
MCKEESPORT AREA SD,Literature,IEP,49,0.0,10.199999999999998,34.699999999999996,55.1
MONTOUR SD,Algebra I,All Students,187,41.2,29.9,18.7,10.2
MONTOUR SD,Algebra I,Economically Disadvantaged,44,20.5,22.7,36.39999999999999,20.5
MONTOUR SD,Algebra I,IEP,26,11.5,26.899999999999995,26.899999999999995,34.6
MONTOUR SD,Biology,All Students,70,32.9,35.7,14.3,17.1
MONTOUR SD,Biology,Economically Disadvantaged,20,20.0,15.0,30.0,35.0
MONTOUR SD,Biology,IEP,13,0.0,15.399999999999997,23.1,61.5
MONTOUR SD,Literature,All Students,224,17.9,57.10000000000001,17.4,7.6
MONTOUR SD,Literature,Economically Disadvantaged,60,10.0,53.29999999999999,21.7,15.0
MONTOUR SD,Literature,IEP,36,2.8000000000000003,27.800000000000004,38.9,30.599999999999998
MOON AREA SD,Algebra I,All Students,200,39.5,47.0,8.5,5.0
MOON AREA SD,Algebra I,Economically Disadvantaged,26,15.399999999999997,57.70000000000001,19.2,7.699999999999998
MOON AREA SD,Algebra I,ELL,5,NULL,NULL,NULL,NULL
MOON AREA SD,Algebra I,IEP,9,NULL,NULL,NULL,NULL
MOON AREA SD,Biology,All Students,155,5.800000000000001,36.8,43.2,14.2
MOON AREA SD,Biology,Economically Disadvantaged,32,3.1,37.5,40.6,18.8
MOON AREA SD,Biology,ELL,6,NULL,NULL,NULL,NULL
MOON AREA SD,Biology,IEP,28,7.1,14.3,35.7,42.9
MOON AREA SD,Literature,All Students,252,20.2,61.5,11.5,6.7
MOON AREA SD,Literature,Economically Disadvantaged,36,8.3,61.1,16.7,13.900000000000002
MOON AREA SD,Literature,ELL,5,NULL,NULL,NULL,NULL
MOON AREA SD,Literature,IEP,31,3.2,28.999999999999996,28.999999999999996,38.7
MT LEBANON SD,Algebra I,All Students,406,59.4,34.7,4.4,1.5
MT LEBANON SD,Algebra I,Economically Disadvantaged,47,55.3,31.900000000000002,8.5,4.3
MT LEBANON SD,Algebra I,ELL,2,NULL,NULL,NULL,NULL
MT LEBANON SD,Algebra I,IEP,34,32.4,20.6,29.4,17.6
MT LEBANON SD,Biology,All Students,477,36.9,45.9,12.6,4.6
MT LEBANON SD,Biology,Economically Disadvantaged,61,24.6,45.9,19.7,9.8
MT LEBANON SD,Biology,ELL,6,NULL,NULL,NULL,NULL
MT LEBANON SD,Biology,IEP,56,8.9,35.7,32.1,23.2
MT LEBANON SD,Literature,All Students,485,23.5,68.5,7.6,0.4
MT LEBANON SD,Literature,Economically Disadvantaged,61,14.800000000000002,67.2,18.0,0.0
MT LEBANON SD,Literature,ELL,6,NULL,NULL,NULL,NULL
MT LEBANON SD,Literature,IEP,58,1.7000000000000002,60.3,36.2,1.7000000000000002
NORTH ALLEGHENY SD,Algebra I,All Students,546,50.2,38.8,11.0,0.0
NORTH ALLEGHENY SD,Algebra I,Economically Disadvantaged,33,36.4,48.5,15.2,0.0
NORTH ALLEGHENY SD,Algebra I,ELL,2,NULL,NULL,NULL,NULL
NORTH ALLEGHENY SD,Algebra I,IEP,58,36.2,39.7,24.1,0.0
NORTH ALLEGHENY SD,Biology,All Students,14,35.7,35.7,14.3,14.3
NORTH ALLEGHENY SD,Biology,Economically Disadvantaged,1,NULL,NULL,NULL,NULL
NORTH ALLEGHENY SD,Biology,ELL,2,NULL,NULL,NULL,NULL
NORTH ALLEGHENY SD,Literature,All Students,631,27.399999999999995,64.5,6.800000000000001,1.3
NORTH ALLEGHENY SD,Literature,Economically Disadvantaged,57,15.8,64.9,17.5,1.8000000000000003
NORTH ALLEGHENY SD,Literature,ELL,4,NULL,NULL,NULL,NULL
