District,Subject,Demographic,Total_Students,p4,p5,p6,p7
FOX CHAPEL AREA SD,Biology,All Students,314,59.20000000000001,31.8,6.7,2.2
FOX CHAPEL AREA SD,Biology,Historically Underperforming,71,28.199999999999996,47.9,15.5,8.5
FOX CHAPEL AREA SD,Literature,All Students,317,24.600000000000005,68.8,5.699999999999999,0.9000000000000001
FOX CHAPEL AREA SD,Literature,Historically Underperforming,73,5.499999999999999,69.9,20.5,4.1
GATEWAY SD,Algebra I,All Students,239,16.3,53.6,24.7,5.400000000000001
GATEWAY SD,Algebra I,Historically Underperforming,105,7.6,40.0,40.0,12.4
GATEWAY SD,Biology,All Students,240,28.300000000000004,44.6,17.9,9.2
GATEWAY SD,Biology,Historically Underperforming,106,14.2,36.800000000000004,32.1,17.0
GATEWAY SD,Literature,All Students,238,8.4,73.5,12.2,5.9
GATEWAY SD,Literature,Historically Underperforming,105,4.8,61.0,21.9,12.4
HAMPTON TOWNSHIP SD,Algebra I,All Students,246,52.400000000000006,39.8,6.5,1.2
HAMPTON TOWNSHIP SD,Algebra I,Historically Underperforming,41,22.0,43.89999999999999,29.299999999999997,4.8999999999999995
HAMPTON TOWNSHIP SD,Biology,All Students,247,62.8,27.9,8.5,0.8
HAMPTON TOWNSHIP SD,Biology,Historically Underperforming,41,36.6,31.7,26.8,4.8999999999999995
HAMPTON TOWNSHIP SD,Literature,All Students,247,34.4,60.699999999999996,3.6000000000000005,1.2
HAMPTON TOWNSHIP SD,Literature,Historically Underperforming,41,17.1,63.4,14.6,4.8999999999999995
HIGHLANDS SD,Algebra I,All Students,163,3.7000000000000006,46.0,39.3,11.0
HIGHLANDS SD,Algebra I,Historically Underperforming,110,2.7,40.9,40.0,16.4
HIGHLANDS SD,Biology,All Students,159,3.8,35.8,39.0,21.4
HIGHLANDS SD,Biology,Historically Underperforming,106,2.8,30.2,40.6,26.400000000000002
HIGHLANDS SD,Literature,All Students,163,0.0,55.2,35.0,9.8
HIGHLANDS SD,Literature,Historically Underperforming,110,0.0,48.2,38.2,13.600000000000001
HILL HOUSE PASSPORT ACADEMY CS,Algebra I,All Students,31,0.0,3.2,38.7,58.099999999999994
HILL HOUSE PASSPORT ACADEMY CS,Algebra I,Historically Underperforming,20,0.0,5.0,35.0,60.0
HILL HOUSE PASSPORT ACADEMY CS,Biology,All Students,28,0.0,3.5999999999999996,14.3,82.1
HILL HOUSE PASSPORT ACADEMY CS,Biology,Historically Underperforming,16,0.0,6.3,18.8,75.0
HILL HOUSE PASSPORT ACADEMY CS,Literature,All Students,30,0.0,10.0,36.7,53.29999999999999
HILL HOUSE PASSPORT ACADEMY CS,Literature,Historically Underperforming,19,0.0,5.299999999999999,42.1,52.6
KEYSTONE OAKS SD,Algebra I,All Students,149,16.1,62.4,16.8,4.7
KEYSTONE OAKS SD,Algebra I,Historically Underperforming,57,1.8000000000000003,50.9,36.8,10.5
KEYSTONE OAKS SD,Biology,All Students,150,18.0,45.29999999999999,22.7,14.000000000000002
KEYSTONE OAKS SD,Biology,Historically Underperforming,58,8.6,31.0,29.299999999999997,31.0
KEYSTONE OAKS SD,Literature,All Students,147,6.800000000000001,68.0,17.0,8.2
KEYSTONE OAKS SD,Literature,Historically Underperforming,56,1.7999999999999998,44.6,35.7,17.9
MCKEESPORT AREA SD,Algebra I,All Students,182,6.6000000000000005,27.500000000000004,35.7,30.2
MCKEESPORT AREA SD,Algebra I,Historically Underperforming,107,2.8,18.7,40.2,38.3
MCKEESPORT AREA SD,Biology,All Students,182,11.5,21.4,26.899999999999995,40.1
MCKEESPORT AREA SD,Biology,Historically Underperforming,106,5.699999999999999,15.1,27.399999999999995,51.9
MCKEESPORT AREA SD,Literature,All Students,192,5.200000000000001,45.300000000000004,31.8,17.699999999999996
MCKEESPORT AREA SD,Literature,Historically Underperforming,114,0.9000000000000001,32.5,39.5,27.200000000000003
MCKEESPORT AREA TECH CTR,Algebra I,All Students,7,NULL,NULL,NULL,NULL
MCKEESPORT AREA TECH CTR,Algebra I,Historically Underperforming,6,NULL,NULL,NULL,NULL
MCKEESPORT AREA TECH CTR,Biology,All Students,8,NULL,NULL,NULL,NULL
MCKEESPORT AREA TECH CTR,Biology,Historically Underperforming,7,NULL,NULL,NULL,NULL
MCKEESPORT AREA TECH CTR,Literature,All Students,5,NULL,NULL,NULL,NULL
MCKEESPORT AREA TECH CTR,Literature,Historically Underperforming,5,NULL,NULL,NULL,NULL
MONTOUR SD,Algebra I,All Students,213,38.0,43.2,16.0,2.8
MONTOUR SD,Algebra I,Historically Underperforming,64,28.1,34.4,31.3,6.3
MONTOUR SD,Biology,All Students,212,42.9,38.7,11.8,6.6000000000000005
MONTOUR SD,Biology,Historically Underperforming,63,23.8,41.3,22.2,12.7
MONTOUR SD,Literature,All Students,211,17.1,67.8,13.3,1.9000000000000004
MONTOUR SD,Literature,Historically Underperforming,63,7.9,61.9,23.8,6.3
MOON AREA SD,Algebra I,All Students,293,19.5,63.800000000000004,13.699999999999998,3.1
MOON AREA SD,Algebra I,Historically Underperforming,73,5.499999999999999,46.6,37.0,10.999999999999998
MOON AREA SD,Biology,All Students,292,39.7,42.5,11.600000000000001,6.2
MOON AREA SD,Biology,Historically Underperforming,73,13.699999999999998,37.0,26.0,23.3
MOON AREA SD,Literature,All Students,292,11.600000000000001,74.3,11.3,2.7
MOON AREA SD,Literature,Historically Underperforming,72,4.2,51.4,33.3,11.1
MT LEBANON SD,Algebra I,All Students,443,32.5,59.59999999999999,6.5,1.4
MT LEBANON SD,Algebra I,Historically Underperforming,98,16.3,56.10000000000001,22.4,5.099999999999999
MT LEBANON SD,Biology,All Students,441,50.1,41.3,6.800000000000001,1.8000000000000003
MT LEBANON SD,Biology,Historically Underperforming,98,38.8,38.8,14.3,8.2
MT LEBANON SD,Literature,All Students,441,21.100000000000005,73.9,3.900000000000001,1.1000000000000003
MT LEBANON SD,Literature,Historically Underperforming,98,10.199999999999998,71.4,13.3,5.099999999999999
NORTH ALLEGHENY SD,Algebra I,All Students,675,43.7,47.1,7.400000000000001,1.8000000000000003
NORTH ALLEGHENY SD,Algebra I,Historically Underperforming,94,19.1,41.5,26.6,12.8
NORTH ALLEGHENY SD,Biology,All Students,670,53.0,34.3,10.0,2.7000000000000006
NORTH ALLEGHENY SD,Biology,Historically Underperforming,95,24.2,34.7,27.399999999999995,13.699999999999998
NORTH ALLEGHENY SD,Literature,All Students,670,31.8,62.1,4.8999999999999995,1.2000000000000002
NORTH ALLEGHENY SD,Literature,Historically Underperforming,93,11.8,55.89999999999999,23.700000000000003,8.6
NORTH HILLS SD,Algebra I,All Students,316,50.6,31.3,14.899999999999999,3.2
NORTH HILLS SD,Algebra I,Historically Underperforming,83,33.7,27.699999999999996,26.5,12.0
NORTH HILLS SD,Biology,All Students,321,42.39999999999999,37.4,15.0,5.299999999999999
NORTH HILLS SD,Biology,Historically Underperforming,87,19.5,35.6,28.7,16.1
