PINE-RICHLAND SD,Biology,All Students,353,40.8,46.5,8.8,4,2017
PINE-RICHLAND SD,Biology,Historically Underperforming,61,23,44.3,14.8,18,2017
PINE-RICHLAND SD,Literature,All Students,353,12.5,82.2,4.8,0.6,2017
PINE-RICHLAND SD,Literature,Historically Underperforming,60,3.3,76.7,16.7,3.3,2017
PITTSBURGH SD,Algebra I,All Students,85,0,14.1,56.5,29.4,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,73,0,12.3,56.2,31.5,2017
PITTSBURGH SD,Biology,All Students,84,0,13.1,27.4,59.5,2017
PITTSBURGH SD,Biology,Historically Underperforming,72,0,12.5,25,62.5,2017
PITTSBURGH SD,Literature,All Students,81,0,18.5,39.5,42,2017
PITTSBURGH SD,Literature,Historically Underperforming,69,0,13,42,44.9,2017
PITTSBURGH SD,Algebra I,All Students,311,18.3,45.7,29.6,6.4,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,142,2.1,43.7,41.5,12.7,2017
PITTSBURGH SD,Biology,All Students,313,21.1,30,27.2,21.7,2017
PITTSBURGH SD,Biology,Historically Underperforming,144,5.6,20.8,36.1,37.5,2017
PITTSBURGH SD,Literature,All Students,312,10.3,59.6,22.4,7.7,2017
PITTSBURGH SD,Literature,Historically Underperforming,143,2.8,49.7,33.6,14,2017
PITTSBURGH SD,Algebra I,All Students,261,5.7,26.8,39.1,28.4,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,192,3.6,20.8,40.6,34.9,2017
PITTSBURGH SD,Biology,All Students,254,3.1,24.8,29.5,42.5,2017
PITTSBURGH SD,Biology,Historically Underperforming,186,1.1,18.3,28,52.7,2017
PITTSBURGH SD,Literature,All Students,263,2.3,51.3,27,19.4,2017
PITTSBURGH SD,Literature,Historically Underperforming,192,1.6,41.7,30.7,26,2017
PITTSBURGH SD,Algebra I,All Students,150,12,37.3,41.3,9.3,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,109,5.5,33,48.6,12.8,2017
PITTSBURGH SD,Biology,All Students,149,10.7,20.8,40.3,28.2,2017
PITTSBURGH SD,Biology,Historically Underperforming,108,7.4,13.9,44.4,34.3,2017
PITTSBURGH SD,Literature,All Students,150,4,62.7,27.3,6,2017
PITTSBURGH SD,Literature,Historically Underperforming,109,0.9,57.8,33,8.3,2017
PITTSBURGH SD,Algebra I,All Students,74,2.7,24.3,39.2,33.8,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,62,1.6,17.7,40.3,40.3,2017
PITTSBURGH SD,Biology,All Students,75,1.3,20,29.3,49.3,2017
PITTSBURGH SD,Biology,Historically Underperforming,63,1.6,14.3,28.6,55.6,2017
PITTSBURGH SD,Literature,All Students,75,0,45.3,38.7,16,2017
PITTSBURGH SD,Literature,Historically Underperforming,63,0,42.9,38.1,19,2017
PITTSBURGH SD,Algebra I,All Students,141,28.4,53.9,16.3,1.4,2017
PITTSBURGH SD,Algebra I,Historically Underperforming,37,5.4,59.5,29.7,5.4,2017
PITTSBURGH SD,Biology,All Students,141,29.8,43.3,20.6,6.4,2017
PITTSBURGH SD,Biology,Historically Underperforming,37,10.8,40.5,35.1,13.5,2017
PITTSBURGH SD,Literature,All Students,141,17.7,75.9,5,1.4,2017
PITTSBURGH SD,Literature,Historically Underperforming,37,2.7,81.1,13.5,2.7,2017
