Year,School Name,Subject,Group,Grade,Number Scored,% Advanced,% Proficient,% Basic,% Below Basic
2017,CITY CHS,Biology,Historically Underperforming,11,90,8.9,37.8,26.7,26.7
2017,CITY CHS,Literature,All Students,11,150,6.7,66,22.7,4.7
2017,CITY CHS,Literature,Historically Underperforming,11,96,5.2,60.4,27.1,7.3
2017,CLAIRTON MS/HS,Algebra I,All Students,11,49,0,20.4,67.3,12.2
2017,CLAIRTON MS/HS,Algebra I,Historically Underperforming,11,40,0,15,70,15
2017,CLAIRTON MS/HS,Biology,All Students,11,50,0,14,44,42
2017,CLAIRTON MS/HS,Biology,Historically Underperforming,11,40,0,10,40,50
2017,CLAIRTON MS/HS,Literature,All Students,11,49,0,38.8,55.1,6.1
2017,CLAIRTON MS/HS,Literature,Historically Underperforming,11,40,0,37.5,55,7.5
2017,CORNELL HS,Algebra I,All Students,11,46,2.2,32.6,47.8,17.4
2017,CORNELL HS,Algebra I,Historically Underperforming,11,46,2.2,32.6,47.8,17.4
2017,CORNELL HS,Biology,All Students,11,46,15.2,32.6,32.6,19.6
2017,CORNELL HS,Biology,Historically Underperforming,11,46,15.2,32.6,32.6,19.6
2017,CORNELL HS,Literature,All Students,11,46,0,58.7,32.6,8.7
2017,CORNELL HS,Literature,Historically Underperforming,11,46,0,58.7,32.6,8.7
2017,DEER LAKES HS,Algebra I,All Students,11,155,17.4,41.3,32.9,8.4
2017,DEER LAKES HS,Algebra I,Historically Underperforming,11,59,5.1,30.5,49.2,15.3
2017,DEER LAKES HS,Biology,All Students,11,157,34.4,33.1,25.5,7
2017,DEER LAKES HS,Biology,Historically Underperforming,11,61,16.4,31.1,37.7,14.8
2017,DEER LAKES HS,Literature,All Students,11,153,9.2,65.4,18.3,7.2
2017,DEER LAKES HS,Literature,Historically Underperforming,11,58,3.4,51.7,29.3,15.5
2017,EAST ALLEGHENY JSHS,Algebra I,All Students,11,106,10.4,34,33,22.6
2017,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,11,63,3.2,33.3,38.1,25.4
2017,EAST ALLEGHENY JSHS,Biology,All Students,11,109,16.5,25.7,30.3,27.5
2017,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,11,65,12.3,20,32.3,35.4
2017,EAST ALLEGHENY JSHS,Literature,All Students,11,107,1.9,43,37.4,17.8
2017,EAST ALLEGHENY JSHS,Literature,Historically Underperforming,11,62,3.2,32.3,40.3,24.2
2017,ELIZABETH FORWARD SH,Algebra I,All Students,11,194,9.3,59.3,26.8,4.6
2017,ELIZABETH FORWARD SH,Algebra I,Historically Underperforming,11,75,2.7,45.3,40,12
2017,ELIZABETH FORWARD SH,Biology,All Students,11,192,18.8,53.6,19.8,7.8
2017,ELIZABETH FORWARD SH,Biology,Historically Underperforming,11,74,10.8,39.2,32.4,17.6
2017,ELIZABETH FORWARD SH,Literature,All Students,11,185,6.5,66.5,18.9,8.1
2017,ELIZABETH FORWARD SH,Literature,Historically Underperforming,11,70,0,47.1,32.9,20
2017,FOX CHAPEL AREA SHS,Algebra I,All Students,11,334,39.8,50.6,9.3,0.3
2017,FOX CHAPEL AREA SHS,Algebra I,Historically Underperforming,11,79,20.3,51.9,26.6,1.3
2017,FOX CHAPEL AREA SHS,Biology,All Students,11,332,57.8,33.1,6.6,2.4
2017,FOX CHAPEL AREA SHS,Biology,Historically Underperforming,11,77,29.9,45.5,16.9,7.8
2017,FOX CHAPEL AREA SHS,Literature,All Students,11,332,25.6,70.8,3,0.6
2017,FOX CHAPEL AREA SHS,Literature,Historically Underperforming,11,77,3.9,81.8,11.7,2.6
2017,GATEWAY SHS,Algebra I,All Students,11,250,16,61.6,18.8,3.6
2017,GATEWAY SHS,Algebra I,Historically Underperforming,11,85,7.1,55.3,30.6,7.1
2017,GATEWAY SHS,Biology,All Students,11,248,35.9,40.7,17.3,6
2017,GATEWAY SHS,Biology,Historically Underperforming,11,85,21.2,36.5,30.6,11.8
2017,GATEWAY SHS,Literature,All Students,11,250,15.6,72.4,10,2
2017,GATEWAY SHS,Literature,Historically Underperforming,11,85,2.4,71.8,21.2,4.7
2017,HAMPTON HS,Algebra I,All Students,11,256,35.5,53.1,10.5,0.8
2017,HAMPTON HS,Algebra I,Historically Underperforming,11,27,7.4,48.1,37,7.4
2017,HAMPTON HS,Biology,All Students,11,258,45.3,41.9,10.5,2.3
2017,HAMPTON HS,Biology,Historically Underperforming,11,29,10.3,51.7,24.1,13.8
2017,HAMPTON HS,Literature,All Students,11,258,20.5,75.2,3.5,0.8
2017,HAMPTON HS,Literature,Historically Underperforming,11,29,3.4,65.5,24.1,6.9
2017,HIGHLANDS HS,Algebra I,All Students,11,163,6.7,46,35,12.3
2017,HIGHLANDS HS,Algebra I,Historically Underperforming,11,104,1,42.3,38.5,18.3
2017,HIGHLANDS HS,Biology,All Students,11,158,15.8,35.4,34.2,14.6
2017,HIGHLANDS HS,Biology,Historically Underperforming,11,99,9.1,34.3,38.4,18.2
2017,HIGHLANDS HS,Literature,All Students,11,158,3.8,44.3,37.3,14.6
2017,HIGHLANDS HS,Literature,Historically Underperforming,11,99,0,36.4,43.4,20.2
2017,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,All Students,11,45,0,4.4,64.4,31.1
2017,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,Historically Underperforming,11,40,0,5,62.5,32.5
2017,HILL HOUSE PASSPORT ACADEMY CS,Biology,All Students,11,44,0,0,20.5,79.5
2017,HILL HOUSE PASSPORT ACADEMY CS,Biology,Historically Underperforming,11,39,0,0,17.9,82.1
2017,HILL HOUSE PASSPORT ACADEMY CS,Literature,All Students,11,42,0,21.4,54.8,23.8
2017,HILL HOUSE PASSPORT ACADEMY CS,Literature,Historically Underperforming,11,38,0,23.7,52.6,23.7
2017,KEYSTONE OAKS HS,Algebra I,All Students,11,140,23.6,50.7,20.7,5
2017,KEYSTONE OAKS HS,Algebra I,Historically Underperforming,11,54,18.5,33.3,35.2,13
2017,KEYSTONE OAKS HS,Biology,All Students,11,140,20.7,51.4,18.6,9.3
2017,KEYSTONE OAKS HS,Biology,Historically Underperforming,11,54,16.7,37,25.9,20.4
2017,KEYSTONE OAKS HS,Literature,All Students,11,139,7.2,74.8,12.2,5.8
2017,KEYSTONE OAKS HS,Literature,Historically Underperforming,11,53,0,60.4,26.4,13.2
2017,MCKEESPORT AREA SHS,Algebra I,All Students,11,227,5.3,29.1,37.9,27.8
2017,MCKEESPORT AREA SHS,Algebra I,Historically Underperforming,11,129,2.3,24,36.4,37.2
2017,MCKEESPORT AREA SHS,Biology,All Students,11,225,10.7,24,22.2,43.1
2017,MCKEESPORT AREA SHS,Biology,Historically Underperforming,11,127,7.9,18.9,19.7,53.5
2017,MCKEESPORT AREA SHS,Literature,All Students,11,223,3.1,46.2,33.2,17.5
2017,MCKEESPORT AREA SHS,Literature,Historically Underperforming,11,124,0.8,34.7,41.1,23.4
2017,MONTOUR HS,Algebra I,All Students,11,257,28,55.3,14.8,1.9
2017,MONTOUR HS,Algebra I,Historically Underperforming,11,63,12.7,47.6,31.7,7.9
2017,MONTOUR HS,Biology,All Students,11,257,38.1,45.5,12.1,4.3
2017,MONTOUR HS,Biology,Historically Underperforming,11,63,22.2,38.1,27,12.7
2017,MONTOUR HS,Literature,All Students,11,257,5.8,77.4,15.6,1.2
2017,MONTOUR HS,Literature,Historically Underperforming,11,63,3.2,54,38.1,4.8
2017,MOON SHS,Algebra I,All Students,11,283,26.5,56.5,14.8,2.1
2017,MOON SHS,Algebra I,Historically Underperforming,11,78,9,48.7,35.9,6.4
2017,MOON SHS,Biology,All Students,11,281,49.8,36.7,10.3,3.2
2017,MOON SHS,Biology,Historically Underperforming,11,76,13.2,51.3,23.7,11.8
2017,MOON SHS,Literature,All Students,11,282,11.7,79.4,7.1,1.8
2017,MOON SHS,Literature,Historically Underperforming,11,76,2.6,75,15.8,6.6
2017,MT LEBANON SHS,Algebra I,All Students,11,431,43.4,49.9,4.6,2.1
2017,MT LEBANON SHS,Algebra I,Historically Underperforming,11,99,22.2,54.5,14.1,9.1
2017,MT LEBANON SHS,Biology,All Students,11,430,54.7,35.8,6.3,3.3
2017,MT LEBANON SHS,Biology,Historically Underperforming,11,98,33.7,36.7,15.3,14.3
2017,MT LEBANON SHS,Literature,All Students,11,429,20,76.2,3.5,0.2
2017,MT LEBANON SHS,Literature,Historically Underperforming,11,98,12.2,71.4,15.3,1
2017,NORTH ALLEGHENY HIGH SCHOOL,Algebra I,All Students,11,630,44.9,47.8,6,1.3
2017,NORTH ALLEGHENY HIGH SCHOOL,Algebra I,Historically Underperforming,11,67,14.9,46.3,26.9,11.9
2017,NORTH ALLEGHENY HIGH SCHOOL,Biology,All Students,11,625,54.6,33.8,8.6,3
2017,NORTH ALLEGHENY HIGH SCHOOL,Biology,Historically Underperforming,11,65,27.7,21.5,26.2,24.6
2017,NORTH ALLEGHENY HIGH SCHOOL,Literature,All Students,11,626,27.2,68.5,3.2,1.1
2017,NORTH ALLEGHENY HIGH SCHOOL,Literature,Historically Underperforming,11,65,7.7,60,21.5,10.8
2017,NORTH HILLS SHS,Algebra I,All Students,11,347,41.5,39.5,14.4,4.6
2017,NORTH HILLS SHS,Algebra I,Historically Underperforming,11,105,22.9,35.2,27.6,14.3
2017,NORTH HILLS SHS,Biology,All Students,11,347,37.2,45.8,11.2,5.8
2017,NORTH HILLS SHS,Biology,Historically Underperforming,11,105,21,41.9,21.9,15.2
2017,NORTH HILLS SHS,Literature,All Students,11,340,10.9,66.5,19.1,3.5
2017,NORTH HILLS SHS,Literature,Historically Underperforming,11,102,2.9,49,37.3,10.8
2017,NORTHGATE JSHS,Algebra I,All Students,11,64,6.3,40.6,39.1,14.1
2017,NORTHGATE JSHS,Algebra I,Historically Underperforming,11,35,5.7,25.7,45.7,22.9
2017,NORTHGATE JSHS,Biology,All Students,11,64,10.9,32.8,32.8,23.4
2017,NORTHGATE JSHS,Biology,Historically Underperforming,11,34,5.9,17.6,35.3,41.2
2017,NORTHGATE JSHS,Literature,All Students,11,65,7.7,67.7,20,4.6
2017,NORTHGATE JSHS,Literature,Historically Underperforming,11,35,5.7,54.3,31.4,8.6
2017,PA DISTANCE LEARNING CS,Algebra I,All Students,11,51,7.8,17.6,41.2,33.3
2017,PA DISTANCE LEARNING CS,Algebra I,Historically Underperforming,11,20,0,10,35,55
2017,PA DISTANCE LEARNING CS,Biology,All Students,11,51,5.9,25.5,37.3,31.4
2017,PA DISTANCE LEARNING CS,Biology,Historically Underperforming,11,20,0,10,50,40
2017,PA DISTANCE LEARNING CS,Literature,All Students,11,51,3.9,54.9,21.6,19.6
2017,PA DISTANCE LEARNING CS,Literature,Historically Underperforming,11,20,0,45,20,35
2017,PENN HILLS SHS,Algebra I,All Students,11,274,6.6,34.3,38.3,20.8
2017,PENN HILLS SHS,Algebra I,Historically Underperforming,11,169,3,26.6,40.2,30.2
2017,PENN HILLS SHS,Biology,All Students,11,269,17.5,23.8,27.5,31.2
2017,PENN HILLS SHS,Biology,Historically Underperforming,11,165,10.3,20,29.1,40.6
2017,PENN HILLS SHS,Literature,All Students,11,261,3.1,46.7,32.6,17.6
2017,PENN HILLS SHS,Literature,Historically Underperforming,11,158,3.2,36.7,36.7,23.4
2017,PINE-RICHLAND HS,Algebra I,All Students,11,351,43.9,46.4,8.8,0.9
2017,PINE-RICHLAND HS,Algebra I,Historically Underperforming,11,61,16.4,47.5,31.1,4.9
2017,PINE-RICHLAND HS,Biology,All Students,11,353,40.8,46.5,8.8,4
2017,PINE-RICHLAND HS,Biology,Historically Underperforming,11,61,23,44.3,14.8,18
2017,PINE-RICHLAND HS,Literature,All Students,11,353,12.5,82.2,4.8,0.6
2017,PINE-RICHLAND HS,Literature,Historically Underperforming,11,60,3.3,76.7,16.7,3.3
2017,ACADEMY AT WESTINGHOUSE,Algebra I,All Students,11,85,0,14.1,56.5,29.4
2017,ACADEMY AT WESTINGHOUSE,Algebra I,Historically Underperforming,11,73,0,12.3,56.2,31.5
2017,ACADEMY AT WESTINGHOUSE,Biology,All Students,11,84,0,13.1,27.4,59.5
2017,ACADEMY AT WESTINGHOUSE,Biology,Historically Underperforming,11,72,0,12.5,25,62.5
2017,ACADEMY AT WESTINGHOUSE,Literature,All Students,11,81,0,18.5,39.5,42
2017,ACADEMY AT WESTINGHOUSE,Literature,Historically Underperforming,11,69,0,13,42,44.9
2017,ALLDERDICE HS,Algebra I,All Students,11,311,18.3,45.7,29.6,6.4
2017,ALLDERDICE HS,Algebra I,Historically Underperforming,11,142,2.1,43.7,41.5,12.7
2017,ALLDERDICE HS,Biology,All Students,11,313,21.1,30,27.2,21.7
2017,ALLDERDICE HS,Biology,Historically Underperforming,11,144,5.6,20.8,36.1,37.5
2017,ALLDERDICE HS,Literature,All Students,11,312,10.3,59.6,22.4,7.7
2017,ALLDERDICE HS,Literature,Historically Underperforming,11,143,2.8,49.7,33.6,14
2017,BRASHEAR HS,Algebra I,All Students,11,261,5.7,26.8,39.1,28.4
2017,BRASHEAR HS,Algebra I,Historically Underperforming,11,192,3.6,20.8,40.6,34.9
2017,BRASHEAR HS,Biology,All Students,11,254,3.1,24.8,29.5,42.5
2017,BRASHEAR HS,Biology,Historically Underperforming,11,186,1.1,18.3,28,52.7
2017,BRASHEAR HS,Literature,All Students,11,263,2.3,51.3,27,19.4
2017,BRASHEAR HS,Literature,Historically Underperforming,11,192,1.6,41.7,30.7,26
2017,CARRICK HS,Algebra I,All Students,11,150,12,37.3,41.3,9.3
2017,CARRICK HS,Algebra I,Historically Underperforming,11,109,5.5,33,48.6,12.8
2017,CARRICK HS,Biology,All Students,11,149,10.7,20.8,40.3,28.2
2017,CARRICK HS,Biology,Historically Underperforming,11,108,7.4,13.9,44.4,34.3
2017,CARRICK HS,Literature,All Students,11,150,4,62.7,27.3,6
2017,CARRICK HS,Literature,Historically Underperforming,11,109,0.9,57.8,33,8.3
2017,PERRY TRADITIONAL ACAD HS,Algebra I,All Students,11,74,2.7,24.3,39.2,33.8
2017,PERRY TRADITIONAL ACAD HS,Algebra I,Historically Underperforming,11,62,1.6,17.7,40.3,40.3
2017,PERRY TRADITIONAL ACAD HS,Biology,All Students,11,75,1.3,20,29.3,49.3
2017,PERRY TRADITIONAL ACAD HS,Biology,Historically Underperforming,11,63,1.6,14.3,28.6,55.6
2017,PERRY TRADITIONAL ACAD HS,Literature,All Students,11,75,0,45.3,38.7,16
2017,PERRY TRADITIONAL ACAD HS,Literature,Historically Underperforming,11,63,0,42.9,38.1,19
2017,PITTSBURGH CAPA 6-12,Algebra I,All Students,11,141,28.4,53.9,16.3,1.4
2017,PITTSBURGH CAPA 6-12,Algebra I,Historically Underperforming,11,37,5.4,59.5,29.7,5.4
2017,PITTSBURGH CAPA 6-12,Biology,All Students,11,141,29.8,43.3,20.6,6.4
2017,PITTSBURGH CAPA 6-12,Biology,Historically Underperforming,11,37,10.8,40.5,35.1,13.5
2017,PITTSBURGH CAPA 6-12,Literature,All Students,11,141,17.7,75.9,5,1.4
2017,PITTSBURGH CAPA 6-12,Literature,Historically Underperforming,11,37,2.7,81.1,13.5,2.7
2017,PITTSBURGH MILLIONES 6-12,Algebra I,All Students,11,67,1.5,28.4,53.7,16.4
2017,PITTSBURGH MILLIONES 6-12,Algebra I,Historically Underperforming,11,59,1.7,30.5,49.2,18.6
2017,PITTSBURGH MILLIONES 6-12,Biology,All Students,11,65,0,3.1,23.1,73.8
2017,PITTSBURGH MILLIONES 6-12,Biology,Historically Underperforming,11,58,0,1.7,25.9,72.4
2017,PITTSBURGH MILLIONES 6-12,Literature,All Students,11,67,0,25.4,52.2,22.4
2017,PITTSBURGH MILLIONES 6-12,Literature,Historically Underperforming,11,59,0,23.7,50.8,25.4
2017,PITTSBURGH OBAMA 6-12,Algebra I,All Students,11,117,12,55.6,28.2,4.3
2017,PITTSBURGH OBAMA 6-12,Algebra I,Historically Underperforming,11,54,7.4,53.7,35.2,3.7
2017,PITTSBURGH OBAMA 6-12,Biology,All Students,11,116,17.2,35.3,37.1,10.3
2017,PITTSBURGH OBAMA 6-12,Biology,Historically Underperforming,11,54,7.4,35.2,44.4,13
2017,PITTSBURGH OBAMA 6-12,Literature,All Students,11,117,6.8,68.4,21.4,3.4
2017,PITTSBURGH OBAMA 6-12,Literature,Historically Underperforming,11,54,1.9,64.8,29.6,3.7
2017,PITTSBURGH ONLINE ACADEMY,Algebra I,All Students,11,24,4.2,25,50,20.8
2017,PITTSBURGH ONLINE ACADEMY,Algebra I,Historically Underperforming,11,11,0,9.1,54.5,36.4
2017,PITTSBURGH ONLINE ACADEMY,Biology,All Students,11,24,8.3,12.5,37.5,41.7
2017,PITTSBURGH ONLINE ACADEMY,Biology,Historically Underperforming,11,11,0,0,27.3,72.7
2017,PITTSBURGH ONLINE ACADEMY,Literature,All Students,11,22,0,54.5,31.8,13.6
2017,PITTSBURGH SCIENCE & TECH ACAD,Algebra I,All Students,11,70,20,70,10,0
2017,PITTSBURGH SCIENCE & TECH ACAD,Algebra I,Historically Underperforming,11,34,14.7,76.5,8.8,0
2017,PITTSBURGH SCIENCE & TECH ACAD,Biology,All Students,11,70,42.9,51.4,5.7,0
2017,PITTSBURGH SCIENCE & TECH ACAD,Biology,Historically Underperforming,11,34,35.3,61.8,2.9,0
2017,PITTSBURGH SCIENCE & TECH ACAD,Literature,All Students,11,70,10,84.3,5.7,0
2017,PITTSBURGH SCIENCE & TECH ACAD,Literature,Historically Underperforming,11,34,8.8,82.4,8.8,0
2017,PLUM SHS,Algebra I,All Students,11,302,17.5,58.6,19.2,4.6
2017,PLUM SHS,Algebra I,Historically Underperforming,11,87,9.2,44.8,32.2,13.8
2017,PLUM SHS,Biology,All Students,11,303,26.1,40.3,24.4,9.2
2017,PLUM SHS,Biology,Historically Underperforming,11,87,14.9,28.7,34.5,21.8
2017,PLUM SHS,Literature,All Students,11,300,8,67.7,15.7,8.7
2017,PLUM SHS,Literature,Historically Underperforming,11,86,5.8,44.2,31.4,18.6
2017,PROPEL CS - BRADDOCK HILLS,Algebra I,All Students,11,65,7.7,33.8,46.2,12.3
2017,PROPEL CS - BRADDOCK HILLS,Algebra I,Historically Underperforming,11,51,5.9,33.3,47.1,13.7
2017,PROPEL CS - BRADDOCK HILLS,Biology,All Students,11,64,3.1,23.4,45.3,28.1
2017,PROPEL CS - BRADDOCK HILLS,Biology,Historically Underperforming,11,50,0,22,46,32
2017,PROPEL CS - BRADDOCK HILLS,Literature,All Students,11,66,6.1,53,33.3,7.6
2017,PROPEL CS - BRADDOCK HILLS,Literature,Historically Underperforming,11,51,3.9,47.1,43.1,5.9
2017,PROPEL CS - HOMESTEAD,Algebra I,All Students,11,43,9.3,25.6,37.2,27.9
2017,PROPEL CS - HOMESTEAD,Algebra I,Historically Underperforming,11,39,10.3,23.1,38.5,28.2
2017,PROPEL CS - HOMESTEAD,Biology,All Students,11,43,7,25.6,20.9,46.5
2017,PROPEL CS - HOMESTEAD,Biology,Historically Underperforming,11,39,5.1,25.6,20.5,48.7
2017,PROPEL CS - HOMESTEAD,Literature,All Students,11,43,2.3,48.8,25.6,23.3
2017,PROPEL CS - HOMESTEAD,Literature,Historically Underperforming,11,39,2.6,46.2,28.2,23.1
2017,QUAKER VALLEY HS,Algebra I,All Students,11,141,44.7,34,14.9,6.4
2017,QUAKER VALLEY HS,Algebra I,Historically Underperforming,11,32,18.8,25,31.3,25
2017,QUAKER VALLEY HS,Biology,All Students,11,143,57.3,25.9,9.8,7
2017,QUAKER VALLEY HS,Biology,Historically Underperforming,11,32,21.9,21.9,25,31.3
2017,QUAKER VALLEY HS,Literature,All Students,11,146,16.4,71.2,8.9,3.4
