Bethel Park SD	District Address (City)	Bethel Park
Bethel Park SD	District Address (Street)	301 Church Rd
Bethel Park SD	District Name	Bethel Park SD
Bethel Park SD	District Zip Code	15102
Bethel Park SD	Geographic Size of District (Square Miles)	11.75
Bethlehem Area SD	District Address (City)	Bethlehem
Bethlehem Area SD	District Address (Street)	1516 Sycamore St
Bethlehem Area SD	District Name	Bethlehem Area SD
Bethlehem Area SD	District Zip Code	18017
Bethlehem Area SD	Geographic Size of District (Square Miles)	42.06
Bethlehem-Center SD	District Address (City)	Fredericktown
Bethlehem-Center SD	District Address (Street)	194 Crawford Rd
Bethlehem-Center SD	District Name	Bethlehem-Center SD
Bethlehem-Center SD	District Zip Code	15333
Bethlehem-Center SD	Geographic Size of District (Square Miles)	55.33
Big Beaver Falls Area SD	District Address (City)	Beaver Falls
Big Beaver Falls Area SD	District Address (Street)	1503 8th Avenue
Big Beaver Falls Area SD	District Name	Big Beaver Falls Area SD
Big Beaver Falls Area SD	District Zip Code	15010
Big Beaver Falls Area SD	Geographic Size of District (Square Miles)	22.21
Big Spring SD	District Address (City)	Newville
Big Spring SD	District Address (Street)	45 Mount Rock Rd
Big Spring SD	District Name	Big Spring SD
Big Spring SD	District Zip Code	17241
Big Spring SD	Geographic Size of District (Square Miles)	195.06
Blackhawk SD	District Address (City)	Beaver Falls
Blackhawk SD	District Address (Street)	500 Blackhawk Rd
Blackhawk SD	District Name	Blackhawk SD
Blackhawk SD	District Zip Code	15010
Blackhawk SD	Geographic Size of District (Square Miles)	70.79
Blacklick Valley SD	District Address (City)	Nanty Glo
Blacklick Valley SD	District Address (Street)	555 Birch St
Blacklick Valley SD	District Name	Blacklick Valley SD
Blacklick Valley SD	District Zip Code	15943
Blacklick Valley SD	Geographic Size of District (Square Miles)	33.54
Blairsville-Saltsburg SD	District Address (City)	Blairsville
Blairsville-Saltsburg SD	District Address (Street)	102 School Lane
Blairsville-Saltsburg SD	District Name	Blairsville-Saltsburg SD
Blairsville-Saltsburg SD	District Zip Code	15717
Blairsville-Saltsburg SD	Geographic Size of District (Square Miles)	110.85
Bloomsburg Area SD	District Address (City)	Bloomsburg
Bloomsburg Area SD	District Address (Street)	728 E 5th St
Bloomsburg Area SD	District Name	Bloomsburg Area SD
Bloomsburg Area SD	District Zip Code	17815
Bloomsburg Area SD	Geographic Size of District (Square Miles)	84.63
Blue Mountain SD	District Address (City)	Orwigsburg
Blue Mountain SD	District Address (Street)	685 Red Dale Rd
Blue Mountain SD	District Name	Blue Mountain SD
Blue Mountain SD	District Zip Code	17961
Blue Mountain SD	Geographic Size of District (Square Miles)	123.21
Blue Ridge SD	District Address (City)	New Milford
Blue Ridge SD	District Address (Street)	5150 School Road
Blue Ridge SD	District Name	Blue Ridge SD
Blue Ridge SD	District Zip Code	18834
Blue Ridge SD	Geographic Size of District (Square Miles)	110.53
Boyertown Area SD	District Address (City)	Boyertown
Boyertown Area SD	District Address (Street)	911 Montgomery Ave
Boyertown Area SD	District Name	Boyertown Area SD
Boyertown Area SD	District Zip Code	19512
Boyertown Area SD	Geographic Size of District (Square Miles)	97.94
Bradford Area SD	District Address (City)	Bradford
Bradford Area SD	District Address (Street)	150 Lorana Ave
Bradford Area SD	District Name	Bradford Area SD
Bradford Area SD	District Zip Code	16701
Bradford Area SD	Geographic Size of District (Square Miles)	253.52
Brandywine Heights Area SD	District Address (City)	Topton
Brandywine Heights Area SD	District Address (Street)	200 W Weis St
Brandywine Heights Area SD	District Name	Brandywine Heights Area SD
Brandywine Heights Area SD	District Zip Code	19562
Brandywine Heights Area SD	Geographic Size of District (Square Miles)	52.17
Brentwood Borough SD	District Address (City)	Pittsburgh
Brentwood Borough SD	District Address (Street)	3601 Brownsville Rd
Brentwood Borough SD	District Name	Brentwood Borough SD
Brentwood Borough SD	District Zip Code	15227
Brentwood Borough SD	Geographic Size of District (Square Miles)	1.45
Bristol Borough SD	District Address (City)	Bristol
Bristol Borough SD	District Address (Street)	1776 Farragut Avenue
Bristol Borough SD	District Name	Bristol Borough SD
Bristol Borough SD	District Zip Code	19007
Bristol Borough SD	Geographic Size of District (Square Miles)	1.86
Bristol Township SD	District Address (City)	Levittown
Bristol Township SD	District Address (Street)	5 Blue Lake Rd
Bristol Township SD	District Name	Bristol Township SD
Bristol Township SD	District Zip Code	19057
Bristol Township SD	Geographic Size of District (Square Miles)	17.2
Brockway Area SD	District Address (City)	Brockway
Brockway Area SD	District Address (Street)	40 North St
Brockway Area SD	District Name	Brockway Area SD
Brockway Area SD	District Zip Code	15824
Brockway Area SD	Geographic Size of District (Square Miles)	130.4
Brookville Area SD	District Address (City)	Brookville
Brookville Area SD	District Address (Street)	104 Jenks Street
Brookville Area SD	District Name	Brookville Area SD
Brookville Area SD	District Zip Code	15825
Brookville Area SD	Geographic Size of District (Square Miles)	262.95
Brownsville Area SD	District Address (City)	Brownsville
Brownsville Area SD	District Address (Street)	5 Falcon Drive
Brownsville Area SD	District Name	Brownsville Area SD
Brownsville Area SD	District Zip Code	15417
Brownsville Area SD	Geographic Size of District (Square Miles)	56.66
Burgettstown Area SD	District Address (City)	Burgettstown
Burgettstown Area SD	District Address (Street)	100 Bavington Rd
Burgettstown Area SD	District Name	Burgettstown Area SD
Burgettstown Area SD	District Zip Code	15021
Burgettstown Area SD	Geographic Size of District (Square Miles)	105.34
Burrell SD	District Address (City)	Lower Burrell
Burrell SD	District Address (Street)	1021 Puckety Church Rd
Burrell SD	District Name	Burrell SD
Burrell SD	District Zip Code	15068
Burrell SD	Geographic Size of District (Square Miles)	26.65
Butler Area SD	District Address (City)	Butler
Butler Area SD	District Address (Street)	110 Campus Lane
Butler Area SD	District Name	Butler Area SD
Butler Area SD	District Zip Code	16001
Butler Area SD	Geographic Size of District (Square Miles)	144.24
California Area SD	District Address (City)	Coal Center
California Area SD	District Address (Street)	11 Trojan Way Suite 100
California Area SD	District Name	California Area SD
California Area SD	District Zip Code	15423
California Area SD	Geographic Size of District (Square Miles)	34.58
Cambria Heights SD	District Address (City)	Patton
Cambria Heights SD	District Address (Street)	426 Glendale Lake Rd
Cambria Heights SD	District Name	Cambria Heights SD
Cambria Heights SD	District Zip Code	16668
