DELAWARE VALLEY SD,Milford,236 Route 6 and 209,18337,196.12
DERRY AREA SD,Derry,982 N Chestnut Street Ext,15627,97.92
DERRY TOWNSHIP SD,Hershey,30 East Granada Ave,17033,27.4
DONEGAL SD,Mount Joy,1051 Koser Rd,17552,35.72
DOVER AREA SD,Dover,101 Edgeway Road,17315,70.36
DOWNINGTOWN AREA SD,Downingtown,540 Trestle Place,19335,80.02
DUBOIS AREA SD,DuBois,500 Liberty Blvd,15801,258.21
DUNMORE SD,Dunmore,300 W Warren St,18512,8.99
DUQUESNE CITY SD,Duquesne,300 Kennedy Ave,15110,2.04
EAST ALLEGHENY SD,North Versailles,1150 Jacks Run Rd,15137,9.47
EAST LYCOMING SD,Hughesville,349 Cemetery St,17737,147.21
EAST PENN SD,Emmaus,800 Pine Street,18049,45.07
EAST PENNSBORO AREA SD,Enola,890 Panther Parkway,17025,10.7
EAST STROUDSBURG AREA SD,East Stroudsburg,50 Vine St,18301,216.84
EASTERN LANCASTER COUNTY SD,New Holland,669 E Main St,17557,97.18
EASTERN LEBANON COUNTY SD,Myerstown,180 Elco Dr,17067,71.06
EASTERN YORK SD,Wrightsville,120 S Third St,17368,55.06
EASTON AREA SD,Easton,1801 Bushkill Drive,18040,31.63
ELIZABETH FORWARD SD,Elizabeth,401 Rock Run Road,15037,43.5
ELIZABETHTOWN AREA SD,Elizabethtown,600 E High St,17022,56.2
ELK LAKE SD,Springville,2380 Elk Lake School Road,18844,195.01
ELLWOOD CITY AREA SD,Ellwood City,501 Crescent Ave,16117,38.76
EPHRATA AREA SD,Ephrata,803 Oak Blvd,17522,43.87
ERIE CITY SD,Erie,148 W 21st St,16502,27.96
EVERETT AREA SD,EVERETT,427 E SOUTH ST,15537,294.13
EXETER TOWNSHIP SD,Reading,200 Elm St,19606,25.46
FAIRFIELD AREA SD,Fairfield,4840 Fairfield Rd,17320,61.66
FAIRVIEW SD,Fairview,7466 McCray Rd,16415,29.16
FANNETT-METAL SD,Willow Hill,14823 Path Valley Road,17271,121.89
FARRELL AREA SD,Farrell,1600 Roemer Blvd,16121,3.21
FERNDALE AREA SD,Johnstown,100 Dartmouth Ave,15905,5.96
FLEETWOOD AREA SD,Fleetwood,801 N Richmond St,19522,39.44
FORBES ROAD SD,Waterfall,159 Red Bird Drive,16689,106.96
FOREST AREA SD,Tionesta,"22318 Route 62, Box 16",16353,503.78
FOREST CITY REGIONAL SD,Forest City,100 Susquehanna Street,18421,96.61
FOREST HILLS SD,Sidman,549 Locust Street,15955,96.18
FORT CHERRY SD,Mc Donald,110 Fort Cherry Road,15057,57.82
FORT LEBOEUF SD,Waterford,34 East Ninth St,16441,110.39
FOX CHAPEL AREA SD,Pittsburgh,611 Field Club Rd,15238,34.28
FRANKLIN AREA SD,Franklin,40 Knights Way,16323,187.73
FRANKLIN REGIONAL SD,Murrysville,3210 School Rd,15668,37.94
FRAZIER SD,Perryopolis,142 Constitution St,15473,59.46
FREEDOM AREA SD,Freedom,1702 School Street,15042,34.89
FREEPORT AREA SD,Sarver,621 South Pike Rd,16055,53.43
GALETON AREA SD,Galeton,27 Bridge Street,16922,315.87
GARNET VALLEY SD,Glen Mills,80 Station Road,19342,21.27
GATEWAY SD,Monroeville,9000 Gateway Campus Boulevard,15146,20.25
GENERAL MCLANE SD,Edinboro,11771 Edinboro Rd,16412,114.26
GETTYSBURG AREA SD,Gettysburg,900 Biglerville Rd,17325,176.83
GIRARD SD,Girard,1203 Lake St,16417,35.92
GLENDALE SD,Flinton,1466 Beaver Valley Rd,16640,98.75
GOVERNOR MIFFLIN SD,Shillington,10 South Waverly Street,19607,41.26
GREAT VALLEY SD,Malvern,47 Church Rd,19355,43.06
GREATER JOHNSTOWN SD,Johnstown,1091 Broad St,15906,29.13
GREATER LATROBE SD,Latrobe,1816 Lincoln Ave,15650,70
GREATER NANTICOKE AREA SD,Nanticoke,427 Kosciuszko St,18634,54.13
GREENCASTLE-ANTRIM SD,Greencastle,500 East Leitersburg Street,17225,71.9
GREENSBURG SALEM SD,Greensburg,1 Academy Hill Place,15601,52.96
GREENVILLE AREA SD,Greenville,9 Donation Rd,16125,28.48
GREENWOOD SD,Millerstown,405 E Sunbury St,17062,97.08
GROVE CITY AREA SD,Grove City,511 Highland Ave,16127,87.8
HALIFAX AREA SD,Halifax,3940 Peters Mountain Rd,17032,86.07
HAMBURG AREA SD,Hamburg,Windsor Street,19526,104.09
HAMPTON TOWNSHIP SD,Allison Park,4591 School Dr,15101,16.2
HANOVER AREA SD,Hanover Township,1600 Sans Souci Pkwy,18706,21.97
HANOVER PUBLIC SD,Hanover,403 Moul Ave,17331,3.71
HARBOR CREEK SD,Harborcreek,6375 Buffalo Rd,16421,34.11
HARMONY AREA SD,Westover,5239 Ridge Rd,16692,83.49
HARRISBURG CITY SD,Harrisburg,1601 State Street,17103,11.86
HATBORO-HORSHAM SD,Horsham,229 Meetinghouse Rd,19044,18.74
HAVERFORD TOWNSHIP SD,Havertown,50 East Eagle Road,19083,9.95
HAZLETON AREA SD,Hazle Twp,1515 W 23rd St,18202,251.78
HEMPFIELD AREA SD,Greensburg,4347 Route 136,15601,83.77
HEMPFIELD SD,Landisville,200 Church St,17538,44.27
HERMITAGE SD,Hermitage,411 N Hermitage Road,16148,29.23
HIGHLANDS SD,Natrona Heights,1500 Pacific Avenue,15065,22.78
HOLLIDAYSBURG AREA SD,Hollidaysburg,405 Clark Street,16648,121.67
HOMER-CENTER SD,Homer City,65 Wildcat Lane,15748,41.17
HOPEWELL AREA SD,Aliquippa,2354 Brodhead Rd,15001,59.83
HUNTINGDON AREA SD,Huntingdon,2400 Cassady Ave,16652,274.88
INDIANA AREA SD,Indiana,501 E Pike,15701,82.39
INTERBORO SD,Prospect Park,900 Washington Ave,19076,11.31
IROQUOIS SD,Erie,800 Tyndall Avenue,16511,2.37
JAMESTOWN AREA SD,Jamestown,204 Shenango Street,16134,61.61
JEANNETTE CITY SD,Jeannette,800 Florida Ave,15644,2.34
JEFFERSON-MORGAN SD,Jefferson,1351 Jefferson Rd,15344,47.58
JENKINTOWN SD,Jenkintown,West and Highland Avenues,19046,0.58
JERSEY SHORE AREA SD,Jersey Shore,175 A & P Drive,17740,391.94
JIM THORPE AREA SD,Jim Thorpe,410 Center Ave,18229,116.6
JOHNSONBURG AREA SD,Johnsonburg,315 High School Road,15845,166.87
JUNIATA COUNTY SD,Mifflintown,146 Weatherby Way,17059,374.05
JUNIATA VALLEY SD,Alexandria,7775 Juniata Valley Pike,16611,134.84
KANE AREA SD,Kane,400 West Hemlock Avenue,16735,245.26
KARNS CITY AREA SD,Karns City,1446 Kittanning Pike,16041,131.25
