Name,Latitude,Longitude
Lincoln El Sch,40.386413,-80.04772
Markham El Sch,40.366894,-80.054022
Mellon MS,40.377514,-80.045955
Mt Lebanon SHS,40.376365,-80.05056
Washington El Sch,40.378486,-80.045689
Bradford Woods El Sch,40.633301799,-80.074065617
Carson MS,40.566272999,-80.031173668
Franklin El Sch,40.5869566580001,-80.096700405
Hosack El Sch,40.574145533,-80.0023185439999
Ingomar El Sch,40.582152212,-80.053232411
Ingomar MS,40.581441548,-80.0724774559999
Marshall El Sch,40.643581145,-80.091173511
Marshall MS,40.6437570580001,-80.0947299589999
McKnight El Sch,40.5709900420001,-80.028546335
Peebles El Sch,40.565266095,-80.010399408
Avalon El Sch,40.500898776,-80.0663663079999
Bellevue El Sch,40.494130096,-80.054584798
Northgate MSHS,40.5063211290001,-80.056571913
McIntyre El Sch,40.550027,-80.004742
North Hills MS,40.523789,-80.029557
North Hills SHS,40.523901,-80.029783
Ross El Sch,40.526359,-80.002672
West View El Sch,40.521367,-80.031557
Linton MS,40.4811623030001,-79.813120593
Penn Hills SHS,40.467595488,-79.817326413
O'Block El Sch,40.482439,-79.757612
Plum MS,40.47264,-79.712809
Pivik El Sch,40.493901,-79.750594
Plum SHS,40.508195,-79.774018
Edgeworth El Sch,40.548942196,-80.191024955
Osborne El Sch,40.530556,-80.16858883
Quaker Valley HS,40.5610539950001,-80.2033479899999
Quaker Valley MS,40.536002178,-80.180618167
Riverview JSHS,40.526319,-79.844282
Tenth Street El Sch,40.520746,-79.833411
Verner El Sch,40.504677,-79.83933
Burchfield Primary Sch,40.547997,-79.943613
Marzolf Primary Sch,40.513697,-79.96798
Reserve Primary Sch,40.474686,-79.981942
Scott Primary Sch,40.548014,-79.943573
Shaler Area El Sch,40.53887,-79.982349
Shaler Area HS,40.516723,-79.972204
Shaler Area MS,40.527225,-79.963878
South Allegheny El Sch,40.3303360570001,-79.878036013
South Fayette MS,40.377637045,-80.171141688
South Fayette Twp El Sch,40.3758592240001,-80.170533338
South Fayette Twp HS,40.375192102,-80.167115537
South Park Elem Center,40.301611,-79.992345
South Park MS,40.29579,-80.012145
South Park SHS,40.301185,-79.992983
Barrett El Sch,40.4049581680001,-79.907603808
Park El Sch,40.3820657470001,-79.9060587239999
Steel Valley MS,40.3886289230001,-79.897903174
Steel Valley SHS,40.3885096720001,-79.897940235
Sto-Rox Primary Ctr,40.492102636,-80.095515027
Sto-Rox JSHS,40.4703051330001,-80.0744809889999
Baker El Sch,40.3352311020001,-80.096489439
Boyce MS,40.3166440580001,-80.094988889
Eisenhower El Sch,40.3495172200001,-80.0625428019999
Fort Couch MS,40.353854487,-80.064370013
Streams El Sch,40.322392947,-80.09377898
Upper Saint Clair HS,40.334819549,-80.070623742
Donaldson Elem Sch,40.421412,-80.232108
McKee El Sch,40.428509,-80.203302
West Allegheny MS,40.447493,-80.233484
West Allegheny SHS,40.447334,-80.23358
Wilson El Sch,40.444743,-80.267941
Gill Hall El Sch,40.3007585080001,-79.960602868
Jefferson Hills Intermediate Sch,40.2967438840001,-79.9324405099999
McClellan El Sch,40.3297197140001,-79.9704870589999
Pleasant Hills MS,40.330170751,-79.962049022
Thomas Jefferson HS,40.311105529,-79.951830334
Clara Barton El Sch,40.3425623620001,-79.9214789649999
West Mifflin Area HS,40.382893,-79.877123
West Mifflin Area MS,40.347268,-79.926624
Kelly Primary Sch,40.4402832710001,-79.890360508
Turner Intermediate Sch,40.4494869060001,-79.864722601
Edgewood El STEAM Academy,40.432417,-79.88274
Wilkins El STEAM Academy,40.435712,-79.835569
Woodland Hills HS,40.4363107140001,-79.856189478
Butler Area IHS,40.860973,-79.916086
Center Twp Sch,40.905213,-79.929224
Connoquenessing El Sch,40.82408,-80.011374
Emily Brittain El Sch,40.864206,-79.89695
Mcquistion El Sch,40.844786,-79.888957
Northwest El Sch,40.870986,-79.939991
Summit El Sch,40.840165,-79.82869
Chicora El Sch,40.9500729160001,-79.737534158
Karns City HS,40.987831203,-79.726471437
Sugarcreek El Sch,40.9168173890001,-79.6058886179999
Mars Area Centennial Sch,40.699271,-79.970265
Mars Area El Sch,40.694923282,-79.9854406859999
Mars Area MS,40.6955347950001,-79.976160111
Mars Area Primary Ctr,40.6964619660001,-79.983976899
Mars Area SHS,40.692095862,-79.97991827
Dassa McKinney El Sch,41.000225,-79.882933
Moniteau JSHS,41.066517,-79.896469
Moraine El Sch,40.903431094,-80.042993043
Slippery Rock Area El Sch,41.0701517410001,-80.062623547
Slippery Rock Area HS,41.0558495130001,-80.0433691919999
Slippery Rock Area MS,41.058206553,-80.047189663
Knoch HS,40.746701,-79.827431
Knoch MS,40.750346,-79.840829
Knoch Intermediate El Sch,40.746387,-79.827619
Knoch Primary Sch,40.745431,-79.827771
Connoquenessing Valley El Sch,40.791023,-80.127308
Ehrman Crest El Sch,40.738511,-80.101495
Ehrman Crest MS,40.738511,-80.101495
Haine El Sch,40.695162,-80.126048
Haine MS,40.695162,-80.126048
Rowan El Sch,40.704286,-80.094792
Ryan Gloyer MS,40.809527,-80.107019
Lincoln JSHS,40.8566215010001,-80.286868301
Laurel El Sch,41.018720247,-80.258714843
Laurel HS,41.01434679,-80.260948126
Mohawk El Sch,40.978982177,-80.4502091529999
Mohawk SHS,40.979424442,-80.453171056
Neshannock JSHS,41.0663017530001,-80.346324075
Neshannock Memorial El Sch,41.0666950880001,-80.348355367
New Castle SHS,41.005459,-80.341423
Washington Intrmd Sch,41.016127,-80.34626
Shenango El Sch,40.9697066950001,-80.315939005
Shenango HS,40.967440851,-80.311832119
Union Area HS,41.0002685700001,-80.384511948
Union Area MS,41.000397589,-80.384457201
Union Memorial El Sch,40.9998243650001,-80.377635235
Wilmington Area El Sch,41.123717,-80.337835
Wilmington Area HS,41.123704,-80.335884
Wilmington Area MS,41.123716,-80.337084
Commodore Perry JSHS,41.427844087,-80.2079789599999
Commodore Perry Sch,41.4278155980001,-80.208048162
Farrell Area ES/LMS,41.215917528,-80.487546618
Farrell Area HS/UMS,41.2128792610001,-80.483846173
Greenville JSHS,41.4031220370001,-80.372385518
Grove City Area HS,41.1620899210001,-80.098818678
Hillview El Sch,41.151265,-80.075968
Artman El Sch,41.238454,-80.449922
Delahunty MS,41.23767,-80.449721
Hickory HS,41.242165,-80.449863
Karen A. Ionta El Sch,41.238731,-80.449933
Jamestown Area El Sch,41.492345,-80.444124
Jamestown Area JSHS,41.485886,-80.433807
Oakview El Sch,41.3399205630001,-80.0841866069999
Mercer Area El Sch,41.229212628,-80.2478435749999
Mercer Area MS,41.2243038500001,-80.248080635
Mercer Area SHS,41.224394965,-80.248286956
Reynolds El Sch,41.338003,-80.396572
Reynolds JSHS,41.347964,-80.398537
Case Avenue El Sch,41.232953,-80.495321
Musser El Sch,41.225927,-80.497204
Sharon HS,41.233128,-80.488488
Sharon MS,41.233128,-80.488488
West Hill El Sch,41.235917,-80.514582
Sharpsville Area El Sch,41.2560440500001,-80.4773416049999
Sharpsville Area MS,41.2551845850001,-80.475555559
Sharpsville Area SHS,41.254764472,-80.476349888
Luther W Low El Sch,41.1716446070001,-80.449065992
Oakview El Sch,41.174048032,-80.446525854
West Middlesex Area JSHS,41.173508213,-80.4495989979999
Conneaut Lake-Sadsbury El Sch,41.604689,-80.309213
Conneaut Valley El Sch,41.780753,-80.36424
Cochranton El Sch,41.5114351650001,-80.038666695
Cochranton JSHS,41.523357436,-80.053735006
Second District El Sch,41.630132,-80.153277
First District El Sch,41.6431323040001,-80.1481987339999
Meadville Area SHS,41.635474,-80.127917
Meadville MS,41.63482,-80.125892
Neason Hill El Sch,41.6227396850001,-80.139604919
West End El Sch,41.632915,-80.236888
Cambridge Springs El Sch,41.799195,-80.065129
Cambridge Springs JSHS,41.800513,-80.066064
Maplewood El Sch,41.684836,-79.893297
Maplewood JSHS,41.656689,-79.938727
Saegertown El Sch,41.705676,-80.12577
Saegertown JSHS,41.721331,-80.165117
Corry Area Intrmd Sch,41.919877,-79.642315
Corry Area HS,41.919379,-79.626243
Corry Area MS,41.919379,-79.626243
Grover Cleveland El Sch,42.090148,-80.099586
JoAnna Connell Sch,42.117022,-80.026879
Diehl Sch,42.133681,-80.024085
Edison El Sch,42.145564,-80.042057
Harding Sch,42.113321,-80.121884
Jefferson El Sch,42.103968,-80.062454
Lincoln El Sch,42.1142757480001,-80.0518472909999
McKinley El Sch,42.122817,-80.055078
Northwest PA Collegiate Academy,42.10991,-80.072031
Perry El Sch,42.102261,-80.091464
Pfeiffer-Burleigh Sch,42.126124,-80.077317
Woodrow Wilson MS,42.116359,-80.056027
Fairview El Sch,42.031701335,-80.2576834119999
Fairview HS,42.0215676460001,-80.2465284899999
Fairview MS,42.025004976,-80.249642122
Fort LeBoeuf MS,41.950445,-79.987594
Fort LeBoeuf SHS,41.950887,-79.989538
Mill Village El Sch,41.875786664,-79.965008812
Robison El Sch,42.047051,-80.067434
Waterford El Sch,41.943441,-79.983077
Edinboro El Sch,41.880918,-80.147857
General McLane HS,41.915356,-80.124912
James W Parker MS,41.914889,-80.124959
McKean El Sch,41.99686,-80.147154
Elk Valley El Sch,42.010485,-80.34458
Girard HS,42.006589,-80.334519
Rice Avenue MS,42.009141,-80.329521
Clark El Sch,42.148638,-79.940221
Harbor Creek Junior HS,42.165499,-79.956108
Harbor Creek Senior HS,42.165499,-79.956108
Klein El Sch,42.171351,-79.995711
Rolling Ridge El Sch,42.138818,-79.997318
Iroquois El Sch,42.153442,-80.014077
Iroquois JSHS,42.151442,-80.0122
Asbury El Sch,42.044967,-80.173636
Belle Valley El Sch,42.09941,-80.024847
Chestnut Hill El Sch,42.079834,-80.078447
Grandview El Sch,42.071175,-80.135588
James S Wilson MS,42.08038,-80.076932
McDowell HS,42.07225,-80.148006
Tracy El Sch,42.108191,-80.142726
Walnut Creek MS,42.044373,-80.174025
Westlake MS,42.088594,-80.183153
Earle C Davis Primary,42.219083,-79.830122
North East HS,42.223002,-79.833216
North East Intrmd El,42.219083,-79.830122
North East MS,42.222987,-79.833216
Northwestern El Sch,41.8879299660001,-80.3507978919999
Northwestern MS,41.888682202,-80.3533778999999
Northwestern SHS,41.886310693,-80.354732836
Springfield El Sch,41.9636283520001,-80.404379911
Union City El Sch,41.88814224,-79.8443311139999
Union City HS,41.889917773,-79.838624667
Union City MS,41.8899816360001,-79.838327372
Seneca HS,42.056662,-79.903901
Wattsburg Area El Ctr,42.056605,-79.903337
Wattsburg Area MS,42.056639,-79.903675
Beaty-Warren MS,41.847913,-79.138218
Eisenhower M/HS,41.962977569,-79.203236341
Sheffield M/HS,41.716500567,-79.0445037489999
Warren Area El Ctr,41.854954,-79.135203
Warren Area HS,41.854924,-79.135238
Youngsville El Sch,41.850151,-79.326012
Youngsville MS/HS,41.852129,-79.314716
Allegheny-Clarion Valley Elem,41.1466002120001,-79.675522762
Allegheny-Clarion Valley HS,41.1444440120001,-79.675244095
Clarion Area El Sch,41.205938,-79.384278
Clarion Area JSHS,41.217018,-79.388018
Clarion-Limestone Area JSHS,41.181793,-79.275896
Clarion-Limestone El Sch,41.181793,-79.275896
Keystone El Sch,41.23011,-79.53294
Keystone JSHS,41.232869,-79.529668
North Clarion Co El Sch,41.4828703709719,-79.4500087327161
North Clarion Co JSHS,41.4828703709719,-79.4500087327161
Redbank Valley HS,41.002944,-79.322584
Union HS,41.0344288470001,-79.500538713
C G Johnson El Sch,41.090197,-78.884393
DuBois Area MS,41.121767,-78.758366
DuBois Area SHS,41.126417,-78.746319
Juniata El Sch,41.131016,-78.759177
Oklahoma El Sch,41.114179,-78.739228
Wasson Avenue El Sch,41.10697,-78.773212
East Forest El Sch,41.472616,-79.121864
East Forest JSHS,41.472616,-79.121864
West Forest El Sch,41.545474718,-79.4328448379999
West Forest JSHS,41.5453859090001,-79.432763211
Brockway Area Elementary Sch,41.2513679620001,-78.804574956
Brockway Area JSHS,41.2512686530001,-78.807408659
Brookville JSHS,41.167238,-79.085846
Hickory Grove El Sch,41.173855,-79.090484
Northside El Sch,41.163656508,-79.080603041
Pinecreek El Sch,41.148979,-79.027292
Punxsutawney Area HS,40.951741661,-78.9778255539999
Cranberry Area JSHS,41.368196,-79.705214
Cranberry El Sch,41.368204,-79.705277
Central El Sch,41.399809,-79.829442
Franklin Area JSHS,41.371351,-79.848687
Sandycreek El Sch,41.370833195,-79.846686077
Victory El Sch,41.213248703,-79.941081727
Hasson Heights Sch,41.441573469,-79.685695209
Oil City Area MS,41.426908073,-79.687157376
Oil City SHS,41.430453147,-79.683131315
Smedley Street Sch,41.4217833280001,-79.720199243
Early Childhood Lc,41.630833,-79.668344
Hydetown El Sch,41.645675,-79.720264
Main Street El Sch,41.628273,-79.673677
