name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
McKinley El Sch,16.01,0.46,6.5,45.48,9.28,0,0,0,90.49,10.44,51.04,431,19.72,Yes,22.27
McKinley Sch,7.61,0,6.32,12.5,7.33,0.14,0,4.89,22.7,3.02,49.28,696,16.09,No,66.24
McKinley William Sch,0.85,0,1.42,45.17,50.57,0,0.28,0,91.48,8.81,42.33,352,23.3,Yes,1.7
McKnight El Sch,4.71,0.13,6.93,1.57,4.18,0.65,0.13,1.96,14.12,3.92,48.89,765,11.63,Yes,82.35
McMichael Morton Sch,2.67,0,0,93.67,2.33,0,0,0,92.67,0.33,49.67,300,32.33,Yes,1.33
McMurray El Sch,2.24,0.52,2.24,0.69,2.07,2.58,0.34,3.79,5.16,0,46.3,581,13.25,Yes,91.91
McNichols Plaza,4.87,0,7.74,11.17,51.58,0,0,0,82.23,11.75,48.71,349,13.47,Yes,24.64
Mcquistion El Sch,2.79,0.7,0.23,2.33,3.26,0,0.23,0.93,58.6,0.47,50.93,430,18.37,Yes,90.47
Meade Gen George C Sch,2.56,0,0.32,91.67,4.17,0,0.32,0,94.55,0.32,42.63,312,23.08,Yes,0.96
Meadville Area SHS,6.94,0.51,1.03,7.07,2.44,0.13,0,3.08,46.27,0.51,46.4,778,23.01,No,82.01
Meadville MS,8.71,0.25,0.25,3.98,1.49,0.25,0,4.73,55.72,0,43.28,402,22.64,No,85.32
Mechanicsburg Area SHS,4.95,0.32,3.75,8.62,7.9,0.4,0.08,2.55,29.69,3.27,48.2,1253,16.28,No,74.38
Mechanicsburg MS,5.16,0,2.96,9.26,7.74,0.57,0,3.15,33.14,4.68,49.76,1047,17.19,Yes,74.88
Media El Sch,9.18,0.2,6.94,4.49,2.86,0,0,4.49,10.61,2.86,50,490,8.16,Yes,76.33
Meehan Austin MS,9.65,0.58,4.39,28.65,33.63,0,0,0.29,74.56,17.54,51.46,342,20.47,Yes,23.1
Mellon El Sch,3.57,0,0,0.51,1.79,3.32,0.26,0.77,30.61,0.51,48.47,392,14.29,No,93.88
Mellon MS,4.84,0.16,5.77,1.87,4.99,0.47,0,7.02,12.17,1.25,52.89,641,14.04,No,82.37
Melrose Sch,2.95,0,4.24,52.58,36.9,0.55,0,0.18,93.91,23.99,49.26,542,7.38,Yes,3.32
Memorial El Sch,6.7,0,2.31,7.62,10.62,0,0,1.15,54.73,2.77,47.81,433,20.09,Yes,72.75
Memphis Street Academy CS @ JP Jones,5.17,0,0.36,32.62,57.4,0,0,0,87.7,20.32,50.27,561,24.96,Yes,4.46
Menallen Sch,11.81,0,0,4.17,1.74,0,0.35,1.39,78.47,0.35,47.22,288,25.35,Yes,81.94
Mendon El Sch,2.64,0,0,0,0,0,0,0.88,53.3,0,51.1,227,21.15,Yes,97.36
Mercer Area El Sch,3.94,0,0.38,1.31,1.31,2.81,0,1.5,51.97,0,48.59,533,26.45,Yes,93.06
Mercer Area MS,1.25,0,1.25,1.25,1.88,0,0,6.88,43.75,0,49.38,160,21.25,No,94.38
Mercer Area SHS,5.44,0,0.6,0.3,1.51,0.3,0,6.95,46.83,0,50.45,331,22.05,No,92.15
Mercer County Career Center,3.15,0,0,3.82,0.67,0.22,0.22,0.9,56.4,0,40.22,445,32.36,No,92.13
Mercersburg El Sch,3.35,0,0.84,1.67,3.35,0.84,0,0.42,40.59,2.51,48.12,239,3.35,No,90.79
Meredith William M Sch,11.78,0,9.65,6.95,10.04,0,0.39,2.9,14.86,0.97,51.35,518,5.41,No,61.2
Merion El Sch,11.21,0,15.63,4.04,4.41,0.18,0,9.74,9.93,6.99,47.98,544,10.85,Yes,64.71
Methacton HS,6.31,0.19,14.65,4.61,5.56,0,0.13,9.22,19.63,1.01,48.55,1584,19.89,No,68.56
Metzgar El Sch,4.08,0,0,1.02,3.4,0.34,0,3.06,30.61,1.02,51.02,294,21.43,Yes,91.5
Meyersdale Area El Sch,2.28,0.33,0,1.3,0.98,0,0,0,50.81,0.33,45.6,307,13.68,Yes,95.11
Meyersdale Area HS,0.75,0,0,1.12,0.37,0,0,1.5,51.31,0,49.81,267,19.1,No,97.75
Meyersdale Area MS,0.54,0,0,1.08,1.61,0,0,2.15,52.69,0.54,52.15,186,15.05,No,96.77
Mid Valley El Ctr,10.19,0,0.78,3.53,9.6,0,0.1,0.1,52.69,2.55,47.99,1021,11.56,Yes,75.81
Mid Valley Secondary Center,8.44,0.12,1.29,3.17,9.5,0,0.12,1.52,49.94,2.11,46.19,853,22.16,No,77.37
Midd-West HS,0.66,0.26,0.66,0.26,0.92,0.39,0,6.43,45.41,0,47.24,762,20.87,No,97.24
Midd-West MS,0.65,0.32,0.65,0,0.97,0.32,0,4.55,50.32,0,48.05,308,23.7,No,97.4
Middle Bucks Institute of Technology,1.79,0.33,1.56,2.68,15.85,0.22,0.11,3.13,26.67,2.23,33.15,896,43.75,No,77.68
Middle Paxton El Sch,4.78,0,0.37,1.84,2.21,3.68,0,0.74,29.41,0.74,48.16,272,7.35,No,90.81
Middle Smithfield El Sch,16.87,4.1,1.2,21.2,19.52,0,0.48,1.2,66.51,4.34,46.99,415,19.76,Yes,36.63
Middle Years Alternative,1.93,0,8.7,82.13,5.8,0,0,0,72.46,5.8,49.76,207,25.12,Yes,1.45
Middleburg El Sch,0.93,0,0,0.93,0.37,0,0,0.74,43.68,0.19,46.1,538,17.47,Yes,97.77
Middlesex El Sch,4.51,0.5,3.76,6.02,8.02,4.01,0,0,41.85,7.27,46.37,399,18.55,Yes,77.19
Middletown Area HS,11.66,0,2.84,8.96,17.35,0.57,0,2.7,42.96,2.56,49.5,703,17.5,No,59.17
Middletown Area MS,13.09,0,1.64,11.13,18.82,0.65,0,1.31,54.01,4.26,47.95,611,19.48,No,55.32
Midland El/MS,15.48,0,1.26,21.76,2.93,0,0,0,60.67,1.67,48.12,239,12.97,Yes,58.58
Mifflin Co HS,2.07,0.09,0.81,2.52,3.59,1.98,0,0.81,48.7,0.99,49.15,1113,13.66,No,90.93
Mifflin Co JHS,1.49,0.12,0.25,1.62,4.23,2.36,0,1.62,54.48,1,47.51,804,15.42,No,92.29
Mifflin Co MS,3.13,0.41,0.14,1.91,6.13,2.04,0.27,1.09,56.54,1.09,48.37,734,17.17,No,88.01
Mifflin County Academy of Science and Te,0.67,0,0,1.33,4,0,0,0.33,42.67,0,38.33,300,19.33,No,94
Mifflin Park El Sch,3.18,0,4.24,3.6,39.62,0.85,0,0.64,57.84,9.75,49.15,472,14.41,Yes,49.36
Mifflin Thomas Sch,5.06,0.28,0.28,71.63,7.87,0,0.28,1.12,69.94,0.56,48.6,356,22.19,Yes,14.61
Mifflinburg Area Intrmd Sch,1.67,0,0.24,1.19,3.82,0,0,2.15,41.77,0.48,47.73,419,14.8,Yes,93.08
Mifflinburg Area MS,2.46,0,0,1.72,3.93,0,0,3.93,49.39,1.23,51.11,407,16.95,No,91.89
Mifflinburg Area SHS,3.01,0,0.38,2.07,3.01,0,0,4.71,41.05,0.38,49.91,531,13.37,No,91.53
Mifflinburg El Sch,3.58,0,0.26,1.79,2.05,0,0.26,0.26,37.85,0,52.17,391,14.32,Yes,92.07
Miles Township El Sch,1.98,0,0,0,4.95,0,0,0,41.58,0,56.44,101,6.93,Yes,93.07
Mill Creek El Sch,15.27,0.3,2.36,15.17,11.53,0,0.1,0.1,57.24,6.01,47.19,1015,17.83,Yes,55.27
Mill Hall El Sch,5.98,0,0.66,0.33,6.98,0,0,0.33,52.49,2.66,48.84,301,14.62,Yes,86.05
Mill Road El Sch,7.35,0,3.68,2.94,8.82,0.74,0,0,43.38,0,47.06,136,6.62,No,77.21
Mill Village El Sch,1.71,0,0,1.71,0,0.85,0,0,47.86,0,50.43,117,23.93,Yes,96.58
Miller El Sch,7.32,0.2,5.69,6.1,14.43,0,0,0.81,38.01,6.71,50.41,492,12.2,Yes,66.26
Miller Heights El Sch,0.59,0.59,3.55,9.47,21.89,0,0.89,0.3,32.84,4.73,47.93,338,9.47,No,63.02
Miller MS,2.07,0,1.65,0.41,0.41,0.41,0,3.31,44.63,0,43.39,242,21.9,No,95.45
Millersburg Area MS,2.82,0,2.26,1.69,5.08,2.26,0,0.56,42.94,0.56,49.15,177,23.73,No,88.14
Millersburg Area SHS,2.97,0,0.85,3.81,4.24,0.42,0,2.12,38.14,1.27,49.58,236,13.14,No,88.14
Millmont El Sch,1.99,0.36,0.36,8.68,78.48,0,0,0.18,94.39,14.83,49.37,553,21.52,Yes,10.13
Millville Area El Sch,2.32,0,0,0.33,1.99,0,0,2.32,39.07,0,47.68,302,19.21,Yes,95.36
Millville Area JSHS,0.8,0,0.4,0.4,2.39,0,0.4,5.18,36.25,0.4,56.18,251,24.7,No,95.62
Milton Area MS,3.78,0.24,0.47,4.26,7.8,0,0,2.13,48.94,3.07,47.28,423,18.2,Yes,83.45
Milton HS,3.66,0,0,3.82,7.95,0,0.16,3.66,45.31,3.34,46.1,629,17.81,No,84.42
Minersville Area El Ctr,1.54,0,0.44,5.48,8.77,0,0,1.1,57.24,1.32,49.78,456,27.85,Yes,83.77
Minersville Area JSHS,0.95,0,0.95,4.37,7.41,0,0,3.04,45.82,1.14,49.05,526,23.19,No,86.31
Mitchell El Sch,1.86,0,0,94.68,3.46,0,0,0,92.29,1.06,51.06,376,14.89,Yes,0
Moffet John Sch,7.48,0,0.79,21.26,51.18,0,0,0.79,72.83,14.96,42.91,254,19.69,Yes,19.29
Mohawk El Sch,2.75,0,0.46,0.61,1.37,0,0,0.15,46.56,0,48.55,655,12.82,Yes,94.81
Mohawk JHS,3.38,0,0,0,0.56,0.28,0,0.56,45.63,0,51.83,355,13.24,No,96.06
Mohawk SHS,1.77,0,0.22,0.66,0.88,1.55,0,0,34.66,0,47.46,453,12.36,No,96.47
Mon Valley CTC,5.11,0,0.19,6.82,2.46,0,0.19,0.38,56.06,0,42.23,528,28.6,No,85.23
Monessen El Ctr,26.44,0,1.15,37.64,3.16,0,0,0.29,80.17,0.29,51.44,348,16.09,Yes,31.61
Monessen MS,9.68,0,0,44.52,3.87,0,0,3.23,76.13,0.65,49.68,155,20.65,Yes,41.94
Monessen SHS,20.57,0,0.48,32.06,3.83,0,0,2.39,66.99,0.48,52.15,209,23.44,Yes,43.06
Moniteau JSHS,2.25,0,0,0.35,0.52,1.04,0,4.33,48.35,0,49.91,577,19.06,No,96.88
Monroe Career & Tech Inst,2.4,0.1,1.1,18.32,22.02,0,0.2,1.1,47.95,2.1,36.04,999,28.23,No,55.86
Monroe El Sch,3.8,0.21,1.05,2.95,5.49,2.11,0,0.63,23,0.42,51.05,474,10.76,Yes,86.5
Montessori Regional CS,7.97,1.09,3.62,13.59,11.05,0,0.18,0,42.57,5.43,52.72,552,11.78,Yes,62.5
Montgomery El Sch,2.65,0.19,0,0.38,2.65,0,0,0,43.18,0,52.65,528,11.17,Yes,94.13
Montgomery JSHS,4.21,0,1.49,1.49,3.47,0,0,0.5,52.48,0.5,46.04,404,18.56,No,89.36
Montour El Sch,5.52,0.25,4.16,6.88,2.29,1.53,0,1.44,25.04,1.78,48.81,1178,14.01,Yes,80.9
Montour HS,3.65,0.11,1.88,5.87,2.44,0.44,0,3.77,22.7,0.33,50.83,903,17.17,No,86.05
Montoursville Area SHS,2.44,0,1.14,0.49,2.76,0.32,0.16,2.6,31.82,0.16,46.92,616,13.8,No,93.02
Montrose Area JSHS,0,0.88,0.18,1.24,2.48,0,0,2.83,43.36,0.35,48.67,565,21.42,No,95.22
Moon Area Lower MS,7.08,0.17,5.73,3.88,6.24,2.19,0,4.55,31.87,4.22,45.87,593,16.86,No,76.9
Moon Area Upper MS,7.39,0.16,4.93,6.57,8.54,3.61,0,6.08,24.14,4.76,50.57,609,15.93,No,72.41
Moon SHS,6.58,0.17,4.64,4.97,7.25,1.94,0,6.83,19.98,2.78,46.96,1186,16.61,No,76.39
Moore El Sch,1.04,0,0.26,0.78,7.53,0.26,0,2.6,29.35,0.26,47.27,385,19.74,No,90.39
Moore J Hampton Sch,3.14,0.18,18.13,32.5,33.93,0,0,0.09,76.3,30.88,48.56,1114,14.9,Yes,12.12
Moore Sch,10.95,0,13.43,5.97,1.99,0,0,0.5,52.24,5.97,44.28,201,16.92,Yes,67.66
Mooreland El Sch,7.9,0,1.22,10.33,19.15,4.86,0,2.43,36.78,10.03,48.94,329,11.55,No,61.4
Moraine El Sch,1.15,0.29,0,0.57,1.44,4.89,0,2.01,41.67,0,52.3,348,21.55,Yes,96.55
Morris Robert Sch,2.65,0,1.59,88.89,3.17,0,0,0,91.01,0,43.39,189,20.11,Yes,3.7
Morrison Andrew J Sch,2.31,0.36,5.16,51.6,39.68,0,0,0.18,83.27,18.68,46.09,562,18.33,Yes,0.89
Morrisville HS,5.64,0,1.96,39.46,23.77,0.25,0,0.98,54.41,10.54,49.02,408,24.51,No,29.17
Morrisville Intermediate Sch,7.77,0.49,0.97,35.44,22.33,0,0,0.49,58.74,5.83,47.57,206,22.33,Yes,33.01
Morrow El Sch,0.29,0,1.15,1.72,1.15,0,0,0,55.59,0,47.28,349,9.17,Yes,95.7
Morton Thomas G Sch,1.43,0.24,3.57,86.67,5.71,0,0,0,92.62,11.67,48.1,420,15.24,Yes,2.38
Moscow El Sch,6.19,0,0.18,1.09,2.91,0,0.18,0.18,37.7,0.36,48.09,549,18.21,Yes,89.44
Moshannon Valley El Sch,2.72,0.25,0.25,0.25,0.74,0.25,0,0.25,58.02,0,49.38,405,23.7,Yes,95.8
Moshannon Valley JSHS,2.52,0,1.01,0,0,1.51,0,4.03,47.86,0.25,47.36,397,18.14,Yes,96.47
Moss Side MS,10.64,0.09,6.84,30.77,4.56,0,0.09,5.51,39.7,1.71,49.67,1053,24.41,No,47.01
Mosser El Sch,4.37,0,0.87,8.95,79.26,0,0.44,1.09,83.84,14.41,48.91,458,16.81,Yes,6.11
Motivation HS,2.31,0,1.28,93.33,3.08,0,0,0.51,81.28,10,52.82,390,15.38,Yes,0
Mount Carmel Area El Sch,3.14,0.25,0.75,2.76,11.04,0.63,0.13,1,77.92,0.5,45.92,797,22.21,Yes,81.93
Mount Carmel Area HS,2.24,0,1.12,3.58,8.28,0.22,0,3.8,63.31,1.12,47.65,447,21.48,No,84.79
Mount Carmel Area JH,3.54,0,1.18,6.69,5.51,0.79,0,2.76,75.2,0.79,44.49,254,31.1,No,83.07
Mount Nittany El Sch,6.43,0,8.81,2.14,2.62,0,0,1.43,17.62,7.62,46.9,420,13.1,Yes,80
Mount Nittany MS,7.07,0.14,7.78,2.69,4.67,0,0,9.34,16.97,2.12,46.11,707,13.01,No,77.65
Mount Pleasant Area HS,1.97,0,0.16,0.66,1.15,0,0.16,5.42,42.86,0.49,47.78,609,16.42,No,95.89
Mount Pleasant Area JHS,2.82,0,0,0.63,0.31,0,0,7.21,40.75,0.63,48.28,319,13.17,No,96.24
Mount Rock Elem Sch,3.78,0,0.29,1.45,2.33,0,0,0.29,36.92,2.62,46.22,344,14.83,Yes,92.15
Mount Union Area JHS,8.7,0,0,3.68,2.34,0,0,1.67,56.86,0.33,45.15,299,28.76,No,85.28
Mount Union Area SHS,4.3,0,0,4.57,4.03,0,0.27,3.76,50.27,0.81,48.12,372,21.77,No,86.83
Mount Union-Kistler El Sch,13.04,1,0.33,4.01,2.34,0,0,0,37.12,0,51.51,299,11.37,Yes,79.26
Mountain View El Sch,8,0.53,9.87,8.53,7.73,1.33,0,2.13,49.87,8,48.8,375,14.67,No,65.33
Mountain View JSHS,1.93,0.24,0.24,0.96,1.2,1.45,0,4.34,41.93,0.48,44.82,415,19.28,No,95.42
Mountain View MS,6.16,0.59,19.81,4.01,6.82,3.34,0.15,0.89,20.03,3.49,49.04,1348,12.09,No,62.46
Mountaintop Area El Sch,0.92,0,0,0,1.83,0,0,0.92,33.94,0,53.21,109,11.93,No,97.25
Mountville El Sch,4.71,0.17,2.53,5.89,21.21,0,0,2.02,36.03,5.05,46.13,594,15.49,Yes,65.49
Mowrey El Sch,4.99,0.2,0.4,1.6,2.59,0.2,0,0.6,47.11,0.4,51.3,501,16.77,Yes,90.22
Mowrie A Ebner El Sch,5.94,0.48,0,8.31,4.51,0,0,0.48,64.85,0.24,49.41,421,23.04,Yes,80.76
Mt Holly Springs El Sch,7.02,0,0,1.75,8.33,1.32,0,0,50.44,0,53.95,228,15.79,Yes,82.89
Mt Lebanon SHS,3.46,0.22,5.71,1.7,2.64,0.38,0.05,6.37,11.37,1.37,46.81,1820,12.2,No,86.21
Mt Penn El Sch,4.38,0.31,0.31,5.94,49.38,0.31,0,2.5,58.75,6.56,50,320,22.81,Yes,39.69
Mt Penn Primary Ctr,5.28,0,0.75,3.02,58.49,0,0,0,63.02,10.94,44.53,265,15.85,Yes,32.45
Mt Vernon El Sch,7.88,0,0.49,3.94,0,0.49,0,2.96,41.87,0,54.68,203,19.7,No,87.68
Mt Wolf El Sch,7.85,0,0,2.89,4.96,0,0,0,45.45,0.83,45.04,242,11.16,No,84.3
Muhlenberg El Ctr,13.37,0.09,1.28,6.32,51.65,0.46,0.18,0.18,67.95,10.9,50.18,1092,16.85,Yes,27.11
Muhlenberg El Sch,4.5,0.41,0.82,13.29,66.87,0.2,0.2,1.02,72.39,13.29,52.35,489,12.27,Yes,13.91
Muhlenberg HS,2.35,0.09,2.16,7.15,57.29,0,0.09,3.1,67.92,7.62,46.85,1063,20.13,No,30.86
Muhlenberg MS,2.82,0.38,0.85,5.93,61.11,0.09,0,2.64,67.61,6.69,47.27,1062,21.19,No,28.91
Multicultural Academy CS,3.45,0,0.77,86.59,9.2,1.15,0,0,65.13,1.92,61.69,261,24.52,Yes,0
Muncy JSHS,2.59,0,1,0.6,2.59,0.6,0,1.99,36.45,0,49.2,502,15.14,No,93.23
Munoz-Marin Luis,1.48,0,0.18,14.97,82.62,0,0,0,87.99,22.55,50.83,541,27.36,Yes,0.74
Murray Avenue Sch,1.02,0,20.99,1.19,3.75,2.39,0.17,5.8,12.97,5.46,49.83,586,15.53,No,72.87
Muse El Sch,7.49,0,0.94,3.61,2.14,0.4,0,0.53,28.61,0.27,50,748,11.36,Yes,85.83
Musser El Sch,14.98,0,0.33,51.47,2.28,0,0,0.98,97.72,0,46.58,307,28.34,Yes,30.94
Myers El Sch,7.93,0,5.86,57.93,9.66,0,0,0.34,46.21,0.69,47.24,290,13.1,Yes,18.62
Myrtle Ave Sch,4.61,0,15.46,7.89,2.63,0.66,0,2.3,52.3,5.26,50.66,304,16.78,Yes,69.41
N Hopewell-Winterstown El Sch,3.73,0,0,0.41,2.9,0,0,0.83,35.27,0,52.28,241,12.86,Yes,92.95
Nancy Grayson El Sch,5.18,0.22,0.22,6.05,7.13,0,0,0.22,46.87,1.08,52.05,463,13.82,Yes,81.21
Nazareth Area HS,2.86,0.25,5.65,2.28,8.19,0,0.13,8.25,20.75,1.21,47.27,1576,12.88,No,80.65
Nazareth Area Intermediate Sch,2.86,0,4.29,2,10.73,0,0.29,7.3,20.6,2.43,47.21,699,17.31,Yes,79.83
Nazareth Area MS,3.13,0,5.14,1.5,8.77,0,0.13,8.02,22.31,1.38,48.5,798,13.03,No,81.33
Neason Hill El Sch,6.27,0.63,0,2.51,2.19,0.31,0,0.63,48.28,0,52.04,319,19.12,Yes,88.4
Nebinger George W Sch,4.85,0.44,5.95,35.68,24.01,0,0.22,0.22,64.32,16.96,46.48,454,23.13,Yes,28.85
Neff Sch,6.25,0,6.91,2.63,11.18,0.66,0,5.59,23.68,4.28,48.36,304,16.45,No,73.03
Neidig El Sch,6.67,0,0.76,2.1,11.81,0,0,0.57,44,4.76,50.67,525,13.9,Yes,78.67
Neil A Armstrong MS,10.96,0.4,1.45,12.02,12.95,0,0.53,2.38,57.2,3.7,45.84,757,23.25,Yes,61.69
Neil Armstrong #40,8.31,0,4.04,14.61,31.69,0,0,0,75.06,3.6,48.09,445,19.55,Yes,41.35
Neil Armstrong 5-6 MS,2.91,0.18,4.55,2.55,0.91,0,0.36,5.83,15.3,1.09,50.46,549,21.86,No,88.52
Nescopeck El Sch,2.48,0,0,0,4.35,0,0,0,40.37,0,48.45,161,11.18,Yes,93.17
Neshaminy HS,3.86,0.25,5.23,4.88,8.1,0,0.04,8.8,29.43,1.68,47.74,2851,19.68,No,77.66
Neshannock JSHS,1.68,0,1.31,0.56,1.49,1.31,0,4.48,21.83,0.19,50.56,536,9.51,No,94.96
Neshannock Memorial El Sch,3.85,0.15,1.54,1.85,1.23,2,0,0.77,24.35,0,49.46,649,14.02,Yes,91.37
Nether Providence El Sch,7.14,0,11.51,5.56,5.36,0,0,3.17,22.22,3.37,46.83,504,12.5,Yes,70.44
New Bloomfield El Sch,4.18,0,0,0.26,1.83,1.04,0,0,40.21,0,50.91,383,11.49,Yes,93.73
New Brighton Area El Sch,18.3,0.16,0,9.48,2.94,0,0,1.63,72.71,0,50.65,612,16.34,Yes,69.12
New Brighton Area HS,10.31,0,0,9.54,3.87,0,0,6.7,67.27,0,48.2,388,17.27,No,76.29
New Brighton Area MS,18.83,0,0.32,6.17,3.25,0.32,0,7.14,70.13,0,45.45,308,19.16,Yes,71.43
New Castle JHS,15.37,0.42,0.14,23.27,6.79,0,0.14,3.19,100,1.66,50.14,722,19.94,Yes,53.88
New Castle SHS,9.35,0.12,0.12,25.81,3.24,0,0,5.49,82.79,2.12,49.25,802,15.84,Yes,61.35
New Cumberland MS,6.15,0,2.46,9.31,15.11,1.93,0.18,5.98,42.53,4.57,45.34,569,21.44,No,66.78
New Day CS,2.21,1.47,0.74,2.21,2.94,0,0,0.74,34.56,0,58.82,136,51.47,Yes,90.44
New Eagle El Sch,6.34,0.2,21.98,2.38,3.17,0.2,0,12.67,3.17,2.57,45.15,505,11.09,No,65.94
New Foundations CS,1.75,0.2,2.82,17.26,22.7,0,0.34,0,73.81,1.81,48.09,1489,13.57,Yes,54.94
New Franklin El Sch,7.39,0.49,3.45,8.87,16.75,0.49,0,0,52.71,9.36,43.84,203,13.79,Yes,63.05
New Garden El Sch,4.44,0.2,0.81,2.02,36.57,0,0,0.81,36.16,16.57,47.68,495,13.13,Yes,55.96
New Hanover-Upper Frederick El,1.31,0,1.14,3.92,4.58,0,0,1.8,16.99,0,49.35,612,19.93,No,89.05
New Holland Elementary,3.05,0.19,2.48,6.3,13.55,0.76,0,3.24,45.8,0.57,49.24,524,17.56,Yes,74.43
New Hope-Solebury HS,7.05,0,6.84,0,6.84,0.21,0.21,8.76,10.9,1.07,48.08,468,10.47,Yes,79.06
New Hope-Solebury Lower El Sch,10.25,0,4.1,0.82,9.02,1.23,0,0,8.61,2.46,44.67,244,13.11,Yes,75.82
New Hope-Solebury MS,5.25,0.29,5.54,0.58,7.87,0.29,0,11.37,10.5,1.17,48.1,343,18.08,Yes,80.47
New Hope-Solebury Upper El Sch,5.53,0,6.32,0.4,9.49,0.4,0,4.74,9.88,3.16,48.62,253,18.97,Yes,78.26
New Oxford El Sch,3.83,0,0.67,2,19.33,2,0.17,0.17,43,2.33,48.83,600,11.33,Yes,74
New Oxford MS,2.22,0,0.32,1.58,16.46,1.27,0,4.11,40.98,0.95,46.84,632,18.2,No,79.43
New Oxford SHS,3.14,0.16,0.56,1.77,18.2,1.29,0.08,4.35,37.2,1.53,48.23,1242,15.38,No,76.09
New Salem El Sch,2.15,0.24,0.24,5.26,7.66,1.44,0,0.72,30.62,0,49.28,418,8.85,Yes,84.45
Newberry El Sch,1.96,0.39,1.57,2.75,3.53,1.57,0,1.57,53.73,0,45.1,255,20,Yes,89.8
Newport El Sch,4.38,0,0.22,0.88,3.72,0,0,1.09,52.95,0,48.36,457,14.88,Yes,90.81
Newport HS,1.65,0.99,0,0.99,2.64,0,0,2.31,44.88,0,51.82,303,17.16,Yes,93.73
Newport MS,2.75,0,0,0,4.59,0.46,0,0.92,55.05,0,46.79,218,20.64,Yes,92.66
Newton-Ransom Sch,2.36,0,0.47,0.47,1.42,0,0,0.47,15.09,0,45.75,212,11.79,Yes,95.28
Newtown El Sch,3.72,0.17,16.22,1.01,3.89,0,0,5.74,9.12,2.36,52.87,592,9.97,No,75
Newtown MS,1.82,0.12,11.74,1.94,4.24,0,0.24,9.93,9.32,1.09,47.7,826,17.68,No,79.9
Newville El Sch,5.79,0,0.28,0.28,1.93,0,0,0.83,48.76,0,55.65,363,17.63,Yes,91.74
Nicely El Sch,18.52,0,0.67,7.41,4.04,0,0,0.67,14.48,1.01,49.16,297,20.54,Yes,69.36
Nitrauer Sch,4.83,0,14.29,5.25,13.45,0.63,0,5.67,26.68,5.25,47.48,476,13.24,No,62.18
Nitschmann MS,2.83,0,4.05,10.39,32.25,0,0.13,7.15,44.67,3.51,48.45,741,15.38,No,50.34
Nittany Valley CS,0,0,12.24,4.08,0,0,0,0,20.41,4.08,42.86,49,18.37,No,83.67
Norristown Area HS,7.22,0.04,1.3,31.52,46.19,0,0,3.86,64.71,12.78,48.03,2230,23.63,Yes,13.72
North Allegheny HS,1.78,0,17.68,2.04,2.82,0.11,0.04,13.42,8.71,0.74,48.52,2698,11.27,No,75.65
North Brandywine MS,5.09,0.25,1.53,32.57,22.14,0,0.25,4.33,55.73,8.65,44.78,393,29.26,Yes,38.17
North Clarion Co El Sch,2.11,0,0,0.35,0.35,0,0,0,38.73,0,51.41,284,15.85,Yes,97.18
North Clarion Co JSHS,0.99,0,0,0,0,0,0,0.99,36.63,0,51.16,303,14.52,No,99.01
North Coventry El Sch,6.09,0,1.29,3.32,6.46,2.4,0,3.14,25.65,1.66,51.29,542,15.13,Yes,82.84
North Dickinson El Sch,4.79,0,2.13,4.26,6.91,4.79,0,0.53,29.79,0,38.83,188,30.85,No,81.91
North East HS,2.4,0.4,0.6,1,3.2,0.8,0,2.6,38.4,0.2,45,500,14.2,No,92.4
North East Intrmd El,4.66,0,0,0.93,4.66,0.93,0,2.17,47.83,0.62,46.27,322,19.57,No,89.75
North East MS,5.22,0,0.25,0.5,2.49,0,0.25,3.48,46.52,0,47.01,402,14.43,No,91.29
North Hills El Sch,8.28,0,3.48,9.77,17.05,1.49,0,1.32,42.05,5.13,48.84,604,10.76,Yes,61.42
North Hills MS,6.43,0.09,4.19,3.82,2.24,0.09,0,11.28,21.06,2.52,48.28,1073,19.01,No,83.22
North Hills SHS,4.52,0,2.7,4.67,3.5,0.07,0,11.31,20.42,1.9,47.56,1371,15.24,No,84.61
North Montco Tech Career Center,4.44,0.11,6.61,12.68,7.58,0.33,0,0.87,31.74,2.17,38.35,923,40.85,No,68.58
North Penn SHS,4.46,0.1,20.87,10.33,7.2,0.06,0.06,8.13,30.31,4.46,48.85,3138,16.92,No,56.98
North Penn-Liberty JSHS,0.85,0.43,0,0,1.28,0.43,0,3.4,42.13,0,48.94,235,17.45,No,97.45
North Penn-Mansfield JSHS,1.42,0.53,0.53,0.18,2.14,0.36,0,2.49,52.67,0,48.22,562,25.27,No,95.2
North Pocono HS,2.27,0,1.08,2.05,2.38,0,0,1.08,34.13,0.22,46.87,926,18.68,No,92.22
North Pocono Intmd Sch,5.86,0,0.68,2.25,2.48,0,0,1.58,33.11,0.68,50.68,444,17.34,Yes,88.74
North Pocono MS,4.49,0,1.16,1.16,4.35,0,0.14,0.72,31.01,0.72,48.12,690,17.83,Yes,88.7
North Salem El Sch,4.38,1.09,0.36,2.92,8.76,0,0,1.46,37.23,2.55,48.18,274,16.06,Yes,82.48
North Schuylkill Elem Sch,3.72,0.1,0.38,1.24,8.39,0,0.19,0.38,42.99,0.67,49.48,1049,20.31,Yes,85.99
