name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Highland MS,2.79,0.14,0.42,0.84,2.79,2.65,0,3.63,30.17,0.14,46.51,716,18.58,No,93.02
Highland Park El Sch,4.96,0.14,25.96,35.04,23.97,0,0,3.26,66.24,15.46,52.62,705,12.48,Yes,9.93
Highland Sch,11.67,0,2.92,17.08,9.79,0.42,0,4.58,27.71,3.13,49.38,480,16.67,Yes,58.54
Highlands Early Childhood Center,18.34,0,1.75,14.85,3.93,0.87,0,0,65.07,0,52.84,229,0.44,Yes,61.14
Highlands El Sch,14.69,0.79,1.74,11.22,2.84,0.16,0,0.79,59.56,0.32,46.92,633,21.33,Yes,68.72
Highlands MS,11.57,0.59,0.59,8.75,2.52,0,0,2.23,55.64,0.15,46.59,674,24.33,No,75.96
Highlands SHS,5.9,0.14,0.84,8.57,2.25,0.14,0,3.23,46.07,0,45.79,712,20.08,No,82.3
Hill Freedman World Academy,6.28,0.31,2.2,83.2,6.12,0,0,0.94,59.34,1.88,46.31,637,22.92,Yes,1.88
Hillcrest El Sch,3.45,0,4.31,0,4.53,0,0.43,6.25,12.93,5.17,46.55,464,12.28,Yes,87.28
Hillcrest Intermediate Sch,4.3,0,1.39,1.26,2.65,1.26,0,7.21,25.92,0.25,46.4,791,16.94,No,90.39
Hillendale El Sch,4.02,0.27,11.26,2.68,5.36,0,0,5.9,4.56,1.07,48.26,373,21.98,No,76.41
Hills-Hendersonville El Sch,5.08,0,3.52,1.95,1.95,0.78,0,0.39,21.48,1.17,53.52,256,13.67,No,87.5
Hillsdale El Sch,4.68,0,0.9,2.7,14.57,0.9,0,4.5,17.81,7.55,49.1,556,7.55,Yes,77.16
Hillside El Sch,7.05,0,26.36,2.05,3.86,0.45,0,8.64,6.82,6.36,44.09,440,15.23,Yes,60.68
Hilltop El Sch,12.38,0,6.35,22.54,7.62,0,0,0.32,37.46,5.4,41.59,315,27.3,No,51.11
Hillview El Sch,3.47,0,1.03,1.41,2.31,2.19,0,2.44,36.63,0.51,46.92,778,13.62,Yes,91.77
Hiram W Dodd El Sch,6.02,0.16,1.74,10.62,74.8,0,0.16,0.63,75.91,19.81,44.53,631,12.36,Yes,6.5
Holicong MS,3.35,0,8.68,1.67,4.71,0,0.1,9.52,8.79,0.31,46.55,956,16,No,81.49
Holiday Park El Sch,3.97,0.19,0.95,6.43,1.51,1.32,0,6.81,23.44,0.57,43.1,529,16.82,No,86.96
Holland El Sch,3.41,0,7.95,1.59,3.18,0,0.23,3.18,12.05,2.05,47.73,440,20.91,Yes,83.64
Holland MS,1.54,0.11,7.24,0.66,3.84,0,0,7.9,13.06,1.65,46.54,911,16.9,No,86.61
Hollidaysburg Area JHS,2.83,0,2.34,0.37,1.97,0,0,4.68,38.3,0.62,46.18,812,16.87,No,92.49
Hollidaysburg Area SHS,1.24,0,2.72,0.87,1.49,0,0,5.82,29.83,0,49.01,808,14.11,No,93.69
Holme Thomas Sch,9.53,0.29,8.94,24.34,25.95,0,0,0.15,74.93,13.49,48.53,682,20.82,Yes,30.94
Homer-Center El Sch,2.68,0,0,1.71,0.98,0.24,0.24,1.46,49.27,0.49,41.95,410,23.17,Yes,94.39
Homer-Center JSHS,3.78,0,0.25,1.26,0.25,0.5,0.5,3.02,46.85,0,47.86,397,14.36,No,93.95
Homeville El Sch,15.2,0,0.24,26.84,6.18,0.48,0,0,100,1.19,46.79,421,21.85,Yes,51.54
Honesdale HS,2.06,0,1.33,0.88,4.12,0.15,0.15,1.18,40.8,0.59,49.63,679,22.97,No,91.46
Honey Brook El Ctr,5.21,0,0.65,0.98,5.21,1.3,0,0.65,35.18,0.98,51.47,307,19.87,Yes,87.95
Hoover El Sch,6.53,0,7.76,4.49,7.76,2.04,0,0,12.24,4.49,52.24,245,6.12,Yes,73.47
Hooverville El Sch,5.2,0.58,0.58,1.45,3.47,0.29,0,0.87,49.13,0,48.27,346,10.69,Yes,88.73
Hopewell El Sch,4.96,0,0.55,2.48,5.23,1.38,0.55,1.1,31.13,1.38,51.79,363,14.6,Yes,86.23
Hopewell JHS,4.36,0,0.48,4.04,3.23,1.78,0.16,3.55,33.93,1.13,50.08,619,19.71,No,87.72
Hopewell SHS,3.48,0,1,2.82,2.82,0,0.33,3.65,28.86,0.5,48.76,603,14.93,No,89.55
Hopkinson Francis Sch,3.13,0,4.22,19.84,68.44,0,0.78,0.31,83.44,22.5,46.56,640,13.75,Yes,3.59
Horace Mann El Sch,7.1,0.55,0.55,2.19,1.64,0,0,6.01,41.53,0,51.91,183,14.21,No,87.98
Hosack El Sch,4.56,0,13.11,2.56,3.42,0.57,0.28,4.56,11.97,0.28,50.71,351,10.83,Yes,76.07
Houck El Sch,3.15,0,0,3.67,71.13,0,0,0.52,81.1,26.25,45.41,381,28.08,Yes,22.05
Houston Henry E Sch,2.56,0.28,0.85,79.26,3.41,0,0,3.98,59.94,0.28,46.31,352,23.86,Yes,13.64
Howard El Sch,0,0,0,0,2.17,0,0,1.09,40.22,0,53.26,92,8.7,No,97.83
Howard Gardner Multiple Intelligence CS,1.32,0.66,3.62,5.92,4.93,0,0,0,35.53,0,57.57,304,15.46,Yes,83.55
Howe El Sch,6.15,0,6.15,1.96,2.23,1.68,0,3.63,12.85,3.63,44.97,358,10.89,No,83.52
Howe Julia Ward Sch,0.96,1.44,0.96,91.35,5.29,0,0,0,89.9,3.85,51.44,208,22.12,Yes,0
Hughesville JSHS,2.28,0.13,1.2,0.54,0.8,1.07,0.13,3.48,36.41,0,50.6,747,16.33,No,94.91
Hunter William H Sch,4.14,0.44,1.31,16.34,74.51,0,0.22,0,88.89,12.42,45.32,459,27.23,Yes,3.05
Huntingdon Area MS,4.23,0,0.75,1,0.5,0.75,0,6.97,43.78,1,45.02,402,28.61,No,93.53
Huntingdon Area SHS,2.46,0,0.57,0.38,0.95,0.76,0,5.49,40.15,0.38,49.43,528,21.59,No,95.64
Huntingdon County CTC,2.92,0,0,0.88,3.22,0,0,0.29,47.37,0.58,39.18,342,35.67,No,92.98
Hutchinson El Sch,7.29,0.3,0.3,6.99,0.61,0,0.3,0.61,46.5,0.3,53.19,329,20.06,Yes,84.19
Hydetown El Sch,3.76,0,0,0,0.47,13.15,0,0,55.87,0,51.17,213,19.25,Yes,95.77
Imhotep Institute CHS,2.04,0.17,0,96.77,1.02,0,0,0,77.08,0,43.8,589,20.54,Yes,0
Independence CS,4.36,0,4.23,42.31,23.21,0.26,0,0,57.44,6.03,50.64,780,17.69,Yes,25.9
Independence CS West,2.45,0.39,0,89.41,4.26,0.13,0,0,80.49,2.58,51.55,774,23.13,Yes,3.49
Independence El Sch,3.89,0,0,0.39,2.72,1.56,0,0.39,43.19,0,50.19,257,17.9,Yes,93
Independence MS,2.63,0.16,3.45,3.12,1.64,0,0,6.08,16.26,1.31,47.29,609,15.93,No,89
Indian Crest MS,0.14,0.14,8.01,6.15,16.45,0,0,7.87,30.76,8.87,51.22,699,19.46,No,69.1
Indian Lane El Sch,9.01,0,5.66,3.98,2.94,0,0,3.98,11.32,2.52,42.98,477,13.21,Yes,78.41
Indian Rock El Sch,7.9,0,4.56,4.86,11.85,0,0,2.43,34.04,5.47,49.85,329,13.68,No,70.82
Indian Valley El Sch,2.9,0.24,0,0.72,1.93,1.21,0,0.24,49.52,0.24,50.72,414,13.29,Yes,94.2
Indian Valley Intrmd Sch,2,0,0,0.5,1.5,1.5,0,0.5,47.5,0,45.5,200,15,No,96
Indian Valley MS,0.13,0.38,7.29,3.27,4.77,0,0.25,9.42,14.82,1.01,48.37,796,17.59,No,83.92
Indiana Area JHS,2.74,0.46,3.04,5.33,1.98,0.15,0,5.48,39.42,2.28,49.92,657,16.44,No,86.45
Indiana Area SHS,2.06,0.32,3.25,4.44,2.38,0,0.22,5.95,40.69,1.41,52.16,924,12.66,No,87.34
Indiana County Technology Center,1.22,0.2,0.41,1.42,0.41,0,0,0,38.74,0,35.9,493,29.61,No,96.35
Infinity CS,8.59,0.39,19.92,10.16,8.98,0,0,0,13.67,2.34,46.09,256,5.47,Yes,51.95
Inglewood El Sch,7.33,0,23.88,9.93,8.75,0.47,0,3.31,37.35,14.42,43.26,423,17.49,Yes,50.12
Ingomar El Sch,4.91,0.29,6.94,1.73,1.73,0.29,0,5.49,5.78,0,50,346,12.72,No,84.39
Ingomar MS,1.65,0,19.56,0.91,2.74,0.37,0.37,15.17,4.75,0.37,47.71,547,12.98,No,74.77
Innovative Arts Academy CS,1.72,0,0.19,17.82,70.31,0,1.15,0.38,62.07,9.2,54.21,522,21.84,Yes,8.81
Inquiry CS,3.41,0,0.38,90.15,3.41,0,0,0.38,62.12,0,46.21,264,21.59,Yes,2.65
Insight PA Cyber CS,7.16,0.53,1.47,30.31,19.3,0.66,0.11,0,46.54,1.85,49.75,3616,19.88,Yes,41.12
Interboro SHS,5.66,0,4.68,14.54,6.15,0.1,0.2,2.24,53.27,1.66,48,1025,21.37,No,68.78
Intermediate Sch,4.95,0,0.92,4.58,30.04,0.73,0,5.31,47.99,3.3,52.75,546,18.86,Yes,59.52
Iron Forge El Sch,6.07,0.21,3.56,1.26,0.84,1.05,0.21,4.6,31.8,0.63,48.95,478,17.36,Yes,87.87
Ironton Sch,4.11,0,2.06,3.08,20.82,0.26,0,2.06,25.45,6.17,49.61,389,14.65,Yes,69.92
Iroquois El Sch,10.18,0.73,0.55,3.09,5.64,0,0.18,1.09,73.45,1.64,47.27,550,22,Yes,79.64
Iroquois JSHS,6.32,0.9,1.08,2.17,3.61,0,0,3.97,68.59,1.08,47.65,554,21.66,No,85.92
Irving El Sch,4.75,0,0.34,2.03,1.36,1.02,0,2.37,37.63,0,48.81,295,17.63,Yes,91.53
Isaac Tripp El Sch,7.05,0.25,3.34,11.87,42.27,0.25,0.37,0.12,75.77,6.3,49.57,809,17.8,Yes,34.86
Ithan El Sch,4.98,0.21,22.61,2.9,4.36,0,0,2.07,4.98,4.56,45.02,482,7.68,No,64.94
J H Brooks El Sch,5.63,0.51,6.14,6.14,6.65,1.02,0,2.81,24.81,0.51,48.59,391,17.39,No,74.94
J M Hill El Sch,16.55,2.33,1.17,25.87,22.38,0,0.47,0.23,66.2,6.06,50.58,429,16.08,Yes,31.24
J R Fugett MS,5.18,0,9.25,4.96,11.23,0.33,0.11,5.18,18.28,3.52,46.37,908,16.41,No,69.27
J T Lambert Intermediate Sch,9.73,2.3,1.75,19.78,22.19,0,0.11,1.53,50.71,2.19,50.16,915,21.31,No,44.15
J.A. Allard El Sch,4.13,0,11.93,3.21,11.01,1.83,0,2.75,31.65,13.3,47.25,218,7.8,Yes,69.72
J.E. Harrison Education Ctr,4.08,0.18,25.39,6.71,3.45,1,0.09,2.9,47.87,10.34,49.68,1103,11.79,Yes,60.11
Jackson Early Childhood Center,5.08,0.42,0,9.75,80.08,0.42,0,0,86.44,20.76,56.36,236,5.08,Yes,4.66
Jackson El Sch,2.54,0,0,0,1.02,3.05,0,3.05,37.06,0.51,44.67,197,10.15,Yes,96.45
Jackson MS,4.69,0,1.84,17.76,72.86,0.2,0,0.61,96.33,23.06,51.22,490,23.27,No,2.86
Jackson Primary Sch,20.43,0,0.64,14.89,6.17,0,0,0.85,78.51,0.85,48.09,470,12.34,Yes,57.87
Jackson Sch,4.36,0,0,35.64,55.45,0.73,0,0,89.27,32.36,51.64,550,13.45,Yes,4.55
Jacksonwald El Sch,6.53,0,0.26,4.7,22.72,0,0,1.57,32.38,3.39,51.44,383,14.88,Yes,65.8
James Buchanan El Sch,4.72,0,2.36,9.06,47.64,0,0,1.97,54.33,6.69,49.61,254,8.27,Yes,36.22
James Buchanan HS,3.65,0.28,0.7,0.98,3.79,0,0,0.7,39.69,0.56,47.41,713,15.15,No,90.6
James Buchanan MS,3.1,0.36,0.36,0.55,3.1,0,0,1.09,44.99,0.55,51.91,549,14.21,No,92.53
James Burd El Sch,4.14,0,2.18,5.66,10.68,0,0,0,48.15,2.61,53.38,459,13.94,Yes,77.34
James F Baugher El Sch,6.86,0.3,0.76,2.9,9.3,0,0,0.15,58.38,6.25,50.46,656,15.4,Yes,79.88
James Gettys El Sch,4.85,0.3,1.52,3.94,16.67,0.3,0,2.12,42.12,5.15,48.79,330,13.03,Yes,72.73
James S Wilson MS,6.69,0,6.15,3.44,3.8,1.08,0,3.62,44.12,5.42,48.1,553,18.08,No,79.93
James W Parker MS,5.04,0.15,0.3,0.44,1.78,0.3,0,4.44,35.26,0,47.11,675,21.04,No,92.3
Jamestown Area El Sch,2.72,0,0,0,1.09,0,0,0.54,54.35,0,46.2,184,16.85,Yes,96.2
Jamestown Area JSHS,0.46,0,0.46,0,1.83,0,0,3.67,43.12,0,50,218,15.14,No,97.25
Jamison El Sch,3.23,0,9.86,0.9,4.3,0,0,8.6,5.38,2.33,43.01,558,13.44,No,81.72
Jarrettown El Sch,4.67,0,5.61,4.67,3.97,1.87,0,7.01,8.18,0,49.53,428,14.02,No,81.07
Jeannette HS,15.76,0,0,15.5,2.58,0.26,0,1.03,54.01,0,44.7,387,21.71,Yes,66.15
Jeannette McKee El Sch,22.66,1.39,0,12.52,3.78,0.2,0,0.4,68.59,0.2,51.89,503,18.49,Yes,59.64
Jefferson County-DuBois AVTS,2.14,0.64,0,0.43,1.28,0,0,1.07,87.18,0,33.97,468,21.37,No,95.51
Jefferson El Sch,11.86,0.2,0.4,12.65,67.19,0,0.59,0,80.24,15.81,47.43,506,13.83,Yes,7.11
Jefferson Hills Intermediate Sch,2.5,0.4,7.77,2.11,1.84,0,0,2.5,22.13,4.48,50.33,759,8.7,Yes,85.38
Jefferson MS,4.98,0,7.13,1,3.15,1,0.17,9.12,11.11,1.49,46.1,603,12.11,No,83.58
Jefferson-Morgan El Sch,2.53,0,0,0.69,0.92,0,0,1.38,46.9,0,46.9,435,25.29,Yes,95.86
