name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Allison Park El Sch,6.2,0,0.2,2.7,4.3,,,0,1.1,43.7,1.3,49.1,625,17.9,Yes,86.6
Alloway Creek El Sch,4.1,0,0.5,1.6,3.7,,,0,1.2,42.3,1.2,47.1,828,11.2,Yes,90.1
Altoona Area HS,0.2,0.1,0.6,7.2,1.3,,,0,2.3,57.1,0.1,49.4,1684,17.5,No,90.6
Altoona Area Jr HS,0.3,0.1,0.9,8.4,2.1,,,0,2.5,60.7,0.5,48.2,1745,18.7,No,88.1
Amanda E Stout El Sch,2.1,0,0.4,6.6,85.9,,,0,0.6,98.8,25.6,48.3,863,26,Yes,5.1
Ambridge Area HS,2.6,0.1,0.4,13.4,1.7,,,0.5,3.6,45,0.5,47.2,773,14.2,Yes,81.2
Ambridge Area MS,4,0,0.8,19.7,1.6,,,0,2.4,62,0.3,49.9,371,18.3,Yes,73.8
Amos K Hutchinson El Sch,12.7,0,0.2,7.6,2.4,,,0.5,0.5,66.4,0.5,52.8,616,13.8,Yes,76.6
Amosland El Sch,3,1.1,5.9,11.9,2.3,,,0.2,0.4,36.7,1.7,51.6,471,14.2,No,75.6
Amy At Martin,12.8,0.2,1,22.1,20,,,0,0.2,  -  -,1.2,48.7,421,17.1,Yes,43.9
Amy NW,4.9,1,1,86.2,4.6,,,0,1.3,  -  -,0,52.8,305,8.5,Yes,2.3
Anderson Add B Sch,5.7,0,0,90.5,1.5,,,0.2,0,  -  -,0.2,45.7,475,12,Yes,2.1
Andrew Maier El Sch,1.4,0,0.5,2.9,18.4,,,0,1.4,36.7,1.9,40.6,207,14.5,Yes,76.8
Annville Cleona HS,1.1,0,2.6,1.5,5.4,,,0,9,31.7,1.3,44,464,11.2,No,89.4
Annville El Sch,2.1,0,1.2,1.6,9.9,,,0,5.7,37.4,2.5,49.1,436,15.4,No,85.3
Annville-Cleona MS,0,0,1.2,1.6,9.2,,,0,8,36.8,1.6,43.2,250,23.6,No,88
Antietam MS/HS,3.9,0.2,0.6,6.4,27.2,,,0.2,5.1,49.4,4.3,45.3,488,22.3,No,61.5
Antonia Pantoja Community Charter School,0.1,0,0,0.9,98.7,,,0,0,65.6,10.3,48.2,697,31,Yes,0.3
Apollo-Ridge Elem Sch,3.6,0.2,0.4,2.1,0.4,,,0,1.2,54.8,0,46.8,524,19.8,Yes,93.3
Apollo-Ridge HS,2.4,0.3,0.8,0.8,0.5,,,0,2.1,42.9,0,50.9,373,15.3,No,95.2
Apollo-Ridge MS,5,1.1,0.7,0.4,0.7,,,0,3.6,49.8,0.4,44.8,277,16.6,No,92.1
Appleman El Sch,1.6,0.3,0.3,0.8,3.4,,,0,1.3,43.4,0.3,46.8,387,13.4,Yes,93.8
Arcola Intrmd Sch,6.3,0.1,14.9,3,3.5,,,0,10.3,12.1,1.2,47.1,804,17.5,Yes,72.1
Ardmore Avenue Sch,2.1,0.9,4.2,78.6,7.4,,,0,0,96.3,18.6,48,569,13.5,Yes,6.8
Arendtsville El Sch,1,0,0.5,0,29.5,,,0,3.2,56.3,11.1,47.9,190,18.9,No,69
Arlington Heights El Sch,7.8,0,7,16.7,28.3,,,0,1.6,51.6,10.1,50.8,258,22.1,Yes,40.3
Armstrong JSHS,0.1,0.2,0.1,1.6,0.6,,,0.1,5.6,47.6,0.1,46.4,1631,18.8,No,97.5
Aronimink El Sch,4.6,0,10.3,29.4,6.5,,,0,3.8,40.5,6.1,46.6,262,15.6,No,49.2
Arrowhead El Sch,7.9,0,15.8,2.7,2,,,0,5.2,7.2,3.5,48.2,405,17.8,No,71.6
Arthur Chester A Sch,11.1,0,4,63.2,3.2,,,0,0,  -  -,1.6,50.6,253,23.3,Yes,18.6
Arthur Street El Sch,2.2,0.5,0,4.2,83.7,,,0,0,75.6,28.1,49.1,405,4.9,Yes,9.4
Artman El Sch,7.5,0,1.5,9.6,1.5,,,0.7,2.2,44.4,0.5,49.8,601,18.3,Yes,79.2
Arts Academy CS,12.4,1.1,1.1,14,22.9,,,0,0,46,0,79.3,363,12.7,Yes,48.5
Arts Academy Elementary Charter School,2.9,1.5,0.5,20,59.5,,,0,0,100,4.6,65.6,410,12.2,Yes,15.6
Arts Academy at Benjamin Rush,6.1,0,4.6,19.8,16.3,,,0,9.9,  -  -,2.2,75.6,627,9.4,Yes,53.3
Asa Packer El Sch,3.8,0,9.8,6.8,11,,,0,5.6,27.5,1.2,47.3,338,12.7,No,68.6
Asbury El Sch,2.9,0,4.3,1.3,1.1,,,0,2.5,29.4,1.3,48.3,555,15.3,No,90.4
Aston El Sch,4.9,0.2,2.2,1.6,1.8,,,0,3.4,18.1,1.6,48.4,508,11.8,No,89.4
Athens Area HS,0.8,0,0.5,1.2,0.3,,,0,1.8,40.2,0.2,48.6,607,22.7,No,97.2
Audrielle Lynch-Ellen Bustin El Sch,4,0.2,2.3,1.9,2.3,,,0,1.7,49.6,0,47,575,20.2,Yes,89.4
Austin Area El Sch,0,0,0,0,0,,,0,0,57.7,0,46.2,104,25,Yes,100
Austin Area JSHS,0,0,0,0,0,,,0,0,60.8,0,41.8,79,36.7,Yes,100
Avalon El Sch,14.3,0,0,11.4,3.3,,,0.4,1.8,54.6,0,52.4,273,16.5,Yes,70.7
Avella Area JSHS,1.2,0,0,1.2,0,,,0,5.8,37.6,0,53.3,261,14.6,No,97.7
Avella El Center,1.4,0,0,0,0.4,,,0,2.1,45,0,45.7,282,24.8,Yes,98.2
Avis El Sch,5.9,0.4,0,1.4,0,,,0,1.4,44.6,0,49.1,220,9.1,Yes,92.3
Avon Grove CS,2.8,0.2,4,3.2,13.6,,,0.2,0,24.3,2,50.7,1723,16.3,Y,76
Avon Grove HS,3.2,0,2.3,1.6,19.4,,,0,3.6,24.4,4.1,46.6,1724,10.4,No,73.5
Avon Grove Intrmd Sch,3.1,0,2.1,1.3,25.8,,,0.1,1.5,30.4,10.5,47.8,1504,11.8,No,67.6
Avona El Sch,13.3,0,2.5,7.4,27.1,,,0,0,56.6,8.9,46.8,203,16.7,Yes,49.8
Avonworth El Sch,2.7,0,1.5,1.3,2,,,0.2,15,14.6,0,47.4,548,10.8,No,92.3
Avonworth HS,1.7,0,4.1,3.4,1.5,,,0,17.4,16.8,0.2,51.6,465,8.8,No,89.2
Avonworth MS,1.7,0,4.2,2.1,2.1,,,0,17.8,13.3,0.4,45.6,241,19.5,No,90
Avonworth Primary Center,4.7,0,1.4,2.4,0.7,,,0,2.6,13.2,0.5,43.7,423,11.1,Yes,90.8
B F Morey El Sch,3.2,0,5.7,19,25.9,,,0.4,3.6,55.5,7.3,50.2,247,26.7,Yes,45.8
Bache-Martin Sch,10,0.2,1,59.6,10.8,,,0,0,  -  -,6.3,46.3,490,30.4,Yes,18.4
Baden Academy CS,6.5,0,0.7,17.8,1.2,,,0,2.6,47.6,0,51.2,567,18.9,Yes,73.7
Baggaley El Sch,2.5,0.2,0.2,0.6,1.3,,,0,1,38,0,46.1,529,14.4,Yes,95.3
Bainbridge El Sch,0,0,0,0,0,,,0,0,0,0,0,0,0,No,0
Baker El Sch,0.9,0,1.5,4.6,2.4,,,0.3,0.3,48.8,0,53.9,330,16.1,Yes,90.3
Bala-Cynwyd MS,5.7,0,12.7,6.6,4.8,,,0.3,22,10.7,2.6,48.7,1011,12.7,No,69.9
Bald Eagle Area JSHS,0.5,0.1,0.5,1.6,1,,,0.2,3.1,42.3,0.2,48.2,931,17.8,No,96
Baldi C C A MS,10.6,0.4,19.1,15.2,9.3,,,0.1,5.6,  -  -,15.5,49,1422,14,Yes,45.4
Baldwin SHS,3.2,0.1,9.8,5.3,1.8,,,0,3.5,37.6,5.9,50.1,1414,6.9,No,79.8
Bancroft El Sch,2,0,2,1.1,55.9,,,0,2.2,54.8,16.6,50.6,451,9.5,Yes,39
Bangor Area HS,1.2,0.1,1.3,2.5,6,,,0,4.9,39.8,0.1,49.6,975,16.8,No,88.9
Bangor Area MS,2.5,0,1,1.2,6.1,,,0,3.8,47.3,0.2,51,478,24.5,No,89.1
Barclay El Sch,4.3,0.4,6.8,3.8,21.1,,,0,4.8,33,11.8,54.6,560,10.2,Yes,63.8
Baresville El Sch,2.7,0.6,1.5,1.1,5.7,,,0.2,0.2,29.4,0.8,47.6,527,14,Yes,88.2
Barkley El Sch,7.9,0,0.7,10.6,29.6,,,0,8.9,51.2,15.5,49.8,291,14.1,Yes,51.2
Barrett El Sch,9.8,0,1.3,77.8,0.4,,,0,1.8,79.6,0.4,44.9,225,32.4,Yes,10.7
Barry Comm John Sch,3.1,0.2,0.2,93.9,1.2,,,0,0,  -  -,0.3,52,652,11,Yes,1.5
Bart-Colerain El Sch,1.2,0,0.8,0.8,4,,,0,2.4,41.5,0.4,43.9,253,12.6,Yes,93.3
Barth El Sch,15.5,0.3,0.3,39.3,15.8,,,0.6,0,83.1,2.6,50.4,349,10.3,Yes,28.4
Barton Clara Sch,10.9,0,3.7,23.6,58,,,0.4,0,  -  -,15.8,49.6,696,5.7,Yes,3.3
Bartram John - Main,1.5,0.2,3.7,91.1,3.1,,,0,0.2,  -  -,6.8,42.3,518,29.9,Yes,0.4
Bear Creek Community CS,2.1,0,1.1,7.3,9,,,0.4,1.9,42.3,1.1,53.6,468,18.8,Yes,80.1
Bear Creek School,3.1,0.4,2,1.8,6.4,,,0.2,6.6,34.1,2.4,48.6,947,14.9,Yes,86.1
Beaty-Warren MS,1.6,0.3,0.7,0.6,2.2,,,0,3.9,51.6,0.7,49.8,672,21.6,No,94.5
Beaumont El Sch,6.9,0,21.2,3.6,4.8,,,0.3,8.2,8.7,2.8,48.7,392,17.1,Yes,63.3
Beaver Area MS,1.2,0,1.5,1.5,1.5,,,0,4.1,24,0.3,45.9,338,11.5,No,94.4
Beaver Area SHS,1.5,0,1.5,4,1.2,,,0,1.5,22.6,0.1,42.9,672,11,No,91.8
Beaver County CTC,1.2,1,0,12.5,1.5,,,0,0,55.1,0,46.6,592,0,No,83.8
Beaver Creek El Sch,4.9,0.2,2.1,4.5,7.2,,,0,2.3,18,1.3,48.8,471,20.8,Yes,81.1
Beaver Falls Area SHS,11.6,0.4,0.2,24.7,2.4,,,0,7.4,71.6,0,44.3,458,14.6,Yes,60.7
Beaver Falls MS,18.7,0,0.6,23.2,1.7,,,0,6.4,79.6,0,47.8,358,16.8,Yes,55.9
Beaver-Main El Sch,2,0,1,0,1,,,0,0,38.2,0,46.1,102,11.8,Yes,96.1
Bedford County Technical Center,0.3,0,0,0.8,1.3,,,0,0,55.7,0,43,388,0,No,97.7
Bedford El Sch,1.5,0.3,1,1,1.2,,,0.1,0.7,43,1,48.7,733,16.6,Yes,95
Bedford MS,1.4,0,0.2,1.2,1.6,,,0,0.9,45.5,0,47.8,433,15.2,No,95.6
Bedford SHS,0.7,0,0.3,1,1.5,,,0.2,2,39.6,0.2,49.9,599,11.9,No,96.3
Bedminster El Sch,2.8,0,2.6,0.6,8.4,,,0,7.1,20.9,0.4,49.6,464,17.2,No,85.6
Bell Avenue School,2,1.2,0.3,93.6,2.6,,,0,0,96.5,0.3,50.9,344,9.9,Yes,0.3
Bell Twp El Sch,0,2.2,0,0,0,,,0,0,54.8,0,52.7,93,24.7,No,97.8
Bellaire El Sch,10.8,0,2,13.6,10.3,,,0,1.5,42.8,7.6,47.9,397,14.1,No,63.2
Belle Valley El Sch,7.3,0.5,3,2.2,3.7,,,0,1.8,51,5.4,45.9,628,17,Yes,83.3
Belle Vernon Area HS,1.9,0.1,1.4,2.3,1.9,,,0,4.9,37.5,0.4,49,776,14.3,No,92.3
Belle Vernon Area MS,2.9,0,1.1,1.1,2.1,,,0,4.2,39.8,0.3,47.5,379,13.2,No,92.9
Bellefonte Area HS,1.2,0.1,0.5,0.8,1.4,,,0.1,2.2,29.3,0.7,48.2,849,14.8,No,95.9
Bellefonte Area MS,3.5,0,0.9,0.5,2.2,,,0,3.1,31.9,0,52.1,649,17.7,No,92.9
Bellefonte El Sch,2.4,0,0,1.6,4.3,,,0,0.8,50.9,0.8,49.6,371,18.3,Yes,91.6
Bellevue El Sch,12.4,0,4.1,12.1,2.9,,,1.2,2.6,56.5,3.5,45.3,340,21.5,Yes,67.4
Bellwood Antis MS,2.5,0.2,0.7,1.2,1.2,,,0,2,46.6,0,44.4,403,13.6,No,94
Bellwood-Antis HS,0.5,0.3,1,1.8,1.3,,,0,0.8,40.4,0.3,47.6,391,9.5,No,95.1
Belmont Charter School,0.1,0,1.2,95.7,2.8,,,0.1,0,93.5,0.3,47.1,743,18.6,Yes,0
Belmont Hills El Sch,3.6,0,11.2,10.4,14,,,0,6.2,34.5,7.7,45.1,608,17.8,No,60.9
Ben Franklin El Sch,1.7,0,3.4,4.5,1.5,,,0,0,42.3,5.3,45.9,468,15.6,Yes,88.9
Ben Franklin Sch,9.4,0,0.8,15.1,3.1,,,2.6,0.6,89.2,2.2,49.4,510,15.9,Yes,69
Bendersville El Sch,1.6,0,0,1,29.3,,,0,4.2,52.4,11.5,51.3,191,16.8,No,68.1
Benjamin Chambers El Sch,9.2,0,0.5,15.6,44.9,,,0.5,0.2,99.4,16.8,54,630,17.1,Yes,29.4
Benjamin Franklin El Sch,3.3,0,1.5,2.1,1.8,,,0,2.4,14.8,0,49.1,332,21.7,Yes,91.3
Benjamin Franklin Sch,4.1,0.2,5.5,62.8,21.6,,,0.1,0,88.9,11.3,46,804,15.4,Yes,5.6
Benjamin Rush El Sch,4.3,0.2,16.4,17.5,34.7,,,0,1.1,53.7,17.7,49.6,464,17.9,Yes,26.9
Benner El Sch,2.2,0,2.2,0.9,0.9,,,0,2.6,22.1,1.3,43.3,231,13.9,No,93.9
Bennetts Valley El Sch,1.9,0,0,0,1,,,0,0,42.3,0,53.8,104,26.9,Yes,97.1
Bensalem Twp HS,1.2,0.1,16.8,14.3,15.7,,,0,5.5,43.3,6.7,46.5,1914,20.3,No,52
Benton Area MSHS,0,0.7,1.1,1.1,1.8,,,0,7.6,43,0.4,54.2,277,16.6,No,95.3
Bentworth El Ctr,1.2,0,0.7,1.8,1.2,,,0,0,50,0,50,432,20.1,Yes,95.1
Bentworth MS,0.6,0,0,1.4,2.2,,,0,0.6,51.3,0,48.7,357,21.8,No,95.8
Bentworth SHS,0,0,0.3,3.4,1.4,,,0,0.9,40.1,0,46.1,349,17.2,No,94.8
Berkey Sch,11.2,0.7,0.3,37.2,3.4,,,0,0.3,40.2,0,48,296,21.6,Yes,47.3
Berks CTC-East Campus,0,0.2,0.7,2.1,6.9,,,0,0.4,36.5,0.3,37.5,865,1.5,No,90.1
Berks CTC-West Campus,0.1,0.8,1.1,4.2,11.1,,,0,0,38.5,1.1,45.1,800,0.1,No,82.6
Berlin Brothersvalley El Sch,1.5,0,0,0,3,,,0,0,40.9,0.4,53.9,269,17.5,Yes,95.5
Berlin Brothersvalley MS,1.5,0,0,0,0.5,,,0,1,40.9,0,50,198,17.7,No,98
Berlin Brothersvalley SHS,2.1,0,0.8,0.4,0.8,,,0.4,1.2,42.7,0.4,48.1,241,16.6,No,95.4
Bermudian Springs El Sch,2.4,0,0.3,0.9,16.8,,,0,0.1,46.6,4.7,52,698,11.2,Yes,79.7
Bermudian Springs HS,0.6,0.2,0.2,1,13.6,,,0,6,36.5,2.6,50.8,616,10.2,No,84.4
Bermudian Springs MS,1.9,0,0,0.6,15.7,,,0,4.4,39,3.2,48,631,9,Yes,81.8
Berwick Area HS,1.2,0,0.8,3.2,6.4,,,0,4.9,50.2,2.3,48.6,751,18.9,No,88.4
Berwick Area MS,1.3,0.1,0.3,1.8,6.6,,,0,2.6,57.7,1,49.6,953,18.5,N,89.9
Bethel El Sch,1.6,0,2.1,1.1,13.1,,,0,1.1,48.4,3.7,43.3,374,22.5,Yes,82.1
Bethel Memorial El Sch,4,0,9.5,0.9,1.8,,,0,2.8,12,8,44.8,326,17.2,Yes,83.7
Bethel Park HS,1,0.1,1.3,2.6,0.9,,,0.2,7,12.8,0.3,49.2,1497,13.8,No,93.9
Bethel Springs El Sch,3.9,0.4,21.1,1.2,2.5,,,0,7,8.5,2.1,50.8,516,14.5,No,70.9
Bethlehem AVTS,0,0.7,1.2,13,35.9,,,0.6,0.1,54.2,3.7,40.3,1383,0.2,No,48.7
Bethlehem-Center El Sch,2.8,0.2,0,1.8,0,,,0,0,54.9,0,48.4,506,25.9,Yes,95.3
Bethlehem-Center MS,4.2,0,0,0.8,0.8,,,0,0,53.4,0,48.1,264,19.3,No,94.3
Bethlehem-Center SHS,2.5,0,0,1.3,3.3,,,0,0.8,43,0,46.1,393,20.1,No,92.9
Bethune Mary McLeod Sch,6.4,0,0.4,73.3,18.7,,,0,0,  -  -,7.4,51,718,7.1,Yes,1.2
Beverly Hills MS,1.3,0,22.4,61.3,10.1,,,0.1,1.3,84,11.3,46.6,1462,17,Yes,4.9
Big Beaver El Sch,16.1,0,0.6,9.2,1.3,,,0,0.6,61.4,0,49,316,14.6,Yes,72.8
Big Spring HS,1.6,0,0.8,1.6,1.9,,,0.2,4.5,31.4,0.2,45.6,826,16.1,No,93.8
Big Spring MS,2.2,0,0.8,0.8,1.9,,,0,6.3,38.2,0,49.1,589,22.6,No,94.2
Biglerville El Sch,0.2,0,0,1.8,30.3,,,0.4,0,49.1,10.5,48.1,505,10.7,Yes,67.3
Biglerville HS,1,0,0.2,1.1,26.9,,,0,6.8,42.4,4.4,46.8,528,12.9,No,70.8
Birdsboro El Ctr,1.6,0,0,4.1,4.9,,,0.8,7.4,40.2,0,55.7,122,21.3,Yes,88.5
Blackhawk HS,1.7,0.1,0,0.8,1.4,,,0,3.7,27.3,0,47.6,757,9.1,No,95.9
Blackhawk Intermediate Sch,1.4,0,0,1.1,0.8,,,0,3,32.4,0,50.3,370,17.3,No,96.8
Blacklick Valley El Ctr,2.1,0,0,0.8,0,,,0,0.5,55.2,0,47,379,21.4,Yes,97.1
Blacklick Valley JSHS,1,0,0,0.3,0,,,0,1.4,50.7,0,49.3,290,16.2,No,98.6
Blain El Sch,1.7,0,0,0,7.9,,,0,1,55.5,1,49,292,8.9,Yes,90.4
Blaine James G Sch,6.2,0,0,88.9,2.2,,,0,0,  -  -,0.6,47.7,512,20.3,Yes,2.7
Blair Mill El Sch,5.9,0.4,5.9,5.9,10.3,,,0,1.3,38.4,3.3,53.3,456,14.3,Yes,71.5
Blairsville El Sch,5.8,0,0.9,2.4,2.4,,,0,0.4,61.6,0.9,46.1,466,22.3,Yes,88.6
Blairsville MS,3.4,0,0.5,1.9,3.4,,,0,6.2,55.3,0.5,49.5,208,18.8,No,90.9
Blairsville SHS,1.7,0.3,1.4,3.4,3.1,,,0,8.5,49.3,0,47.3,294,13.3,No,90.1
Blankenburg Rudolph Sch,6,0,0,90.5,2.2,,,0,0,  -  -,0.2,48.8,453,18.5,Yes,1.3
Bloomsburg Area HS,2,0,1.2,1.7,2.7,,,0,7.3,32.9,0.2,52.2,410,5.6,No,92.4
Bloomsburg Area MS,4.4,0,0.8,4.6,3.4,,,0,3.4,51.6,1,48.2,388,13.1,Yes,86.9
Blossburg El Sch,0.5,0,0,0,1,,,0,1,57.2,0,42.3,208,17.3,Yes,98.6
Blue Ball El Sch,3.1,0.4,2.6,1.9,8,,,0.2,2.1,53.3,0.2,47.9,576,15.3,Yes,83.8
Blue Bell El Sch,7.2,0.2,17.2,12.2,3.6,,,0,3.6,17,3.6,46.2,418,23,No,59.6
Blue Mountain El Cressona Sch,0.6,0,0.6,1.2,4.3,,,0,1.2,34.2,0.6,45.7,164,22,No,93.3
Blue Mountain El East Sch,1.9,0.2,1.6,0.6,2.6,,,0,1.8,31,0.3,48,625,18.6,Yes,93.1
Blue Mountain El West Sch,1.7,0,0.7,0,2.7,,,0.3,0.7,32,0,45.2,294,15.6,Yes,94.6
Blue Mountain HS,1.3,0.1,0.9,1.2,2.2,,,0.1,4.8,27.7,0,47.6,900,20,No,94.1
Blue Mountain MS,1.5,0,1.4,0.6,2.7,,,0,4.7,30.2,0.5,50.9,660,17.4,No,93.8
Blue Ridge El Sch,1,0.4,1,0.8,2.8,,,0,0.8,53.9,0.8,49.3,503,13.7,Yes,94
Blue Ridge HS,0.7,0,0.4,1.5,4.8,,,0,1.8,42.5,1.8,46.5,273,12.1,No,92.7
Blue Ridge MS,0,0.5,0,3.2,2.3,,,0,1.4,51.1,0,48.4,219,15.5,No,94.1
Bobtown El Sch,0.6,0,0.3,1.2,0,,,0,0.6,59.9,0,43.5,324,26.5,Yes,97.8
Bodine William W HS,5.6,0.8,12.3,50.7,21.2,,,0.2,3.1,  -  -,4.9,58.5,513,1.8,Yes,9.2
Boiling Springs HS,4.3,0,2.7,1.1,2.4,,,0,5.9,20.4,1.1,48,658,12,No,89.5
Bon Air El Sch,2.5,0,0.2,0.8,1.2,,,0,0.2,37.5,0.4,48.6,520,10.6,Yes,95.4
Bon Meade El Sch,4.2,0.2,5.5,2.6,2,,,0,1.8,18,0.6,49.5,543,12.2,No,85.4
Boothwyn El Sch,8.8,0,6.6,16.6,5.4,,,0,0.6,54.1,4.8,48.6,331,23.3,No,62.5
Borland Manor El Sch,3.7,0,2.2,1.6,2.5,,,0,3.1,13,0.6,45,322,18.9,No,90.1
Bower Hill El Sch,2.4,0,1.8,0,3.8,,,0.2,0.7,5.6,0.4,47.4,675,9.9,No,91.8
Boyce MS,1.8,0.5,12.3,1.8,1.7,,,0.2,10.5,8.6,1.5,49,649,12,Yes,81.7
Boyertown Area MS-East,2.4,0,0.8,2.2,3.6,,,0,5.7,18.7,0,49.3,907,20.7,No,91
Boyertown Area MS-West,2.9,0,1.5,0.9,4.4,,,0,5.8,35.1,0.1,47.1,798,20.6,No,90.4
Boyertown Area SHS,1.6,0,2.2,1.4,2.5,,,0,6.9,22.8,0.1,49.9,2162,16.4,No,92.3
Boyertown El Sch,2.4,0,3.3,0.7,5.8,,,0.2,1.3,33,3.1,48.3,451,21.3,Yes,87.6
Boys Latin of Philadelphia CS,0.6,0,0.1,98.7,0.6,,,0,0,43.6,0,0,826,14.6,Yes,0
Bradford Area HS,0.5,0.4,0.4,2.2,2.1,,,0,4.9,48.2,0.3,47.5,770,12.7,No,94.4
Bradford Hgts El Sch,3.5,0,5.6,4.3,4.8,,,0.4,1.5,17.2,3.1,47,540,16.9,Yes,81.5
Bradford Woods El Sch,2.8,0,20.8,1.4,0,,,0,7.2,2.4,0,46.7,499,11.4,No,75
Brandywine Heights El Sch,2.5,0,1,0.2,6.9,,,0,1.3,34.9,1,52.2,393,16.5,Yes,89.3
Brandywine Heights HS,0.4,0.7,0.7,0,3.3,,,0,6.1,31.6,0.2,48.9,456,17.5,No,95
Brandywine Heights Intrmd/MS,1.5,0,0.9,1.1,5,,,0,4.6,33.6,0.6,46.1,544,24.4,Yes,91.5
