name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Adaire Alexander Sch,5.88,0,2.4,4.14,7.41,0,0.22,0.87,38.78,0,51.63,459,13.73,Yes,79.96
Adams County Technical Institute,0.81,0,1.22,3.25,6.1,0,0,0.41,5.69,2.03,48.37,246,6.91,No,88.62
Adamstown El Sch,2.86,0.26,4.16,1.04,5.97,2.08,0,2.34,35.32,2.34,50.65,385,10.91,Yes,85.71
Admiral Peary Area Vocational-Technical School,0.17,0,0,0.69,0.52,0,0,0,56.55,0,32.24,580,32.59,No,98.62
Afton El Sch,6.01,0,14.43,3.41,6.61,0,0,4.61,9.42,3.21,52.91,499,11.22,No,69.54
Agora Cyber CS,1.81,0.5,1.39,28.4,13.08,0.74,0.23,0,44.09,0.22,51.48,7337,25.72,Yes,54.57
Akron El Sch,7.53,0,2.15,3.23,9.32,0.36,0,0,48.75,2.87,53.05,279,13.62,Yes,77.78
Albert Gallatin Area SHS,3.78,0.1,0.19,3.59,0.87,0,0.1,3.78,44.77,0.29,48.35,1032,21.71,No,91.38
Albert Gallatin North MS,3.19,0,0,6.09,1.45,0.29,0,2.61,48.99,0.29,53.91,345,20.87,No,89.28
Albert Gallatin South MS,5.46,0,0,2.87,0.57,0.29,0,4.6,52.59,0.29,48.85,348,25.57,No,91.09
Alburtis El Sch,4.94,0,2.47,2.78,16.36,0,0,3.09,29.32,1.23,52.47,324,17.59,Yes,73.46
Aldan El Sch,4.15,1.84,5.07,69.59,3.69,0,0,2.3,46.54,0,41.47,217,28.11,Yes,15.67
Aliquippa El Sch,14.34,0,0,65.89,6.2,0,0,0.19,82.95,2.33,50.19,516,21.9,Yes,13.57
Aliquippa JSHS,6.37,0,0,73.82,5.42,0,0,1.18,95.05,2.12,46.46,424,20.28,Yes,14.39
Allegheny-Clarion Valley Elem,0.89,0,0,0,0.3,1.18,0,0.3,43.49,0,47.63,338,15.38,Yes,98.82
Allegheny-Clarion Valley HS,1.16,0,0,0.39,0,0,0,3.1,40.31,0,47.29,258,16.28,No,98.45
Allen Dr Ethel Sch,2.72,0.5,0,95.3,0.25,0,0,0,87.87,0,49.26,404,9.65,Yes,1.24
Allen Ethan Sch,5.35,0,10.23,31.05,42.09,0,0.7,0,79.65,28.72,50,860,10.35,Yes,10.58
Allen MS,4.5,0,2.94,4.7,10.96,0.98,0,2.54,31.9,3.72,48.34,511,21.72,No,76.91
Alliance for Progress CS,2.96,0.19,0,95.74,1.11,0,0,0,82.78,0,54.81,540,15,Yes,0
Allison Park El Sch,9.29,0,0,2.08,3.69,0,0,0.48,30.93,1.28,47.92,624,13.62,Yes,84.94
Alloway Creek El Sch,4.05,0.25,0.86,1.84,3.68,0.86,0.12,1.1,35.46,0.86,47.98,815,9.57,Yes,89.2
Altoona Area HS,0.59,0.14,0.86,8.97,2.31,0.18,0,2.49,56.02,0.36,48.05,2208,22.87,No,87.14
Altoona Area Jr HS,0.63,0.17,0.57,10.18,1.82,0.34,0.06,1.76,65.26,0.23,48.66,1759,22.91,No,86.58
Amanda E Stout El Sch,1.61,0.12,0,8.29,86.76,0,0.12,0.37,98.14,28.59,46.41,808,20.67,Yes,3.09
Ambridge Area HS,4.26,0,0.96,16.21,2.75,0.41,0.14,3.71,48.49,1.37,48.49,728,18.27,Yes,75.69
Ambridge Area MS,5.96,0,0.93,22.35,2.05,1.49,0,0.56,50.28,1.12,46.74,537,21.97,Yes,68.72
Amos K Hutchinson El Sch,14.16,0,0,5.81,4.36,0,0,0.36,23.77,0.18,47.73,551,17.42,Yes,75.68
Amosland El Sch,4.12,0.43,5.86,13.88,2.82,0.87,0.22,1.08,37.31,0.65,50.33,461,13.45,No,72.67
Anderson Add B Sch,1.92,0.21,0,95.52,1.49,0,0.21,0,84.43,0.21,48.19,469,14.93,Yes,0.64
Andrew Maier El Sch,0.93,0,0.93,3.26,16.74,0.47,0,0.93,35.35,0.47,46.51,215,12.56,Yes,78.14
Annville El Sch,4.2,0.49,2.96,0.74,11.36,0.25,0.25,4.94,35.06,1.73,46.42,405,16.54,Yes,80
Annville-Cleona HS,0.42,0,2.53,1.68,8.42,0.21,0,8.63,32,1.47,46.74,475,18.95,No,86.95
Annville-Cleona MS,1.67,0,2.08,2.08,9.17,0.42,0,7.08,31.67,1.67,50.83,240,11.25,No,85
Antietam MS/HS,4.92,0,0.98,7.87,37.2,0.59,0,5.91,57.48,5.71,47.24,508,24.41,No,49.02
Antonia Pantoja Community CS,0.29,0,0,1,98.57,0,0,0.14,73.07,11.89,49.14,698,24.64,Yes,0.14
Apollo-Ridge El Sch,3.07,0.38,0.19,0.96,0.96,0,0,0.77,63.03,0,44.25,522,19.16,Yes,94.44
Apollo-Ridge HS,4.57,0.61,0.91,0,0.3,0.3,0,3.05,48.78,0,46.04,328,13.41,No,93.6
Apollo-Ridge MS,3.97,0.72,0.72,0.36,0.36,0,0,2.53,54.87,0,47.65,277,18.41,No,93.86
Arcola Intrmd Sch,7.17,0.13,14.73,5.87,4.43,0.26,0.13,9.52,14.6,1.96,49.93,767,19.56,Yes,67.54
Ardmore Avenue El Sch,3.69,1.29,1.85,74.54,11.07,0,0,1.48,46.86,14.76,50,542,14.21,Yes,7.56
Arlington Heights El Sch,6.09,0,8.26,14.78,31.3,0,0,1.3,51.3,10,52.61,230,15.65,Yes,39.57
Armstrong JSHS,0.06,0.25,0.19,2.25,1.06,0.19,0,5.19,55.85,0.25,49.53,1599,21.01,No,96.19
Aronimink El Sch,5.57,0,10.1,38.68,8.36,0,0,3.14,46.69,5.23,50.52,287,11.5,No,37.28
Arrowhead El Sch,4.97,0.26,13.35,2.36,3.14,0.26,0,1.83,9.42,3.93,43.98,382,14.14,No,75.92
Arthur Chester A Sch,6.71,0,6.01,47.35,5.65,0,0,2.47,47,1.06,44.88,283,21.55,Yes,34.28
Arthur Street El Sch,0.95,0,0,2.38,87.14,0,0.24,0,69.29,25.71,49.52,420,5.71,Yes,9.29
Artman El Sch,9.93,0,1.01,9.76,0.17,0,0.17,1.01,44.44,0.17,46.63,594,14.48,Yes,78.96
Arts Academy CS,3.29,0.3,0.9,14.67,45.51,0,0,0,52.4,2.1,73.05,334,16.17,Yes,35.33
Arts Academy Elementary CS,3.47,0,0,23.38,63.89,2.55,0,0,75.46,16.67,57.41,432,14.35,Yes,9.26
Arts Academy at Benjamin Rush,3.06,0,7.5,18.22,18.53,0,0.15,4.29,39.36,1.07,77.95,653,9.95,Yes,52.53
Asa Packer El Sch,3.24,0,4.42,6.19,19.17,0,0,2.06,27.14,4.72,47.49,339,7.96,No,66.96
Asbury El Sch,5.16,0,3.82,1.34,2.29,0.38,0,2.68,31.36,0.96,48.76,523,13.58,No,87.38
Aston El Sch,4.62,0,2.31,3.78,4.83,0,0,0.84,27.73,1.47,50.21,476,12.61,No,84.45
Athens Area HS,1.35,0,0.75,1.05,0.9,0.15,0.15,2.55,34.63,0.3,48.13,667,22.49,No,95.8
Audrielle Lynch-Ellen Bustin El Sch,3.31,0,0.78,2.33,3.11,0,0.19,0.97,43.77,1.17,49.81,514,15.76,Yes,90.27
Austin Area El Sch,0,0,0,0,0,0,0,1.03,55.67,0,44.33,97,16.49,Yes,100
Austin Area JSHS,1.1,0,0,1.1,1.1,0,1.1,1.1,63.74,1.1,41.76,91,32.97,Yes,95.6
Avalon El Sch,12.9,2.02,0,14.11,2.02,0,0.81,1.61,56.45,0,53.63,248,18.95,Yes,68.15
Avella Area JSHS,0.4,0,0,0.4,0.4,0,0,4.8,35.6,0,43.6,250,17.6,No,98.8
Avella El Center,3,0,0,1.12,0.75,0.75,0,2.25,52.81,0,49.81,267,22.85,Yes,95.13
Avis El Sch,6.21,0.62,0,1.24,4.35,0,0,0.62,42.24,0,44.72,161,13.66,Yes,87.58
Avon Grove CS,3.8,0.16,3.04,5.53,15.95,0.27,0.11,0,32.61,0.98,51.17,1843,15.63,Yes,71.41
Avon Grove HS,2.96,0,2.21,1.51,26.09,0.06,0,0,25.68,5.29,47.47,1721,13.36,No,67.23
Avon Grove Intrmd Sch,2.46,0.07,1.27,0.98,27.57,0.35,0,0,26.72,8.93,47.68,1422,11.95,No,67.65
Avona El Sch,8.64,0,3.18,13.18,33.64,0,0,0,58.64,15.91,48.64,220,13.18,Yes,41.36
Avonworth El Sch,5.82,0,1.76,1.59,0.71,0,0,11.11,14.11,0.35,45.68,567,17.64,No,90.12
Avonworth HS,0.94,0,3.01,2.64,2.64,0,0.19,16.38,12.24,0,45.01,531,16.76,No,90.58
Avonworth MS,2.48,0,2.48,1.77,3.19,0,0.35,15.6,12.77,0.71,46.81,282,15.96,No,89.72
Avonworth Primary Center,5.92,0,1.69,2.54,1.06,0,0,1.27,13.11,0.42,48.84,473,7.19,Yes,88.79
B F Morey El Sch,1.91,0,3.35,26.32,27.75,0,0.96,2.87,59.33,10.05,48.33,209,18.66,Yes,39.71
Bache-Martin Sch,5.28,0,2.85,51.63,12.8,0,0.2,0.41,56.1,4.47,46.34,492,30.08,Yes,27.24
Baden Academy CS,14.04,0,0.17,19.06,1.73,0,0,0.35,51.13,0,54.77,577,20.97,Yes,64.99
Baggaley El Sch,2.91,0.58,0,0.78,0.97,0,0.19,0.97,44.47,0,52.23,515,16.7,Yes,94.56
Bainbridge El Sch,3.33,0,0,0.56,1.67,0,0,1.67,26.67,0,42.22,180,16.11,No,94.44
Baker El Sch,2.79,0,1.05,4.18,3.14,0,0.35,2.09,49.83,0,51.22,287,13.59,Yes,88.5
Bala-Cynwyd MS,8.19,0,13.52,9.33,4.1,0.38,0.19,22.48,13.62,1.52,49.14,1050,16.19,No,64.67
Bald Eagle Area MS/SHS,0.7,0.35,0.7,1.4,1.05,0.23,0.23,2.8,33.18,0,49.42,856,18.81,No,95.56
Baldi C C A MS,6.84,0.46,23.04,14.48,8.96,0,0.46,4.32,52.59,20.72,47.94,1506,13.35,Yes,45.75
Baldwin SHS,3.87,0.05,12.57,5.45,1.72,0.05,0.14,5.21,39.13,5.45,49.55,2093,10.13,No,76.21
Bancroft El Sch,1.18,0,3.06,0.94,56.47,0,0,1.65,51.06,24.24,52.24,425,9.65,Yes,38.35
Bangor Area HS,3.46,0,1.08,1.84,6.26,0,0,3.67,42.98,0.54,50.32,926,21.6,No,87.37
Bangor Area MS,3.64,0.23,0.91,2.5,7.05,0,0,2.5,45.45,0.68,45.91,440,18.41,Yes,85.68
Barclay El Sch,3.86,0,8.77,2.67,27.19,0.15,0,3.42,30.31,16.79,52.9,673,9.96,Yes,57.5
Baresville El Sch,4.63,0.77,0.39,2.12,6.18,0,0.19,0.58,42.66,0.97,47.88,518,11.58,Yes,85.71
Barkley El Sch,7.64,0.35,0,6.94,40.28,0.35,0,5.21,55.9,22.92,47.22,288,12.85,Yes,44.79
Baron EL Sch,3.32,0,1.66,1.94,15.24,0,0.28,2.22,44.88,0.28,50.14,361,11.63,Yes,77.56
Barrett El Sch,8.78,0,0.98,76.59,4.39,0,0,0.49,61.46,1.46,49.76,205,26.83,Yes,9.27
Barry Comm John Sch,1.8,0,0.18,94.77,2.7,0,0.18,0,88.11,1.08,47.21,555,21.08,Yes,0.36
Bart-Colerain El Sch,2.01,0,0,1.01,7.04,0,0,5.03,45.23,3.02,41.71,199,12.56,Yes,89.95
Barth El Sch,16.23,0.29,1.16,44.93,17.39,0.58,0.29,0,78.26,2.03,50.14,345,12.75,Yes,19.71
Barton Clara Sch,2.09,0,3.42,21.29,69.58,0,0,0,83.46,24.71,48.86,526,11.22,Yes,3.61
Bartram John - Main,2.42,0.22,3.74,85.9,7.27,0,0,0.44,76.21,13.88,45.15,454,32.82,Yes,0.44
Bear Creek Community CS,5.15,0,1.29,6.65,7.3,0,0.64,2.15,43.78,1.07,53.43,466,21.89,Yes,78.97
Bear Creek School,4.44,0.24,1.44,3,6.47,0.48,0,8.63,34.77,2.52,47.12,834,18.11,Yes,84.41
Beaty-Warren MS,2.76,0,0.15,0.46,0.46,0.31,0,5.37,59.51,0,48.93,652,26.07,No,96.17
Beaumont El Sch,7.9,0.23,22.8,1.35,3.39,2.48,0,9.26,6.55,5.19,49.44,443,12.19,Yes,64.33
Beaver Area MS,0,0,2.41,0.34,1.38,2.07,0,0,22.41,0.34,54.14,290,11.38,No,95.86
Beaver Area SHS,1.61,0.29,1.17,2.77,1.61,0.58,0,0.15,24.09,0.29,45.84,685,13.87,No,92.55
Beaver County Career & Technology Center,4.15,0.32,0.8,10.53,1.59,0,0,0,38.76,0,44.98,627,37.48,No,82.62
Beaver Creek El Sch,5.52,0,7.86,4.03,5.73,0,0.21,1.27,17.2,2.97,49.47,471,16.56,Yes,76.65
Beaver Falls Area SHS,20.17,0.21,0.21,23.74,3.15,1.05,0,6.09,69.75,1.05,46.85,476,18.28,Yes,52.52
Beaver Falls MS,22.45,0.51,0.51,23.21,3.32,0.51,0,3.83,73.21,2.04,54.08,392,20.15,Yes,50
Beaver-Main El Sch,0,0,0.97,0,0,0,0,0.97,33.98,0.97,46.6,103,12.62,Yes,99.03
Bedford County Technical Center,0,0.33,0,1,0.67,0,0,0,56.52,0,43.48,299,8.36,No,97.99
Bedford El Sch,1.75,0.27,1.08,1.35,1.08,0.27,0.13,1.21,46.84,1.35,48.45,743,15.21,Yes,94.35
Bedford MS,1.04,0,0.26,0.78,1.04,0.52,0,0.78,44.56,0,50,386,16.84,No,96.89
Bedford SHS,1.57,0.17,0.17,0.52,1.57,0.17,0,1.4,48.43,0.17,48.95,572,13.29,No,95.98
Bedminster El Sch,5.44,0,1.36,0.45,7.48,0,0,4.08,18.14,1.59,48.53,441,14.97,No,85.26
Bell Avenue School,0.98,0.98,0.33,93.46,3.92,0,0,0,60.46,0,51.63,306,10.13,Yes,0.33
Bellaire El Sch,14.1,0.52,4.7,15.14,12.53,5.48,0,0.52,53.52,9.4,46.48,383,12.53,No,53
Belle Valley El Sch,7.76,0.18,9.7,2.47,2.65,1.94,0,1.59,45.86,8.47,46.38,567,16.93,Yes,77.25
Belle Vernon Area HS,4.59,0,1.02,1.15,3.32,0.13,0,3.83,38.78,0.77,50.38,784,13.9,No,89.92
Belle Vernon Area MS,3.63,0,1.12,3.63,3.63,0,0,2.51,41.34,1.12,47.77,358,12.29,No,87.99
Bellefonte Area HS,3.57,0,0.45,0.89,2.45,0,0,2.79,29.32,0.67,51.39,897,16.83,No,92.64
Bellefonte Area MS,2.26,0.48,0.65,0.81,2.75,0,0,2.1,27.95,1.78,49.6,619,19.06,No,93.05
Bellefonte El Sch,2.61,0,0.29,2.03,4.93,0.29,0,0.58,47.25,1.16,46.67,345,21.45,Yes,90.14
Bellevue El Sch,9.73,0,2.65,18.58,3.54,0,0.59,1.18,59.59,4.13,48.08,339,22.71,Yes,64.9
Bellwood Antis MS,0.77,0.26,0,0.51,0.77,0,0,1.28,40.41,0,45.78,391,20.2,No,97.7
Bellwood-Antis HS,1.28,0.51,1.02,1.02,1.53,0,0,1.02,37.5,0,42.35,392,13.01,No,94.64
Belmont CS,0.1,0,0.51,95.58,3.39,0,0.1,0,89,1.03,48.3,973,22.3,Yes,0.31
Belmont Hills El Sch,2.16,0.36,11.51,13.13,11.87,0,0.18,1.08,53.06,7.01,42.09,556,23.38,No,60.79
Ben Franklin El Sch,7.67,0,0.48,3.12,2.16,1.68,0,0,49.64,5.52,48.44,417,15.59,Yes,86.57
Ben Franklin Sch,7.99,0,0.65,17.93,3.02,0,1.94,0.65,91.79,1.51,49.46,463,17.49,Yes,68.47
Benjamin Chambers El Sch,9.2,0.2,0.39,14.29,48.14,0.59,0.39,0.2,83.37,22.9,52.25,511,12.72,Yes,27.4
Benjamin Franklin El Sch,4.64,0,5.26,3.41,1.24,0,0,1.55,18.27,0.31,46.75,323,17.34,Yes,85.45
Benjamin Franklin Sch,5.31,0,3.13,63.08,24.39,0.14,0,0.14,90.33,8.17,49.32,734,12.26,Yes,4.09
Benjamin Rush El Sch,5.57,0,14.39,22.27,36.19,0,0.23,0.23,74.94,22.97,46.87,431,15.31,Yes,21.35
Benner El Sch,1.99,0,1.49,1,1,1.49,0,0,18.91,2.49,42.79,201,11.94,No,94.53
Bennetts Valley El Sch,4.3,0,0,0,1.08,0,0,0,54.84,0,50.54,93,32.26,Yes,94.62
Bensalem Twp HS,1.68,0.41,16.39,13.74,18.07,0.1,0,5.7,52.62,8.19,47.68,1965,23.41,No,49.72
Benton Area HS,0,1.05,1.05,0.52,0.52,0,0,6.28,5.76,0.52,49.74,191,17.8,No,96.86
Benton Area MS,1.8,0.9,0,0.9,2.7,0,0,9.01,9.01,0,50.45,111,23.42,No,93.69
Bentworth El Ctr,4.04,0,0.27,1.35,1.62,0,0,0,49.87,0,44.47,371,16.71,Yes,92.72
Bentworth MS,1.18,0,0.59,1.18,0.59,0,0,0.29,50,0,47.94,340,19.71,No,96.47
Bentworth SHS,4.19,0.28,0,0.28,1.68,0,0,1.12,43.85,0,53.07,358,15.36,No,93.58
Berkey Sch,25.57,0,0,32.36,4.85,0,0,0,65.7,0.97,51.13,309,16.18,Yes,37.22
Berks Career and Technology Center-East Campus,3.34,0.12,0.35,1.85,8.19,0,0.12,0.12,19.84,0,33.1,867,41.29,No,86.04
Berks Career and Technology Center-West Campus,1.87,0.5,0.87,4.36,15.84,0.12,0.12,0.12,20.95,0,45.01,802,31.67,No,76.43
Berlin Brothersvalley El Sch,4.49,0,0.37,0,1.12,0.75,0,0.37,38.95,0,52.81,267,16.85,Yes,94.01
Berlin Brothersvalley MS,3.39,0,0.42,0,2.12,0.42,0,0.85,42.37,0,50,236,13.98,No,94.07
Berlin Brothersvalley SHS,0.92,0,0,0,0,0,0.46,1.38,34.56,0,48.85,217,12.44,No,98.62
Bermudian Springs El Sch,5.5,0,0.49,0.16,16.99,0,0,0.32,45.63,5.5,50.81,618,11.65,Yes,76.86
Bermudian Springs HS,1.48,0,0.16,0.49,15.25,0,0,5.08,36.56,2.3,47.87,610,8.85,No,82.62
Bermudian Springs MS,2.89,0,0,1.08,18.23,0,0,2.17,43.86,4.87,50.72,554,10.83,Yes,77.8
Berwick Area HS,1.05,0,0.52,2.35,9.93,0.26,0,4.05,45.62,1.7,48.89,765,19.87,No,86.14
Berwick Area MS,2.42,0,0.12,1.85,8.07,0.23,0,2.77,48.21,1.38,49.25,867,19.61,No,87.54
Bethel El Sch,1.63,0,1.31,0.98,15.03,0,0,1.31,53.59,4.58,48.37,306,24.51,Yes,81.05
Bethel Memorial El Sch,2.8,0,9.35,1.56,1.56,0,0,0.31,19.31,7.79,43.3,321,14.33,Yes,84.74
Bethel Park HS,0.87,0.07,2.03,2.82,0.65,0,0.22,6.51,17.51,0.22,49.64,1382,14.91,No,93.34
Bethel Springs El Sch,4.81,0.22,21.88,1.09,2.19,0,0,7,8.53,1.97,49.02,457,16.19,No,69.8
Bethlehem Area Vocational-Technical School,0,0.44,0.65,10.69,35.27,0,0.58,1.09,46.18,3.35,36.95,1375,28.29,No,52.36
Bethlehem-Center El Sch,3.26,0,0,3.02,0,1.63,0,0.23,55.81,0,49.53,430,25.35,Yes,93.72
Bethlehem-Center MS,2.19,0,0,1.32,0,0,0,0.44,49.56,0,45.61,228,23.68,No,96.49
Bethlehem-Center SHS,3.61,0,0,1.2,1.51,0,0,0.3,48.49,0,46.69,332,18.98,No,93.67
Bethune Mary McLeod Sch,2.92,0,0,74.09,22.45,0,0,0,88.14,8.21,49.27,548,10.58,Yes,0.55
Beverly Hills MS,1.89,0.06,23.09,56.28,14.01,0,0.19,2.4,79.5,16.09,48.96,1585,14.76,Yes,4.48
Big Beaver El Sch,13.64,0,0.32,11.36,5.19,0,0,1.95,61.04,2.27,48.38,308,20.78,Yes,69.48
Big Spring HS,2.88,0,0.79,0.92,1.96,0.26,0,6.02,34.16,0.26,48.04,764,23.69,No,93.46
Big Spring MS,2.93,0,0.17,1.2,2.07,0,0,3.44,41.48,0,46.3,581,29.78,No,93.63
Biglerville El Sch,1.53,0,0,0.66,29.04,0,0,0,47.38,17.25,49.56,458,15.5,Yes,68.78
Biglerville HS,1.53,0,0.57,1.34,27.59,0.57,0.77,7.28,36.02,8.43,48.47,522,19.54,No,68.2
Blackhawk HS,3.53,0.14,0.54,1.22,1.63,1.63,0,5.71,28.53,0.14,51.22,736,13.72,No,92.93
Blackhawk Intermediate Sch,2.86,0.15,0.45,1.05,3.16,1.95,0,0.75,29.92,0.45,51.73,665,15.04,Yes,92.33
Blacklick Valley El Ctr,3.49,0,0,1.27,0.63,2.54,0,0.32,56.83,0,43.49,315,20.63,Yes,94.6
Blacklick Valley JSHS,1.56,0,0,0.94,0,0.63,0,1.56,45.63,0,51.88,320,18.44,No,97.5
Blain El Sch,2.71,0,0.39,0.39,6.59,1.55,0,0,52.71,0,51.55,258,17.83,Yes,89.92
Blaine James G Sch,3.3,0,0,89.85,4.31,0,0,0,87.56,0.51,47.46,394,27.16,Yes,2.54
Blair Mill Elementary,6.5,0.25,7.5,8.25,13.75,0.5,0,2.25,46.25,7.5,52.75,400,10.5,Yes,63.75
Blairsville El Sch,5.56,0.51,0.76,2.53,2.02,0,0,0.51,60.61,0,47.47,396,19.95,Yes,88.64
Blairsville MS,5.61,0.51,0.51,0,1.02,0.51,0,2.55,46.94,0.51,45.92,196,14.29,No,92.35
Blairsville SHS,3.41,0,0.38,1.89,3.03,0.76,0,7.2,48.48,0,51.52,264,20.45,No,91.29
Blankenburg Rudolph Sch,1.99,0,0,94.32,2.56,0,0,0,84.94,0.85,48.01,352,17.9,Yes,1.14
Bloomsburg Area HS,3.27,0.22,1.53,3.49,5.88,0,0,2.61,34.2,0.65,50.98,459,10.02,No,85.62
Bloomsburg Area MS,5.38,0,2.55,3.12,6.23,0,0.28,1.42,41.64,0.57,46.18,353,16.71,Yes,82.44
Blossburg El Sch,0.48,0,0,0.96,1.44,0,0,0.48,56.46,0,45.45,209,24.88,Yes,97.13
Blue Ball El Sch,3.29,0.23,1.88,2.35,6.57,0.94,0,1.41,42.72,0.47,48.36,426,18.31,Yes,85.68
Blue Bell El Sch,6.13,0,14,10.5,3.72,0,0,2.19,13.79,1.53,47.26,457,17.51,No,65.65
Blue Mountain El Cressona School,1.81,0,0.45,0,4.52,1.81,0,3.17,36.65,0,50.23,221,19,Yes,93.21
Blue Mountain El East School,1.7,0,0.85,1.02,3.4,2.21,0,1.02,26.83,0.68,48.05,589,19.52,Yes,93.04
Blue Mountain HS,1.52,0,1.05,1.05,2.57,0.12,0.12,4.2,26.6,0.23,48.77,857,19.49,No,93.7
Blue Mountain MS,2.1,0,1.22,0.52,4.2,0.87,0,4.55,32.69,0,44.23,572,24.13,No,91.96
Blue Mountain West/St. Ambrose Sch,2.4,0,0.48,1.44,3.37,0,0,0,25,0,49.52,208,11.54,Yes,92.31
Blue Ridge El Sch,1.75,0,0.44,1.75,3.51,0.66,0,0.44,58.11,0.66,49.12,456,14.69,Yes,92.54
Blue Ridge HS,0.72,0,0,1.08,2.88,0,0,1.08,29.86,0.36,47.84,278,16.91,No,95.32
Blue Ridge MS,1.36,0.45,0.91,0,3.18,0.45,0,1.36,47.73,0,54.09,220,22.27,No,94.09
Bobtown El Sch,0.72,0,0,1.44,0,0,0,0.36,49.28,0,44.24,278,16.55,Yes,97.84
Bodine William W HS,6.19,0,12.22,50.63,22.22,0,0.16,0.79,65.87,4.44,58.73,630,7.3,Yes,8.57
Boiling Springs HS,3.96,0.29,2.06,1.32,1.91,0.73,0.15,2.64,21.59,0.88,45.08,681,16.15,No,90.31
Bon Air El Sch,3.27,0,0.41,2.65,2.04,0,0,0.2,37.55,0,50.41,490,11.84,Yes,91.63
Bon Meade El Sch,5.38,0,5.38,3.82,2.43,0,0,1.56,16.49,0.69,47.05,576,14.41,No,82.99
Boothwyn El Sch,9.13,0,9.51,15.59,9.51,0.38,0,0,46.77,6.08,41.44,263,22.43,No,56.27
Borland Manor El Sch,3.96,0,2.88,1.44,2.16,0.36,0,0.72,16.19,1.08,52.16,278,14.75,No,89.57
Bower Hill El Sch,2.5,0.16,2.03,0.16,1.72,2.35,0,0.78,3.91,0,47.26,639,9.55,No,93.43
Boyce MS,4.41,0.17,10.85,0.51,2.37,0.85,0,11.86,7.63,1.53,49.66,590,12.71,No,81.69
Boyertown Area MS-East,2.74,0,1.65,3.07,4.28,0,0,6.04,24.92,0,50.16,911,24.7,No,88.25
Boyertown Area MS-West,2.6,0,1.01,1.73,4.33,0,0,5.05,36.51,0.58,44.3,693,25.97,Yes,90.33
Boyertown Area SHS,2,0,1.32,2.05,4.32,0,0,6.86,28.73,0.18,49.64,2200,19.68,No,90.32
Boyertown El Sch,2.9,0,2.73,2.39,6.48,0,0.17,2.56,34.64,2.73,48.63,586,17.75,Yes,85.32
Boys' Latin of Philadelphia CS,5.22,0,0.12,92.76,1.9,0,0,0,43.53,0,0,843,23.25,Yes,0
Bradford Area HS,1.51,0.5,0.38,1.25,2.76,0,0.13,4.02,58.47,0.75,49.69,797,16.06,No,93.48
