name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Reach Cyber CS,7.29,0.69,1.16,18.52,13.88,1.3,1.23,0.04,1.34,51.98,0.47,55.74,2759,15.48,Yes,58.43
Reading Intermediate HS,2.58,0.07,0.34,8.41,83.58,4.68,0.07,0,2.24,97.96,24.97,48.37,1474,20.49,Yes,5.02
Reading Muhlenberg CTC,1.52,0,0.95,6.86,75.71,1.24,0.76,0,0.95,68.76,18.38,49.71,1050,21.62,No,14.95
Reading SHS,2.4,0,0.66,8.15,83.75,3.59,0.55,0.02,3.68,95.86,27.1,48.72,4542,19.77,Yes,5.02
Reamstown El Sch,2.56,0,4.2,0.47,8.39,0.93,0.93,0,1.17,33.57,2.8,47.09,429,12.35,Yes,84.38
Red Land SHS,2.17,0.18,1.08,1.26,3.34,0.63,0.54,0.09,3.79,24.82,0.18,50.27,1108,15.79,No,91.88
Red Lion Area JHS,4.63,0.12,0.71,6.52,5.81,2.85,1.19,0,3.91,41.99,0.47,45.67,843,18.03,No,82.21
Red Lion Area SHS,4.02,0,0.99,5.8,5.67,1.32,0.59,0,4.42,38.98,0.26,47.56,1516,16.75,No,83.51
Red Mill El Sch,3.04,0.17,0.51,2.02,3.71,0.84,2.36,0.17,1.52,30.19,0.17,48.4,593,12.98,Yes,90.39
Redbank Valley HS,0.2,0,0.2,1,0.2,3.41,0,0,6.41,31.86,0.2,49.5,499,15.23,No,98.4
Redbank Valley Intrmd Sch,0.57,0,0.29,1.43,0.29,2.29,0,0,2.58,49.57,0.29,51.29,349,18.05,Yes,97.42
Redbank Valley Primary School,0,0,0,0.41,0,0,0,0,0.41,32.11,0,53.25,246,15.85,Yes,99.59
Reeceville El Sch,4.27,0.47,0.71,31.99,27.96,4.74,0,0.24,0.47,63.98,11.61,49.29,422,19.91,Yes,34.36
Reidenbaugh El Sch,6.47,0,9.43,3.5,12.67,0.81,0,0,4.31,21.83,3.23,46.63,371,11.59,No,67.92
Reiffton Sch,3.98,0.17,1.04,4.84,16.44,1.9,0,0,6.57,32.87,2.25,47.58,578,21.8,No,73.53
Renaissance Academy CS,13.59,0,5.36,19.43,0,2.01,0,0,0,21.63,0.57,53.3,1045,15.69,Yes,61.63
Renovo El Sch,4.97,0.55,0,1.1,1.1,0.55,0,0,0,75.14,0,45.3,181,23.76,Yes,92.27
Reserve Primary Sch,4.88,0,0,2.44,0.61,0,0,0,0.61,55.49,0,53.66,164,12.2,Yes,92.07
Resica El Sch,8.3,2.32,1.16,14.09,16.22,1.35,0,0.77,1.54,43.44,1.54,50.39,518,16.22,Yes,57.14
Reynolds El Sch,4.62,0,0,0.53,3.02,0.89,0,0,0.89,45.65,0,49.91,563,14.39,Yes,91.83
Reynolds JSHS,1.79,0,0,1.19,1.98,0.2,0,0,6.94,51.59,0,49.4,504,12.5,No,95.04
