SchoolName,AcademicYearId,Federal-Non-Personnel,Federal-Personnel,Local-Non-Personnel,Local-Personnel,State-Non-Personnel,State-Personnel
Howard Gardner Multiple Intelligence CS,2018,0.0,0.0,0.0,0.0,0.0,0.0
Howe El Sch,2018,20.81,23.11,732.4,9760.74,199.27,2622.66
Howe Julia Ward Sch,2018,291.08,2946.95,1745.86,9929.67,91.04,603.32
Hughesville JSHS,2018,2.25,0.0,1161.87,5343.36,1478.75,6800.64
Hunter William H Sch,2018,258.46,2149.12,1880.09,7349.4,95.42,396.47
Huntingdon Area MS,2018,1.33,56.37,1155.14,4003.21,1367.55,4739.33
Huntingdon Area SHS,2018,2.25,95.79,1559.14,4948.35,1845.84,5858.27
Hutchinson El Sch,2018,0.0,664.44,422.37,4121.32,424.73,4890.23
Hydetown El Sch,2018,178.56,998.41,503.12,2589.79,1330.14,6846.81
I-LEAD Charter School,2018,453.33,1928.83,4973.9,8313.19,306.13,31.34
Imhotep Institute CHS,2018,94.31,1277.15,3244.76,4174.01,120.73,0.0
Independence CS,2018,291.97,1164.26,4417.05,7681.21,159.17,78.8
Independence CS West,2018,490.76,1363.7,5828.53,6012.92,140.32,0.0
Independence El Sch,2018,0.0,491.37,1203.47,7579.29,1070.66,6742.89
Independence MS,2018,0.0,0.85,0.75,17.07,0.02,3.53
Indian Crest MS,2018,102.68,179.56,2046.65,9928.31,699.98,3364.43
Indian Lane El Sch,2018,24.3,400.27,1568.96,14874.29,332.02,3147.63
Indian Rock El Sch,2018,0.0,0.0,1706.34,12172.28,381.76,2437.72
Indian Valley El Sch,2018,97.46,1839.14,856.04,3512.67,1054.34,4326.36
Indian Valley Intrmd Sch,2018,69.07,214.93,1130.77,3503.21,1392.7,4314.71
Indian Valley MS,2018,102.68,179.55,1897.92,9027.33,650.4,3064.1
Indiana Area JHS,2018,3.9,216.22,1555.04,8891.29,862.56,4931.87
Indiana Area SHS,2018,3.9,9.35,1702.21,9513.22,944.19,5276.84
Infinity CS,2018,9.38,0.0,0.0,6611.11,0.0,0.0
Ingomar El Sch,2018,104.92,57.16,1593.98,14945.44,1.66,139.71
Ingomar MS,2018,86.24,14.13,1746.18,15748.71,1.66,0.69
Innovative Arts Academy CS,2018,51.98,570.85,4397.28,7367.04,0.0,0.0
