SchoolName,AcademicYearId,Federal-Non-Personnel,Federal-Personnel,Local-Non-Personnel,Local-Personnel,State-Non-Personnel,State-Personnel
Inquiry Charter School,2018,88.27,1099.02,6457.08,8841.05,0.0,0.0
Insight PA Cyber CS,2018,0.0,0.0,8299.49,4184.52,0.0,0.0
Interboro SHS,2018,14.6,155.89,960.21,10252.47,499.94,5338.02
Intermediate Sch,2018,32.74,193.84,1541.97,9128.44,565.42,3347.31
Iron Forge El Sch,2018,0.0,616.37,4372.03,7383.65,0.0,0.0
Ironton Sch,2018,21.54,372.7,1259.8,12208.24,291.82,2827.91
Iroquois El Sch,2018,265.73,231.06,268.82,2881.2,619.04,6634.81
Iroquois JSHS,2018,191.64,59.59,1195.21,3566.85,2752.32,8213.71
Irving El Sch,2018,292.14,986.93,577.88,2373.55,1504.23,6021.71
Isaac Tripp El Sch,2018,17.9,686.03,697.06,5254.84,862.89,6504.96
Ithan El Sch,2018,98.6,99.13,2735.85,15849.4,509.9,2953.96
J H Brooks El Sch,2018,77.21,445.86,1576.98,9350.35,471.79,2797.39
J M Hill El Sch,2018,160.37,1168.09,1810.59,10339.8,768.5,4388.68
J R Fugett MS,2018,117.74,18.86,1860.71,10813.59,517.99,3010.34
J T Lambert Intermediate Sch,2018,61.89,325.89,1853.87,11285.1,786.87,4789.91
J.A. Allard El Sch,2018,106.26,610.53,1621.26,9612.93,485.04,2875.95
Jackson Andrew Sch,2018,217.07,1632.38,1808.7,7943.27,96.05,475.6
Jackson Early Childhood Center,2018,118.82,928.67,544.23,4253.5,981.88,7674.02
Jackson El Sch,2018,0.0,184.73,1744.67,7658.0,739.93,3247.84
Jackson Primary Sch,2018,216.16,1367.61,815.08,4742.37,1047.96,6097.33
Jackson Sch,2018,185.86,834.74,805.41,3617.21,2106.46,9460.39
Jacksonwald El Sch,2018,74.67,705.98,1107.18,9035.73,585.69,4779.79
James Buchanan El Sch,2018,518.64,953.24,1370.02,4866.5,1738.06,6173.82
James Buchanan HS,2018,62.29,6.89,2460.33,6176.88,2165.06,5435.59
James Buchanan MS,2018,53.2,6.43,2049.28,4902.26,1803.34,4313.94
James Burd El Sch,2018,0.14,2.13,3.63,10.31,1.32,9.74
James F Baugher El Sch,2018,121.11,493.88,850.52,4339.82,850.14,4763.73
James Gettys El Sch,2018,60.26,660.08,1594.93,7816.72,661.51,3259.48
James M Coughlin JSHS,2018,0.0,230.59,1432.68,5975.39,935.6,7245.2
James S Wilson MS,2018,31.73,158.15,1448.37,6624.56,440.82,4423.79
James W Parker MS,2018,12.68,9.84,1229.16,11413.18,0.0,0.0
Jamestown Area El Sch,2018,113.84,1879.9,1137.33,4715.95,1847.93,7662.49
Jamestown Area JSHS,2018,22.25,317.9,1571.24,5931.1,2552.95,9636.86
