DistrictName,SchoolName,EnrollmentNumber,Year
Freeport Area SD,Freeport Area SHS,543,2021-2022
Freeport Area SD,South Buffalo El Sch,246,2021-2022
Galeton Area SD,Galeton Area Sch,325,2021-2022
Garnet Valley SD,Bethel Springs El Sch,458,2021-2022
Garnet Valley SD,Concord El Sch,683,2021-2022
Garnet Valley SD,Garnet Valley El Sch,737,2021-2022
Garnet Valley SD,Garnet Valley HS,1546,2021-2022
Garnet Valley SD,Garnet Valley MS,1076,2021-2022
Gateway SD,Dr Cleveland Steward Jr El Sch,307,2021-2022
Gateway SD,Evergreen El Sch,275,2021-2022
Gateway SD,Gateway SHS,1124,2021-2022
Gateway SD,Moss Side MS,1053,2021-2022
Gateway SD,Ramsey El Sch,334,2021-2022
Gateway SD,University Park El Sch,329,2021-2022
General McLane SD,Edinboro El Sch,413,2021-2022
General McLane SD,General McLane HS,703,2021-2022
General McLane SD,James W Parker MS,675,2021-2022
General McLane SD,McKean El Sch,326,2021-2022
Gettysburg Area SD,Franklin Twp El Sch,361,2021-2022
Gettysburg Area SD,Gettysburg Area HS,1031,2021-2022
Gettysburg Area SD,Gettysburg Area MS,740,2021-2022
Gettysburg Area SD,James Gettys El Sch,330,2021-2022
Gettysburg Area SD,Lincoln El Sch,392,2021-2022
Girard SD,Elk Valley El Sch,572,2021-2022
Girard SD,Girard HS,493,2021-2022
Girard SD,Rice Avenue MS,477,2021-2022
Glendale SD,Glendale El Sch,317,2021-2022
Glendale SD,Glendale JSHS,358,2021-2022
Governor Mifflin SD,Brecknock El Sch,495,2021-2022
Governor Mifflin SD,Cumru El Sch,410,2021-2022
Governor Mifflin SD,Governor Mifflin MS,619,2021-2022
Governor Mifflin SD,Governor Mifflin SHS,1483,2021-2022
Governor Mifflin SD,Intermediate Sch,546,2021-2022
Governor Mifflin SD,Mifflin Park El Sch,472,2021-2022
Great Valley SD,Charlestown El Sch,372,2021-2022
Great Valley SD,General Wayne El Sch,623,2021-2022
Great Valley SD,Great Valley HS,1403,2021-2022
Great Valley SD,Great Valley MS,1085,2021-2022
Great Valley SD,Kathryn D. Markley El Sch,631,2021-2022
Great Valley SD,Sugartown El Sch,496,2021-2022
Greater Johnstown SD,Greater Johnstown El Sch,1273,2021-2022
Greater Johnstown SD,Greater Johnstown MS,612,2021-2022
Greater Johnstown SD,Greater Johnstown School District's Cybe,100,2021-2022
Greater Johnstown SD,Greater Johnstown SHS,1011,2021-2022
Greater Latrobe SD,Baggaley El Sch,518,2021-2022
Greater Latrobe SD,Greater Latrobe JHS,568,2021-2022
Greater Latrobe SD,Greater Latrobe SHS,1178,2021-2022
Greater Latrobe SD,Latrobe El Sch,641,2021-2022
Greater Latrobe SD,Mountain View El Sch,562,2021-2022
Greater Nanticoke Area SD,GNA El Ctr,507,2021-2022
Greater Nanticoke Area SD,Greater Nanticoke Area Ed Ctr,528,2021-2022
Greater Nanticoke Area SD,Greater Nanticoke Area SHS,719,2021-2022
Greater Nanticoke Area SD,Kennedy Early Childhood Center,487,2021-2022
Greencastle-Antrim SD,Greencastle-Antrim El Sch,668,2021-2022
Greencastle-Antrim SD,Greencastle-Antrim MS,728,2021-2022
Greencastle-Antrim SD,Greencastle-Antrim Pri Sch,604,2021-2022
Greencastle-Antrim SD,Greencastle-Antrim SHS,1027,2021-2022
Greensburg Salem SD,Amos K Hutchinson El Sch,558,2021-2022
Greensburg Salem SD,Greensburg-Salem HS,839,2021-2022
Greensburg Salem SD,Greensburg-Salem MS,594,2021-2022
Greensburg Salem SD,Metzgar El Sch,294,2021-2022
Greensburg Salem SD,Nicely El Sch,297,2021-2022
Greenville Area SD,Greenville El Sch,621,2021-2022
Greenville Area SD,Greenville JSHS,631,2021-2022
Greenwood SD,Greenwood El Sch,338,2021-2022
Greenwood SD,Greenwood HS,242,2021-2022
Greenwood SD,Greenwood MS,190,2021-2022
Grove City Area SD,Grove City Area George Jr El Sch,6,2021-2022
Grove City Area SD,Grove City Area George Jr HS,98,2021-2022
Grove City Area SD,Grove City Area George Jr MS,31,2021-2022
Grove City Area SD,Grove City Area HS,620,2021-2022
Grove City Area SD,Grove City Area MS,398,2021-2022
Grove City Area SD,Hillview El Sch,778,2021-2022
Halifax Area SD,Halifax Area El Sch,354,2021-2022
Halifax Area SD,Halifax Area HS,234,2021-2022
Halifax Area SD,Halifax Area MS,279,2021-2022
Hamburg Area SD,Hamburg Area HS,687,2021-2022
Hamburg Area SD,Hamburg Area Middle School,487,2021-2022
Hamburg Area SD,Perry El Sch,342,2021-2022
Hamburg Area SD,Tilden El Center,533,2021-2022
Hampton Township SD,Central El Sch,448,2021-2022
Hampton Township SD,Hampton HS,914,2021-2022
Hampton Township SD,Hampton MS,656,2021-2022
Hampton Township SD,Poff El Sch,326,2021-2022
Hampton Township SD,Wyland El Sch,355,2021-2022
Hanover Area SD,Hanover Area JSHS,931,2021-2022
Hanover Area SD,Hanover Area Memorial El Sch,302,2021-2022
Hanover Area SD,Hanover Green El Sch,282,2021-2022
Hanover Area SD,Lee Park El Sch,311,2021-2022
Hanover Area SD,Lyndwood El Sch,233,2021-2022
Hanover Public SD,Clearview El Sch,261,2021-2022
Hanover Public SD,Hanover MS,635,2021-2022
Hanover Public SD,Hanover SHS,600,2021-2022
Hanover Public SD,Hanover Street El Sch,287,2021-2022
Hanover Public SD,Washington El Sch,232,2021-2022
Harbor Creek SD,Clark El Sch,278,2021-2022
Harbor Creek SD,Harbor Creek Junior HS,355,2021-2022
Harbor Creek SD,Harbor Creek Senior HS,629,2021-2022
Harbor Creek SD,Klein El Sch,306,2021-2022
Harbor Creek SD,Rolling Ridge El Sch,452,2021-2022
Harmony Area SD,Harmony Area El Sch,141,2021-2022
Harmony Area SD,Harmony Area JSHS,113,2021-2022
Harrisburg City SD,Benjamin Franklin Sch,679,2021-2022
Harrisburg City SD,Camp Curtin Academy,745,2021-2022
Harrisburg City SD,Cougar Academy,305,2021-2022
Harrisburg City SD,Downey Sch,359,2021-2022
Harrisburg City SD,Foose Sch,480,2021-2022
Harrisburg City SD,Harrisburg HS,1187,2021-2022
Harrisburg City SD,Harrisburg HS - SciTech Cmp,328,2021-2022
Harrisburg City SD,Marshall Academy,99,2021-2022
Harrisburg City SD,Marshall Math Science Academy,377,2021-2022
Harrisburg City SD,Melrose Sch,542,2021-2022
Harrisburg City SD,Rowland Academy,817,2021-2022
Harrisburg City SD,Scott Sch,439,2021-2022
Hatboro-Horsham SD,Blair Mill El Sch,383,2021-2022
Hatboro-Horsham SD,Crooked Billet El Sch,426,2021-2022
Hatboro-Horsham SD,Hallowell El Sch,418,2021-2022
Hatboro-Horsham SD,Hatboro-Horsham SHS,1364,2021-2022
Hatboro-Horsham SD,Keith Valley MS,1065,2021-2022
Hatboro-Horsham SD,Simmons El Sch,594,2021-2022
Haverford Township SD,Chatham Park El Sch,615,2021-2022
Haverford Township SD,Chestnutwold El Sch,618,2021-2022
Haverford Township SD,Coopertown El Sch,482,2021-2022
Haverford Township SD,Haverford MS,1599,2021-2022
Haverford Township SD,Haverford SHS,1973,2021-2022
Haverford Township SD,Lynnewood El Sch,588,2021-2022
Haverford Township SD,Manoa El Sch,688,2021-2022
Hazleton Area SD,Arthur Street El Sch,407,2021-2022
Hazleton Area SD,Drums El/MS,696,2021-2022
Hazleton Area SD,Freeland El/MS,853,2021-2022
Hazleton Area SD,Hazle Township Early Learning Center,451,2021-2022
Hazleton Area SD,Hazleton Area HS,3772,2021-2022
Hazleton Area SD,Hazleton El/MS,766,2021-2022
Hazleton Area SD,Heights Terrace El/MS,1026,2021-2022
Hazleton Area SD,Maple Manor El/MS,887,2021-2022
Hazleton Area SD,McAdoo-Kelayres El/MS,767,2021-2022
Hazleton Area SD,Valley El/MS,1429,2021-2022
Hazleton Area SD,West Hazleton El/MS,875,2021-2022
Hempfield Area SD,Fort Allen El Sch,491,2021-2022
Hempfield Area SD,Harrold MS,370,2021-2022
Hempfield Area SD,Hempfield Area SHS,1709,2021-2022
Hempfield Area SD,Maxwell El Sch,425,2021-2022
Hempfield Area SD,Stanwood El Sch,523,2021-2022
Hempfield Area SD,Wendover MS,430,2021-2022
Hempfield Area SD,West Hempfield El Sch,499,2021-2022
Hempfield Area SD,West Hempfield MS,421,2021-2022
Hempfield Area SD,West Point El Sch,420,2021-2022
Hempfield SD,Centerville El Sch,516,2021-2022
Hempfield SD,Centerville MS,598,2021-2022
Hempfield SD,East Petersburg El Sch,466,2021-2022
Hempfield SD,Farmdale El Sch,536,2021-2022
Hempfield SD,Hempfield SHS,2229,2021-2022
Hempfield SD,Landisville Intrmd Ctr,496,2021-2022
Hempfield SD,Landisville MS,515,2021-2022
Hempfield SD,Landisville Pri Ctr,603,2021-2022
Hempfield SD,Mountville El Sch,594,2021-2022
Hempfield SD,Rohrerstown El Sch,472,2021-2022
Hermitage SD,Artman El Sch,586,2021-2022
Hermitage SD,Delahunty MS,324,2021-2022
Hermitage SD,Hickory HS,817,2021-2022
Hermitage SD,Karen A. Ionta El Sch,303,2021-2022
Highlands SD,Highlands Early Childhood Center,229,2021-2022
Highlands SD,Highlands El Sch,633,2021-2022
Highlands SD,Highlands MS,674,2021-2022
Highlands SD,Highlands SHS,712,2021-2022
Hollidaysburg Area SD,Charles W Longer El Sch,414,2021-2022
Hollidaysburg Area SD,Foot of Ten El Sch,542,2021-2022
Hollidaysburg Area SD,Frankstown El Sch,613,2021-2022
Hollidaysburg Area SD,Hollidaysburg Area JHS,812,2021-2022
Hollidaysburg Area SD,Hollidaysburg Area SHS,808,2021-2022
Homer-Center SD,Homer-Center El Sch,410,2021-2022
Homer-Center SD,Homer-Center JSHS,397,2021-2022
Hopewell Area SD,Hopewell El Sch,363,2021-2022
Hopewell Area SD,Hopewell JHS,619,2021-2022
Hopewell Area SD,Hopewell SHS,603,2021-2022
Hopewell Area SD,Independence El Sch,257,2021-2022
Hopewell Area SD,Margaret Ross El Sch,215,2021-2022
Huntingdon Area SD,Huntingdon Area MS,402,2021-2022
Huntingdon Area SD,Huntingdon Area SHS,528,2021-2022
Huntingdon Area SD,Southside El Sch,325,2021-2022
Huntingdon Area SD,Standing Stone El Sch,424,2021-2022
Indiana Area SD,Ben Franklin El Sch,400,2021-2022
Indiana Area SD,East Pike El Sch,396,2021-2022
Indiana Area SD,Eisenhower El Sch,206,2021-2022
Indiana Area SD,Horace Mann El Sch,183,2021-2022
Indiana Area SD,Indiana Area JHS,657,2021-2022
Indiana Area SD,Indiana Area SHS,924,2021-2022
Interboro SD,Glenolden Sch,603,2021-2022
Interboro SD,Interboro SHS,1025,2021-2022
Interboro SD,Kindergarten Academy,225,2021-2022
Interboro SD,Norwood Sch,549,2021-2022
Interboro SD,Prospect Park Sch,561,2021-2022
Interboro SD,Tinicum Sch,342,2021-2022
Iroquois SD,Iroquois El Sch,550,2021-2022
Iroquois SD,Iroquois JSHS,554,2021-2022
Jamestown Area SD,Jamestown Area El Sch,184,2021-2022
Jamestown Area SD,Jamestown Area JSHS,218,2021-2022
Jeannette City SD,Jeannette HS,387,2021-2022
Jeannette City SD,Jeannette McKee El Sch,503,2021-2022
Jefferson-Morgan SD,Jefferson-Morgan El Sch,435,2021-2022
Jefferson-Morgan SD,Jefferson-Morgan MS/HS,341,2021-2022
Jenkintown SD,Jenkintown El Sch,400,2021-2022
Jenkintown SD,Jenkintown Middle/High School,307,2021-2022
Jersey Shore Area SD,Avis El Sch,183,2021-2022
Jersey Shore Area SD,Jersey Shore Area El Sch,581,2021-2022
Jersey Shore Area SD,Jersey Shore Area SHS,727,2021-2022
Jersey Shore Area SD,Jersey Shore MS,498,2021-2022
Jersey Shore Area SD,Salladasburg El Sch,186,2021-2022
Jim Thorpe Area SD,Jim Thorpe Area HS,566,2021-2022
Jim Thorpe Area SD,L B Morris El Sch,655,2021-2022
Jim Thorpe Area SD,Penn-Kidder Campus,593,2021-2022
Johnsonburg Area SD,Johnsonburg Area El Sch,292,2021-2022
Johnsonburg Area SD,Johnsonburg Area HS,258,2021-2022
Juniata County SD,East Juniata El Sch,396,2021-2022
Juniata County SD,East Juniata JSHS,412,2021-2022
Juniata County SD,Juniata El Sch,644,2021-2022
Juniata County SD,Juniata SHS,534,2021-2022
Juniata County SD,Tuscarora MS,344,2021-2022
Juniata Valley SD,Juniata Valley El Sch,313,2021-2022
Juniata Valley SD,Juniata Valley JSHS,399,2021-2022
Kane Area SD,Kane Area El Sch,453,2021-2022
Kane Area SD,Kane Area HS,347,2021-2022
Kane Area SD,Kane Area MS,205,2021-2022
Karns City Area SD,Chicora El Sch,437,2021-2022
Karns City Area SD,Karns City HS,640,2021-2022
Karns City Area SD,Sugarcreek El Sch,204,2021-2022
Kennett Consolidated SD,Bancroft El Sch,400,2021-2022
Kennett Consolidated SD,Greenwood El Sch,553,2021-2022
Kennett Consolidated SD,Kennett HS,1335,2021-2022
Kennett Consolidated SD,Kennett MS,920,2021-2022
Kennett Consolidated SD,Mary D Lang Kdg Ctr,256,2021-2022
Kennett Consolidated SD,New Garden El Sch,495,2021-2022
Keystone Central SD,Bucktail Area MS,112,2021-2022
Keystone Central SD,Bucktail HS,119,2021-2022
Keystone Central SD,Central Mountain HS,1153,2021-2022
Keystone Central SD,Central Mountain MS,989,2021-2022
Keystone Central SD,Liberty-Curtin El Sch,154,2021-2022
Keystone Central SD,Mill Hall El Sch,301,2021-2022
Keystone Central SD,Renovo El Sch,156,2021-2022
Keystone Central SD,Robb El Sch,437,2021-2022
Keystone Central SD,Woodward El Sch,200,2021-2022
Keystone Oaks SD,Dormont El Sch,340,2021-2022
Keystone Oaks SD,Fred L Aiken El Sch,222,2021-2022
Keystone Oaks SD,Keystone Oaks HS,600,2021-2022
Keystone Oaks SD,Keystone Oaks MS,404,2021-2022
Keystone Oaks SD,Myrtle Ave Sch,304,2021-2022
Keystone SD,Keystone El Sch,423,2021-2022
Keystone SD,Keystone JSHS,456,2021-2022
Kiski Area SD,Kiski Area East Primary Sch,425,2021-2022
Kiski Area SD,Kiski Area HS,1106,2021-2022
Kiski Area SD,Kiski Area IHS,573,2021-2022
Kiski Area SD,Kiski Area North Primary Sch,505,2021-2022
Kiski Area SD,Kiski Area South Primary Sch,278,2021-2022
Kiski Area SD,Kiski Area Upper El Sch,518,2021-2022
Kutztown Area SD,Greenwich-Lenhartsville El Sch,213,2021-2022
Kutztown Area SD,Kutztown Area MS,283,2021-2022
Kutztown Area SD,Kutztown Area SHS,463,2021-2022
Kutztown Area SD,Kutztown El Sch,411,2021-2022
Lackawanna Trail SD,Lackawanna Trail El Ctr,498,2021-2022
Lackawanna Trail SD,Lackawanna Trail JSHS,467,2021-2022
Lakeland SD,Lakeland El Sch - Mayfield Campus,260,2021-2022
Lakeland SD,Lakeland El Sch - Scott Campus,427,2021-2022
Lakeland SD,Lakeland JSHS,659,2021-2022
Lake-Lehman SD,Lake-Lehman JSHS,791,2021-2022
Lake-Lehman SD,Lake-Noxen El Sch,252,2021-2022
Lake-Lehman SD,Lehman-Jackson El Sch,393,2021-2022
Lake-Lehman SD,Ross El Sch,189,2021-2022
Lakeview SD,Lakeview Middle-HS,503,2021-2022
Lakeview SD,Oakview El Sch,365,2021-2022
Lampeter-Strasburg SD,Hans Herr El Sch,659,2021-2022
Lampeter-Strasburg SD,Lampeter El Sch,578,2021-2022
Lampeter-Strasburg SD,Lampeter-Strasburg SHS,952,2021-2022
Lampeter-Strasburg SD,Martin Meylin MS,637,2021-2022
Lancaster SD,Burrowes El Sch,302,2021-2022
Lancaster SD,Carter and MacRae El Sch,347,2021-2022
Lancaster SD,Fulton El Sch,350,2021-2022
Lancaster SD,Hamilton El Sch,437,2021-2022
Lancaster SD,Jackson MS,490,2021-2022
Lancaster SD,King El Sch,386,2021-2022
Lancaster SD,Lafayette El Sch,463,2021-2022
Lancaster SD,Lincoln MS,500,2021-2022
Lancaster SD,Martin School,703,2021-2022
Lancaster SD,McCaskey Campus,2572,2021-2022
Lancaster SD,Phoenix Academy,339,2021-2022
Lancaster SD,Price El Sch,448,2021-2022
Lancaster SD,Reynolds MS,458,2021-2022
Lancaster SD,Ross El Sch,228,2021-2022
Lancaster SD,Smith-Wade-El El Sch,395,2021-2022
Lancaster SD,Washington El Sch,499,2021-2022
Lancaster SD,Wharton El Sch,307,2021-2022
Lancaster SD,Wheatland MS,582,2021-2022
Lancaster SD,Wickersham El Sch,354,2021-2022
Laurel Highlands SD,Clark El Sch,286,2021-2022
Laurel Highlands SD,Hatfield El Sch,345,2021-2022
Laurel Highlands SD,Hutchinson El Sch,329,2021-2022
Laurel Highlands SD,Laurel Highlands MS,619,2021-2022
Laurel Highlands SD,Laurel Highlands SHS,879,2021-2022
Laurel Highlands SD,Marshall El Sch,294,2021-2022
Laurel SD,Laurel El Sch,518,2021-2022
Laurel SD,Laurel HS,324,2021-2022
Laurel SD,Laurel MS,165,2021-2022
Lebanon SD,Harding El Sch,585,2021-2022
Lebanon SD,Houck El Sch,381,2021-2022
Lebanon SD,Lebanon MS,1072,2021-2022
Lebanon SD,Lebanon SHS,1471,2021-2022
Lebanon SD,Northwest El Sch,603,2021-2022
Lebanon SD,Southeast El Sch,472,2021-2022
Lebanon SD,Southwest El Sch,459,2021-2022
Leechburg Area SD,David Leech El Sch,286,2021-2022
Leechburg Area SD,Leechburg Area HS,204,2021-2022
Leechburg Area SD,Leechburg Area MS,156,2021-2022
Lehighton Area SD,Lehighton Area Elementary Center,973,2021-2022
Lehighton Area SD,Lehighton Area HS,682,2021-2022
Lehighton Area SD,Lehighton Area MS,561,2021-2022
Lewisburg Area SD,Donald H Eichhorn MS,427,2021-2022
Lewisburg Area SD,Kelly El Sch,554,2021-2022
Lewisburg Area SD,Lewisburg HS,618,2021-2022
Lewisburg Area SD,Linntown El Sch,292,2021-2022
Ligonier Valley SD,Laurel Valley El Sch,223,2021-2022
Ligonier Valley SD,Ligonier Valley HS,471,2021-2022
Ligonier Valley SD,Ligonier Valley MS,313,2021-2022
Ligonier Valley SD,Mellon El Sch,392,2021-2022
Line Mountain SD,Line Mountain El Sch,361,2021-2022
Line Mountain SD,Line Mountain HS,329,2021-2022
Line Mountain SD,Line Mountain MS,336,2021-2022
Littlestown Area SD,Alloway Creek El Sch,844,2021-2022
Littlestown Area SD,Littlestown SHS,608,2021-2022
Littlestown Area SD,Maple Avenue MS,401,2021-2022
Lower Dauphin SD,Conewago El Sch,209,2021-2022
Lower Dauphin SD,East Hanover El Sch,356,2021-2022
Lower Dauphin SD,Londonderry El Sch,245,2021-2022
Lower Dauphin SD,Lower Dauphin HS,1119,2021-2022
Lower Dauphin SD,Lower Dauphin MS,861,2021-2022
Lower Dauphin SD,Nye El Sch,339,2021-2022
Lower Dauphin SD,Price,10,2021-2022
Lower Dauphin SD,South Hanover El Sch,393,2021-2022
Lower Merion SD,Bala-Cynwyd MS,1016,2021-2022
Lower Merion SD,Belmont Hills El Sch,454,2021-2022
Lower Merion SD,Cynwyd Sch,535,2021-2022
Lower Merion SD,Gladwyne Sch,691,2021-2022
Lower Merion SD,Harriton SHS,1287,2021-2022
Lower Merion SD,Lower Merion HS,1628,2021-2022
Lower Merion SD,Merion El Sch,544,2021-2022
Lower Merion SD,Penn Valley Sch,584,2021-2022
Lower Merion SD,Penn Wynne Sch,732,2021-2022
Lower Merion SD,Welsh Valley MS,992,2021-2022
Lower Moreland Township SD,Lower Moreland HS,826,2021-2022
Lower Moreland Township SD,Murray Avenue Sch,586,2021-2022
Lower Moreland Township SD,Pine Road El Sch,1084,2021-2022
Loyalsock Township SD,Donald E. Schick Sch,722,2021-2022
Loyalsock Township SD,Loyalsock Twp MS,364,2021-2022
Loyalsock Township SD,Loyalsock Twp SHS,459,2021-2022
Mahanoy Area SD,Mahanoy Area El Sch,552,2021-2022
Mahanoy Area SD,Mahanoy Area JSHS,461,2021-2022
Manheim Central SD,Baron EL Sch,332,2021-2022
Manheim Central SD,Doe Run El Sch,669,2021-2022
Manheim Central SD,Manheim Central MS,887,2021-2022
Manheim Central SD,Manheim Central SHS,959,2021-2022
Manheim Township SD,Brecht Sch,253,2021-2022
Manheim Township SD,Bucher Sch,396,2021-2022
Manheim Township SD,Landis Run Intermediate School,901,2021-2022
Manheim Township SD,Manheim Twp HS,1864,2021-2022
Manheim Township SD,Manheim Twp MS,981,2021-2022
Manheim Township SD,Neff Sch,304,2021-2022
Manheim Township SD,Nitrauer Sch,476,2021-2022
Manheim Township SD,Reidenbaugh El Sch,456,2021-2022
Manheim Township SD,Schaeffer Sch,310,2021-2022
Marion Center Area SD,Marion Center Area JR/SR HS,584,2021-2022
Marion Center Area SD,Rayne El Sch,281,2021-2022
Marion Center Area SD,W.A. McCreery El Sch,330,2021-2022
Marple Newtown SD,Culbertson El Sch,521,2021-2022
Marple Newtown SD,Loomis El Sch,404,2021-2022
Marple Newtown SD,Marple Newtown SHS,1157,2021-2022
Marple Newtown SD,Paxon Hollow MS,848,2021-2022
Marple Newtown SD,Russell El Sch,343,2021-2022
Marple Newtown SD,Worrall El Sch,404,2021-2022
Mars Area SD,Mars Area Centennial Sch,496,2021-2022
Mars Area SD,Mars Area El Sch,856,2021-2022
Mars Area SD,Mars Area MS,516,2021-2022
Mars Area SD,Mars Area Primary Ctr,526,2021-2022
Mars Area SD,Mars Area SHS,1051,2021-2022
McGuffey SD,Claysville El Sch,499,2021-2022
McGuffey SD,Joe Walker El Sch,200,2021-2022
McGuffey SD,McGuffey HS,482,2021-2022
McGuffey SD,McGuffey MS,354,2021-2022
McKeesport Area SD,Founders Hall Middle Sch,729,2021-2022
McKeesport Area SD,Francis McClure El Sch,610,2021-2022
McKeesport Area SD,McKeesport Area SHS,1023,2021-2022
McKeesport Area SD,Twin Rivers El Sch,735,2021-2022
Mechanicsburg Area SD,Broad Street El Sch,209,2021-2022
Mechanicsburg Area SD,Elmwood Academy,720,2021-2022
Mechanicsburg Area SD,Kindergarten Academy,319,2021-2022
Mechanicsburg Area SD,Mechanicsburg Area SHS,1253,2021-2022
Mechanicsburg Area SD,Mechanicsburg MS,1047,2021-2022
Mechanicsburg Area SD,Northside El Sch,240,2021-2022
Mechanicsburg Area SD,Shepherdstown El Sch,250,2021-2022
Mechanicsburg Area SD,Upper Allen El Sch,306,2021-2022
Mercer Area SD,Mercer Area El Sch,533,2021-2022
Mercer Area SD,Mercer Area MS,160,2021-2022
Mercer Area SD,Mercer Area SHS,331,2021-2022
Methacton SD,Arcola Intrmd Sch,771,2021-2022
Methacton SD,Arrowhead El Sch,412,2021-2022
Methacton SD,Eagleville El Sch,380,2021-2022
Methacton SD,Methacton HS,1584,2021-2022
Methacton SD,Skyview Upper El Sch,651,2021-2022
Methacton SD,Woodland El Sch,413,2021-2022
Methacton SD,Worcester El Sch,404,2021-2022
Meyersdale Area SD,Meyersdale Area El Sch,307,2021-2022
Meyersdale Area SD,Meyersdale Area HS,267,2021-2022
Meyersdale Area SD,Meyersdale Area MS,186,2021-2022
Mid Valley SD,Mid Valley El Ctr,1021,2021-2022
Mid Valley SD,Mid Valley Secondary Center,853,2021-2022
Middletown Area SD,Fink El Sch,241,2021-2022
Middletown Area SD,Kunkel El Sch,380,2021-2022
Middletown Area SD,Middletown Area HS,703,2021-2022
Middletown Area SD,Middletown Area MS,611,2021-2022
Middletown Area SD,Robert Reid El Sch,444,2021-2022
Midd-West SD,Middleburg El Sch,538,2021-2022
Midd-West SD,Midd-West HS,762,2021-2022
Midd-West SD,Midd-West MS,308,2021-2022
Midd-West SD,West Snyder El Sch,355,2021-2022
Midland Borough SD,Midland El/MS,239,2021-2022
Mifflin County SD,East Derry El Sch,267,2021-2022
Mifflin County SD,Indian Valley El Sch,414,2021-2022
Mifflin County SD,Indian Valley Intrmd Sch,200,2021-2022
Mifflin County SD,Lewistown El Sch,475,2021-2022
Mifflin County SD,Lewistown Intrmd Sch,478,2021-2022
Mifflin County SD,Mifflin Co HS,1113,2021-2022
Mifflin County SD,Mifflin Co JHS,804,2021-2022
Mifflin County SD,Mifflin Co MS,734,2021-2022
Mifflin County SD,Strodes Mills El Sch,225,2021-2022
Mifflinburg Area SD,Mifflinburg Area Intrmd Sch,419,2021-2022
Mifflinburg Area SD,Mifflinburg Area MS,407,2021-2022
Mifflinburg Area SD,Mifflinburg Area SHS,531,2021-2022
Mifflinburg Area SD,Mifflinburg El Sch,391,2021-2022
Millcreek Township SD,Asbury El Sch,525,2021-2022
Millcreek Township SD,Belle Valley El Sch,588,2021-2022
Millcreek Township SD,Chestnut Hill El Sch,364,2021-2022
Millcreek Township SD,Grandview El Sch,598,2021-2022
Millcreek Township SD,James S Wilson MS,553,2021-2022
Millcreek Township SD,McDowell HS,2198,2021-2022
Millcreek Township SD,Tracy El Sch,489,2021-2022
Millcreek Township SD,Walnut Creek MS,482,2021-2022
Millcreek Township SD,Westlake MS,477,2021-2022
Millersburg Area SD,Lenkerville El Sch,309,2021-2022
Millersburg Area SD,Millersburg Area MS,177,2021-2022
Millersburg Area SD,Millersburg Area SHS,236,2021-2022
Millville Area SD,Millville Area El Sch,302,2021-2022
Millville Area SD,Millville Area JSHS,251,2021-2022
Milton Area SD,James F Baugher El Sch,656,2021-2022
Milton Area SD,Milton Area MS,423,2021-2022
Milton Area SD,Milton HS,629,2021-2022
Milton Area SD,White Deer El Sch,213,2021-2022
Minersville Area SD,Early Childhood Edu Ctr,115,2021-2022
Minersville Area SD,Minersville Area El Ctr,456,2021-2022
Minersville Area SD,Minersville Area JSHS,526,2021-2022
Mohawk Area SD,Mohawk El Sch,655,2021-2022
Mohawk Area SD,Mohawk JHS,355,2021-2022
Mohawk Area SD,Mohawk SHS,453,2021-2022
Monessen City SD,Monessen El Ctr,348,2021-2022
Monessen City SD,Monessen MS,155,2021-2022
Monessen City SD,Monessen SHS,209,2021-2022
Moniteau SD,Dassa McKinney El Sch,626,2021-2022
Moniteau SD,Moniteau JSHS,577,2021-2022
Montgomery Area SD,Montgomery El Sch,528,2021-2022
Montgomery Area SD,Montgomery JSHS,404,2021-2022
Montour SD,David E Williams MS,952,2021-2022
Montour SD,Montour El Sch,1178,2021-2022
Montour SD,Montour HS,903,2021-2022
Montoursville Area SD,C E McCall MS,543,2021-2022
Montoursville Area SD,Loyalsock Valley El Sch,256,2021-2022
Montoursville Area SD,Lyter El Sch,395,2021-2022
Montoursville Area SD,Montoursville Area SHS,616,2021-2022
Montrose Area SD,Choconut Valley El Sch,233,2021-2022
Montrose Area SD,Lathrop Street El Sch,398,2021-2022
Montrose Area SD,Montrose Area JSHS,565,2021-2022
Moon Area SD,Bon Meade El Sch,574,2021-2022
Moon Area SD,J H Brooks El Sch,391,2021-2022
Moon Area SD,J.A. Allard El Sch,218,2021-2022
Moon Area SD,McCormick El Sch,198,2021-2022
Moon Area SD,Moon Area Lower MS,593,2021-2022
Moon Area SD,Moon Area Upper MS,609,2021-2022
Moon Area SD,Moon SHS,1186,2021-2022
Moon Area SD,Richard J. Hyde El Sch,207,2021-2022
Morrisville Borough SD,Grandview El Sch,216,2021-2022
Morrisville Borough SD,Morrisville HS,408,2021-2022
Morrisville Borough SD,Morrisville Intermediate Sch,206,2021-2022
Moshannon Valley SD,Moshannon Valley El Sch,405,2021-2022
Moshannon Valley SD,Moshannon Valley JSHS,397,2021-2022
Mount Carmel Area SD,Mount Carmel Area El Sch,797,2021-2022
Mount Carmel Area SD,Mount Carmel Area HS,447,2021-2022
Mount Carmel Area SD,Mount Carmel Area JH,254,2021-2022
Mount Pleasant Area SD,Donegal El Sch,97,2021-2022
Mount Pleasant Area SD,Mount Pleasant Area HS,609,2021-2022
Mount Pleasant Area SD,Mount Pleasant Area JHS,319,2021-2022
Mount Pleasant Area SD,Norvelt El Sch,463,2021-2022
Mount Pleasant Area SD,Ramsay El Sch,416,2021-2022
