Name,DataElement,DisplayValue
Fox Chapel Area SD,AverageDailyMembership(ADM),4211.68
Franklin Area SD,AverageDailyMembership(ADM),1876.44
Franklin County Career and Technology Center,AverageDailyMembership(ADM),NULL
Franklin Regional SD,AverageDailyMembership(ADM),3457.98
Franklin Towne Charter Elementary School,AverageDailyMembership(ADM),944.63
Franklin Towne CHS,AverageDailyMembership(ADM),1248.19
Frazier SD,AverageDailyMembership(ADM),1093.42
Frederick Douglass Mastery CS,AverageDailyMembership(ADM),643.91
Freedom Area SD,AverageDailyMembership(ADM),1330.92
Freeport Area SD,AverageDailyMembership(ADM),1929.24
Freire CS,AverageDailyMembership(ADM),961.99
Fulton County Area Vocational-Technical School,AverageDailyMembership(ADM),NULL
Galeton Area SD,AverageDailyMembership(ADM),339.47
Garnet Valley SD,AverageDailyMembership(ADM),4554.88
Gateway SD,AverageDailyMembership(ADM),3648.29
General McLane SD,AverageDailyMembership(ADM),2181.85
Gettysburg Area SD,AverageDailyMembership(ADM),3130.44
Gettysburg Montessori CS,AverageDailyMembership(ADM),262.41
Gillingham Charter School,AverageDailyMembership(ADM),232.08
Girard SD,AverageDailyMembership(ADM),1562.23
Glendale SD,AverageDailyMembership(ADM),698.76
Global Leadership Academy CS,AverageDailyMembership(ADM),637.63
Global Leadership Academy CS Southwest a,AverageDailyMembership(ADM),548.59
Governor Mifflin SD,AverageDailyMembership(ADM),4233.57
Great Valley SD,AverageDailyMembership(ADM),4804.74
Greater Altoona CTC,AverageDailyMembership(ADM),NULL
Greater Johnstown Career and Technology Center,AverageDailyMembership(ADM),NULL
Greater Johnstown SD,AverageDailyMembership(ADM),3051.95
Greater Latrobe SD,AverageDailyMembership(ADM),3605.91
Greater Nanticoke Area SD,AverageDailyMembership(ADM),2453.16
Green Woods CS,AverageDailyMembership(ADM),669.13
Greencastle-Antrim SD,AverageDailyMembership(ADM),3083.32
Greene County CTC,AverageDailyMembership(ADM),NULL
Greensburg Salem SD,AverageDailyMembership(ADM),2690.71
Greenville Area SD,AverageDailyMembership(ADM),1282.42
Greenwood SD,AverageDailyMembership(ADM),799.92
Grove City Area SD,AverageDailyMembership(ADM),1848.31
Halifax Area SD,AverageDailyMembership(ADM),977.01
Hamburg Area SD,AverageDailyMembership(ADM),2152.8
Hampton Township SD,AverageDailyMembership(ADM),2747.55
Hanover Area SD,AverageDailyMembership(ADM),2149.01
Hanover Public SD,AverageDailyMembership(ADM),2139.99
Harambee Institute of Science and Techno,AverageDailyMembership(ADM),583.28
Harbor Creek SD,AverageDailyMembership(ADM),2073.53
Harmony Area SD,AverageDailyMembership(ADM),257.38
Harrisburg City SD,AverageDailyMembership(ADM),8090.69
Hatboro-Horsham SD,AverageDailyMembership(ADM),4297.29
Haverford Township SD,AverageDailyMembership(ADM),6683.59
Hazleton Area Career Center,AverageDailyMembership(ADM),NULL
Hazleton Area SD,AverageDailyMembership(ADM),12357.47
Hempfield Area SD,AverageDailyMembership(ADM),5506.98
Hempfield SD,AverageDailyMembership(ADM),7210.86
Hermitage SD,AverageDailyMembership(ADM),2088.83
Highlands SD,AverageDailyMembership(ADM),2287.47
Hollidaysburg Area SD,AverageDailyMembership(ADM),3255.05
Homer-Center SD,AverageDailyMembership(ADM),827.35
