CANON-MCMILLAN SD,515737.62,57121994.56,22843229.51,79666956.5,80495212.39,2016
CANTON AREA SD,337613.23,4124006.17,11040272.62,14834939.06,15501892.02,2016
CAPITAL AREA SCHOOL FOR THE ARTS CHARTER SCHOOL,0,2782085.8,41293.01,2589136.69,2823378.81,2016
CARBON CAREER & TECHNICAL INSTITUTE,169598,6498323,981151,7272153,7649072,2016
CARBONDALE AREA SD,2216744.21,8355873.47,15967287.41,26134925.92,26539905.09,2016
CAREER INSTITUTE OF TECHNOLOGY,238394.62,7047604.3,1257267.64,8543567.55,8500171.03,2016
CAREER TECHNOLOGY CENTER OF LACKAWANNA COUNTY,912880,4528617,1400123,6841620,6841620,2016
CARLISLE AREA SD,2040394.65,52950510.83,26407548.17,81090875.56,81399966.65,2016
CARLYNTON SD,970119.65,17000064.06,8586406.01,26768544.5,26556589.72,2016
CARMICHAELS AREA SD,443787.35,4830446.65,11528937.67,16306595.27,16803171.67,2016
CATASAUQUA AREA SD,376470.09,18584642.58,8963547.06,29833817.22,27925359.13,2016
CENTENNIAL SD,984739.92,82791662.61,30755807.56,114742172.4,115089965.1,2016
CENTER FOR STUDENT LEARNING CS AT PENNSBURY,0,2757551.49,2731.93,2685079.8,2760283.42,2016
CENTRAL BUCKS SD,2379629.83,256467405.9,72167029.69,324142609.9,331023602.4,2016
CENTRAL CAMBRIA SD,409535.14,10150012.32,12711298.88,22157027.96,23270846.34,2016
CENTRAL COLUMBIA SD,380829.61,17574707.41,12487459.3,38933943.43,40440948.32,2016
CENTRAL DAUPHIN SD,2640464.55,135064278.3,45612143.31,182526787.8,183594106.7,2016
CENTRAL FULTON SD,806126.28,5862061.91,8928180.85,15434786.67,15596369.04,2016
CENTRAL GREENE SD,1110417.9,17990505.71,14957637.83,34319823.81,34558561.44,2016
"CENTRAL MONTCO TECHNICAL HS FOR THE ARTS, SCIENCES & TECHNOLOGY",291506,7464023.7,1004399.65,8759929.35,8759929.35,2016
CENTRAL PA INSTITUTE OF SCIENCE AND TECHNOLOGY,204426,6599093.92,1339579.76,8554640.53,8193599.68,2016
CENTRAL PENNSYLVANIA DIGITAL LEARNING FOUNDATION CS,28086.4,2599067.05,16950,2102245.05,2644103.45,2016
CENTRAL VALLEY SD,488030.71,18331577.72,15092457.18,35273150.71,34125211.61,2016
CENTRAL WESTMORELAND CAREER AND TECHNOLOGY CENTER,317753,6153368,1530062,7858631,8001183,2016
CENTRAL YORK SD,613234.92,62214285.01,23244069.47,86397059.81,86071589.4,2016
CENTRE LEARNING COMMUNITY CS,22502,1493192,1814,1939086,1958191,2016
CHAMBERSBURG AREA SD,3969566,81536873,43113183,136912136,138369622,2016
CHARLEROI SD,727079,8942340,13718097,23529850.15,23387516,2016
CHARTER HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,239439,6798520,143817,7706336,7181776,2016
CHARTIERS VALLEY SD,746877.93,44625192.38,15128840.64,60353756.31,60500915.8,2016
CHARTIERS-HOUSTON SD,181674,10231243.01,7900559.59,17653905.88,18320968.6,2016
CHELTENHAM SD,931242,88354675,23348631,112494775,112634548,2016
CHESTER CS FOR THE ARTS,646849.72,7733220.86,149880.71,9149579,8575030.29,2016
CHESTER CO FAMILY ACADEMY CS,39568.66,1621299.45,3945.47,1392219.25,1664813.58,2016
CHESTER COMMUNITY CS,4830942.59,52662137.94,796832.52,57450190.08,58291260.05,2016
CHESTER COUNTY TECHNICAL COLLEGE HIGH SCHOOL,,,,,30292019,2016
CHESTER COUNTY TECHNICAL COLLEGE HIGH SCHOOL ,1334801,25607658,3349560,30061649.41,,2016
CHESTER-UPLAND SD,4960335.94,21250473.02,95640717.22,126093815.8,139965086.2,2016
CHESTNUT RIDGE SD,476718.45,6557994.95,14073797.63,20121379.72,21108511.03,2016
CHICHESTER SD,2117715.27,46036320.83,25065168.15,72316012.08,73258779.65,2016
CHRISTOPHER COLUMBUS CS,731649.87,8297598.98,79246.4,9076506.62,9108495.25,2016
CIRCLE OF SEASONS CHARTER SCHOOL,46040,4014263,4172.38,6798199.56,6964475.38,2016
CITY CHS,320674,10429117,131061,10493623,10880852,2016
CLAIRTON CITY SD,989419,3436384,10981603,17794584,17437406,2016
CLARION AREA SD,130151.78,8066991.54,4971747.49,13362794.45,13168890.81,2016
CLARION COUNTY CAREER CENTER,401787.49,2072209.95,777833.47,3234469.37,3251830.91,2016
CLARION-LIMESTONE AREA SD,410338.7,5466897.19,8583822.26,14224800.61,14467234.9,2016
CLAYSBURG-KIMMEL SD,376682.07,3199767.09,8135099.79,11525200.78,11711548.95,2016
CLEARFIELD AREA SD,1169326.87,15445320.6,22967263.73,47737819.16,49070835.5,2016
CLEARFIELD CO CTC,268907.75,4043820.06,1093363.05,5054176.46,5406090.86,2016
COATESVILLE AREA SD,4759045.35,105651299.2,50567326.04,170160545.9,160977670.6,2016
COCALICO SD,667467.61,37654390.91,16335087.31,54908655.53,55800075.36,2016
COLLEGIUM CS,459996,41887332,79763,37793801,42512846,2016
COLONIAL SD,719534.8,97272353.54,19103983.25,117637285.2,117235390.6,2016
COLUMBIA BOROUGH SD,830963.13,11547515.38,12002905.06,23775156.8,24381883.57,2016
COLUMBIA-MONTOUR AREA VOCATIONAL-TECHNICAL SCHOOL,155840,6709961,1220887,8078466,8086688,2016
COMMODORE PERRY SD,30399,2590096.36,5948471.52,8266286.6,8568966.88,2016
COMMONWEALTH CHARTER ACADEMY CS,3794241.97,118967602.8,465758.81,121448723.9,123230803.6,2016
COMMUNITY ACADEMY OF PHILADELPHIA CS,1113371.81,14553138.71,318154.48,16942176,16115763,2016
CONEMAUGH TOWNSHIP AREA SD,227773.09,4189348.77,10271837.41,14959399.42,14711643.01,2016
CONEMAUGH VALLEY SD,287592.54,2958876.86,9420147.02,12013118.42,12666616.42,2016
CONESTOGA VALLEY SD,2374216.32,49681300.51,14125633.12,66204820.8,66181149.95,2016
CONEWAGO VALLEY SD,686840.51,34264359.67,19090926.97,58198459.3,58417127.15,2016
CONNEAUT SD,993754,16295316,20418948,37319105.57,37718832,2016
CONNELLSVILLE AREA CAREER & TECHNICAL CENTER,100385,2791092.33,1027694.57,3919171.9,3919171.9,2016
CONNELLSVILLE AREA SD,2677119.02,19951410.59,53958605.01,70497339.03,76810125.88,2016
CONRAD WEISER AREA SD,1743156.97,30770923.35,15075896.13,48294573.54,47589976.45,2016
CORNELL SD,626055,8711759,4065252,14149582,13403066,2016
CORNWALL-LEBANON SD,964912.43,49972430.48,22503569.58,74034378.15,73458093.83,2016
CORRY AREA SD,1399182.09,8652381.83,21559167.22,31031043.4,31610731.14,2016
COUDERSPORT AREA SD,235286,5526642.4,6844010.5,18623800.07,18527938.9,2016
COUNCIL ROCK SD,1625813.46,173352563.2,51025581.39,226944664.6,226003958,2016
CRANBERRY AREA SD,416694.22,7072843.88,11232301.75,18641959.83,18721839.85,2016
CRAWFORD CENTRAL SD,1975113.66,26921346.77,30317013.87,56398397.7,59213474.3,2016
CRAWFORD COUNTY CTC,520658,4063738.37,1088603.78,5643622.29,5673000.15,2016
CRESTWOOD SD,357880.39,20930249.59,14623164.88,37240023.56,35911294.86,2016
CRISPUS ATTUCKS YOUTHBUILD CS,809404,1055591,29541,2104972,1894536,2016
CUMBERLAND PERRY AREA VOCATIONAL TECHNICAL SCHOOL,425734.24,6088475.4,1273302.19,7690158.73,7797078.21,2016
CUMBERLAND VALLEY SD,970548,95258463,28506353,128748475,124746837,2016
CURWENSVILLE AREA SD,736278.27,4426021.96,12620634.5,16856910.72,17782934.73,2016
DALLAS SD,780460.64,25346285.96,11509708.74,36545911.43,37636455.34,2016
DALLASTOWN AREA SD,763542.89,73897049.84,26555902.63,101715239.7,101941212.4,2016
DANIEL BOONE AREA SD,439482.5,36206714.04,18656496.88,91468135.19,91528014.77,2016
DANVILLE AREA SD,1458479.2,22949759.84,15581865.98,56894919.81,54516394.57,2016
DAUPHIN COUNTY TECHNICAL SCHOOL,615119.9,14167185.32,2455921.11,17820993.8,17302238.96,2016
DEER LAKES SD,414268.01,22132866.09,13298012.79,35473184.02,35845146.89,2016
DELAWARE VALLEY CHS,0,0,0,0,0,2016
DELAWARE VALLEY SD,1641038.12,47242462.06,30447523.46,80002107.64,80881023.64,2016
DERRY AREA SD,1823610.07,12973178.97,19604645.8,35309446.67,34512584.12,2016
DERRY TOWNSHIP SD,527048.12,47484961.55,10825997.55,60864638.22,60880813.32,2016
DISCOVERY CHARTER SCHOOL,567178,8271085,68550,8674629,8906813,2016
DOBBINS AREA VOCATIONAL-TECHNICAL HIGH SCHOOL,240797382.9,1303360171,1565568389,4072273193,4108843228,2016
DONEGAL SD,1638893.36,32016376.02,16859142.3,49919891.06,50537956.68,2016
DOVER AREA SD,849559.18,35658376.33,24702083.22,68073934.58,70943517.93,2016
DOWNINGTOWN AREA SD,2973257.26,168102791.3,50415421.87,228948277.2,221678517.2,2016
"DR ROBERT KETTERER CS, INC.",697157,3783797,23962,4087715,4504916,2016
DUBOIS AREA SD,1417234.81,26351118.04,29273983.96,55187943.84,57042336.81,2016
DUNMORE SD,419356.98,12157883.33,7696412.51,20016599.42,20273652.82,2016
DUQUESNE CITY SD,1587481.05,1903474.43,14947393.15,18068212.85,19247476.63,2016
EAST ALLEGHENY SD,928242.47,18709978.6,13600262.24,32629502.19,33238483.31,2016
EAST LYCOMING SD,374318.66,10203295.68,14202333.64,25034598.94,24794532.98,2016
EAST PENN SD,1179312.85,103935783.8,32309740.22,137416278,138220680.6,2016
EAST PENNSBORO AREA SD,379675.57,27915269.46,11877526.83,40239478.69,40172471.86,2016
EAST STROUDSBURG AREA SD,3666969.75,102676677.4,44603818.75,142522914.5,154611705.4,2016
EASTERN CENTER FOR ARTS AND TECHNOLOGY,1143959,7155454.79,1260296.62,9286743.82,9596982.71,2016
EASTERN LANCASTER COUNTY SD,1247256.65,39853901.38,16131458.16,57234965.19,57234966.19,2016
EASTERN LEBANON COUNTY SD,614839.23,26913800.25,11857381.78,40065113.68,39986077.09,2016
EASTERN UNIVERSITY ACADEMY CHARTER SCHOOL,475747,3843260,104541,4356892,4423548,2016
EASTERN WESTMORELAND CAREER AND TECHNOLOGY CENTER,94205,3179711.47,725589.8,4024505.55,4024506.27,2016
EASTERN YORK SD,690979,27760830.89,15562780.29,43418889.27,44069760.18,2016
EASTON AREA SD,3133543.34,105468430.7,46621951.93,146606145.2,155731845.4,2016
EDISON HS/FAREIRA SKILLS,240797382.9,1303360171,1565568389,4072273193,4108843228,2016
ELIZABETH FORWARD SD,395771.59,20809510.19,18970877.32,39432380.52,41678796.1,2016
ELIZABETHTOWN AREA SD,765194.3,38792393.69,18715262.7,58179316.02,58272850.69,2016
ELK LAKE SD,359906,7743215.9,11344882.15,19607604.75,19448004.05,2016
ELLWOOD CITY AREA SD,450275.88,9472676.26,17805208.98,27707455.14,27728161.12,2016
ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,278446,10895962,49891,10661425,11224299,2016
EPHRATA AREA SD,848305.53,44800781.65,19829315.56,65855310.06,65480133.39,2016
ERIE CITY SD,13288927,59485732,114961670,183276251.7,187986329,2016
ERIE COUNTY TECHNICAL SCHOOL,294553,5194879.53,1222683.34,6624325.05,6726362.37,2016
ERIE RISE LEADERSHIP ACADEMY CHARTER SCHOOL,725636,3994306,90360,4740631,4810302,2016
ESPERANZA ACADEMY CHARTER SCHOOL,2482244,16556962,402959,20627677,19592264,2016
ESPERANZA CYBER CS,175741,2249357,10550,2168768,2435648,2016
EUGENIO MARIA DE HOSTOS CS,1273621.62,6314372.87,36912.86,7640602.12,7624907.35,2016
EVERETT AREA SD,943132.38,8396144.88,12017574.72,20540099.11,21356851.98,2016
EVERGREEN COMMUNITY CS,0,1489190.95,28654.91,1527903.54,1517845.86,2016
EXECUTIVE EDUCATION ACADEMY CHARTER SCHOOL,527556,11344024,152793,11054123,12268190,2016
EXETER TOWNSHIP SD,730784.86,49988344.72,21189849.6,70938217.65,72284624.41,2016
FAIRFIELD AREA SD,165127.08,10925208.5,6747412.99,17046480.65,17837748.57,2016
FAIRVIEW SD,203445,17825238,7205117,25114080,25233800,2016
FANNETT-METAL SD,347023.18,3335542.57,3863673.28,7383963.38,7546239.03,2016
FARRELL AREA SD,618430,4461375,11748593,26103654,27030515,2016
FAYETTE COUNTY CAREER & TECHNICAL INSTITUTE,1260715.01,4374710.56,1357607.01,7025284.04,7025283.84,2016
FELL CS,99785,1932070,29376,2096363,2061231,2016
FERNDALE AREA SD,454759.78,2497054.13,8044739.76,11130520.9,10996553.67,2016
FIRST PHILADELPHIA PREPARATORY CHARTER SCHOOL,1432237,21439170,381803,23449198,23253210,2016
FLEETWOOD AREA SD,369121.42,29230872.16,14419600.34,44439562.61,44021604.4,2016
FOLK ARTS-CULTURAL TREASURES CS,421292,5486764,116075,5976643.07,6024131,2016
FORBES ROAD CAREER AND TECHNOLOGY CENTER,477413,5080783.49,1136248.79,6049339.9,6694445.28,2016
FORBES ROAD SD,128152.45,2663145.26,4419363.61,6980314.96,7216161.32,2016
FOREST AREA SD,271957.03,6736902.73,5007882.77,11855773.58,12016742.53,2016
FOREST CITY REGIONAL SD,385068.05,7080636.86,6679661.43,15866377.89,14145366.34,2016
FOREST HILLS SD,502823.89,5856285.26,20195512.41,30057189.24,26734872.21,2016
FORT CHERRY SD,212579.92,7582652.87,10133714.48,17928946.1,17928947.27,2016
FORT LEBOEUF SD,602825,17686853.02,13182857.18,31960166.08,31492258.07,2016
FOX CHAPEL AREA SD,1582797.07,73852584,18541090.68,94224939.36,94985883.2,2016
FRANKLIN AREA SD,837554.97,12196602.36,19583308.12,30721985.47,32620902.23,2016
