CATALYST ACADEMY CS,1069653.21,4314079.19,5630.60,4210663.93,5389363.00,2021
CATASAUQUA AREA SD,3423908.97,22845866.89,11088368.43,35008070.28,37892266.54,2021
CENTENNIAL SD,4620768.99,97013264.28,32903446.90,134198574.80,134537480.20,2021
CENTER FOR STUDENT LEARNING CS AT PENNSBURY,NULL,3752202.00,NULL,2973402.03,4049044.00,2021
CENTER FOR STUDENT LRNG CS PENNSBURY,273643.00,NULL,2986.00,NULL,NULL,2021
CENTRAL BUCKS SD,4942954.25,277467361.20,73318164.43,353433311.40,355763329.90,2021
CENTRAL CAMBRIA SD,0.00,0.00,0.00,0.00,0.00,2021
CENTRAL COLUMBIA SD,2041725.68,19456919.66,12171394.85,45183290.15,43455040.19,2021
CENTRAL DAUPHIN SD,13728098.94,164408028.40,53647975.65,240306674.00,246736652.50,2021
CENTRAL FULTON SD,1437637.99,6146993.24,9509053.62,24355610.45,23869772.10,2021
CENTRAL GREENE SD,1376970.87,16943702.54,15687531.32,33135696.06,34008204.73,2021
CENTRAL MONTCO TECHNICAL HIGH SCHOOL,530655.00,8219749.00,1953989.00,10826676.85,10826676.00,2021
CENTRAL PA DIGITAL LRNG FOUNDATION CS,326428.41,3739713.77,11125.76,4842930.15,4684315.94,2021
CENTRAL PA INSTITUTE OF SCIENCE & TECHNO,797739.42,7655147.67,1577459.61,10417269.01,10219845.97,2021
CENTRAL PA INSTITUTE OF SCIENCE AND TECHNOLOGY,NULL,NULL,NULL,NULL,NULL,2021
CENTRAL PENNSYLVANIA DIGITAL LEARNING FOUNDATION CS,NULL,NULL,NULL,NULL,NULL,2021
CENTRAL VALLEY SD,1941990.35,22868899.02,16342863.38,40409724.50,42059479.75,2021
CENTRAL WESTMORELAND CTC,NULL,NULL,NULL,10163271.90,10539648.48,2021
CENTRAL WESTMORELAND CAREER AND TECHNOLOGY CENTER,1000958.71,7121102.56,2383201.41,NULL,NULL,2021
CENTRAL YORK SD,5253340.55,71490874.33,25732311.72,104912973.00,102502045.60,2021
CENTRE LEARNING COMMUNITY CS,0.00,1393761.83,1176.22,1826926.86,1868737.05,2021
CHAMBERSBURG AREA SD,14362585.00,104037707.00,50717312.00,170208300.00,170807420.00,2021
CHARLEROI SD,2525967.82,11455181.77,15636283.14,28067505.55,29617432.73,2021
CHARTIERS VALLEY SD,1644253.05,53632818.54,16466873.96,72667804.44,72389670.55,2021
CHARTIERS-HOUSTON SD,906459.70,13917110.23,7869253.74,22483076.56,22692823.67,2021
CHELTENHAM SD,2749266.58,102790341.00,25346019.92,124385396.10,130885627.50,2021
CHESTER CHARTER SCHOLARS ACADEMY CS,3299737.00,10539119.00,162211.00,41473525.00,45048029.00,2021
CHESTER CO TECHNICAL COLLEGE HS-PICKERIN,2647496.57,29883244.72,NULL,37537728.61,NULL,2021
CHESTER COMMUNITY CS,21130016.55,76901356.02,1134540.84,95893769.28,99170787.41,2021
CHESTER COUNTY TECHNICAL COLLEGE HIGH SCHOOL - PICKERING CAMPUS,NULL,NULL,4690792.36,NULL,37221533.65,2021
CHESTER-UPLAND SD,9443281.58,26384263.24,107026262.00,131200715.60,142861872.80,2021
CHESTNUT RIDGE SD,1186771.87,7322942.77,14338255.16,22447738.83,22847969.80,2021
CHICHESTER SD,4609685.97,53410094.67,27568834.05,85134093.49,85710004.65,2021
CHRISTOPHER COLUMBUS CS,2568874.06,11716060.51,79673.76,12992154.90,14364608.33,2021
CIRCLE OF SEASONS CS,416477.65,6968364.14,18650.98,7012504.13,7403492.77,2021
CITY CHS,843464.00,12495309.00,38248.00,11647064.00,13377021.00,2021
CLAIRTON CITY SD,2688061.06,4368373.08,12575051.54,19801736.15,19699841.68,2021
CLARION AREA SD,1145281.96,8739564.39,7358627.62,15389006.16,17243473.97,2021
CLARION COUNTY CAREER CENTER,235843.00,1914338.63,761643.96,2963653.63,2911825.59,2021
CLARION-LIMESTONE AREA SD,1290346.11,5832827.66,9255611.09,22786655.07,23060533.01,2021
CLAYSBURG-KIMMEL SD,2031820.90,3688879.58,8908231.38,14596520.77,14628931.86,2021
CLEARFIELD AREA SD,4284672.02,17277210.10,22658085.79,51332278.52,52746849.49,2021
CLEARFIELD CO CTC,NULL,NULL,1250877.06,NULL,NULL,2021
CLEARFIELD COUNTY CTC,609166.27,4836261.45,NULL,7682831.84,6696304.78,2021
COATESVILLE AREA SD,8304800.58,131095034.60,55998578.94,178862690.10,196548250.50,2021
COCALICO SD,3077772.12,42210479.38,18061854.31,65367574.23,64114386.91,2021
COLLEGIUM CS,2858311.00,55768931.00,33634.00,60218133.00,58660876.00,2021
COLONIAL SD,2406375.53,120453712.10,23421513.77,149787981.50,146281601.40,2021
COLUMBIA BOROUGH SD,4831285.80,12695225.27,14828004.12,30005737.01,32362092.19,2021
COLUMBIA-MONTOUR AVTS,420517.00,NULL,NULL,10383248.00,NULL,2021
COLUMBIA-MONTOUR AREA VOCATIONAL-TECHNICAL SCHOOL,NULL,8457407.00,1731770.00,NULL,10609694.00,2021
COMMODORE PERRY SD,2294916.00,2604746.00,6167472.00,15013855.14,14590010.00,2021
COMMONWEALTH CHARTER ACADEMY CS,48287366.46,348642092.80,435987.43,391880658.90,397441652.30,2021
COMMUNITY ACADEMY OF PHILADELPHIA CS,5918358.00,19708081.00,337604.00,37547010.00,43110614.00,2021
CONEMAUGH TOWNSHIP AREA SD,655935.36,4359257.86,10347273.27,15637594.16,15366631.92,2021
